x	y
1	3.2885978
2	3.2885978
3	3.2886947
4	3.2887024
5	3.2886394
6	3.2886240
7	3.2886331
8	3.2886930
9	3.2886654
10	3.2886567
11	3.2886705
12	3.2886793
13	3.2886881
14	3.2886841
15	3.2886801
16	3.2886821
17	3.2887194
18	3.2887147
19	3.2887140
20	3.2887147
21	3.2886904
22	3.2886907
23	3.2887063
24	3.2887691
25	3.2887839
26	3.2888055
27	3.2889206
28	3.2889248
29	3.2889379
30	3.2889314
31	3.2889314
32	3.2889292
33	3.2889307
34	3.2889423
35	3.2889118
36	3.2888769
37	3.2888357
38	3.2888319
39	3.2888611
40	3.2888913
41	3.2889170
42	3.2889173
43	3.2889602
44	3.2889769
45	3.2889396
46	3.2889297
47	3.2888786
48	3.2888788
49	3.2888574
50	3.2888199
51	3.2888279
52	3.2888742
53	3.2889161
54	3.2889100
55	3.2889161
56	3.2889467
57	3.2890155
58	3.2890271
59	3.2889584
60	3.2889287
61	3.2889440
62	3.2889966
63	3.2889941
64	3.2889896
65	3.2889905
66	3.2889870
67	3.2889789
68	3.2889867
69	3.2890077
70	3.2889990
71	3.2889932
72	3.2889795
73	3.2889802
74	3.2889784
75	3.2889911
76	3.2890178
77	3.2890382
78	3.2890484
79	3.2890715
80	3.2890853
81	3.2890991
82	3.2890781
83	3.2890728
84	3.2890712
85	3.2890757
86	3.2890993
87	3.2890993
88	3.2891298
89	3.2891368
90	3.2890688
91	3.2890688
92	3.2891497
93	3.2891409
94	3.2891475
95	3.2891294
96	3.2891345
97	3.2892450
98	3.2892316
99	3.2891773
100	3.2891825
101	3.2892112
102	3.2891815
103	3.2891944
104	3.2891821
105	3.2891993
106	3.2892722
107	3.2892548
108	3.2892908
109	3.2892858
110	3.2892901
111	3.2892615
112	3.2893787
113	3.2893691
114	3.2893598
115	3.2893506
116	3.2893699
117	3.2893702
118	3.2893729
119	3.2894073
120	3.2894045
121	3.2892683
122	3.2892824
123	3.2892824
124	3.2893281
125	3.2893313
126	3.2893299
127	3.2892553
128	3.2892892
129	3.2893118
130	3.2893007
131	3.2893282
132	3.2894370
133	3.2894350
134	3.2893505
135	3.2893587
136	3.2893994
137	3.2894147
138	3.2893881
139	3.2893913
140	3.2894413
141	3.2894274
142	3.2894059
143	3.2893496
144	3.2893491
145	3.2894585
146	3.2894503
147	3.2894560
148	3.2894778
149	3.2895205
150	3.2894656
151	3.2894656
152	3.2894600
153	3.2894917
154	3.2895291
155	3.2895198
156	3.2894790
157	3.2894820
158	3.2894825
159	3.2894961
160	3.2895455
161	3.2896448
162	3.2896243
163	3.2896252
164	3.2896171
165	3.2896091
166	3.2895168
167	3.2895327
168	3.2895632
169	3.2895320
170	3.2895009
171	3.2894946
172	3.2894961
173	3.2894961
174	3.2896151
175	3.2895953
176	3.2896110
177	3.2896313
178	3.2896451
179	3.2896464
180	3.2896451
181	3.2895683
182	3.2895546
183	3.2895945
184	3.2896182
185	3.2896777
186	3.2896182
187	3.2896215
188	3.2896384
189	3.2896605
190	3.2897403
191	3.2897557
192	3.2897316
193	3.2897348
194	3.2897292
195	3.2897232
196	3.2897149
197	3.2897200
198	3.2897174
199	3.2896974
200	3.2897236
201	3.2897232
202	3.2897250
203	3.2897682
204	3.2897657
205	3.2897902
206	3.2897512
207	3.2897607
208	3.2897690
209	3.2897078
210	3.2897098
211	3.2897927
212	3.2898268
213	3.2899311
214	3.2899845
215	3.2899692
216	3.2898542
217	3.2898446
218	3.2898624
219	3.2898532
220	3.2897615
221	3.2897712
222	3.2897861
223	3.2899371
224	3.2899201
225	3.2899234
226	3.2900598
227	3.2900455
228	3.2900414
229	3.2900873
230	3.2900539
231	3.2900588
232	3.2900455
233	3.2900048
234	3.2899641
235	3.2899322
236	3.2899425
237	3.2899463
238	3.2899655
239	3.2899657
240	3.2900150
241	3.2900502
242	3.2900673
243	3.2900590
244	3.2900489
245	3.2900587
246	3.2900586
247	3.2900532
248	3.2900717
249	3.2900944
250	3.2901066
251	3.2901677
252	3.2902334
253	3.2902238
254	3.2902165
255	3.2902152
256	3.2902231
257	3.2902068
258	3.2902002
259	3.2901453
260	3.2901188
261	3.2901507
262	3.2901524
263	3.2902534
264	3.2902520
265	3.2902287
266	3.2902005
267	3.2901982
268	3.2901982
269	3.2902450
270	3.2902261
271	3.2902507
272	3.2903237
273	3.2903239
274	3.2903231
275	3.2903377
276	3.2903334
277	3.2902974
278	3.2903042
279	3.2903073
280	3.2903003
281	3.2903007
282	3.2903126
283	3.2903224
284	3.2903241
285	3.2903935
286	3.2903814
287	3.2903321
288	3.2902979
289	3.2902840
290	3.2903775
291	3.2903996
292	3.2904109
293	3.2904220
294	3.2904559
295	3.2904017
296	3.2903834
297	3.2904031
