x	y
1	0.0228760
2	0.0228760
3	0.0228752
4	0.0228746
5	0.0228756
6	0.0228804
7	0.0228811
8	0.0228784
9	0.0228791
10	0.0228799
11	0.0228793
12	0.0228790
13	0.0228793
14	0.0228792
15	0.0228732
16	0.0228754
17	0.0228765
18	0.0228780
19	0.0228779
20	0.0228782
21	0.0228783
22	0.0228795
23	0.0228787
24	0.0228770
25	0.0228768
26	0.0228764
27	0.0228733
28	0.0228727
29	0.0228739
30	0.0228760
31	0.0228769
32	0.0228764
33	0.0228764
34	0.0228831
35	0.0228824
36	0.0228773
37	0.0228738
38	0.0228746
39	0.0228746
40	0.0228746
41	0.0228749
42	0.0228753
43	0.0228744
44	0.0228728
45	0.0228735
46	0.0228725
47	0.0228731
48	0.0228717
49	0.0228727
50	0.0228746
51	0.0228746
52	0.0228740
53	0.0228714
54	0.0228732
55	0.0228737
56	0.0228726
57	0.0228726
58	0.0228732
59	0.0228738
60	0.0228734
61	0.0228726
62	0.0228730
63	0.0228741
64	0.0228751
65	0.0228747
66	0.0228739
67	0.0228741
68	0.0228747
69	0.0228756
70	0.0228755
71	0.0228756
72	0.0228754
73	0.0228733
74	0.0228717
75	0.0228690
76	0.0228696
77	0.0228757
78	0.0228749
79	0.0228706
80	0.0228708
81	0.0228735
82	0.0228737
83	0.0228737
84	0.0228729
85	0.0228731
86	0.0228727
87	0.0228727
88	0.0228735
89	0.0228732
90	0.0228719
91	0.0228719
92	0.0228715
93	0.0228717
94	0.0228719
95	0.0228726
96	0.0228714
97	0.0228704
98	0.0228699
99	0.0228697
100	0.0228711
101	0.0228712
102	0.0228722
103	0.0228713
104	0.0228705
105	0.0228703
106	0.0228689
107	0.0228728
108	0.0228720
109	0.0228711
110	0.0228712
111	0.0228709
112	0.0228692
113	0.0228669
114	0.0228671
115	0.0228684
116	0.0228683
117	0.0228679
118	0.0228683
119	0.0228676
120	0.0228658
121	0.0228669
122	0.0228661
123	0.0228662
124	0.0228662
125	0.0228660
126	0.0228660
127	0.0228667
128	0.0228692
129	0.0228694
130	0.0228728
131	0.0228703
132	0.0228680
133	0.0228695
134	0.0228703
135	0.0228715
136	0.0228726
137	0.0228719
138	0.0228710
139	0.0228709
140	0.0228703
141	0.0228697
142	0.0228693
143	0.0228692
144	0.0228687
145	0.0228677
146	0.0228654
147	0.0228640
148	0.0228639
149	0.0228647
150	0.0228681
151	0.0228722
152	0.0228722
153	0.0228719
154	0.0228717
155	0.0228692
156	0.0228703
157	0.0228706
158	0.0228706
159	0.0228702
160	0.0228696
161	0.0228695
162	0.0228692
163	0.0228706
164	0.0228706
165	0.0228700
166	0.0228705
167	0.0228699
168	0.0228686
169	0.0228679
170	0.0228686
171	0.0228682
172	0.0228663
173	0.0228663
174	0.0228666
175	0.0228672
176	0.0228672
177	0.0228669
178	0.0228643
179	0.0228641
180	0.0228639
181	0.0228641
182	0.0228643
183	0.0228644
184	0.0228638
185	0.0228621
186	0.0228627
187	0.0228627
188	0.0228615
189	0.0228615
190	0.0228606
191	0.0228609
192	0.0228619
193	0.0228628
194	0.0228629
195	0.0228622
196	0.0228626
197	0.0228627
198	0.0228626
199	0.0228628
200	0.0228600
201	0.0228584
202	0.0228586
203	0.0228601
204	0.0228601
205	0.0228609
206	0.0228620
207	0.0228607
208	0.0228616
209	0.0228638
210	0.0228633
211	0.0228637
212	0.0228630
213	0.0228619
214	0.0228597
215	0.0228606
216	0.0228623
217	0.0228622
218	0.0228615
219	0.0228613
220	0.0228634
221	0.0228633
222	0.0228600
223	0.0228588
224	0.0228609
225	0.0228608
226	0.0228582
227	0.0228587
228	0.0228599
229	0.0228595
230	0.0228599
231	0.0228601
232	0.0228603
233	0.0228618
234	0.0228600
235	0.0228613
236	0.0228611
237	0.0228607
238	0.0228608
239	0.0228608
240	0.0228623
241	0.0228620
242	0.0228592
243	0.0228598
244	0.0228618
245	0.0228602
246	0.0228600
247	0.0228600
248	0.0228593
249	0.0228591
250	0.0228584
251	0.0228576
252	0.0228576
253	0.0228581
254	0.0228579
255	0.0228572
256	0.0228580
257	0.0228584
258	0.0228589
259	0.0228599
260	0.0228605
261	0.0228599
262	0.0228599
263	0.0228583
264	0.0228577
265	0.0228574
266	0.0228576
267	0.0228574
268	0.0228580
269	0.0228574
270	0.0228577
271	0.0228585
272	0.0228570
273	0.0228563
274	0.0228557
275	0.0228562
276	0.0228561
277	0.0228546
278	0.0228549
279	0.0228548
280	0.0228538
281	0.0228538
282	0.0228535
283	0.0228544
284	0.0228550
285	0.0228543
286	0.0228543
287	0.0228541
288	0.0228547
289	0.0228524
290	0.0228530
291	0.0228529
292	0.0228504
293	0.0228504
294	0.0228503
295	0.0228542
296	0.0228561
297	0.0228558
298	0.0228551
299	0.0228551
300	0.0228545
301	0.0228545
302	0.0228559
303	0.0228565
304	0.0228571
305	0.0228559
306	0.0228544
307	0.0228543
308	0.0228541
309	0.0228559
310	0.0228555
311	0.0228554
312	0.0228528
313	0.0228518
314	0.0228518
315	0.0228526
316	0.0228534
317	0.0228529
318	0.0228466
319	0.0228467
320	0.0228467
321	0.0228477
322	0.0228467
323	0.0228452
324	0.0228451
325	0.0228448
326	0.0228453
327	0.0228463
328	0.0228459
329	0.0228456
330	0.0228459
331	0.0228472
332	0.0228511
333	0.0228503
334	0.0228467
335	0.0228480
336	0.0228489
337	0.0228491
338	0.0228484
339	0.0228490
340	0.0228471
341	0.0228466
342	0.0228470
343	0.0228466
344	0.0228473
345	0.0228463
346	0.0228408
347	0.0228403
348	0.0228416
349	0.0228452
350	0.0228454
351	0.0228469
352	0.0228487
353	0.0228477
354	0.0228472
355	0.0228461
356	0.0228462
357	0.0228476
358	0.0228453
359	0.0228434
360	0.0228407
361	0.0228409
362	0.0228410
363	0.0228414
364	0.0228435
365	0.0228450
366	0.0228442
367	0.0228451
368	0.0228452
369	0.0228446
370	0.0228438
371	0.0228442
372	0.0228439
373	0.0228412
374	0.0228391
375	0.0228396
376	0.0228420
377	0.0228428
378	0.0228454
379	0.0228415
380	0.0228417
381	0.0228411
382	0.0228414
383	0.0228407
384	0.0228406
385	0.0228405
386	0.0228400
387	0.0228380
388	0.0228398
389	0.0228395
390	0.0228402
391	0.0228387
392	0.0228362
393	0.0228355
394	0.0228380
395	0.0228383
396	0.0228381
397	0.0228388
398	0.0228379
399	0.0228376
400	0.0228379
401	0.0228397
402	0.0228408
403	0.0228402
404	0.0228406
405	0.0228361
406	0.0228374
407	0.0228402
408	0.0228392
409	0.0228394
410	0.0228404
411	0.0228397
412	0.0228391
413	0.0228392
414	0.0228402
415	0.0228445
416	0.0228445
417	0.0228455
418	0.0228511
419	0.0228577
420	0.0228677
421	0.0228820
422	0.0228927
423	0.0229198
424	0.0229466
425	0.0229835
426	0.0230162
427	0.0230496
428	0.0230789
429	0.0231286
430	0.0231709
431	0.0232131
432	0.0232531
433	0.0232862
434	0.0233313
435	0.0233702
436	0.0234034
437	0.0234329
438	0.0234563
439	0.0234819
440	0.0234919
441	0.0235115
442	0.0235211
443	0.0235314
444	0.0235274
445	0.0235245
446	0.0235215
447	0.0235156
448	0.0235057
449	0.0234940
450	0.0234837
451	0.0234647
452	0.0234460
453	0.0234208
454	0.0234018
455	0.0233778
456	0.0233551
457	0.0233341
458	0.0233144
459	0.0232822
460	0.0232550
461	0.0232335
462	0.0232150
463	0.0231837
464	0.0231681
465	0.0231519
466	0.0231368
467	0.0231127
468	0.0230905
469	0.0230775
470	0.0230637
471	0.0230536
472	0.0230407
473	0.0230288
474	0.0230183
475	0.0230096
476	0.0230016
477	0.0229913
478	0.0229844
479	0.0229819
480	0.0229727
481	0.0229642
482	0.0229547
483	0.0229488
484	0.0229478
485	0.0229416
486	0.0229376
487	0.0229343
488	0.0229313
489	0.0229290
490	0.0229244
491	0.0229216
492	0.0229225
493	0.0229180
494	0.0229127
495	0.0229098
496	0.0229078
497	0.0229022
498	0.0229003
499	0.0228996
500	0.0228983
501	0.0228978
502	0.0228982
503	0.0228952
504	0.0228955
505	0.0228945
506	0.0228939
507	0.0228930
508	0.0228928
509	0.0228871
510	0.0228841
511	0.0228818
512	0.0228779
513	0.0228777
514	0.0228768
515	0.0228751
516	0.0228784
517	0.0228777
518	0.0228738
519	0.0228726
520	0.0228723
521	0.0228713
522	0.0228702
523	0.0228679
524	0.0228694
525	0.0228680
526	0.0228685
527	0.0228734
528	0.0228733
529	0.0228634
530	0.0228586
531	0.0228583
532	0.0228563
533	0.0228569
534	0.0228571
535	0.0228568
