Start Running : 0 sec
Injection Start : 29 sec
Injection Finished : 210 sec
Stabilization Start : 260 sec
Stabilization End : 680 sec
Injection Start : 708 sec
Injection Finished : 889 sec
Stabilization Start : 939 sec
Stabilization End : 1359 sec
Injection Start : 1387 sec
Injection Finished : 1568 sec
Stabilization Start : 1618 sec
Stabilization End : 2038 sec
Injection Start : 2066 sec
Injection Finished : 2247 sec
Stabilization Start : 2297 sec
Stabilization End : 2717 sec
Running Finished : 2717 sec
