x	y
1	33633.5787857
2	33633.5787857
3	33633.2386500
4	33632.2507500
5	33632.1924038
6	33632.1340577
7	33632.4417115
8	33633.0118269
9	33633.3461923
10	33633.1435529
11	33632.7357143
12	33632.7952548
13	33634.3055714
14	33634.0327813
15	33633.5809879
16	33633.1289126
17	33633.2386500
18	33634.7832742
19	33634.7707143
20	33634.5817500
21	33634.6045318
22	33634.8747480
23	33634.7997857
24	33635.3448750
25	33635.9771786
26	33636.0140769
27	33637.6342500
28	33637.8057681
29	33637.2016887
30	33636.8785392
31	33637.0237500
32	33637.1000625
33	33637.1848542
34	33637.2696458
35	33637.1735486
36	33637.7802391
37	33637.7699167
38	33637.8958929
39	33639.0520412
40	33638.7026250
41	33638.9256923
42	33639.8649231
43	33639.8320500
44	33640.3815000
45	33640.4441154
46	33640.3815000
47	33640.4959688
48	33640.8579639
49	33640.8292000
50	33640.9920000
51	33641.0211922
52	33640.8688847
53	33640.7809370
54	33640.8563333
55	33641.0337436
56	33641.9555812
57	33641.4193500
58	33641.5346667
59	33641.5798889
60	33641.6251111
61	33643.0928853
62	33642.6628336
63	33642.8235000
64	33642.9543214
65	33643.1565000
66	33642.4165000
67	33642.4389230
68	33642.5860833
69	33642.8845500
70	33643.2635423
71	33643.5018333
72	33644.0445000
73	33646.0116667
74	33646.7307000
75	33646.7408750
76	33646.2986538
77	33645.4063846
78	33645.3876000
79	33645.1183538
80	33645.0038571
81	33645.0306923
82	33645.2655000
83	33645.4714697
84	33645.4873810
85	33645.1989712
86	33645.5985000
87	33647.4022500
88	33647.2731058
89	33646.9052404
90	33647.0359500
91	33647.1786116
92	33647.0970000
93	33648.0127500
94	33648.1145000
95	33648.2840833
96	33648.3616071
97	33648.3735000
98	33648.2240769
99	33647.9110000
100	33649.2083125
101	33649.5390000
102	33649.5669230
103	33649.5390000
104	33650.0274000
105	33650.2653385
106	33649.8207692
107	33649.8006429
108	33649.5898750
109	33649.5285288
110	33649.5826071
111	33649.4901600
112	33649.8442500
113	33649.8646000
114	33649.9205625
115	33650.4723606
116	33651.6816202
117	33651.0065481
118	33650.9889375
119	33650.9431500
120	33650.5705885
121	33651.1415625
122	33650.9550208
123	33651.2348333
124	33652.1705855
125	33652.2822308
126	33651.9810000
127	33652.0054200
128	33652.0420500
129	33651.8182000
130	33651.9810000
131	33651.9417211
132	33652.4527500
133	33652.5101000
134	33652.5101000
135	33652.6593333
136	33652.7950000
137	33652.8112800
138	33652.8967500
139	33653.2489615
140	33653.4636429
141	33653.9142500
142	33654.0473077
143	33654.0779348
144	33654.1177500
145	33654.0942692
146	33654.2449375
147	33654.3949535
148	33654.5449696
149	33655.2463488
150	33655.4532188
151	33655.8621755
152	33656.2711322
153	33657.1757941
154	33657.0821971
155	33656.8039500
156	33656.5734577
157	33656.7777857
158	33656.7853696
159	33657.0569296
160	33657.1075006
161	33657.6556533
162	33657.7044375
163	33657.9694265
164	33657.9842500
165	33658.1842925
166	33658.2691500
167	33658.3399883
168	33658.2895000
169	33658.2168214
170	33658.5220714
171	33659.4596250
172	33660.0022917
173	33659.9311971
174	33659.6122500
175	33659.8302857
176	33660.0701250
177	33660.4092917
178	33660.4266841
179	33660.4516875
180	33660.5280000
181	33661.2402500
182	33661.1940000
183	33661.1385000
184	33661.2606000
185	33661.9618923
186	33661.7490000
187	33661.7734200
188	33662.3595000
189	33663.1226250
190	33663.2279711
191	33662.4205500
192	33662.5943077
193	33662.8173750
194	33662.9700000
195	33663.8857500
196	33663.7840000
197	33663.7549286
198	33663.7917363
199	33663.8388791
200	33664.3436250
201	33664.2200714
202	33664.1910000
203	33664.3741500
204	33664.4090357
205	33664.3506511
206	33664.2465000
207	33664.2107443
208	33664.4480526
209	33664.8015000
210	33664.7404500
211	33664.8056885
212	33665.2236594
213	33665.5137500
214	33665.4120000
215	33665.7713526
216	33666.0225000
217	33666.2166153
218	33666.2281676
219	33665.8632391
220	33666.0694615
221	33665.7102692
222	33665.7612443
223	33666.6594480
224	33666.5010871
225	33666.3176957
226	33666.5312500
227	33666.5155962
228	33667.0254643
229	33666.9764063
230	33666.9509687
231	33667.2435000
232	33667.8540000
233	33667.8540000
234	33667.8540000
235	33667.9557500
236	33668.0284286
237	33667.6505000
238	33667.9086008
239	33667.7600769
240	33667.9070870
241	33668.0575000
242	33668.0676750
243	33667.8234750
244	33667.5284000
245	33666.8365000
246	33667.0739167
247	33669.5976645
248	33669.8597215
249	33669.8381250
250	33669.9672692
251	33669.9704000
252	33670.4248833
253	33670.4368846
254	33670.4486250
255	33670.6012500
256	33670.6837501
257	33671.0473846
258	33671.2553571
259	33671.0004231
260	33671.1100000
261	33671.7459375
262	33672.6969087
263	33672.4563894
264	33671.9443500
265	33672.6362500
266	33672.4658424
267	33672.5090625
268	33673.3817644
269	33673.1958750
270	33673.3481827
271	33673.2264000
272	33672.6100857
273	33673.2580556
274	33673.4299000
275	33673.8063750
276	33673.5682800
277	33673.4196262
278	33673.2322143
279	33673.3485000
280	33674.4677500
281	33674.1409760
282	33674.1334286
283	33674.8927059
284	33674.8747500
285	33674.8747500
286	33674.7022174
287	33674.4102391
288	33674.5960435
289	33674.4550312
290	33673.8917723
291	33673.9324565
292	33674.2642500
293	33674.2642500
294	33674.2642500
295	33674.5695000
296	33674.5695000
297	33674.8908158
298	33675.6684000
299	33675.5463000
300	33675.7527361
301	33675.6887500
302	33675.7416600
303	33675.6843261
304	33675.8374615
305	33677.1151280
306	33677.1132500
307	33676.8806786
308	33676.9751607
309	33676.8917710
310	33675.1660440
311	33675.1800000
312	33675.4242000
313	33675.4852500
314	33675.6965769
315	33675.8777143
316	33676.1790000
317	33676.0830000
318	33676.5868043
319	33677.0443634
320	33677.4266400
321	33677.2612500
322	33677.6454808
323	33678.0313270
324	33677.8594167
325	33677.9448606
326	33677.9800817
327	33677.8594167
328	33677.7441000
329	33677.9476000
330	33677.8662000
331	33677.8963557
332	33678.3209346
333	33678.2619782
334	33678.4895526
335	33678.4767000
336	33677.5609500
337	33678.2794615
338	33678.7498907
339	33678.7557857
340	33679.0174286
341	33679.1482500
342	33679.0174286
343	33678.9302143
344	33678.9783106
345	33679.0095000
346	33678.5377500
347	33678.5510217
348	33679.4535000
349	33680.2166250
350	33680.1861000
351	33679.9884143
352	33680.1701739
353	33680.1701739
354	33679.4244286
355	33678.9741941
356	33678.9193125
357	33678.7490769
358	33678.8090833
359	33679.8491944
360	33679.6230833
361	33680.0362500
362	33679.9231154
363	33678.9438928
