x	y
1	3.6512937
2	3.6512937
3	3.6511563
4	3.6511563
5	3.6511674
6	3.6511566
7	3.6511868
8	3.6511868
9	3.6512021
10	3.6511813
11	3.6510980
12	3.6511020
13	3.6512128
14	3.6511563
15	3.6511238
16	3.6511309
17	3.6511855
18	3.6511737
19	3.6511636
20	3.6512812
21	3.6512569
22	3.6511817
23	3.6511639
24	3.6511563
25	3.6511309
26	3.6511064
27	3.6510888
28	3.6511156
29	3.6511054
30	3.6510342
31	3.6510378
32	3.6510659
33	3.6510941
34	3.6510340
35	3.6510386
36	3.6510624
37	3.6511008
38	3.6511224
39	3.6510950
40	3.6511040
41	3.6512513
42	3.6512490
43	3.6512467
44	3.6511424
45	3.6511961
46	3.6512186
47	3.6511834
48	3.6510851
49	3.6510613
50	3.6510571
51	3.6510724
52	3.6510808
53	3.6510893
54	3.6510953
55	3.6511105
56	3.6511098
57	3.6510637
58	3.6510884
59	3.6510865
60	3.6511507
61	3.6512624
62	3.6512540
63	3.6512296
64	3.6512418
65	3.6512377
66	3.6511970
67	3.6511868
68	3.6511716
69	3.6511187
70	3.6511230
71	3.6511156
72	3.6511351
73	3.6512057
74	3.6512530
75	3.6511387
76	3.6510851
77	3.6510812
78	3.6511195
79	3.6511258
80	3.6511258
81	3.6511123
82	3.6511105
83	3.6508394
84	3.6508457
85	3.6509732
86	3.6510608
87	3.6510925
88	3.6510586
89	3.6509609
90	3.6509691
91	3.6510342
92	3.6510516
93	3.6511020
94	3.6510991
95	3.6511387
96	3.6511685
97	3.6511807
98	3.6511563
99	3.6510105
100	3.6510179
101	3.6510769
102	3.6510824
103	3.6510581
104	3.6510758
105	3.6512359
106	3.6512021
107	3.6510808
108	3.6510668
109	3.6510817
110	3.6510691
111	3.6510767
112	3.6510769
113	3.6510749
114	3.6510227
115	3.6510577
116	3.6509833
117	3.6509019
118	3.6509274
119	3.6510088
120	3.6509872
121	3.6509917
122	3.6509755
123	3.6509766
124	3.6509412
125	3.6509670
126	3.6510322
127	3.6510973
128	3.6510464
129	3.6509637
130	3.6509462
131	3.6509647
132	3.6510191
133	3.6512361
134	3.6512296
135	3.6509271
136	3.6509208
137	3.6509136
138	3.6509854
139	3.6510412
140	3.6510178
141	3.6510281
142	3.6510281
143	3.6510403
144	3.6510464
145	3.6510444
146	3.6509030
147	3.6510037
148	3.6510708
149	3.6510586
150	3.6510273
151	3.6510220
152	3.6510236
153	3.6510240
154	3.6510220
155	3.6509274
156	3.6509206
157	3.6509243
158	3.6509656
159	3.6509670
160	3.6509565
161	3.6509638
162	3.6509732
163	3.6510308
164	3.6510284
165	3.6510342
166	3.6510495
167	3.6510634
168	3.6510281
169	3.6510783
170	3.6511520
171	3.6511452
172	3.6510678
173	3.6510647
174	3.6510671
175	3.6510342
176	3.6509884
177	3.6510332
178	3.6511667
179	3.6510814
180	3.6510080
181	3.6510295
182	3.6510215
183	3.6509150
184	3.6509263
185	3.6509386
186	3.6509966
187	3.6509695
188	3.6509631
189	3.6509730
190	3.6509935
191	3.6509867
192	3.6509819
193	3.6509732
194	3.6509703
195	3.6509859
196	3.6510062
197	3.6510525
198	3.6510512
199	3.6510189
200	3.6510154
201	3.6510139
202	3.6509759
203	3.6509790
204	3.6509824
205	3.6509426
206	3.6509285
207	3.6509144
208	3.6509295
209	3.6509528
210	3.6509592
211	3.6509223
212	3.6509579
213	3.6510037
214	3.6510891
215	3.6510694
216	3.6510037
217	3.6510037
218	3.6509732
219	3.6508884
220	3.6508851
221	3.6508871
222	3.6509121
223	3.6509426
224	3.6509426
225	3.6509358
226	3.6509426
227	3.6509630
228	3.6509503
229	3.6509884
230	3.6509849
231	3.6509683
232	3.6509707
233	3.6509360
234	3.6509392
235	3.6509324
236	3.6509356
237	3.6509849
238	3.6509681
239	3.6509274
240	3.6508702
241	3.6508371
242	3.6509461
243	3.6509168
244	3.6509426
245	3.6509262
246	3.6509172
247	3.6509189
248	3.6509183
249	3.6508877
250	3.6509121
251	3.6509557
252	3.6509639
253	3.6509528
254	3.6509304
255	3.6509426
256	3.6509182
257	3.6509165
258	3.6509121
259	3.6508850
260	3.6508888
261	3.6509060
262	3.6509262
263	3.6509189
264	3.6509499
265	3.6509843
266	3.6509819
267	3.6509510
268	3.6509609
269	3.6509819
270	3.6509822
271	3.6509819
272	3.6509670
273	3.6508877
274	3.6507683
275	3.6507900
276	3.6508964
277	3.6509211
278	3.6508567
279	3.6508205
280	3.6508002
281	3.6507934
282	3.6508002
283	3.6507998
284	3.6508429
285	3.6509487
286	3.6509419
287	3.6509426
288	3.6510647
289	3.6510647
290	3.6510491
291	3.6510036
292	3.6510016
293	3.6509764
294	3.6509591
295	3.6508557
296	3.6508877
297	3.6509384
298	3.6509314
299	3.6509233
300	3.6509041
301	3.6509291
302	3.6509171
303	3.6509150
304	3.6509325
305	3.6510003
306	3.6509848
307	3.6509260
308	3.6509121
309	3.6508816
310	3.6508800
311	3.6508968
312	3.6509121
313	3.6509121
314	3.6508816
315	3.6508510
316	3.6508470
317	3.6508429
318	3.6508076
319	3.6508231
320	3.6508663
321	3.6508709
322	3.6508726
323	3.6508682
324	3.6508022
325	3.6507813
326	3.6508171
327	3.6507536
328	3.6507724
329	3.6507956
330	3.6508282
331	3.6510032
332	3.6508982
333	3.6509040
334	3.6508940
335	3.6508526
336	3.6509121
337	3.6509121
338	3.6508877
339	3.6508934
340	3.6509089
341	3.6508907
342	3.6509085
343	3.6508816
344	3.6507747
345	3.6507875
346	3.6507889
347	3.6507824
348	3.6507264
349	3.6506704
350	3.6507012
351	3.6508307
352	3.6508510
353	3.6508307
354	3.6507982
355	3.6508091
356	3.6508061
357	3.6508053
358	3.6508045
359	3.6507595
360	3.6507801
361	3.6508205
362	3.6508094
363	3.6508189
364	3.6508641
365	3.6509092
366	3.6509184
367	3.6509223
368	3.6509172
369	3.6508985
370	3.6507957
371	3.6508649
372	3.6508816
373	3.6508094
374	3.6508215
375	3.6508663
376	3.6509135
377	3.6510228
378	3.6510226
379	3.6509336
380	3.6508256
381	3.6508205
382	3.6508510
383	3.6508641
384	3.6508510
385	3.6508053
386	3.6507289
387	3.6507289
388	3.6507289
389	3.6507412
390	3.6507534
391	3.6507456
392	3.6507361
393	3.6507541
394	3.6507809
395	3.6507075
396	3.6507045
397	3.6507259
398	3.6507595
399	3.6507595
400	3.6508031
401	3.6507755
402	3.6507793
403	3.6509325
404	3.6509258
405	3.6509365
406	3.6510342
407	3.6511933
408	3.6512072
409	3.6512784
410	3.6513089
411	3.6514412
412	3.6516176
413	3.6516286
414	3.6517829
415	3.6518196
416	3.6518228
417	3.6518533
418	3.6519347
419	3.6519856
420	3.6520364
421	3.6522671
422	3.6523221
423	3.6523184
424	3.6523366
425	3.6524004
426	3.6524574
427	3.6525147
428	3.6525096
429	3.6524994
430	3.6524855
431	3.6525648
432	3.6525896
433	3.6525121
434	3.6525065
435	3.6524994
436	3.6524922
437	3.6524569
438	3.6524841
439	3.6524411
440	3.6525133
441	3.6525493
442	3.6525452
443	3.6525125
444	3.6525077
445	3.6525276
446	3.6525866
447	3.6525914
448	3.6525961
449	3.6525818
450	3.6525315
451	3.6526992
452	3.6526825
453	3.6526825
454	3.6526825
455	3.6526826
456	3.6526787
457	3.6525999
458	3.6527408
459	3.6527436
460	3.6527621
461	3.6527757
462	3.6527828
463	3.6527610
464	3.6527334
465	3.6527691
466	3.6527214
467	3.6525845
468	3.6525648
469	3.6525450
470	3.6525461
471	3.6525910
472	3.6525910
473	3.6525910
474	3.6525892
475	3.6525910
476	3.6525753
477	3.6525518
478	3.6525605
479	3.6524689
480	3.6524689
481	3.6524657
482	3.6524623
483	3.6524978
484	3.6524963
485	3.6525081
486	3.6525753
487	3.6525872
488	3.6525839
489	3.6525779
490	3.6525700
491	3.6525620
492	3.6525604
493	3.6525604
494	3.6525223
495	3.6525245
496	3.6525583
497	3.6525444
498	3.6524994
499	3.6524587
500	3.6524536
501	3.6524960
502	3.6525147
503	3.6525030
504	3.6524994
505	3.6525052
506	3.6525446
507	3.6524725
508	3.6524212
509	3.6524055
510	3.6524536
511	3.6525706
512	3.6525605
513	3.6525604
514	3.6524772
515	3.6524765
516	3.6524312
517	3.6524149
518	3.6524561
519	3.6524471
520	3.6524578
521	3.6524584
522	3.6524049
523	3.6524298
524	3.6524355
525	3.6524180
526	3.6523010
527	3.6522796
528	3.6523773
529	3.6523261
530	3.6523266
531	3.6523246
532	3.6523671
533	3.6523875
534	3.6524231
535	3.6524555
536	3.6524728
537	3.6524776
538	3.6524689
539	3.6524709
540	3.6525229
541	3.6525182
542	3.6524853
543	3.6525177
544	3.6525231
545	3.6525080
546	3.6524145
547	3.6524193
548	3.6524177
549	3.6524287
550	3.6526199
551	3.6525114
552	3.6525128
553	3.6525081
554	3.6525100
555	3.6525197
556	3.6524697
557	3.6524707
558	3.6524561
559	3.6524112
560	3.6524078
561	3.6523912
562	3.6523690
563	3.6523539
564	3.6523440
565	3.6523585
566	3.6524389
567	3.6524180
568	3.6523872
569	3.6524051
570	3.6524112
571	3.6524012
572	3.6523926
573	3.6523812
574	3.6524853
575	3.6525757
576	3.6526143
577	3.6526089
578	3.6525897
579	3.6525024
580	3.6524994
581	3.6523625
582	3.6523773
583	3.6523841
584	3.6523773
585	3.6523440
586	3.6523366
587	3.6521648
588	3.6520529
589	3.6520385
590	3.6520269
591	3.6520154
592	3.6519003
593	3.6517604
594	3.6517329
595	3.6515684
596	3.6515565
597	3.6515379
598	3.6513445
599	3.6513150
600	3.6513089
601	3.6510671
602	3.6510342
603	3.6509835
604	3.6509265
605	3.6509033
606	3.6509057
607	3.6508859
608	3.6508254
609	3.6507923
610	3.6507595
611	3.6506764
612	3.6506679
613	3.6506596
614	3.6506536
615	3.6505805
616	3.6505903
617	3.6506457
618	3.6506832
619	3.6506949
620	3.6506526
621	3.6506517
622	3.6506577
623	3.6506482
624	3.6506679
625	3.6506679
626	3.6505309
627	3.6505336
628	3.6505787
629	3.6505894
630	3.6505862
631	3.6506074
632	3.6506069
633	3.6506069
634	3.6505865
635	3.6505662
636	3.6504615
637	3.6504542
638	3.6504831
639	3.6505207
640	3.6505327
641	3.6505288
642	3.6505509
643	3.6505801
644	3.6505837
645	3.6505763
646	3.6506374
647	3.6507493
648	3.6507478
649	3.6506862
650	3.6506007
651	3.6506679
652	3.6506747
653	3.6506272
654	3.6506221
655	3.6505971
656	3.6506170
657	3.6506038
658	3.6506097
659	3.6506015
660	3.6505339
661	3.6505378
662	3.6505486
663	3.6506041
664	3.6505967
665	3.6505977
666	3.6506984
667	3.6507000
668	3.6506984
669	3.6506916
670	3.6506984
671	3.6507086
672	3.6506799
673	3.6506069
674	3.6505763
675	3.6505569
676	3.6505763
677	3.6505899
678	3.6505936
679	3.6505916
680	3.6505997
681	3.6505749
682	3.6505599
683	3.6506272
684	3.6507061
685	3.6506883
686	3.6507154
687	3.6507425
688	3.6507468
689	3.6507289
690	3.6507364
691	3.6507533
692	3.6506538
693	3.6506529
694	3.6506374
695	3.6506461
696	3.6506633
697	3.6506368
698	3.6506102
699	3.6505876
700	3.6506740
701	3.6506145
702	3.6506273
703	3.6506505
704	3.6506679
705	3.6506518
706	3.6506156
707	3.6506081
708	3.6506221
709	3.6506289
710	3.6506248
711	3.6506374
712	3.6506374
713	3.6505560
714	3.6505196
715	3.6505038
716	3.6505611
717	3.6507544
718	3.6507120
719	3.6505975
720	3.6505649
721	3.6505152
722	3.6505282
723	3.6505840
724	3.6505696
725	3.6505560
726	3.6505303
727	3.6504751
728	3.6504719
729	3.6505102
730	3.6505284
731	3.6505407
732	3.6506333
733	3.6506392
734	3.6506620
735	3.6506723
736	3.6507397
737	3.6507456
738	3.6507782
739	3.6507579
740	3.6507623
741	3.6507595
742	3.6506389
743	3.6506271
744	3.6506461
745	3.6506374
746	3.6506190
747	3.6506252
748	3.6506574
749	3.6506068
750	3.6505481
751	3.6506818
752	3.6507289
753	3.6507289
754	3.6506984
755	3.6506984
756	3.6506832
757	3.6507022
758	3.6506248
759	3.6505900
760	3.6505605
761	3.6505476
762	3.6505407
763	3.6505458
764	3.6506069
765	3.6506068
766	3.6505328
767	3.6505414
768	3.6506526
769	3.6506628
770	3.6506408
771	3.6505122
772	3.6505322
773	3.6505725
774	3.6505878
775	3.6505662
776	3.6505686
777	3.6505649
778	3.6506152
779	3.6506577
780	3.6506621
781	3.6506543
782	3.6505967
783	3.6504814
784	3.6505458
785	3.6505434
786	3.6505342
787	3.6505496
788	3.6505187
789	3.6505085
790	3.6505334
791	3.6505674
792	3.6505171
793	3.6505187
794	3.6505331
795	3.6505474
796	3.6505458
797	3.6505347
798	3.6505305
799	3.6505419
800	3.6505371
801	3.6505344
802	3.6505309
803	3.6505382
804	3.6505336
805	3.6505458
806	3.6505611
807	3.6506508
808	3.6506510
809	3.6506441
810	3.6506251
811	3.6505833
812	3.6506297
813	3.6506136
814	3.6506230
815	3.6505791
816	3.6505952
817	3.6505993
818	3.6505837
819	3.6505486
820	3.6505526
821	3.6505456
822	3.6505460
823	3.6505744
824	3.6505613
825	3.6505580
826	3.6505794
827	3.6505812
828	3.6505511
829	3.6504737
830	3.6504644
831	3.6505729
832	3.6505153
833	3.6505214
834	3.6505414
835	3.6505458
836	3.6505214
837	3.6505424
838	3.6506076
839	3.6506252
840	3.6506884
841	3.6506897
842	3.6506883
843	3.6506679
844	3.6506679
845	3.6506374
