x	y
1	598.0825000
2	598.0825000
3	598.0600000
4	598.0600000
5	598.0618182
6	598.0600505
7	598.0650000
8	598.0650000
9	598.0675000
10	598.0640909
11	598.0504545
12	598.0511111
13	598.0692593
14	598.0600000
15	598.0546845
16	598.0558333
17	598.0647826
18	598.0628571
19	598.0612032
20	598.0804635
21	598.0764706
22	598.0641667
23	598.0612500
24	598.0600000
25	598.0558333
26	598.0518182
27	598.0489394
28	598.0533333
29	598.0516667
30	598.0400000
31	598.0405882
32	598.0451961
33	598.0498039
34	598.0399633
35	598.0407143
36	598.0446151
37	598.0509091
38	598.0544444
39	598.0499564
40	598.0514286
41	598.0755556
42	598.0751852
43	598.0748148
44	598.0577160
45	598.0665217
46	598.0701993
47	598.0644444
48	598.0483333
49	598.0444444
50	598.0437500
51	598.0462500
52	598.0476389
53	598.0490278
54	598.0500000
55	598.0525000
56	598.0523810
57	598.0448316
58	598.0488833
59	598.0485714
60	598.0590909
61	598.0773840
62	598.0760000
63	598.0720000
64	598.0740000
65	598.0733333
66	598.0666667
67	598.0650000
68	598.0625000
69	598.0538462
70	598.0545455
71	598.0533333
72	598.0565227
73	598.0680927
74	598.0758333
75	598.0571212
76	598.0483333
77	598.0477017
78	598.0539650
79	598.0550000
80	598.0550000
81	598.0527883
82	598.0525000
83	598.0080927
84	598.0091304
85	598.0300000
86	598.0443590
87	598.0495455
88	598.0440000
89	598.0280000
90	598.0293333
91	598.0400000
92	598.0428571
93	598.0511111
94	598.0506250
95	598.0571212
96	598.0620000
97	598.0640000
98	598.0600000
99	598.0361111
100	598.0373333
101	598.0470000
102	598.0478889
103	598.0439130
104	598.0468182
105	598.0730420
106	598.0675000
107	598.0476282
108	598.0453333
109	598.0477778
110	598.0457143
111	598.0469565
112	598.0469926
113	598.0466667
114	598.0381197
115	598.0438462
116	598.0316667
117	598.0183333
118	598.0225000
119	598.0358333
120	598.0323077
121	598.0330435
122	598.0303879
123	598.0305725
124	598.0247619
125	598.0290000
126	598.0396667
127	598.0503333
128	598.0420000
129	598.0284444
130	598.0255926
131	598.0286218
132	598.0375321
133	598.0730662
134	598.0720000
135	598.0224615
136	598.0214286
137	598.0202381
138	598.0320000
139	598.0411519
140	598.0373071
141	598.0390000
142	598.0390000
143	598.0410000
144	598.0420000
145	598.0416667
146	598.0185043
147	598.0350000
148	598.0460000
149	598.0440000
150	598.0388732
151	598.0380000
152	598.0382609
153	598.0383333
154	598.0380000
155	598.0225000
156	598.0213889
157	598.0220000
158	598.0287692
159	598.0290000
160	598.0272727
161	598.0284615
162	598.0300000
163	598.0394444
164	598.0390476
165	598.0400000
166	598.0425000
167	598.0447826
