Seconds	Ch1	Ch2
1	598.100000	523.430000
1	598.140000	523.470000
1	598.030000	523.510000
1	598.030000	523.550000
1	598.020000	523.490000
1	598.070000	523.440000
1	598.090000	523.450000
1	598.160000	523.390000
1	598.000000	523.390000
1	598.020000	523.460000
1	598.110000	523.410000
1	598.220000	523.580000
2	598.030000	523.510000
2	598.060000	523.470000
2	598.000000	523.340000
2	598.090000	523.420000
2	598.100000	523.530000
2	598.090000	523.440000
2	598.150000	523.360000
2	598.070000	523.490000
2	598.140000	523.370000
2	598.060000	523.420000
2	597.980000	523.430000
3	598.040000	523.510000
3	598.020000	523.400000
3	598.040000	523.390000
3	598.060000	523.450000
3	598.020000	523.480000
3	597.980000	523.530000
3	598.090000	523.480000
3	598.020000	523.390000
3	598.020000	523.440000
3	598.050000	523.390000
3	598.030000	523.410000
3	598.060000	523.460000
4	598.120000	523.430000
4	598.030000	523.490000
4	597.990000	523.530000
4	597.970000	523.490000
4	598.100000	523.370000
4	598.050000	523.450000
4	598.010000	523.570000
4	598.170000	523.470000
4	598.080000	523.450000
4	598.090000	523.480000
4	598.060000	523.470000
5	598.120000	523.460000
5	598.150000	523.550000
5	598.110000	523.470000
5	598.030000	523.570000
5	598.200000	523.430000
5	598.050000	523.520000
5	598.050000	523.450000
5	597.990000	523.520000
5	598.050000	523.520000
5	598.130000	523.310000
5	598.040000	523.460000
5	597.930000	523.390000
6	598.080000	523.480000
6	598.090000	523.400000
6	598.020000	523.410000
6	598.110000	523.520000
6	597.980000	523.460000
6	598.160000	523.490000
6	598.030000	523.540000
6	598.090000	523.370000
6	598.040000	523.520000
6	598.130000	523.520000
6	598.010000	523.530000
6	597.970000	523.480000
7	598.040000	523.430000
7	597.960000	523.530000
7	598.160000	523.370000
7	598.050000	523.520000
7	598.070000	523.420000
7	598.060000	523.500000
7	598.140000	523.490000
7	598.230000	523.470000
7	598.140000	523.560000
7	598.100000	523.460000
7	598.080000	523.430000
7	598.140000	523.460000
8	598.150000	523.440000
8	598.050000	523.520000
8	597.870000	523.460000
8	597.910000	523.350000
8	598.230000	523.430000
8	598.120000	523.400000
8	598.190000	523.390000
8	598.070000	523.430000
8	598.070000	523.350000
8	598.180000	523.470000
8	597.900000	523.470000
8	598.110000	523.420000
9	597.920000	523.480000
9	598.120000	523.490000
9	598.110000	523.450000
9	598.170000	523.490000
9	598.100000	523.400000
9	598.050000	523.490000
9	598.110000	523.460000
9	598.060000	523.420000
9	597.980000	523.550000
9	598.080000	523.430000
9	597.940000	523.510000
9	598.230000	523.440000
10	597.990000	523.530000
10	598.070000	523.370000
10	598.100000	523.400000
10	597.990000	523.410000
10	598.080000	523.360000
10	598.000000	523.560000
10	598.120000	523.520000
10	598.020000	523.430000
10	598.010000	523.510000
10	598.060000	523.370000
10	598.020000	523.420000
10	597.960000	523.510000
11	598.040000	523.520000
11	598.100000	523.420000
11	598.070000	523.370000
11	598.030000	523.460000
11	598.040000	523.480000
11	597.950000	523.470000
11	598.050000	523.400000
11	598.010000	523.420000
11	598.130000	523.540000
11	598.030000	523.580000
11	598.030000	523.460000
12	597.950000	523.470000
12	598.000000	523.420000
12	598.120000	523.420000
12	598.160000	523.540000
12	598.030000	523.510000
12	598.180000	523.460000
12	598.130000	523.450000
12	598.010000	523.410000
12	598.200000	523.390000
12	598.090000	523.470000
12	598.040000	523.570000
12	598.040000	523.540000
13	598.120000	523.380000
13	597.940000	523.480000
13	598.200000	523.440000
13	598.210000	523.440000
13	598.070000	523.390000
13	597.980000	523.390000
13	598.170000	523.530000
13	598.060000	523.490000
13	597.960000	523.400000
13	598.000000	523.470000
13	598.100000	523.510000
13	598.130000	523.500000
14	598.140000	523.510000
14	598.010000	523.410000
14	597.980000	523.440000
14	598.060000	523.340000
14	597.990000	523.350000
14	598.080000	523.340000
14	598.000000	523.370000
14	598.050000	523.490000
14	597.910000	523.500000
14	598.080000	523.420000
14	598.010000	523.570000
14	597.930000	523.440000
15	598.060000	523.520000
15	598.000000	523.380000
15	598.110000	523.410000
15	598.070000	523.540000
15	598.090000	523.430000
15	598.090000	523.500000
15	598.060000	523.560000
15	598.090000	523.430000
15	598.160000	523.490000
15	598.090000	523.450000
15	597.950000	523.410000
15	598.060000	523.410000
16	597.950000	523.320000
16	598.080000	523.430000
16	598.080000	523.330000
16	598.050000	523.440000
16	598.000000	523.410000
16	598.100000	523.500000
16	598.080000	523.390000
16	598.040000	523.440000
16	597.970000	523.490000
16	598.140000	523.400000
16	598.010000	523.460000
16	598.140000	523.370000
17	598.160000	523.370000
17	598.110000	523.440000
17	598.080000	523.340000
17	597.940000	523.570000
17	598.100000	523.390000
17	598.020000	523.410000
17	598.210000	523.500000
17	598.140000	523.410000
17	597.990000	523.490000
17	598.040000	523.560000
17	598.060000	523.330000
18	598.170000	523.380000
18	597.920000	523.340000
18	598.210000	523.500000
18	597.940000	523.360000
18	598.060000	523.390000
18	598.080000	523.620000
18	597.940000	523.400000
18	598.040000	523.380000
18	598.050000	523.440000
18	598.020000	523.430000
18	598.120000	523.450000
18	597.930000	523.630000
19	597.980000	523.450000
19	598.090000	523.460000
19	597.990000	523.340000
19	598.060000	523.390000
19	598.110000	523.490000
19	598.090000	523.440000
19	598.200000	523.510000
19	598.120000	523.580000
19	598.160000	523.450000
19	598.100000	523.320000
19	597.990000	523.340000
19	597.960000	523.450000
20	598.090000	523.420000
20	598.110000	523.310000
20	598.000000	523.430000
20	598.210000	523.510000
20	598.150000	523.590000
20	598.180000	523.520000
20	598.110000	523.490000
20	598.180000	523.390000
20	598.010000	523.370000
20	598.110000	523.470000
20	598.010000	523.460000
21	597.980000	523.400000
21	598.130000	523.380000
21	598.140000	523.440000
21	597.980000	523.340000
21	597.950000	523.470000
21	598.010000	523.390000
21	597.920000	523.430000
21	598.190000	523.410000
21	598.040000	523.390000
21	598.030000	523.410000
21	597.990000	523.480000
21	598.180000	523.440000
22	598.080000	523.440000
22	597.910000	523.450000
22	598.080000	523.430000
22	598.010000	523.400000
22	598.200000	523.550000
22	598.140000	523.410000
22	598.010000	523.560000
22	597.950000	523.410000
22	597.910000	523.490000
22	598.160000	523.490000
22	598.130000	523.410000
23	598.070000	523.440000
23	598.220000	523.490000
23	597.990000	523.380000
23	598.090000	523.520000
23	598.000000	523.390000
23	598.150000	523.520000
23	597.950000	523.490000
23	598.000000	523.550000
23	598.000000	523.490000
23	598.030000	523.430000
23	597.950000	523.450000
24	598.170000	523.490000
24	598.010000	523.380000
24	597.990000	523.500000
24	597.920000	523.460000
24	598.050000	523.460000
24	598.060000	523.440000
24	597.910000	523.500000
24	598.110000	523.400000
24	598.050000	523.440000
24	598.180000	523.460000
24	598.040000	523.370000
24	598.130000	523.340000
25	598.120000	523.430000
25	598.160000	523.380000
25	598.160000	523.400000
25	598.140000	523.530000
25	598.090000	523.460000
25	597.940000	523.380000
25	598.130000	523.450000
25	598.060000	523.410000
25	597.930000	523.380000
25	598.090000	523.350000
25	597.910000	523.420000
25	597.990000	523.340000
26	598.020000	523.450000
26	598.090000	523.510000
26	598.140000	523.420000
26	598.040000	523.510000
26	598.020000	523.510000
26	598.050000	523.360000
26	598.040000	523.380000
26	598.160000	523.480000
26	597.940000	523.390000
26	598.030000	523.590000
26	598.010000	523.490000
26	597.980000	523.440000
27	598.000000	523.450000
27	598.110000	523.500000
27	598.140000	523.370000
27	597.860000	523.510000
27	597.990000	523.360000
27	598.130000	523.430000
27	598.130000	523.440000
27	598.040000	523.530000
27	598.100000	523.360000
27	598.030000	523.390000
27	597.980000	523.480000
27	598.060000	523.430000
28	598.070000	523.540000
28	598.020000	523.570000
28	598.030000	523.350000
28	598.000000	523.510000
28	598.090000	523.500000
28	598.090000	523.440000
28	598.080000	523.460000
28	598.080000	523.490000
28	598.110000	523.530000
28	598.020000	523.440000
28	598.080000	523.490000
29	598.000000	523.510000
29	598.010000	523.510000
29	598.090000	523.480000
29	598.020000	523.430000
29	598.110000	523.460000
29	598.050000	523.570000
29	598.180000	523.450000
29	597.990000	523.440000
29	597.990000	523.430000
29	597.880000	523.520000
29	598.120000	523.410000
29	597.870000	523.560000
30	598.030000	523.530000
30	598.140000	523.490000
30	598.070000	523.490000
30	598.140000	523.520000
30	597.900000	523.350000
30	597.950000	523.480000
30	598.000000	523.460000
30	597.990000	523.540000
30	597.870000	523.510000
30	598.150000	523.470000
30	598.020000	523.430000
30	598.000000	523.410000
31	597.960000	523.460000
31	598.160000	523.480000
31	598.010000	523.370000
31	598.190000	523.320000
31	598.050000	523.430000
31	598.110000	523.480000
31	598.190000	523.510000
31	598.000000	523.340000
31	598.080000	523.550000
31	598.090000	523.540000
31	598.100000	523.430000
32	598.150000	523.370000
32	598.120000	523.340000
32	598.030000	523.410000
32	597.960000	523.330000
32	597.910000	523.420000
32	598.070000	523.420000
32	598.060000	523.550000
32	598.080000	523.420000
32	598.030000	523.440000
32	598.020000	523.550000
32	598.080000	523.510000
32	598.060000	523.520000
33	598.040000	523.440000
33	598.060000	523.500000
33	598.170000	523.350000
33	598.050000	523.380000
33	598.200000	523.430000
33	598.080000	523.310000
33	598.030000	523.480000
33	598.230000	523.410000
33	598.110000	523.430000
33	598.070000	523.550000
33	598.080000	523.440000
33	598.080000	523.340000
34	598.170000	523.390000
34	598.000000	523.420000
34	598.110000	523.420000
34	598.070000	523.470000
34	597.860000	523.400000
34	598.100000	523.570000
34	597.900000	523.420000
34	598.060000	523.410000
34	598.040000	523.540000
34	598.040000	523.540000
34	597.880000	523.460000
35	598.010000	523.550000
35	598.170000	523.420000
35	598.040000	523.510000
