x	y
1	0.0040375
2	0.0040375
3	0.0040361
4	0.0040356
5	0.0040351
6	0.0040343
7	0.0040337
8	0.0040336
9	0.0040333
10	0.0040330
11	0.0040337
12	0.0040335
13	0.0040335
14	0.0040340
15	0.0040335
16	0.0040334
17	0.0040333
18	0.0040333
19	0.0040333
20	0.0040330
21	0.0040336
22	0.0040335
23	0.0040329
24	0.0040328
25	0.0040334
26	0.0040330
27	0.0040333
28	0.0040335
29	0.0040325
30	0.0040330
31	0.0040330
32	0.0040327
33	0.0040323
34	0.0040318
35	0.0040319
36	0.0040320
37	0.0040325
38	0.0040327
39	0.0040331
40	0.0040322
41	0.0040323
42	0.0040321
43	0.0040323
44	0.0040326
45	0.0040329
46	0.0040324
47	0.0040327
48	0.0040327
49	0.0040323
50	0.0040321
51	0.0040320
52	0.0040320
53	0.0040317
54	0.0040316
55	0.0040323
56	0.0040329
57	0.0040337
58	0.0040335
59	0.0040330
60	0.0040328
61	0.0040316
62	0.0040310
63	0.0040312
64	0.0040312
65	0.0040308
66	0.0040309
67	0.0040313
68	0.0040312
69	0.0040314
70	0.0040320
71	0.0040325
72	0.0040320
73	0.0040315
74	0.0040316
75	0.0040317
76	0.0040318
77	0.0040324
78	0.0040328
79	0.0040330
80	0.0040327
81	0.0040325
82	0.0040307
83	0.0040315
84	0.0040318
85	0.0040312
86	0.0040310
87	0.0040317
88	0.0040325
89	0.0040333
90	0.0040326
91	0.0040323
92	0.0040324
93	0.0040322
94	0.0040324
95	0.0040320
96	0.0040322
97	0.0040311
98	0.0040307
99	0.0040308
100	0.0040309
101	0.0040310
102	0.0040309
103	0.0040313
104	0.0040317
105	0.0040319
106	0.0040324
107	0.0040322
108	0.0040322
109	0.0040330
110	0.0040322
111	0.0040318
112	0.0040318
113	0.0040317
114	0.0040319
115	0.0040319
116	0.0040318
117	0.0040316
118	0.0040312
119	0.0040309
120	0.0040308
121	0.0040306
122	0.0040307
123	0.0040310
124	0.0040312
125	0.0040315
126	0.0040315
127	0.0040313
128	0.0040313
129	0.0040308
130	0.0040310
131	0.0040310
132	0.0040317
133	0.0040316
134	0.0040315
135	0.0040317
136	0.0040318
137	0.0040317
138	0.0040319
139	0.0040325
140	0.0040326
141	0.0040310
142	0.0040300
143	0.0040311
144	0.0040323
145	0.0040318
146	0.0040312
147	0.0040307
148	0.0040306
149	0.0040313
150	0.0040315
151	0.0040307
152	0.0040304
153	0.0040308
154	0.0040316
155	0.0040316
156	0.0040321
157	0.0040318
158	0.0040317
159	0.0040317
160	0.0040317
161	0.0040309
162	0.0040309
163	0.0040305
164	0.0040303
165	0.0040300
166	0.0040297
167	0.0040290
168	0.0040292
169	0.0040289
170	0.0040292
171	0.0040298
172	0.0040295
173	0.0040296
174	0.0040305
175	0.0040314
176	0.0040299
177	0.0040294
178	0.0040292
179	0.0040306
180	0.0040315
181	0.0040315
182	0.0040315
183	0.0040310
184	0.0040302
185	0.0040303
186	0.0040307
187	0.0040307
188	0.0040312
189	0.0040317
190	0.0040318
191	0.0040319
192	0.0040318
193	0.0040316
194	0.0040316
195	0.0040317
196	0.0040315
197	0.0040300
198	0.0040300
199	0.0040296
200	0.0040301
201	0.0040305
202	0.0040304
203	0.0040309
204	0.0040313
205	0.0040313
206	0.0040293
207	0.0040290
208	0.0040295
209	0.0040307
210	0.0040314
211	0.0040310
212	0.0040310
213	0.0040323
214	0.0040316
215	0.0040306
216	0.0040305
217	0.0040293
218	0.0040296
219	0.0040296
220	0.0040295
221	0.0040297
222	0.0040302
223	0.0040300
224	0.0040300
225	0.0040303
226	0.0040319
227	0.0040313
228	0.0040305
229	0.0040303
230	0.0040303
231	0.0040300
232	0.0040300
233	0.0040304
234	0.0040310
235	0.0040309
236	0.0040298
237	0.0040297
238	0.0040297
239	0.0040298
240	0.0040295
241	0.0040298
242	0.0040297
243	0.0040301
244	0.0040305
245	0.0040309
246	0.0040301
247	0.0040304
248	0.0040303
249	0.0040304
250	0.0040308
251	0.0040311
252	0.0040310
253	0.0040303
254	0.0040303
255	0.0040305
256	0.0040307
257	0.0040300
258	0.0040301
259	0.0040300
260	0.0040291
261	0.0040294
262	0.0040293
263	0.0040304
264	0.0040300
265	0.0040294
266	0.0040308
267	0.0040296
268	0.0040295
269	0.0040296
270	0.0040304
271	0.0040298
272	0.0040290
273	0.0040291
274	0.0040294
275	0.0040294
276	0.0040293
277	0.0040291
278	0.0040288
279	0.0040290
280	0.0040294
281	0.0040297
282	0.0040293
283	0.0040290
284	0.0040289
285	0.0040290
286	0.0040290
287	0.0040288
288	0.0040286
289	0.0040284
290	0.0040285
291	0.0040283
292	0.0040294
293	0.0040299
294	0.0040287
295	0.0040287
296	0.0040283
297	0.0040286
298	0.0040290
299	0.0040293
300	0.0040303
301	0.0040301
302	0.0040293
303	0.0040285
304	0.0040286
305	0.0040293
306	0.0040290
307	0.0040289
308	0.0040289
309	0.0040290
310	0.0040291
311	0.0040292
312	0.0040286
313	0.0040287
314	0.0040290
315	0.0040291
316	0.0040289
317	0.0040285
318	0.0040284
319	0.0040287
320	0.0040291
321	0.0040293
322	0.0040279
323	0.0040280
324	0.0040279
325	0.0040289
326	0.0040297
327	0.0040296
328	0.0040287
329	0.0040287
330	0.0040288
331	0.0040286
332	0.0040291
333	0.0040291
334	0.0040289
335	0.0040293
336	0.0040291
337	0.0040293
338	0.0040297
339	0.0040286
340	0.0040289
341	0.0040291
342	0.0040286
343	0.0040289
344	0.0040292
345	0.0040293
346	0.0040285
347	0.0040282
348	0.0040286
349	0.0040284
350	0.0040288
351	0.0040289
352	0.0040291
353	0.0040298
354	0.0040299
355	0.0040292
356	0.0040284
357	0.0040281
358	0.0040272
359	0.0040273
360	0.0040275
361	0.0040274
362	0.0040270
363	0.0040272
364	0.0040279
365	0.0040281
366	0.0040278
367	0.0040275
368	0.0040274
369	0.0040273
370	0.0040276
371	0.0040277
372	0.0040276
373	0.0040268
374	0.0040270
375	0.0040271
376	0.0040273
377	0.0040281
378	0.0040287
379	0.0040289
380	0.0040281
381	0.0040275
382	0.0040271
383	0.0040262
384	0.0040269
385	0.0040274
386	0.0040275
387	0.0040272
388	0.0040270
389	0.0040267
390	0.0040274
391	0.0040288
392	0.0040288
393	0.0040285
394	0.0040279
395	0.0040280
396	0.0040278
397	0.0040285
398	0.0040285
399	0.0040285
400	0.0040286
401	0.0040284
402	0.0040282
403	0.0040280
404	0.0040283
405	0.0040281
406	0.0040283
407	0.0040281
408	0.0040276
409	0.0040274
410	0.0040283
411	0.0040284
412	0.0040278
413	0.0040277
414	0.0040276
415	0.0040275
416	0.0040277
417	0.0040276
418	0.0040276
419	0.0040276
420	0.0040284
421	0.0040288
422	0.0040284
423	0.0040279
424	0.0040279
425	0.0040277
426	0.0040274
427	0.0040279
428	0.0040282
429	0.0040287
430	0.0040287
431	0.0040273
432	0.0040261
433	0.0040266
434	0.0040270
435	0.0040266
436	0.0040270
437	0.0040272
438	0.0040251
439	0.0040254
440	0.0040262
441	0.0040263
442	0.0040259
443	0.0040256
444	0.0040260
445	0.0040267
446	0.0040263
447	0.0040279
448	0.0040279
449	0.0040268
450	0.0040269
451	0.0040277
452	0.0040257
453	0.0040260
454	0.0040267
455	0.0040281
456	0.0040282
457	0.0040275
458	0.0040278
459	0.0040282
460	0.0040281
461	0.0040277
462	0.0040278
463	0.0040279
464	0.0040280
465	0.0040288
466	0.0040286
467	0.0040279
468	0.0040272
469	0.0040266
470	0.0040268
471	0.0040270
472	0.0040277
473	0.0040275
474	0.0040272
475	0.0040272
476	0.0040264
477	0.0040266
478	0.0040254
479	0.0040251
480	0.0040249
481	0.0040249
482	0.0040249
483	0.0040252
484	0.0040256
485	0.0040261
486	0.0040261
487	0.0040261
488	0.0040253
489	0.0040256
490	0.0040257
491	0.0040253
492	0.0040266
493	0.0040264
494	0.0040264
495	0.0040263
496	0.0040275
497	0.0040273
498	0.0040267
499	0.0040267
500	0.0040270
501	0.0040266
502	0.0040265
503	0.0040265
504	0.0040271
505	0.0040265
506	0.0040261
507	0.0040262
508	0.0040258
509	0.0040259
510	0.0040258
511	0.0040264
512	0.0040260
513	0.0040251
514	0.0040252
515	0.0040251
516	0.0040249
517	0.0040247
518	0.0040248
519	0.0040255
520	0.0040261
521	0.0040263
522	0.0040260
523	0.0040262
524	0.0040270
525	0.0040272
526	0.0040275
527	0.0040274
528	0.0040275
529	0.0040273
530	0.0040270
531	0.0040268
532	0.0040264
533	0.0040255
534	0.0040254
535	0.0040250
536	0.0040247
537	0.0040248
538	0.0040252
539	0.0040254
540	0.0040261
541	0.0040262
542	0.0040263
543	0.0040267
544	0.0040270
545	0.0040270
546	0.0040273
547	0.0040270
548	0.0040262
549	0.0040262
550	0.0040258
551	0.0040254
552	0.0040253
553	0.0040242
554	0.0040243
555	0.0040245
556	0.0040263
557	0.0040259
558	0.0040259
559	0.0040255
560	0.0040258
561	0.0040256
562	0.0040261
563	0.0040259
564	0.0040270
565	0.0040267
566	0.0040270
567	0.0040270
568	0.0040268
569	0.0040273
570	0.0040273
571	0.0040256
572	0.0040257
573	0.0040258
574	0.0040258
575	0.0040249
576	0.0040251
577	0.0040253
578	0.0040250
579	0.0040251
580	0.0040257
581	0.0040261
582	0.0040260
583	0.0040254
584	0.0040252
585	0.0040255
586	0.0040268
587	0.0040262
588	0.0040263
589	0.0040270
590	0.0040270
591	0.0040268
592	0.0040248
593	0.0040250
594	0.0040258
595	0.0040264
596	0.0040262
597	0.0040256
598	0.0040252
599	0.0040252
600	0.0040254
601	0.0040263
602	0.0040268
603	0.0040272
604	0.0040267
605	0.0040270
606	0.0040270
607	0.0040265
608	0.0040261
609	0.0040254
610	0.0040243
611	0.0040242
612	0.0040231
613	0.0040233
614	0.0040240
615	0.0040245
616	0.0040244
617	0.0040246
618	0.0040256
619	0.0040261
620	0.0040262
621	0.0040270
622	0.0040266
623	0.0040262
624	0.0040263
625	0.0040262
626	0.0040258
627	0.0040269
628	0.0040267
629	0.0040259
630	0.0040264
631	0.0040262
632	0.0040260
633	0.0040259
634	0.0040255
635	0.0040248
636	0.0040258
637	0.0040248
638	0.0040250
639	0.0040251
640	0.0040255
641	0.0040254
642	0.0040251
643	0.0040248
644	0.0040252
645	0.0040252
646	0.0040252
647	0.0040251
648	0.0040248
649	0.0040248
650	0.0040256
