x	y
1	32899.0600714
2	32899.0600714
3	32899.0818750
4	32899.8450000
5	32899.9612857
6	32899.6923750
7	32900.5084904
8	32899.8325049
9	32899.9182600
10	32900.2206923
11	32900.1032885
12	32900.3167500
13	32900.4092500
14	32899.9322143
15	32899.9721875
16	32899.9856076
17	32900.1737308
18	32900.5311603
19	32900.8885897
20	32901.0650061
21	32901.2414225
22	32901.6671408
23	32901.3276429
24	32900.7462143
25	32900.7268333
26	32900.7607500
27	32901.0660000
28	32901.4886538
29	32902.0253571
30	32902.2259500
31	32902.1343750
32	32901.8800000
33	32901.9381429
34	32901.9207000
35	32901.3712500
36	32901.5290385
37	32901.3532941
38	32902.2165577
39	32902.7722692
40	32902.1906053
41	32902.2870000
42	32902.3265420
43	32902.8364500
44	32903.1902269
45	32903.0440200
46	32902.3439800
47	32902.3742143
48	32902.2604565
49	32901.8239848
50	32902.0987449
51	32902.3735051
52	32903.0928350
53	32903.0719286
54	32903.2027500
55	32903.6606250
56	32904.4041827
57	32904.0022143
58	32903.8671176
59	32903.8671176
60	32903.8743000
61	32904.0075000
62	32904.0022143
63	32903.8242521
64	32903.7364131
65	32903.6987813
66	32904.1185000
67	32904.1863333
68	32903.6606250
69	32903.5687537
70	32903.4745196
71	32903.6987813
72	32904.3855937
73	32904.3146665
74	32904.3845239
75	32904.3220000
76	32904.6018125
77	32904.6457500
78	32904.6386346
79	32904.6315192
80	32904.7325577
81	32904.7290000
82	32905.1105625
83	32906.2024183
84	32905.3776562
85	32905.9969615
86	32905.5843751
87	32905.3685714
88	32904.9108828
89	32904.8671648
90	32905.0342500
91	32905.9500000
92	32906.3909167
93	32906.3746106
94	32905.9010817
95	32905.6451375
96	32906.4427086
97	32906.5605000
98	32906.3909167
99	32905.7210625
100	32905.7002500
101	32906.1997500
102	32906.4078750
103	32906.2552500
104	32906.5979423
105	32907.3556731
106	32906.2685217
107	32906.2950652
108	32906.2243194
109	32905.7454398
110	32906.0439231
111	32906.6499505
112	32906.6558493
113	32906.6877783
114	32907.5198571
115	32907.5586190
116	32907.5973810
117	32907.8832500
118	32908.1206667
119	32907.5956957
120	32906.7436500
121	32906.9127115
122	32907.1710000
123	32907.2388333
124	32906.6113750
125	32906.5605000
126	32906.2787308
127	32907.0273529
128	32906.6960451
129	32906.6056817
130	32906.5314286
131	32906.4977119
132	32906.5017981
133	32906.5017981
134	32906.9948942
135	32906.5859375
136	32906.7013846
137	32906.7686538
138	32907.0098077
139	32907.1710000
140	32907.2146071
141	32907.2179615
142	32908.5373571
143	32908.0867500
144	32907.7960357
145	32908.0189167
146	32908.1406176
147	32908.1650237
148	32908.3332981
149	32907.4152000
150	32907.2524000
151	32907.1981333
152	32907.5426087
153	32907.5662029
154	32907.5897971
155	32907.7466705
156	32907.6797500
157	32907.5320324
158	32907.5983500
159	32907.6727706
160	32907.6382831
161	32907.9850000
162	32907.8881154
163	32907.7378929
164	32907.5792391
165	32908.4683125
166	32908.4544829
167	32908.4806610
168	32908.3106000
169	32908.0664000
170	32908.2061957
171	32908.2466429
172	32908.6463750
173	32908.8837917
174	32908.8329167
175	32909.1300577
176	32909.0025000
177	32909.0025000
178	32909.4909000
179	32909.5020000
180	32908.1339911
181	32908.2175714
182	32908.3047857
183	32908.6972500
184	32908.5955000
185	32908.6362000
186	32908.6695000
187	32908.5505714
188	32908.5297651
189	32908.8110050
