x	y
1	0.0341963
2	0.0341963
3	0.0341959
4	0.0341956
5	0.0341945
6	0.0341946
7	0.0341945
8	0.0341946
9	0.0341947
10	0.0341946
11	0.0341942
12	0.0341943
13	0.0341941
14	0.0341937
15	0.0341939
16	0.0341943
17	0.0341941
18	0.0341928
19	0.0341937
20	0.0341938
21	0.0341935
22	0.0341935
23	0.0341937
24	0.0341935
25	0.0341932
26	0.0341932
27	0.0341924
28	0.0341925
29	0.0341939
30	0.0341939
31	0.0341938
32	0.0341937
33	0.0341929
34	0.0341930
35	0.0341930
36	0.0341930
37	0.0341930
38	0.0341933
39	0.0341935
40	0.0341936
41	0.0341937
42	0.0341935
43	0.0341942
44	0.0341941
45	0.0341938
46	0.0341934
47	0.0341926
48	0.0341924
49	0.0341924
50	0.0341924
51	0.0341928
52	0.0341931
53	0.0341929
54	0.0341921
55	0.0341922
56	0.0341920
57	0.0341919
58	0.0341920
59	0.0341928
60	0.0341926
61	0.0341927
62	0.0341924
63	0.0341924
64	0.0341925
65	0.0341924
66	0.0341921
67	0.0341926
68	0.0341925
69	0.0341919
70	0.0341915
71	0.0341912
72	0.0341912
73	0.0341920
74	0.0341919
75	0.0341914
76	0.0341914
77	0.0341913
78	0.0341911
79	0.0341915
80	0.0341922
81	0.0341917
82	0.0341915
83	0.0341914
84	0.0341912
85	0.0341917
86	0.0341918
87	0.0341918
88	0.0341920
89	0.0341923
90	0.0341922
91	0.0341924
92	0.0341924
93	0.0341922
94	0.0341919
95	0.0341919
96	0.0341915
97	0.0341914
98	0.0341917
99	0.0341915
100	0.0341910
101	0.0341915
102	0.0341913
103	0.0341909
104	0.0341913
105	0.0341917
106	0.0341922
107	0.0341922
108	0.0341922
109	0.0341924
110	0.0341923
111	0.0341923
112	0.0341917
113	0.0341914
114	0.0341916
115	0.0341916
116	0.0341916
117	0.0341917
118	0.0341918
119	0.0341920
120	0.0341921
121	0.0341916
122	0.0341915
123	0.0341913
124	0.0341912
125	0.0341910
126	0.0341906
127	0.0341914
128	0.0341912
129	0.0341901
130	0.0341901
131	0.0341905
132	0.0341911
133	0.0341911
134	0.0341907
135	0.0341903
136	0.0341900
137	0.0341895
138	0.0341897
139	0.0341900
140	0.0341902
141	0.0341902
142	0.0341911
143	0.0341911
144	0.0341909
145	0.0341907
146	0.0341904
147	0.0341912
148	0.0341912
149	0.0341906
150	0.0341908
151	0.0341912
152	0.0341909
153	0.0341911
154	0.0341912
155	0.0341911
156	0.0341905
157	0.0341906
158	0.0341907
159	0.0341906
160	0.0341902
161	0.0341899
162	0.0341903
163	0.0341903
164	0.0341897
165	0.0341897
166	0.0341908
167	0.0341907
168	0.0341906
169	0.0341905
170	0.0341901
171	0.0341892
172	0.0341893
173	0.0341894
174	0.0341893
175	0.0341895
176	0.0341897
177	0.0341900
178	0.0341901
179	0.0341897
180	0.0341889
181	0.0341889
182	0.0341895
183	0.0341894
184	0.0341894
185	0.0341894
186	0.0341894
187	0.0341898
188	0.0341897
189	0.0341894
190	0.0341879
191	0.0341880
192	0.0341894
193	0.0341898
194	0.0341895
195	0.0341892
196	0.0341902
197	0.0341902
198	0.0341902
199	0.0341890
200	0.0341884
201	0.0341883
202	0.0341883
203	0.0341885
204	0.0341888
205	0.0341888
206	0.0341886
207	0.0341884
208	0.0341881
209	0.0341875
210	0.0341876
211	0.0341876
212	0.0341878
213	0.0341878
214	0.0341878
215	0.0341876
216	0.0341877
217	0.0341886
218	0.0341887
219	0.0341871
220	0.0341867
