x	y
1	3.7623022
2	3.7623022
3	3.7623818
4	3.7623818
5	3.7623813
6	3.7623060
7	3.7623072
8	3.7623307
9	3.7623100
10	3.7621688
11	3.7622490
12	3.7624941
13	3.7623874
14	3.7624031
15	3.7624016
16	3.7623340
17	3.7622664
18	3.7622266
19	3.7622266
20	3.7622241
21	3.7622342
22	3.7622978
23	3.7623196
24	3.7623113
25	3.7623170
26	3.7623684
27	3.7623565
28	3.7623051
29	3.7622455
30	3.7621858
31	3.7621910
32	3.7621844
33	3.7620988
34	3.7621185
35	3.7621605
36	3.7621147
37	3.7620560
38	3.7621558
39	3.7621539
40	3.7621452
41	3.7621522
42	3.7622502
43	3.7622659
44	3.7622673
45	3.7622499
46	3.7622237
47	3.7622063
48	3.7622078
49	3.7621979
50	3.7621956
51	3.7621762
52	3.7621511
53	3.7621859
54	3.7621782
55	3.7621398
56	3.7621603
57	3.7621147
58	3.7620231
59	3.7620435
60	3.7620638
61	3.7620372
62	3.7619926
63	3.7618455
64	3.7618400
65	3.7618450
66	3.7618214
67	3.7618225
68	3.7619286
69	3.7621466
70	3.7621818
71	3.7621452
72	3.7620597
73	3.7620638
74	3.7620466
75	3.7620466
76	3.7620466
77	3.7619417
78	3.7619533
79	3.7619743
80	3.7619514
81	3.7619708
82	3.7619597
83	3.7620072
84	3.7620027
85	3.7618003
86	3.7618332
87	3.7618870
88	3.7619151
89	3.7618806
90	3.7618705
91	3.7618055
92	3.7618345
93	3.7618320
94	3.7618605
95	3.7618677
96	3.7618857
97	3.7618647
98	3.7618827
99	3.7618705
100	3.7617374
101	3.7617040
102	3.7616942
103	3.7616897
104	3.7616341
105	3.7616500
106	3.7616742
107	3.7617521
108	3.7619151
109	3.7619285
110	3.7619163
111	3.7618487
112	3.7618399
113	3.7618254
114	3.7617887
115	3.7617603
116	3.7617484
117	3.7617484
118	3.7617355
119	3.7617301
120	3.7617876
121	3.7618476
122	3.7618399
123	3.7617272
124	3.7617035
125	3.7617179
126	3.7616873
127	3.7616738
128	3.7616648
129	3.7616497
130	3.7616195
131	3.7616196
132	3.7616415
133	3.7616186
134	3.7615076
135	3.7614767
136	3.7614889
137	3.7615789
138	3.7615805
139	3.7615739
140	3.7615695
141	3.7616402
142	3.7616644
143	3.7616339
144	3.7616263
145	3.7615042
146	3.7615347
147	3.7615500
148	3.7615500
149	3.7615441
150	3.7615678
151	3.7615588
152	3.7615275
153	3.7615375
154	3.7615347
155	3.7615472
156	3.7615324
157	3.7615068
158	3.7615042
159	3.7615373
160	3.7616263
161	3.7615076
162	3.7614985
163	3.7614895
164	3.7613840
165	3.7614187
166	3.7613947
167	3.7613987
168	3.7615083
169	3.7615286
170	3.7615081
171	3.7614737
172	3.7613891
173	3.7614058
174	3.7615155
175	3.7615069
176	3.7614955
177	3.7614798
178	3.7614737
179	3.7613046
180	3.7613058
181	3.7613210
182	3.7613727
183	3.7614264
184	3.7613907
185	3.7614103
186	3.7614126
187	3.7614090
188	3.7613079
189	3.7613057
190	3.7613035
191	3.7612936
192	3.7612203
193	3.7612033
194	3.7612176
195	3.7612220
196	3.7612172
197	3.7612478
198	3.7612457
199	3.7613086
200	3.7612783
201	3.7612220
202	3.7612378
203	3.7612413
204	3.7612159
205	3.7610791
206	3.7611311
207	3.7612781
208	3.7612803
209	3.7613341
210	3.7613644
211	3.7613201
212	3.7612710
213	3.7612981
214	3.7613821
215	3.7613614
216	3.7613603
217	3.7613516
218	3.7613399
219	3.7613068
220	3.7612756
221	3.7612722
222	3.7612783
223	3.7612489
224	3.7612478
225	3.7611623
226	3.7611460
227	3.7611508
228	3.7611498
229	3.7611308
230	3.7611219
231	3.7610910
232	3.7610514
233	3.7610734
234	3.7610477
235	3.7610158
236	3.7610219
237	3.7610768
238	3.7610602
239	3.7610625
240	3.7610725
241	3.7610951
242	3.7610158
243	3.7610616
244	3.7610772
245	3.7610557
246	3.7607020
247	3.7607149
248	3.7608632
249	3.7610463
250	3.7610406
251	3.7610962
252	3.7611206
253	3.7611240
254	3.7611132
255	3.7611735
256	3.7611837
257	3.7611616
258	3.7611226
259	3.7610091
260	3.7610585
261	3.7609940
262	3.7609465
263	3.7610383
264	3.7611094
265	3.7610666
266	3.7611379
267	3.7611493
268	3.7611525
269	3.7611257
270	3.7611074
271	3.7611165
272	3.7611262
273	3.7611204
274	3.7611146
275	3.7610343
276	3.7610186
277	3.7610028
278	3.7610078
279	3.7610201
280	3.7610337
281	3.7610017
282	3.7609852
283	3.7610027
284	3.7610385
285	3.7608493
286	3.7608548
287	3.7608472
288	3.7608435
289	3.7608428
290	3.7608578
291	3.7608937
292	3.7609412
293	3.7609388
294	3.7609283
295	3.7609197
296	3.7609236
297	3.7609148
298	3.7608678
299	3.7608659
300	3.7608742
301	3.7608719
302	3.7607609
303	3.7607612
304	3.7607616
305	3.7607858
306	3.7608636
307	3.7608658
308	3.7608605
309	3.7608593
310	3.7608476
311	3.7608123
312	3.7607491
313	3.7607580
314	3.7607907
315	3.7607810
316	3.7608303
317	3.7608303
318	3.7608303
319	3.7608303
320	3.7608655
321	3.7608733
322	3.7608602
323	3.7608379
324	3.7607225
325	3.7607240
326	3.7607268
327	3.7606798
328	3.7607598
329	3.7607489
330	3.7605681
331	3.7605957
332	3.7606002
333	3.7606072
334	3.7606451
335	3.7606480
336	3.7606506
337	3.7606531
338	3.7606495
339	3.7606651
340	3.7606949
341	3.7606898
342	3.7607279
343	3.7607207
344	3.7606970
345	3.7607013
346	3.7606887
347	3.7606800
348	3.7606612
349	3.7606597
350	3.7606747
351	3.7606739
352	3.7606407
353	3.7606074
354	3.7606342
355	3.7606144
356	3.7606177
357	3.7606146
358	3.7605623
359	3.7605091
360	3.7604969
361	3.7604937
362	3.7604927
363	3.7605367
364	3.7606248
365	3.7606186
366	3.7605579
367	3.7604969
368	3.7605015
369	3.7604663
370	3.7604799
371	3.7604740
372	3.7604736
373	3.7605091
374	3.7605076
375	3.7604969
376	3.7604816
377	3.7604969
378	3.7604915
379	3.7605009
380	3.7605303
381	3.7605396
382	3.7605812
383	3.7606393
384	3.7605368
385	3.7604969
386	3.7605031
387	3.7605579
388	3.7605861
389	3.7605626
390	3.7605213
391	3.7606070
392	3.7606087
393	3.7604724
394	3.7603870
395	3.7604096
396	3.7604283
397	3.7604145
398	3.7604225
399	3.7605347
400	3.7605019
401	3.7605066
402	3.7604724
403	3.7603971
404	3.7603218
405	3.7603161
406	3.7603323
407	3.7602860
408	3.7602817
409	3.7602875
410	3.7603195
411	3.7603788
412	3.7603849
413	3.7603603
414	3.7603607
415	3.7603870
416	3.7603976
417	3.7603602
418	3.7603239
419	3.7603057
420	3.7603143
421	3.7602730
422	3.7602527
423	3.7602552
424	3.7603247
425	3.7603223
426	3.7602984
427	3.7602657
