x	y
1	616.2657143
2	616.2657143
3	616.2787500
4	616.2787500
5	616.2786667
6	616.2663333
7	616.2665385
8	616.2703846
9	616.2670000
10	616.2438718
11	616.2570000
12	616.2971429
13	616.2796795
14	616.2822505
15	616.2820000
16	616.2709231
17	616.2598462
18	616.2533333
19	616.2533333
20	616.2529167
21	616.2545833
22	616.2650000
23	616.2685714
24	616.2672000
25	616.2681410
26	616.2765598
27	616.2746154
28	616.2661905
29	616.2564225
30	616.2466545
31	616.2475000
32	616.2464286
33	616.2323993
34	616.2356250
35	616.2425000
36	616.2350000
37	616.2253956
38	616.2417391
39	616.2414286
40	616.2400000
41	616.2411538
42	616.2572000
43	616.2597636
44	616.2600000
45	616.2571429
46	616.2528571
47	616.2500000
48	616.2502495
49	616.2486364
50	616.2482609
51	616.2450725
52	616.2409624
53	616.2466667
54	616.2454054
55	616.2391111
56	616.2424815
57	616.2350000
58	616.2200000
59	616.2233333
60	616.2266667
61	616.2223077
62	616.2150000
63	616.1909091
64	616.1900000
65	616.1908252
66	616.1869565
67	616.1871429
68	616.2045238
69	616.2402275
70	616.2460000
71	616.2400000
72	616.2260000
73	616.2266667
74	616.2238462
75	616.2238462
76	616.2238462
77	616.2066667
78	616.2085714
79	616.2119998
80	616.2082609
81	616.2114286
82	616.2096151
83	616.2173913
84	616.2166667
85	616.1835043
86	616.1888889
87	616.1977032
88	616.2023113
89	616.1966667
90	616.1950000
91	616.1843515
92	616.1891026
93	616.1886957
94	616.1933727
95	616.1945455
96	616.1975000
97	616.1940534
98	616.1970000
99	616.1950000
100	616.1732051
101	616.1677273
102	616.1661208
103	616.1653846
104	616.1562821
105	616.1588889
106	616.1628571
107	616.1756044
108	616.2023069
109	616.2045000
110	616.2025000
111	616.1914286
112	616.1900000
113	616.1876190
114	616.1816117
115	616.1769475
116	616.1750000
117	616.1750000
118	616.1728871
119	616.1720000
120	616.1814286
121	616.1912454
122	616.1900000
123	616.1715385
124	616.1676507
125	616.1700000
126	616.1650000
127	616.1627778
128	616.1613043
129	616.1588412
130	616.1538889
131	616.1539130
132	616.1575000
133	616.1537500
134	616.1355556
135	616.1304921
136	616.1325000
137	616.1472436
138	616.1475000
139	616.1464286
140	616.1457009
141	616.1572849
142	616.1612500
143	616.1562500
144	616.1550000
145	616.1350000
146	616.1400000
147	616.1425000
148	616.1425000
149	616.1415465
150	616.1454167
151	616.1439533
152	616.1388235
153	616.1404545
154	616.1400000
155	616.1420513
156	616.1396154
157	616.1354274
158	616.1350000
159	616.1404267
160	616.1550000
161	616.1355556
162	616.1340741
163	616.1325926
164	616.1153086
165	616.1210000
166	616.1170678
167	616.1177273
168	616.1356732
169	616.1390000
170	616.1356493
171	616.1300000
172	616.1161538
173	616.1188889
174	616.1368519
175	616.1354502
176	616.1335714
177	616.1310000
178	616.1300000
179	616.1023077
180	616.1025000
181	616.1050000
182	616.1134615
183	616.1222650
184	616.1164157
185	616.1196154
