x	y
1	0.0342582
2	0.0342582
3	0.0342589
4	0.0342589
5	0.0342589
6	0.0342582
7	0.0342583
8	0.0342585
9	0.0342583
10	0.0342570
11	0.0342577
12	0.0342600
13	0.0342590
14	0.0342591
15	0.0342591
16	0.0342585
17	0.0342579
18	0.0342575
19	0.0342575
20	0.0342575
21	0.0342576
22	0.0342582
23	0.0342584
24	0.0342583
25	0.0342583
26	0.0342588
27	0.0342587
28	0.0342582
29	0.0342577
30	0.0342572
31	0.0342572
32	0.0342571
33	0.0342564
34	0.0342565
35	0.0342569
36	0.0342565
37	0.0342560
38	0.0342569
39	0.0342569
40	0.0342568
41	0.0342568
42	0.0342577
43	0.0342579
44	0.0342579
45	0.0342577
46	0.0342575
47	0.0342573
48	0.0342574
49	0.0342573
50	0.0342572
51	0.0342571
52	0.0342568
53	0.0342572
54	0.0342571
55	0.0342567
56	0.0342569
57	0.0342565
58	0.0342557
59	0.0342559
60	0.0342560
61	0.0342558
62	0.0342554
63	0.0342541
64	0.0342540
65	0.0342540
66	0.0342538
67	0.0342538
68	0.0342548
69	0.0342568
70	0.0342571
71	0.0342568
72	0.0342560
73	0.0342560
74	0.0342559
75	0.0342559
76	0.0342559
77	0.0342549
78	0.0342550
79	0.0342552
80	0.0342550
81	0.0342552
82	0.0342551
83	0.0342555
84	0.0342555
85	0.0342536
86	0.0342539
87	0.0342544
88	0.0342547
89	0.0342544
90	0.0342543
91	0.0342537
92	0.0342540
93	0.0342539
94	0.0342542
95	0.0342543
96	0.0342544
97	0.0342542
98	0.0342544
99	0.0342543
100	0.0342531
101	0.0342528
102	0.0342527
103	0.0342526
104	0.0342521
105	0.0342523
106	0.0342525
107	0.0342532
108	0.0342547
109	0.0342548
110	0.0342547
111	0.0342541
112	0.0342540
113	0.0342539
114	0.0342535
115	0.0342533
116	0.0342532
117	0.0342532
118	0.0342531
119	0.0342530
120	0.0342535
121	0.0342541
122	0.0342540
123	0.0342530
124	0.0342528
125	0.0342529
126	0.0342526
127	0.0342525
128	0.0342524
129	0.0342523
130	0.0342520
131	0.0342520
132	0.0342522
133	0.0342520
134	0.0342510
135	0.0342507
136	0.0342508
137	0.0342516
138	0.0342516
139	0.0342516
140	0.0342515
141	0.0342522
142	0.0342524
143	0.0342521
144	0.0342521
145	0.0342509
146	0.0342512
147	0.0342514
148	0.0342514
149	0.0342513
150	0.0342515
151	0.0342514
152	0.0342512
153	0.0342512
154	0.0342512
155	0.0342513
156	0.0342512
157	0.0342510
158	0.0342509
159	0.0342512
160	0.0342521
161	0.0342510
162	0.0342509
163	0.0342508
164	0.0342499
165	0.0342502
166	0.0342499
167	0.0342500
168	0.0342510
169	0.0342512
170	0.0342510
171	0.0342507
172	0.0342499
173	0.0342500
174	0.0342510
175	0.0342510
176	0.0342509
177	0.0342507
178	0.0342507
179	0.0342491
180	0.0342491
181	0.0342493
182	0.0342497
183	0.0342502
184	0.0342499
185	0.0342501
186	0.0342501
187	0.0342501
188	0.0342492
189	0.0342491
190	0.0342491
191	0.0342490
192	0.0342484
193	0.0342482
194	0.0342483
195	0.0342484
196	0.0342483
197	0.0342486
198	0.0342486
199	0.0342492
200	0.0342489
201	0.0342484
202	0.0342485
203	0.0342486
204	0.0342483
205	0.0342471
206	0.0342475
207	0.0342489
208	0.0342489
209	0.0342494
210	0.0342497
211	0.0342493
212	0.0342488
213	0.0342491
214	0.0342498
215	0.0342496
216	0.0342496
217	0.0342496
218	0.0342494
219	0.0342491
220	0.0342489
221	0.0342488
222	0.0342489
223	0.0342486
224	0.0342486
225	0.0342478
226	0.0342477
227	0.0342477
228	0.0342477
229	0.0342475
230	0.0342475
231	0.0342472
232	0.0342468
233	0.0342470
234	0.0342468
235	0.0342465
236	0.0342466
237	0.0342471
238	0.0342469
239	0.0342469
240	0.0342470
241	0.0342472
242	0.0342465
243	0.0342469
244	0.0342471
245	0.0342469
246	0.0342436
247	0.0342438
248	0.0342451
249	0.0342468
250	0.0342467
251	0.0342472
252	0.0342475
253	0.0342475
254	0.0342474
255	0.0342479
256	0.0342480
257	0.0342478
258	0.0342475
259	0.0342464
260	0.0342469
261	0.0342463
262	0.0342459
263	0.0342467
264	0.0342473
265	0.0342470
266	0.0342476
267	0.0342477
268	0.0342477
269	0.0342475
270	0.0342473
271	0.0342474
272	0.0342475
273	0.0342475
274	0.0342474
275	0.0342467
276	0.0342465
277	0.0342464
278	0.0342464
279	0.0342465
280	0.0342467
281	0.0342464
282	0.0342462
283	0.0342464
284	0.0342467
285	0.0342450
286	0.0342450
287	0.0342450
288	0.0342449
289	0.0342449
290	0.0342451
291	0.0342454
292	0.0342458
293	0.0342458
294	0.0342457
295	0.0342456
296	0.0342457
297	0.0342456
298	0.0342452
299	0.0342451
300	0.0342452
301	0.0342452
302	0.0342442
303	0.0342442
304	0.0342442
305	0.0342444
306	0.0342451
307	0.0342451
308	0.0342451
309	0.0342451
310	0.0342450
311	0.0342446
312	0.0342441
313	0.0342442
314	0.0342444
315	0.0342444
316	0.0342448
317	0.0342448
318	0.0342448
319	0.0342448
320	0.0342451
321	0.0342452
322	0.0342451
323	0.0342449
324	0.0342438
325	0.0342438
326	0.0342439
327	0.0342434
328	0.0342442
329	0.0342441
330	0.0342424
331	0.0342427
332	0.0342427
333	0.0342428
334	0.0342431
335	0.0342431
336	0.0342432
337	0.0342432
338	0.0342432
339	0.0342433
340	0.0342436
341	0.0342435
342	0.0342439
343	0.0342438
344	0.0342436
345	0.0342436
346	0.0342435
347	0.0342434
348	0.0342433
349	0.0342433
350	0.0342434
351	0.0342434
352	0.0342431
353	0.0342428
354	0.0342430
355	0.0342428
356	0.0342429
357	0.0342428
358	0.0342424
359	0.0342419
360	0.0342418
361	0.0342417
362	0.0342417
363	0.0342421
364	0.0342429
365	0.0342429
366	0.0342423
367	0.0342418
368	0.0342418
369	0.0342415
370	0.0342416
371	0.0342416
372	0.0342416
373	0.0342419
374	0.0342419
375	0.0342418
376	0.0342416
377	0.0342418
378	0.0342417
379	0.0342418
380	0.0342421
381	0.0342422
382	0.0342425
383	0.0342431
384	0.0342421
385	0.0342418
386	0.0342418
387	0.0342423
388	0.0342426
389	0.0342424
390	0.0342420
391	0.0342428
392	0.0342428
393	0.0342415
394	0.0342408
395	0.0342410
396	0.0342411
397	0.0342410
398	0.0342411
399	0.0342421
400	0.0342418
401	0.0342419
402	0.0342415
403	0.0342409
404	0.0342402
405	0.0342401
406	0.0342403
407	0.0342399
408	0.0342398
409	0.0342399
410	0.0342402
411	0.0342407
412	0.0342408
413	0.0342405
414	0.0342405
415	0.0342408
416	0.0342409
417	0.0342405
418	0.0342402
419	0.0342400
420	0.0342401
421	0.0342397
422	0.0342395
423	0.0342396
424	0.0342402
425	0.0342402
426	0.0342400
427	0.0342397
428	0.0342400
429	0.0342401
430	0.0342409
431	0.0342406
432	0.0342393
433	0.0342396
434	0.0342397
435	0.0342400
436	0.0342406
437	0.0342407
438	0.0342411
439	0.0342413
440	0.0342415
441	0.0342412
442	0.0342409
443	0.0342400
444	0.0342398
445	0.0342396
446	0.0342388
447	0.0342393
448	0.0342396
449	0.0342395
450	0.0342394
451	0.0342394
452	0.0342393
453	0.0342385
454	0.0342387
455	0.0342387
456	0.0342388
457	0.0342399
458	0.0342400
459	0.0342403
460	0.0342405
461	0.0342404
462	0.0342403
463	0.0342401
464	0.0342404
465	0.0342404
466	0.0342394
467	0.0342384
468	0.0342387
469	0.0342391
470	0.0342390
471	0.0342387
472	0.0342387
473	0.0342387
474	0.0342388
475	0.0342387
476	0.0342391
477	0.0342391
478	0.0342384
479	0.0342385
480	0.0342392
481	0.0342393
482	0.0342394
483	0.0342393
484	0.0342373
485	0.0342372
486	0.0342374
487	0.0342384
488	0.0342384
489	0.0342382
490	0.0342380
491	0.0342377
492	0.0342379
493	0.0342381
494	0.0342384
495	0.0342384
496	0.0342382
497	0.0342383
498	0.0342384
499	0.0342373
500	0.0342373
501	0.0342383
502	0.0342380
503	0.0342380
504	0.0342376
505	0.0342381
506	0.0342380
507	0.0342367
508	0.0342371
509	0.0342369
510	0.0342355
511	0.0342357
512	0.0342358
513	0.0342358
514	0.0342357
515	0.0342358
516	0.0342359
