x	y
1	3677.2595357
2	3677.2595357
3	3678.0505208
4	3677.8254375
5	3678.0608500
6	3676.9115731
7	3677.0133231
8	3677.2037308
9	3677.1636000
10	3675.4972481
11	3674.8246545
12	3677.3713975
13	3676.7166827
14	3677.6948367
15	3677.5543200
16	3676.2419015
17	3675.5058577
18	3675.4135000
19	3675.5491667
20	3675.4435625
21	3675.6424375
22	3676.9736667
23	3677.1421319
24	3677.1147600
25	3677.3537942
26	3677.8616963
27	3677.7345088
28	3677.2116890
29	3675.9073416
30	3675.3255403
31	3675.3098448
32	3675.4244018
33	3675.3564753
34	3675.7569062
35	3676.1844519
36	3675.7030962
37	3674.8538185
38	3675.9016455
39	3675.9327427
40	3675.8968125
41	3675.8909423
42	3676.2600600
43	3677.0801519
44	3677.1636000
45	3677.1723214
46	3677.1577857
47	3677.7802359
48	3678.1251058
49	3678.2555625
50	3678.5294094
51	3678.2923614
52	3677.5835696
53	3677.4746780
54	3676.7817836
55	3676.3210443
56	3676.5626009
57	3676.2478500
58	3675.4900594
59	3676.0240000
60	3675.9972993
61	3675.7239679
62	3674.0722500
63	3672.7471875
64	3672.7680000
65	3673.0557977
66	3672.7653457
67	3672.6885381
68	3674.6749775
69	3676.9571798
70	3677.1260308
71	3676.4310000
72	3675.8675929
73	3675.9222500
74	3676.2079327
75	3676.4247994
76	3676.3859952
77	3675.1004231
78	3675.0862601
79	3675.3902288
80	3675.2447107
81	3676.1894835
82	3676.1022500
83	3676.5769891
84	3676.5327500
85	3674.5081859
86	3674.6725513
87	3675.9516161
88	3676.3332362
89	3675.7149862
90	3674.9530659
91	3674.7918968
92	3675.7657115
93	3675.5210896
94	3675.7552366
95	3675.6569187
96	3675.8713750
97	3677.2550433
98	3676.8244333
99	3676.8888750
100	3675.3184588
101	3673.9724588
102	3673.8878398
103	3673.8134047
104	3673.5741731
105	3674.0432667
106	3674.4393276
107	3675.5423647
108	3676.9788358
109	3677.0448917
110	3676.8549583
111	3676.0298143
112	3675.8205000
113	3675.6751429
114	3676.3767706
115	3676.1821351
116	3676.0494375
117	3675.9426000
118	3675.8109534
119	3675.5179043
120	3675.1217324
121	3676.3641916
122	3675.9635878
123	3674.7806374
124	3674.7613270
125	3675.1624038
126	3675.0879000
127	3675.8137167
128	3675.1038261
129	3675.0782041
130	3674.7429936
131	3674.7773413
132	3675.5322083
133	3675.3371875
134	3673.9603013
135	3673.6691773
136	3674.1161875
137	3675.0417212
138	3675.0218364
139	3674.4577768
140	3674.1746326
141	3675.0164945
142	3675.1285240
143	3674.6355277
144	3674.9047500
145	3673.9279500
146	3674.3415923
147	3674.8099677
148	3675.1336875
149	3675.8046844
150	3675.4898125
151	3676.0297169
152	3675.4204085
153	3676.1535000
154	3676.0649964
155	3675.9047343
156	3675.2198153
157	3674.8643109
158	3674.9047500
159	3675.6023516
160	3676.4310000
161	3675.1421667
162	3674.5507991
163	3674.4923430
164	3674.1567810
165	3674.6605500
166	3674.3187409
167	3674.1789808
168	3675.2510965
169	3675.4542000
170	3675.2496418
171	3674.7012500
172	3673.8950769
173	3674.7377503
174	3675.5943889
175	3675.2183551
176	3675.2536071
177	3675.2710500
178	3675.0573750
179	3673.3489904
180	3673.5311250
181	3674.4163500
182	3674.8108269
183	3675.2465256
184	3674.7876770
185	3674.7286442
186	3674.7521250
187	3674.9909382
188	3674.0762143
189	3673.8794231
190	3673.7524033
191	3673.4090250
192	3672.5746750
193	3673.2107802
194	3673.5655302
195	3674.4640015
196	3674.9997167
197	3675.0006857
198	3674.9543580
199	3675.4709107
200	3674.7387512
201	3674.0975333
202	3674.1672167
203	3674.2085446
204	3674.0121607
205	3672.6597897
206	3674.8167903
207	3676.2388056
208	3676.0240000
209	3676.4426424
210	3676.4845473
211	3675.9643345
212	3675.2866238
213	3675.4389375
214	3676.6853750
215	3676.4715181
216	3676.1880329
217	3676.1054000
218	3675.6314604
219	3675.4071639
220	3674.6213060
221	3674.5067395
222	3674.3834769
223	3674.1450937
224	3674.2942500
225	3674.1408423
226	3673.9774978
227	3674.4233942
228	3674.8497671
229	3674.3299085
230	3674.2644502
231	3673.6957804
232	3673.0808117
233	3674.5888918
234	3674.6196322
235	3673.3252634
236	3673.2732541
237	3673.1794239
238	3673.1533339
239	3673.1920515
240	3674.8000929
241	3674.9551826
242	3673.7412609
243	3674.3112083
244	3674.8210054
245	3674.4317802
246	3670.5457800
247	3669.3912418
248	3671.7505000
249	3674.0568333
250	3674.1670625
251	3675.3279375
252	3675.8598125
253	3675.7326250
254	3675.0239429
255	3675.7048750
256	3675.8035969
257	3675.6374293
258	3675.4847250
259	3674.1841140
260	3674.7216000
261	3674.0762143
262	3673.6354386
263	3673.8532878
264	3674.5792181
265	3673.8886064
266	3674.7521250
267	3674.7142060
268	3674.7890963
269	3674.3941500
270	3673.6873077
271	3675.7475193
272	3675.8602865
273	3675.8102814
274	3675.8933340
275	3674.7849545
276	3674.6884515
277	3674.5715985
278	3675.0280240
279	3675.2353443
280	3675.3458077
281	3674.8020216
282	3674.7873462
283	3674.9265536
284	3675.4813333
285	3673.4941250
286	3673.5940789
287	3673.2192391
288	3673.5730073
289	3673.6328750
290	3673.9359130
291	3674.9129820
292	3675.0743333
293	3674.8958251
294	3674.6402000
295	3674.0458021
296	3674.0170465
297	3673.8611603
298	3673.5780865
299	3673.5894000
300	3673.8708894
301	3674.2712351
302	3672.1526548
303	3671.7149683
304	3671.8393294
305	3673.0751881
306	3673.7491148
307	3674.0347266
308	3674.0707465
309	3673.8633192
310	3673.8719773
311	3673.6449881
312	3672.9302782
313	3673.0902083
314	3673.8135371
315	3674.1956308
316	3674.2126264
317	3673.9890000
318	3673.6166621
319	3673.6807130
320	3674.6229808
321	3675.1472705
322	3674.8320714
323	3674.6724022
324	3673.8030174
325	3673.6552600
326	3673.6994038
327	3673.4523942
328	3675.5199462
329	3675.3754835
330	3673.1334176
331	3672.9762747
332	3672.2749038
333	3672.2842962
334	3672.3362694
335	3672.4251358
336	3673.0309717
337	3673.0936822
338	3673.4887826
339	3673.7583820
340	3674.5953103
341	3674.5042579
342	3674.6605423
343	3674.5181000
344	3674.2074233
345	3674.2022837
346	3674.1440476
347	3673.9890000
348	3673.9029038
349	3673.6982857
350	3673.2180724
351	3673.3174500
352	3673.2903167
353	3672.7172554
354	3673.5601964
355	3673.2409893
356	3673.3658688
357	3673.7542412
358	3673.1779071
359	3672.5582385
360	3672.3484769
361	3672.2020818
362	3672.8398702
363	3673.6749022
364	3674.5780124
365	3674.6298117
366	3673.9017857
367	3672.7389286
368	3673.2662007
369	3672.9900000
370	3673.2089167
371	3673.0108125
372	3673.4145486
373	3673.5275246
374	3673.7145606
375	3675.0750964
376	3674.8908750
377	3674.4468750
378	3674.3022130
379	3674.2913429
380	3674.4511798
381	3674.5384500
382	3674.6579882
383	3675.2301264
384	3674.4644856
385	3673.8669000
386	3673.9576923
387	3674.1298846
388	3674.0876192
389	3674.0068901
390	3674.8618343
391	3675.6659183
392	3675.3619728
393	3674.0866800
394	3673.0645286
395	3672.8678545
396	3672.8455591
397	3672.4025069
398	3672.2282826
399	3673.3906147
400	3673.1848784
401	3673.5168800
402	3674.1111000
403	3673.1750000
404	3672.4756644
405	3672.7691159
406	3672.9365070
407	3672.1324183
408	3672.1487786
409	3672.3388049
410	3672.8261429
411	3673.1817833
412	3673.2833357
413	3673.0392772
414	3672.8887582
415	3673.2325279
416	3673.2783154
417	3673.0133629
418	3672.7171250
419	3672.6374946
420	3672.6212378
421	3671.5978750
422	3671.4706875
423	3671.6884135
424	3672.2921492
425	3672.3656266
426	3672.1473250
427	3671.8406214
428	3671.9482589
429	3672.0859312
430	3673.0254259
431	3672.7364371
432	3670.9004000
433	3671.2166718
434	3672.0557500
435	3672.3813500
436	3673.0497692
437	3672.5331923
438	3673.0630750
439	3674.2922933
440	3674.6484183
441	3674.4638333
442	3674.0636167
443	3673.2258750
444	3673.1071084
445	3671.3250457
446	3670.5271540
447	3672.2172662
448	3672.5949335
449	3672.3742822
450	3672.1314462
451	3672.2879874
452	3672.2253333
453	3671.2130173
454	3671.5724375
455	3671.6373541
456	3672.0964500
457	3673.5773038
458	3673.8401931
459	3672.0180152
460	3672.4849500
461	3672.7815667
462	3673.0257667
463	3672.9252342
464	3673.3021440
465	3675.1949839
466	3673.8194167
467	3671.5338285
468	3671.8396683
469	3672.0985921
470	3671.8623383
471	3670.5295000
472	3670.4938363
473	3670.4634137
474	3670.7330000
475	3672.2413991
476	3672.6764250
477	3672.6332491
478	3672.1020000
479	3672.3901073
480	3673.4511427
481	3673.6369158
482	3673.6328750
483	3674.1470512
484	3672.0266786
485	3672.1449354
486	3672.3658562
487	3673.4166562
488	3672.7141172
489	3673.1200391
490	3672.8875385
491	3672.4118750
492	3672.5534000
493	3672.7633750
494	3673.1056250
495	3673.0322857
496	3672.7706428
497	3672.7676743
498	3671.8757308
499	3670.8852946
500	3671.2871190
501	3672.3247708
