x	y
1	37623.0218571
2	37623.0218571
3	37623.8176875
4	37623.8176875
5	37623.8126000
6	37623.0596500
7	37623.0721731
8	37623.3069808
9	37623.1003500
10	37621.6883731
11	37622.4898500
12	37624.9405714
13	37623.8744327
14	37624.0313944
15	37624.0161000
16	37623.3398538
17	37622.6636077
18	37622.2660000
19	37622.2660000
20	37622.2405625
21	37622.3423125
22	37622.9782500
23	37623.1962857
24	37623.1125600
25	37623.1700096
26	37623.6839776
27	37623.5652692
28	37623.0509286
29	37622.4545916
30	37621.8582546
31	37621.9098750
32	37621.8444643
33	37620.9879753
34	37621.1849062
35	37621.6046250
36	37621.1467500
37	37620.5604039
38	37621.5581739
39	37621.5392143
40	37621.4520000
41	37621.5224423
42	37622.5020600
43	37622.6585650
44	37622.6730000
45	37622.4985714
46	37622.2369286
47	37622.0625000
48	37622.0777308
49	37621.9792500
50	37621.9563261
51	37621.7616739
52	37621.5107571
53	37621.8590000
54	37621.7820000
55	37621.3977318
56	37621.6034939
57	37621.1467500
58	37620.2310000
59	37620.4345000
60	37620.6380000
61	37620.3718846
62	37619.9257500
63	37618.4550000
64	37618.3995000
65	37618.4498810
66	37618.2136957
67	37618.2250714
68	37619.2861786
69	37621.4658879
70	37621.8183000
71	37621.4520000
72	37620.5973000
73	37620.6380000
74	37620.4658077
75	37620.4658077
76	37620.4658077
77	37619.4170000
78	37619.5332857
79	37619.7425859
80	37619.5143261
81	37619.7077143
82	37619.5970000
83	37620.0717391
84	37620.0275000
85	37618.0029359
86	37618.3316667
87	37618.8697827
88	37619.1511071
89	37618.8065000
90	37618.7047500
91	37618.0546568
92	37618.3447115
93	37618.3198696
94	37618.6054052
95	37618.6770000
96	37618.8573750
97	37618.6469600
98	37618.8268500
99	37618.7047500
100	37617.3741731
101	37617.0397500
102	37616.9416731
103	37616.8967308
104	37616.3410192
105	37616.5001667
106	37616.7424286
107	37617.5206484
108	37619.1508358
109	37619.2847250
110	37619.1626250
111	37618.4867143
112	37618.3995000
113	37618.2541429
114	37617.8873956
115	37617.6026447
116	37617.4837500
117	37617.4837500
118	37617.3547578
119	37617.3006000
120	37617.8762143
121	37618.4755330
122	37618.3995000
123	37617.2724231
124	37617.0350770
125	37617.1785000
126	37616.8732500
127	37616.7375833
128	37616.6476304
129	37616.4972541
130	37616.1949167
131	37616.1963913
132	37616.4153750
133	37616.1864375
134	37615.0756667
135	37614.7665442
136	37614.8891250
137	37615.7892212
138	37615.8048750
139	37615.7394643
140	37615.6950412
141	37616.4022445
142	37616.6443125
143	37616.3390625
144	37616.2627500
145	37615.0417500
146	37615.3470000
147	37615.4996250
148	37615.4996250
149	37615.4414136
150	37615.6776875
151	37615.5883485
152	37615.2751765
153	37615.3747500
154	37615.3470000
155	37615.4722308
156	37615.3235192
157	37615.0678397
158	37615.0417500
159	37615.3730516
160	37616.2627500
161	37615.0756667
162	37614.9852222
163	37614.8947778
164	37613.8395926
165	37614.1870500
166	37613.9469909
167	37613.9872500
168	37615.0828465
169	37615.2859500
170	37615.0813918
171	37614.7365000
172	37613.8911923
173	37614.0581667
174	37615.1548056
175	37615.0692375
176	37614.9545357
177	37614.7975500
178	37614.7365000
179	37613.0458846
180	37613.0576250
181	37613.2102500
182	37613.7268269
183	37614.2642756
184	37613.9071770
185	37614.1025192
186	37614.1260000
187	37614.0900882
188	37613.0794286
189	37613.0570659
190	37613.0347033
191	37612.9355250
192	37612.2029250
193	37612.0328571
194	37612.1762802
195	37612.2200515
196	37612.1724000
197	37612.4776500
198	37612.4573000
199	37613.0862802
200	37612.7829000
201	37612.2198833
202	37612.3777500
203	37612.4132547
204	37612.1588333
205	37610.7908611
206	37611.3109167
207	37612.7806389
208	37612.8032500
209	37613.3410714
210	37613.6441183
211	37613.2014595
212	37612.7102905
213	37612.9813125
214	37613.8207500
215	37613.6141609
216	37613.6027143
217	37613.5155000
218	37613.3992143
219	37613.0682473
220	37612.7558660
221	37612.7218500
222	37612.7829000
223	37612.4887500
224	37612.4776500
225	37611.6229500
226	37611.4601500
227	37611.5078942
228	37611.4981957
229	37611.3083077
230	37611.2188571
231	37610.9102202
232	37610.5138750
233	37610.7343333
234	37610.4765819
235	37610.1577500
236	37610.2188000
237	37610.7682500
238	37610.6017858
239	37610.6254087
240	37610.7246429
241	37610.9514000
242	37610.1577500
243	37610.6156250
244	37610.7717197
245	37610.5569231
246	37607.0197800
247	37607.1488571
248	37608.6315000
249	37610.4630000
250	37610.4062548
251	37610.9625000
252	37611.2060833
253	37611.2400000
254	37611.1316429
255	37611.7348750
256	37611.8366250
257	37611.6161667
258	37611.2261250
259	37610.0912212
260	37610.5851000
261	37609.9397143
262	37609.4650219
263	37610.3833696
264	37611.0939181
265	37610.6665000
266	37611.3787500
267	37611.4934560
268	37611.5247391
269	37611.2566500
270	37611.0735000
271	37611.1648847
272	37611.2619980
273	37611.2041660
274	37611.1463340
275	37610.3432045
276	37610.1856515
277	37610.0280985
278	37610.0775240
279	37610.2013571
280	37610.3371648
281	37610.0168654
282	37609.8525000
283	37610.0269286
284	37610.3854762
285	37608.4927500
286	37608.5482500
287	37608.4722391
288	37608.4352873
289	37608.4280000
290	37608.5784130
291	37608.9367500
292	37609.4115833
293	37609.3879060
294	37609.2827000
295	37609.1970521
296	37609.2361298
297	37609.1480769
298	37608.6784615
299	37608.6592500
300	37608.7423269
301	37608.7187143
302	37607.6091548
303	37607.6123849
304	37607.6156151
305	37607.8582000
306	37608.6358148
307	37608.6579342
308	37608.6050658
309	37608.5930334
310	37608.4757154
311	37608.1227500
312	37607.4913782
313	37607.5800833
314	37607.9065871
315	37607.8096731
316	37608.3027692
317	37608.3027692
318	37608.3027692
319	37608.3027692
320	37608.6549808
321	37608.7332500
322	37608.6024286
323	37608.3788022
324	37607.2245174
325	37607.2395600
326	37607.2676587
327	37606.7977807
328	37607.5983462
329	37607.4887692
330	37605.6805385
331	37605.9572308
332	37606.0016538
333	37606.0720962
334	37606.4511429
335	37606.4802143
336	37606.5055586
337	37606.5309029
338	37606.4947500
339	37606.6513554
340	37606.9486446
341	37606.8976800
342	37607.2786202
343	37607.2070000
344	37606.9695833
345	37607.0132837
346	37606.8872143
347	37606.8000000
348	37606.6121538
349	37606.5965000
350	37606.7469130
351	37606.7389500
352	37606.4065667
353	37606.0741833
354	37606.3421250
355	37606.1435643
356	37606.1768688
357	37606.1458929
358	37605.6226071
359	37605.0906000
360	37604.9685000
361	37604.9367693
362	37604.9266154
363	37605.3666522
364	37606.2476429
365	37606.1858736
366	37605.5790000
367	37604.9685000
368	37605.0154615
369	37604.6632500
370	37604.7989167
371	37604.7395625
372	37604.7359286
373	37605.0906000
374	37605.0756231
375	37604.9685000
376	37604.8158750
377	37604.9685000
378	37604.9154130
379	37605.0092000
380	37605.3034923
381	37605.3958500
382	37605.8119167
383	37606.3930000
384	37605.3676731
385	37604.9685000
386	37605.0311154
387	37605.5790000
388	37605.8607692
389	37605.6259615
390	37605.2127000
391	37606.0701394
392	37606.0870978
393	37604.7243000
394	37603.8696000
395	37604.0963571
396	37604.2829341
397	37604.1451319
398	37604.2252826
399	37605.3469147
400	37605.0190784
401	37605.0661800
402	37604.7243000
403	37603.9713500
404	37603.2184000
405	37603.1609445
406	37603.3231176
407	37602.8595000
408	37602.8173739
409	37602.8753571
410	37603.1951429
411	37603.7882000
412	37603.8492500
413	37603.6033247
414	37603.6066154
415	37603.8696000
416	37603.9760462
417	37603.6021429
418	37603.2387500
419	37603.0573696
420	37603.1428628
421	37602.7300000
422	37602.5265000
423	37602.5519375
424	37603.2472292
425	37603.2230266
426	37602.9843750
427	37602.6573214
428	37603.0665089
429	37603.1806071
430	37603.9642259
431	37603.6944130
432	37602.2869000
433	37602.6031718
434	37602.7300000
435	37603.0556000
436	37603.6457500
437	37603.7475000
438	37604.2053750
439	37604.4323558
440	37604.6593365
441	37604.3580000
442	37603.9849167
443	37602.9843750
444	37602.7808750
445	37602.5773750
446	37601.6924583
447	37602.2751176
448	37602.5950579
449	37602.4846570
450	37602.3520714
451	37602.3937826
452	37602.2890833
453	37601.3785173
454	37601.6107500
455	37601.5484791
456	37601.7023250
457	37602.8779288
458	37603.0729848
459	37603.3027652
460	37603.5255000
461	37603.4422500
462	37603.3065833
463	37603.1709167
464	37603.5126923
465	37603.4422500
466	37602.3569167
467	37601.2715833
468	37601.5768333
469	37602.0177500
470	37601.9115526
471	37601.6107500
472	37601.5768333
473	37601.5429167
474	37601.7125000
475	37601.6268158
476	37602.0686250
477	37601.9847491
478	37601.3055000
479	37601.3531073
480	37602.1736427
481	37602.2823000
482	37602.3230000
483	37602.2212500
484	37600.0845000
485	37599.9149167
486	37600.1184167
487	37601.3055000
488	37601.3055000
489	37601.0835000
490	37600.8615000
491	37600.5423750
492	37600.7551250
493	37600.9678750
494	37601.2768250
495	37601.2500000
496	37601.0799947
497	37601.2003224
498	37601.2585385
499	37600.0914375
500	37600.0845000
501	37601.1698333
502	37600.8476250
503	37600.8386471
504	37600.3453500
505	37600.9566429
506	37600.8272750
507	37599.3485083
508	37599.8131667
509	37599.6266250
510	37598.0785714
511	37598.3445750
512	37598.4056250
513	37598.3586635
514	37598.3252212
515	37598.4056250
516	37598.5582500
517	37598.5582500
518	37598.6970000
519	37599.4185000
520	37599.3075000
521	37599.3223600
522	37599.3722500
523	37599.3286429
524	37599.0670000
525	37598.7916765
526	37598.9991667
527	37599.5747222
528	37600.1502778
529	37599.8555625
530	37598.6306490
531	37598.3402143
532	37598.8635000
533	37598.8635000
534	37598.8126250
535	37598.8024500
536	37598.6091250
537	37598.1127083
538	37598.0808167
539	37598.1919500
540	37597.8714375
541	37597.9657749
542	37597.8968750
543	37598.5582500
544	37599.4740000
545	37599.4098865
546	37599.0456288
547	37598.6813712
548	37599.2520000
