x	y
1	553.6278571
2	553.6278571
3	553.6287500
4	553.6321474
5	553.6322222
6	553.6320000
7	553.6315385
8	553.6275000
9	553.6309951
10	553.6315444
11	553.6300000
12	553.6304762
13	553.6375000
14	553.6340000
15	553.6355000
16	553.6369565
17	553.6300000
18	553.6250000
19	553.6208333
20	553.6209524
21	553.6217701
22	553.6242857
23	553.6425000
24	553.6350000
25	553.6300000
26	553.6216667
27	553.6200000
28	553.6178526
29	553.6176175
30	553.6173825
31	553.6184000
32	553.6200000
33	553.6323810
34	553.6406667
35	553.6369231
36	553.6316667
37	553.6327408
38	553.6328846
39	553.6285904
40	553.6231818
41	553.6200000
42	553.6228571
43	553.6230000
44	553.6203058
45	553.6184615
46	553.6195218
47	553.6188234
48	553.6265121
49	553.6294118
50	553.6280070
51	553.6288889
52	553.6288889
53	553.6338217
54	553.6414286
55	553.6355556
56	553.6369231
57	553.6368750
58	553.6179327
59	553.6027604
60	553.6050000
61	553.6333333
62	553.6283257
63	553.6273077
64	553.6250000
65	553.6244444
66	553.6388889
67	553.6383333
68	553.6376923
69	553.6311111
70	553.6250000
71	553.6233333
72	553.6364912
73	553.6365710
74	553.6254547
75	553.6227273
76	553.6157809
77	553.6171429
78	553.6195604
79	553.6200000
80	553.6200000
81	553.6150000
82	553.6068087
83	553.6160000
84	553.6000000
85	553.6021053
86	553.5960864
87	553.6005556
88	553.6257143
89	553.6338462
90	553.6276923
91	553.6262500
92	553.6161564
93	553.6316667
94	553.6272222
95	553.6200000
96	553.6120000
97	553.6072794
98	553.6206667
99	553.6207692
100	553.6213333
101	553.6228191
102	553.6242857
103	553.6228720
104	553.6241667
105	553.6243590
106	553.6199145
107	553.6322222
108	553.6320833
109	553.6316667
110	553.6200000
111	553.6173684
112	553.6251852
113	553.6375000
114	553.6350000
115	553.6200000
116	553.6100000
117	553.6015152
118	553.6060870
119	553.6068421
120	553.6088000
121	553.6095733
122	553.6115385
123	553.6150000
124	553.6120481
125	553.6130000
126	553.6170000
127	553.6162500
128	553.6188462
129	553.6237500
130	553.6150000
131	553.5944444
132	553.5955556
133	553.5912179
134	553.5933333
135	553.6042857
136	553.6060000
137	553.6054167
138	553.6090930
139	553.6080000
140	553.6093264
141	553.6251168
142	553.6250000
143	553.6237179
144	553.6224359
145	553.6223504
146	553.6258333
147	553.6361538
148	553.6321739
149	553.6206832
150	553.6078571
151	553.6086444
152	553.6087500
153	553.6138462
154	553.6147928
155	553.6150000
156	553.6147826
157	553.6138462
158	553.6158333
159	553.6157143
160	553.6154945
161	553.6152747
162	553.6235294
163	553.6221861
164	553.6173584
165	553.6107143
166	553.6044444
167	553.6000000
168	553.6000000
169	553.6008696
170	553.6025121
171	553.6028571
172	553.6060000
173	553.6066667
174	553.6150000
175	553.6137821
176	553.6107479
177	553.6150000
178	553.6250000
179	553.6275000
180	553.6300234
181	553.6300000
182	553.6300000
183	553.6186713
184	553.6200699
185	553.6200000
186	553.6233333
187	553.6450000
188	553.6452870
189	553.6477889
190	553.6466667
191	553.6416667
192	553.6425000
193	553.6405769
194	553.6381237
195	553.6326455
196	553.6230000
197	553.6198889
198	553.6168182
199	553.6188889
200	553.6175000
201	553.6180000
202	553.6166667
203	553.6173504
204	553.6080042
205	553.6082609
206	553.6040350
207	553.6050000
208	553.6057143
209	553.6073913
210	553.6098644
211	553.6076056
212	553.6117647
213	553.6200000
214	553.6247619
215	553.6264286
216	553.6255699
217	553.6244301
218	553.6125121
219	553.6146651
220	553.6118750
221	553.6144444
222	553.6150000
223	553.6154545
224	553.6162121
225	553.6161538
226	553.6130000
227	553.6164286
228	553.6210000
229	553.6193333
230	553.6252174
231	553.6303106
232	553.6336364
233	553.6162179
234	553.6197650
235	553.6223810
236	553.6228571
237	553.6233333
238	553.6200000
239	553.6030769
240	553.6030000
241	553.6016667
242	553.6025000
243	553.6027976
244	553.6050000
245	553.6107576
246	553.6113636
247	553.6115657
248	553.6117677
249	553.6146667
250	553.6161538
251	553.6195652
252	553.6190000
253	553.6110000
254	553.6158333
255	553.6147411
256	553.6150000
257	553.6115000
258	553.6033205
259	553.6037500
260	553.6162500
261	553.6287500
262	553.6224455
263	553.6228571
264	553.6193228
265	553.6171326
266	553.6350000
267	553.6354898
268	553.6345102
269	553.6260000
270	553.6135714
271	553.6050000
272	553.6044444
273	553.6125000
274	553.6175000
275	553.6225000
276	553.6225000
277	553.6241424
278	553.6107692
279	553.6133333
280	553.6158974
281	553.6150000
282	553.6133333
283	553.6116667
284	553.6120000
285	553.6157143
286	553.6235714
287	553.6250000
288	553.6309524
289	553.6260000
290	553.6261538
291	553.6240000
292	553.6237143
293	553.6234286
294	553.6238462
295	553.6225130
296	553.6191304
297	553.6186364
298	553.6214286
299	553.6307326
300	553.6300000
301	553.6279487
302	553.6258974
303	553.6261111
304	553.6233333
305	553.6225000
306	553.6206667
307	553.6207080
308	553.6212616
309	553.6218153
310	553.6200923
311	553.6325000
312	553.6421154
313	553.6362110
314	553.6332364
315	553.6328896
316	553.6300000
317	553.6233333
318	553.6171429
319	553.6172677
320	553.6171429
321	553.6173077
322	553.6163248
323	553.6186859
324	553.6217391
325	553.6114286
326	553.6080952
327	553.6080000
328	553.6094444
329	553.6086787
330	553.6122222
331	553.6200000
332	553.6181796
333	553.6234871
334	553.6247521
335	553.6249189
336	553.6243119
337	553.6250000
338	553.6272816
339	553.6225000
340	553.6270833
341	553.6366667
342	553.6453724
343	553.6455556
344	553.6330769
345	553.6342308
346	553.6344770
347	553.6344000
348	553.6353128
349	553.6337167
350	553.6330000
351	553.6307692
352	553.6295455
353	553.6312179
354	553.6292857
355	553.6246154
356	553.6250000
357	553.6214865
358	553.6200000
359	553.6207692
360	553.6200000
361	553.6219231
362	553.6235863
363	553.6240909
364	553.6223077
365	553.6171429
366	553.6170000
367	553.6227510
368	553.6238462
369	553.6250000
370	553.6300000
371	553.6292857
372	553.6254545
373	553.6279293
374	553.6284000
375	553.6269846
376	553.6254051
377	553.6290476
378	553.6266667
379	553.6251351
380	553.6250000
381	553.6234425
382	553.6287500
383	553.6290000
384	553.6303389
385	553.6160000
386	553.6140000
387	553.6143078
388	553.6250000
389	553.6291667
390	553.6275000
391	553.6270000
392	553.6242875
393	553.6287500
394	553.6295833
395	553.6262500
396	553.6251603
397	553.6240705
398	553.6290000
399	553.6338004
400	553.6300000
401	553.6268191
402	553.6322408
403	553.6326667
404	553.6326087
405	553.6320000
406	553.6295509
407	553.6279167
408	553.6230435
409	553.6260000
410	553.6265530
411	553.6200000
412	553.6188000
413	553.6196665
414	553.6209991
415	553.6215374
416	553.6170000
417	553.6200000
418	553.6204762
419	553.6132952
420	553.6045583
421	553.6100000
422	553.6105556
423	553.6125000
424	553.6144889
425	553.6143478
426	553.6141667
427	553.6052778
428	553.6070000
429	553.6100000
430	553.6142857
431	553.6339927
432	553.6175000
433	553.6180000
434	553.6214286
435	553.6200000
436	553.6195833
437	553.6305556
438	553.6304000
439	553.6245778
440	553.6200000
441	553.6185714
442	553.6225000
443	553.6252778
444	553.6205556
445	553.6193333
446	553.6170000
447	553.6170000
448	553.6161538
449	553.6184823
450	553.6207327
451	553.6100000
452	553.6109091
453	553.6150000
454	553.6176403
455	553.6150000
456	553.6085897
457	553.6021795
458	553.6034615
459	553.6043478
460	553.6040000
461	553.6023590
462	553.6025000
463	553.6300000
464	553.6260000
465	553.6116667
466	553.6085714
467	553.6086957
468	553.6123430
469	553.6159903
470	553.6169968
471	553.6180032
472	553.6227920
473	553.6316667
474	553.6275900
475	553.6232829
476	553.6210000
477	553.6200000
478	553.6233333
479	553.6300000
480	553.6268000
481	553.6253436
482	553.6238872
483	553.6222727
484	553.6224242
485	553.6193187
486	553.6195833
487	553.6275000
488	553.6313889
489	553.6300000
490	553.6300000
491	553.6300000
492	553.6260194
493	553.6189806
494	553.6057689
495	553.6098017
496	553.6099339
497	553.6060000
498	553.6283333
499	553.6300000
500	553.6307692
501	553.6290000
502	553.6250000
503	553.6253846
504	553.6275000
505	553.6275000
506	553.6125000
507	553.6144444
508	553.6175000
509	553.6221429
510	553.6222222
511	553.6234982
512	553.6233333
513	553.6257576
514	553.6252941
515	553.6266667
516	553.6291667
517	553.6266667
518	553.6264646
519	553.6300000
520	553.6300000
521	553.6278571
522	553.6268182
523	553.6275000
524	553.6280455
525	553.6200000
526	553.6125000
527	553.6107692
528	553.6193750
529	553.6275000
530	553.6200000
531	553.6188280
532	553.6173684
533	553.6325000
534	553.6278788
535	553.6111111
536	553.6112500
537	553.6175000
538	553.6216667
539	553.6216667
540	553.5947059
541	553.5953636
542	553.6200000
543	553.6200000
544	553.6235985
545	553.6226316
546	553.6235714
547	553.6250000
548	553.6307143
549	553.6266667
550	553.6258628
551	553.6250000
552	553.6241176
553	553.6240000
554	553.6216667
555	553.6210488
556	553.6233333
557	553.6262500
558	553.6333333
559	553.6350000
560	553.6419697
561	553.6250000
562	553.6250000
563	553.6150000
564	553.6150000
565	553.6140000
566	553.6135000
567	553.6127778
568	553.6181313
569	553.6194118
570	553.6222282
571	553.6200000
572	553.6193333
573	553.6212500
574	553.6350000
575	553.6339773
576	553.6300000
577	553.6285714
578	553.6279686
579	553.6309091
580	553.6255554
581	553.6200000
582	553.6200000
583	553.6341667
584	553.6400556
585	553.6409091
586	553.6388889
587	553.6378114
588	553.6400000
589	553.6390476
590	553.6354401
591	553.6377273
592	553.6345455
593	553.6347118
594	553.6333333
595	553.6254819
596	553.6247619
597	553.6252381
598	553.6283333
599	553.6333333
600	553.6312199
601	553.6266667
602	553.6262500
603	553.6266667
604	553.6266667
605	553.6458333
606	553.6643750
607	553.6600000
608	553.6571429
609	553.6600000
610	553.6600000
611	553.6500000
612	553.6471429
613	553.6482619
614	553.6309091
615	553.6298756
616	553.6264286
617	553.6265019
618	553.6278571
619	553.6325000
620	553.6419444
621	553.6471429
622	553.6428489
623	553.6443750
624	553.6447917
625	553.6452083
626	553.6661806
627	553.6866667
628	553.7141667
629	553.7175000
630	553.7345000
631	553.7515000
632	553.7933333
633	553.8250505
634	553.8300000
635	553.8645455
636	553.8990909
