x	y
1	-3673.0732500
2	-3673.0732500
3	-3672.8689719
4	-3672.5496848
5	-3671.1448452
6	-3671.3376857
7	-3672.7467555
8	-3672.7425625
9	-3671.6897463
10	-3671.6562117
11	-3671.5313462
12	-3669.9055824
13	-3668.1952788
14	-3668.7387000
15	-3669.5323500
16	-3669.9013043
17	-3671.3943750
18	-3671.6778214
19	-3671.9294445
20	-3671.8144571
21	-3671.7950591
22	-3671.6245238
23	-3670.5809162
24	-3670.9658510
25	-3669.6748000
26	-3670.0439648
27	-3670.6012382
28	-3670.4823888
29	-3670.6240753
30	-3670.6689497
31	-3670.6543133
32	-3670.3357837
33	-3669.5701429
34	-3669.1419866
35	-3670.0828531
36	-3669.9057283
37	-3668.9472463
38	-3669.0252890
39	-3669.4802423
40	-3670.2080625
41	-3670.3589092
42	-3669.3549526
43	-3669.5323500
44	-3670.2055824
45	-3670.9495449
46	-3670.5430385
47	-3670.6427931
48	-3669.9519148
49	-3669.7768493
50	-3670.0406731
51	-3669.6052708
52	-3669.7100733
53	-3669.4890709
54	-3669.1048211
55	-3670.2532618
56	-3670.2696462
57	-3669.9297620
58	-3671.1096707
59	-3671.7541717
60	-3670.5216731
61	-3668.8468438
62	-3668.5751942
63	-3668.7577969
64	-3668.9875962
65	-3669.5662667
66	-3670.2717333
67	-3670.3405357
68	-3670.3729615
69	-3670.1798974
70	-3670.3837500
71	-3670.8144000
72	-3669.9006417
73	-3669.2271271
74	-3669.6199851
75	-3671.2198421
76	-3671.5603769
77	-3671.5570632
78	-3671.3518352
79	-3670.3260000
80	-3670.1694615
81	-3670.7075625
82	-3671.3755270
83	-3671.3333250
84	-3672.2749038
85	-3672.1228968
86	-3672.2438021
87	-3672.1235833
88	-3670.5876429
89	-3670.0330495
90	-3670.1180275
91	-3670.1275875
92	-3670.8095452
93	-3669.9283923
94	-3670.1699833
95	-3669.6358696
96	-3670.3565250
97	-3671.0908531
98	-3670.1775647
99	-3670.3767185
100	-3670.3422800
101	-3670.0299138
102	-3669.9453541
103	-3669.9326291
104	-3669.8129739
105	-3670.3651346
106	-3670.6161179
107	-3668.6640833
108	-3668.5285414
109	-3668.7684423
110	-3670.3091820
111	-3670.2299374
112	-3669.9448142
113	-3669.2317503
114	-3669.1050000
115	-3670.4481000
116	-3672.8556615
117	-3673.2554750
118	-3672.1827163
119	-3672.1389626
120	-3671.8081062
121	-3671.5246633
122	-3671.1684615
123	-3670.6772628
124	-3670.5776029
125	-3669.6631714
126	-3669.4335071
127	-3671.0205639
128	-3670.6144780
129	-3670.3412625
130	-3671.5266500
131	-3672.0133542
132	-3671.9927619
133	-3672.7570145
134	-3671.4679758
135	-3670.4834939
136	-3670.4175750
137	-3671.2163125
138	-3671.1444952
139	-3671.3361000
140	-3671.1419884
141	-3669.5557433
142	-3669.3877211
143	-3670.1697788
144	-3670.0158750
145	-3669.7889199
146	-3668.6802949
147	-3668.1312542
148	-3667.6833361
149	-3668.3885257
150	-3669.9266504
151	-3670.2256102
152	-3670.4786250
153	-3670.3760923
154	-3670.2165523
155	-3670.2242500
156	-3670.4775474
157	-3670.7747436
158	-3671.0382500
159	-3670.8928929
160	-3670.3721229
161	-3670.2710718
162	-3669.6077647
163	-3668.6459389
164	-3669.2227484
165	-3670.1297679
166	-3670.4684829
167	-3670.5933198
168	-3671.1109286
169	-3672.2673788
170	-3672.0550127
171	-3671.1377637
172	-3670.9020616
173	-3670.8738087
174	-3670.5921913
175	-3671.2870343
176	-3671.3741554
177	-3671.1478269
178	-3670.6625577
179	-3670.6351635
180	-3670.5124190
181	-3670.5451538
182	-3671.4150604
183	-3671.8417904
184	-3671.3008788
185	-3670.9365000
186	-3670.2751250
187	-3668.7997500
188	-3668.9675566
189	-3668.6294898
190	-3668.6980000
191	-3668.9650937
192	-3669.3280673
193	-3669.6333173
194	-3669.6774230
195	-3669.7866398
196	-3670.6516000
197	-3670.4345333
198	-3670.6990534
199	-3669.9577619
200	-3670.0002483
201	-3670.0596000
202	-3669.9529167
203	-3669.8772564
204	-3669.5961924
205	-3669.7344596
206	-3670.0215203
207	-3670.3260000
208	-3670.4350179
209	-3670.1693019
210	-3669.1132776
211	-3669.3244373
212	-3669.3546847
213	-3668.9972647
214	-3669.0695194
215	-3669.8225357
216	-3670.2139876
217	-3670.1494631
218	-3670.7882124
219	-3671.4148201
220	-3671.5157812
221	-3671.3367167
222	-3670.1911566
223	-3670.1810587
224	-3670.1909500
225	-3670.8457077
226	-3670.7533500
227	-3670.5694732
228	-3670.7228250
229	-3671.4585558
230	-3671.0957609
231	-3670.1345078
232	-3669.9513750
233	-3672.2139657
234	-3671.8665994
235	-3670.4858929
236	-3669.9402445
237	-3669.8146410
238	-3669.9216090
239	-3671.0539038
240	-3670.5655038
241	-3670.4157437
242	-3670.9365000
243	-3671.3762054
244	-3671.3725714
245	-3671.3263214
246	-3671.3225409
247	-3671.3186993
248	-3671.2355833
249	-3669.4306000
250	-3670.1029327
251	-3670.3525435
252	-3669.9800500
253	-3670.5702000
254	-3670.0716250
255	-3668.3576808
256	-3668.4690625
257	-3669.6239250
258	-3670.6465684
259	-3670.6694063
260	-3669.8648071
261	-3668.9803405
262	-3669.6883003
263	-3670.4270791
264	-3670.7567407
265	-3671.1448097
266	-3669.9564926
267	-3669.8969225
268	-3669.7962794
269	-3670.4109391
270	-3671.2132619
271	-3671.7801062
272	-3672.2199533
273	-3671.2247917
274	-3670.9746563
275	-3670.6899519
276	-3670.7583491
277	-3670.7090432
278	-3671.8052885
279	-3671.5497499
280	-3671.3904615
281	-3671.4706875
282	-3671.2214000
283	-3671.1739089
284	-3671.7901642
285	-3671.5797054
286	-3670.9626643
287	-3670.7126500
288	-3670.2271571
289	-3670.5146077
290	-3670.1945077
291	-3669.9945857
292	-3669.3724571
293	-3669.5061857
294	-3669.6312590
295	-3670.3470069
296	-3670.9895870
297	-3671.8591875
298	-3671.9763626
299	-3671.0080604
300	-3670.9439542
301	-3671.1079671
302	-3671.1869615
303	-3671.4087244
304	-3671.4706875
305	-3671.4993862
306	-3671.6124739
307	-3671.8522444
308	-3669.9992267
309	-3670.8499656
310	-3671.2361168
311	-3670.2878438
312	-3669.3779639
313	-3669.2752675
314	-3667.9660318
315	-3668.8064882
316	-3669.1050000
317	-3669.5120000
318	-3669.8899286
319	-3670.1366829
