x	y
1	0.3890106
2	0.3890106
3	0.3890312
4	0.3889902
5	0.3890214
6	0.3889608
7	0.3889521
8	0.3889725
9	0.3889642
10	0.3888856
11	0.3889187
12	0.3889406
13	0.3889036
14	0.3888807
15	0.3888490
16	0.3888264
17	0.3888733
18	0.3889587
19	0.3889570
20	0.3889282
21	0.3889278
22	0.3889179
23	0.3888826
24	0.3888543
25	0.3888243
26	0.3888105
27	0.3888876
28	0.3887907
29	0.3887793
30	0.3888847
31	0.3889372
32	0.3889397
33	0.3890030
34	0.3889674
35	0.3889937
36	0.3890165
37	0.3890094
38	0.3890044
39	0.3889911
40	0.3889705
41	0.3889014
42	0.3888020
43	0.3888222
44	0.3888620
45	0.3888161
46	0.3887129
47	0.3887503
48	0.3888126
49	0.3889336
50	0.3889635
51	0.3889555
52	0.3889345
53	0.3889168
54	0.3888452
55	0.3887725
56	0.3886775
57	0.3887430
58	0.3887108
59	0.3886928
60	0.3887369
61	0.3888192
62	0.3888400
63	0.3888308
64	0.3888281
65	0.3888488
66	0.3889183
67	0.3889478
68	0.3890048
69	0.3889914
70	0.3890052
71	0.3889959
72	0.3888962
73	0.3888793
74	0.3888439
75	0.3889132
76	0.3888721
77	0.3888451
78	0.3888697
79	0.3888842
80	0.3888435
81	0.3888146
82	0.3887608
83	0.3886928
84	0.3886825
85	0.3887183
86	0.3889137
87	0.3889283
88	0.3889195
89	0.3889052
90	0.3889159
91	0.3888919
92	0.3889039
93	0.3889464
94	0.3888157
95	0.3888269
96	0.3888732
97	0.3888955
98	0.3889313
99	0.3889038
100	0.3888388
101	0.3888216
102	0.3887766
103	0.3887562
104	0.3888740
105	0.3888953
106	0.3887957
107	0.3887878
108	0.3887677
109	0.3887397
110	0.3887935
111	0.3888170
112	0.3888210
113	0.3888195
114	0.3887998
115	0.3887571
116	0.3887295
117	0.3887259
118	0.3887223
119	0.3887790
120	0.3888751
121	0.3889496
122	0.3889086
123	0.3887223
124	0.3887083
125	0.3886735
126	0.3886894
127	0.3887397
128	0.3887949
129	0.3887579
130	0.3888275
131	0.3888248
132	0.3887634
133	0.3887832
134	0.3888494
135	0.3888586
136	0.3888165
137	0.3887880
138	0.3887991
139	0.3888967
140	0.3888826
141	0.3888566
142	0.3888128
143	0.3887613
144	0.3887435
145	0.3887376
146	0.3887336
147	0.3887503
148	0.3887431
149	0.3887408
150	0.3887597
151	0.3888375
152	0.3888656
153	0.3889094
154	0.3887884
155	0.3888362
156	0.3888431
157	0.3888616
158	0.3888431
159	0.3888795
160	0.3888847
161	0.3888139
162	0.3885627
163	0.3884810
164	0.3884899
165	0.3885321
166	0.3885117
167	0.3884761
168	0.3885802
169	0.3886443
170	0.3886819
171	0.3887104
172	0.3888013
173	0.3888519
174	0.3889107
175	0.3888348
176	0.3887104
177	0.3887333
178	0.3887628
179	0.3887571
180	0.3887279
181	0.3887316
182	0.3887541
183	0.3887338
184	0.3887630
185	0.3887014
186	0.3887868
187	0.3888275
188	0.3888402
189	0.3888276
190	0.3887682
191	0.3887381
192	0.3887490
193	0.3886411
