x	y
1	3.6471052
2	3.6471052
3	3.6471510
4	3.6470965
5	3.6471242
6	3.6471100
7	3.6471143
8	3.6471347
9	3.6471340
10	3.6471012
11	3.6471376
12	3.6471376
13	3.6471226
14	3.6471229
15	3.6471143
16	3.6471026
17	3.6470747
18	3.6470751
19	3.6470660
20	3.6470904
21	3.6471104
22	3.6471207
23	3.6471343
24	3.6470660
25	3.6470789
26	3.6470795
27	3.6470993
28	3.6470455
29	3.6470741
30	3.6471399
31	3.6470999
32	3.6471104
33	3.6472154
34	3.6472034
35	3.6471915
36	3.6471939
37	3.6472479
38	3.6472599
39	3.6472078
40	3.6471474
41	3.6470789
42	3.6470431
43	3.6470346
44	3.6470761
45	3.6470710
46	3.6469569
47	3.6469875
48	3.6470431
49	3.6470661
50	3.6471037
51	3.6471117
52	3.6470953
53	3.6470921
54	3.6470845
55	3.6470721
56	3.6469673
57	3.6469579
58	3.6469588
59	3.6469405
60	3.6469720
61	3.6469971
62	3.6470221
63	3.6470219
64	3.6470208
65	3.6470507
66	3.6471188
67	3.6471514
68	3.6471593
69	3.6471322
70	3.6471343
71	3.6471311
72	3.6470751
73	3.6470812
74	3.6470519
75	3.6470832
76	3.6470886
77	3.6470700
78	3.6470660
79	3.6470888
80	3.6471064
81	3.6470988
82	3.6470663
83	3.6470914
84	3.6470736
85	3.6470951
86	3.6470898
87	3.6470773
88	3.6470782
89	3.6470609
90	3.6470585
91	3.6470354
92	3.6470354
93	3.6470792
94	3.6469932
95	3.6470049
96	3.6470507
97	3.6470965
98	3.6471392
99	3.6471423
100	3.6471211
101	3.6470863
102	3.6470456
103	3.6470456
104	3.6470700
105	3.6470746
106	3.6470717
107	3.6470670
108	3.6470367
109	3.6470087
110	3.6470630
111	3.6470894
112	3.6470904
113	3.6470885
114	3.6470383
115	3.6470114
116	3.6470155
117	3.6470178
118	3.6470201
119	3.6470820
120	3.6471304
121	3.6472033
122	3.6472021
123	3.6470237
124	3.6470252
125	3.6469884
126	3.6470049
127	3.6470621
128	3.6471189
129	3.6470812
130	3.6471168
131	3.6471335
132	3.6470172
133	3.6470217
134	3.6470660
135	3.6470589
136	3.6470497
137	3.6470527
138	3.6470401
139	3.6471200
140	3.6471100
141	3.6471173
142	3.6470888
143	3.6470507
144	3.6470354
145	3.6470166
146	3.6470077
147	3.6470171
148	3.6470049
149	3.6469853
150	3.6469927
151	3.6470760
152	3.6471041
153	3.6471106
154	3.6471123
155	3.6471677
156	3.6471711
157	3.6471706
158	3.6471331
159	3.6471232
160	3.6471232
161	3.6470524
162	3.6468726
163	3.6468599
164	3.6468566
165	3.6468739
166	3.6468683
167	3.6468760
168	3.6469713
169	3.6470049
170	3.6470049
171	3.6470252
172	3.6471161
173	3.6471532
174	3.6471983
175	3.6471226
176	3.6469896
177	3.6470188
178	3.6470627
179	3.6470703
180	3.6470648
181	3.6470685
182	3.6470613
183	3.6469898
184	3.6470219
185	3.6469815
186	3.6469826
187	3.6470049
188	3.6470223
189	3.6470049
190	3.6469805
191	3.6469617
192	3.6469837
193	3.6469816
194	3.6469220
195	3.6469591
196	3.6469227
197	3.6469133
198	3.6468881
199	3.6469011
200	3.6471175
201	3.6470572
202	3.6469896
203	3.6469946
204	3.6470354
205	3.6469345
206	3.6469577
207	3.6470049
208	3.6470015
209	3.6469325
210	3.6469555
211	3.6470110
212	3.6469718
213	3.6469809
214	3.6470193
215	3.6470004
216	3.6470022
217	3.6470721
218	3.6470693
219	3.6470467
220	3.6470440
221	3.6470598
222	3.6470422
223	3.6470812
224	3.6470800
225	3.6470700
226	3.6470660
227	3.6470354
228	3.6469515
229	3.6469594
230	3.6470185
231	3.6469896
232	3.6469625
233	3.6470015
234	3.6469657
235	3.6469480
236	3.6469622
237	3.6469585
238	3.6469642
239	3.6469641
240	3.6469757
241	3.6470296
242	3.6470354
243	3.6470420
244	3.6470049
245	3.6469608
246	3.6469710
247	3.6468412
248	3.6467949
249	3.6469405
250	3.6469190
251	3.6469133
252	3.6467454
253	3.6466081
254	3.6468828
255	3.6468726
256	3.6468599
257	3.6468760
258	3.6468706
259	3.6468741
260	3.6469845
261	3.6470049
262	3.6469618
263	3.6470392
264	3.6470125
265	3.6468523
266	3.6468828
267	3.6469868
268	3.6469439
269	3.6468218
270	3.6468571
271	3.6468645
272	3.6468808
273	3.6468866
274	3.6468832
275	3.6468940
276	3.6469049
277	3.6469535
278	3.6469439
279	3.6468482
280	3.6468218
281	3.6468167
282	3.6468074
283	3.6468120
284	3.6467960
285	3.6467960
286	3.6468206
287	3.6468294
288	3.6469676
289	3.6469693
290	3.6469659
291	3.6469744
292	3.6469735
293	3.6469500
294	3.6469266
295	3.6469311
296	3.6469803
297	3.6469676
298	3.6469382
299	3.6469088
300	3.6468790
301	3.6469087
302	3.6468930
303	3.6467912
304	3.6467912
305	3.6468455
306	3.6468909
307	3.6468862
308	3.6468745
309	3.6468645
310	3.6468124
311	3.6468368
312	3.6468370
313	3.6468334
314	3.6468455
315	3.6469830
316	3.6469605
317	3.6468889
318	3.6468848
319	3.6468808
320	3.6469772
321	3.6469161
322	3.6469262
323	3.6469787
324	3.6469707
325	3.6469772
326	3.6470219
327	3.6469767
328	3.6469251
329	3.6468615
330	3.6468992
331	3.6468901
332	3.6468683
333	3.6468288
334	3.6468279
335	3.6468340
336	3.6468401
337	3.6468218
338	3.6468171
339	3.6467834
340	3.6468452
341	3.6468412
342	3.6468483
343	3.6468981
344	3.6468908
345	3.6468584
346	3.6468484
347	3.6469438
348	3.6469411
349	3.6468794
350	3.6468773
351	3.6468866
352	3.6469072
353	3.6469296
354	3.6469443
355	3.6469415
356	3.6469259
357	3.6469490
358	3.6469377
359	3.6468635
360	3.6468828
361	3.6468784
362	3.6468523
363	3.6467903
364	3.6467940
365	3.6468626
366	3.6468370
367	3.6468446
368	3.6468423
369	3.6468286
370	3.6468523
371	3.6468570
372	3.6468563
373	3.6468883
374	3.6468828
375	3.6469057
376	3.6468370
377	3.6468143
378	3.6467916
