x	y
1	-63.7200000
2	-63.7200000
3	-63.7233782
4	-63.7166667
5	-63.7217677
6	-63.7118376
7	-63.7104167
8	-63.7137604
9	-63.7124038
10	-63.6995192
11	-63.7049468
12	-63.7085315
13	-63.7024675
14	-63.6987273
15	-63.6935227
16	-63.6898236
17	-63.6975155
18	-63.7115018
19	-63.7112147
20	-63.7065000
21	-63.7064394
22	-63.7048077
23	-63.6990385
24	-63.6944000
25	-63.6894795
26	-63.6872222
27	-63.6998451
28	-63.6839748
29	-63.6821073
30	-63.6993838
31	-63.7079798
32	-63.7083838
33	-63.7187612
34	-63.7129204
35	-63.7172261
36	-63.7209654
37	-63.7198039
38	-63.7189862
39	-63.7168074
40	-63.7134235
41	-63.7021149
42	-63.6858333
43	-63.6891468
44	-63.6956667
45	-63.6881392
46	-63.6712448
47	-63.6773563
48	-63.6875750
49	-63.7073881
50	-63.7122774
51	-63.7109783
52	-63.7075350
53	-63.7046354
54	-63.6929036
55	-63.6810000
56	-63.6654462
57	-63.6761744
58	-63.6708863
59	-63.6679444
60	-63.6751709
61	-63.6886467
62	-63.6920547
63	-63.6905556
64	-63.6901087
65	-63.6935000
66	-63.7048796
67	-63.7097143
68	-63.7190473
69	-63.7168565
70	-63.7191197
71	-63.7175897
72	-63.7012548
73	-63.6985000
74	-63.6926923
75	-63.7040482
76	-63.6973179
77	-63.6928927
78	-63.6969231
79	-63.6993009
80	-63.6926236
81	-63.6878974
82	-63.6790880
83	-63.6679444
84	-63.6662500
85	-63.6721159
86	-63.7041295
87	-63.7065154
88	-63.7050769
89	-63.7027381
90	-63.7044929
91	-63.7005556
92	-63.7025260
93	-63.7094802
94	-63.6880769
95	-63.6899159
96	-63.6975000
97	-63.7011538
98	-63.7070062
99	-63.7025000
100	-63.6918590
101	-63.6890476
102	-63.6816667
103	-63.6783333
104	-63.6976232
105	-63.7011195
106	-63.6847929
107	-63.6835013
108	-63.6802167
109	-63.6756278
110	-63.6844374
111	-63.6882924
112	-63.6889504
113	-63.6886923
114	-63.6854719
115	-63.6784828
116	-63.6739614
117	-63.6733717
118	-63.6727821
119	-63.6820717
120	-63.6977974
121	-63.7100000
122	-63.7033004
123	-63.6727779
124	-63.6704762
125	-63.6647896
126	-63.6673913
127	-63.6756250
128	-63.6846667
129	-63.6786111
130	-63.6900000
131	-63.6895659
132	-63.6795153
133	-63.6827564
134	-63.6935897
135	-63.6950962
136	-63.6882029
137	-63.6835404
138	-63.6853526
139	-63.7013462
140	-63.6990404
141	-63.6947770
142	-63.6875962
143	-63.6791667
144	-63.6762500
145	-63.6752885
146	-63.6746212
147	-63.6773586
148	-63.6761905
149	-63.6757987
150	-63.6789091
151	-63.6916410
152	-63.6962500
153	-63.7034188
154	-63.6836000
155	-63.6914271
156	-63.6925556
157	-63.6955873
158	-63.6925556
159	-63.6985268
160	-63.6993750
161	-63.6877778
162	-63.6466337
163	-63.6332500
164	-63.6347143
165	-63.6416237
166	-63.6382857
167	-63.6324444
168	-63.6495014
169	-63.6600000
170	-63.6661538
171	-63.6708264
172	-63.6857121
173	-63.6940079
174	-63.7036294
175	-63.6912088
176	-63.6708333
177	-63.6745804
178	-63.6794132
179	-63.6784829
180	-63.6736974
181	-63.6743056
182	-63.6779808
183	-63.6746642
184	-63.6794387
185	-63.6693450
186	-63.6833462
187	-63.6900000
188	-63.6920879
189	-63.6900253
190	-63.6802940
191	-63.6753709
192	-63.6771500
193	-63.6594750
194	-63.6614225
195	-63.6861071
196	-63.6790385
197	-63.6756250
198	-63.6727743
199	-63.6753016
200	-63.7097402
201	-63.6865714
202	-63.6699029
203	-63.6698528
204	-63.6773937
205	-63.6576032
206	-63.6615035
207	-63.6702564
208	-63.6707265
209	-63.6614815
210	-63.6669048
211	-63.6796364
212	-63.6738690
213	-63.6789017
214	-63.6841033
215	-63.6792628
216	-63.6795591
217	-63.6869693
218	-63.6674306
219	-63.6714672
220	-63.6714000
221	-63.6749846
222	-63.6737521
223	-63.6770455
224	-63.6788294
225	-63.6852821
226	-63.6843451
227	-63.6787500
228	-63.6700000
229	-63.6749041
230	-63.6881374
231	-63.6834091
232	-63.6748388
233	-63.6743978
234	-63.6666964
235	-63.6656848
236	-63.6635939
237	-63.6639052
238	-63.6633333
239	-63.6677535
240	-63.6702174
241	-63.6813545
242	-63.6800000
243	-63.6816334
244	-63.6733333
245	-63.6627778
246	-63.6594444
247	-63.6339510
248	-63.6276061
249	-63.6530808
250	-63.6537271
251	-63.6557359
252	-63.6305000
253	-63.6078571
254	-63.6530000
255	-63.6626667
256	-63.6645833
257	-63.6696667
258	-63.6746667
259	-63.6795238
260	-63.6874603
261	-63.6900000
262	-63.6837745
263	-63.6948558
264	-63.6929167
265	-63.6634615
266	-63.6688889
267	-63.6870370
268	-63.6780556
269	-63.6500000
270	-63.6542003
271	-63.6586667
272	-63.6700000
273	-63.6882917
274	-63.6822457
275	-63.6789850
276	-63.6796297
277	-63.6864707
278	-63.6822331
279	-63.6656411
280	-63.6620932
281	-63.6584524
282	-63.6483181
283	-63.6422079
284	-63.6291642
285	-63.6300752
286	-63.6373086
287	-63.6349318
288	-63.6583889
289	-63.6586970
290	-63.6565523
291	-63.6662500
292	-63.6669230
293	-63.6615104
