x	y
1	533.6764286
2	533.6764286
3	533.6805556
4	533.6783333
5	533.6777778
6	533.6853846
7	533.6875000
8	533.6875000
9	533.6887500
10	533.6962500
11	533.6967924
12	533.6932076
13	533.6968182
14	533.7006061
15	533.7043939
16	533.7061764
17	533.6939130
18	533.6800000
19	533.6787853
20	533.6875000
21	533.6908333
22	533.6941667
23	533.7021581
24	533.6956000
25	533.7026359
26	533.7050000
27	533.6956250
28	533.7026780
29	533.7092260
30	533.7027273
31	533.6875758
32	533.6888889
33	533.6957143
34	533.6995971
35	533.6933333
36	533.6900000
37	533.7000000
38	533.7027778
39	533.6964286
40	533.6899098
41	533.6900000
42	533.7004167
43	533.6957143
44	533.6960000
45	533.7026942
46	533.7008981
47	533.6997865
48	533.6986750
49	533.6826353
50	533.6839130
51	533.6865217
52	533.6872727
53	533.6896503
54	533.7001399
55	533.7100000
56	533.7084000
57	533.6961333
58	533.7015655
59	533.7015000
60	533.6994444
61	533.6900712
62	533.6907658
63	533.6922222
64	533.6925000
65	533.6940000
66	533.6937742
67	533.6942857
68	533.6862500
69	533.6840000
70	533.6820833
71	533.6830769
72	533.6902495
73	533.6940000
74	533.6950000
75	533.6887723
76	533.6964000
77	533.6977670
78	533.6930769
79	533.6944491
80	533.7040000
81	533.7074872
82	533.7109744
83	533.7262222
84	533.7250000
85	533.7226667
86	533.6897808
87	533.6853435
88	533.6869231
89	533.6864286
90	533.6842857
91	533.6844444
92	533.6824740
93	533.6826923
94	533.6900000
95	533.6900841
96	533.6900000
97	533.6938462
98	533.6950000
99	533.7000000
100	533.7071795
101	533.7042857
102	533.7050000
103	533.7083333
104	533.6930435
105	533.6902942
106	533.7061538
107	533.7066667
108	533.7050000
109	533.7050000
110	533.7050864
111	533.7055556
112	533.7050496
113	533.7050000
114	533.7000000
115	533.7025780
116	533.7077778
117	533.7087464
118	533.7097151
119	533.7105556
120	533.7027581
121	533.7025000
122	533.7090073
123	533.7102991
124	533.7128571
125	533.7125000
126	533.7126087
127	533.7137500
128	533.7140000
129	533.7138889
130	533.7083333
131	533.7114957
132	533.7025000
133	533.7000000
134	533.6964103
135	533.6937500
136	533.6991304
137	533.7042857
138	533.7004167
139	533.6975000
140	533.6981818
141	533.7036326
142	533.7061538
143	533.7083333
144	533.7087500
145	533.7066346
146	533.7058333
147	533.7046414
148	533.7038095
149	533.7009975
150	533.6990909
151	533.7000000
152	533.7000000
153	533.6938889
154	533.7140000
155	533.7152396
156	533.7146667
157	533.7115556
158	533.7084444
159	533.7008482
160	533.7000000
161	533.7000000
162	533.7116996
163	533.7230000
164	533.7210000
165	533.7169231
166	533.7193333
167	533.7264444
168	533.7250000
169	533.7200000
170	533.7138462
171	533.7125000
172	533.7125000
173	533.7102778
174	533.7080556
175	533.7080769
176	533.7066667
177	533.7076923
178	533.7100624
179	533.7122222
180	533.7161111
181	533.7161111
182	533.7112500
183	533.7028571
184	533.7033391
185	533.7068277
186	533.6930000
187	533.6900000
188	533.6907692
189	533.6899747
190	533.6957143
191	533.6975458
192	533.6993773
193	533.7167155
194	533.7050000
195	533.6863929
196	533.6875000
197	533.6893750
198	533.6880952
199	533.6876984
200	533.6886957
201	533.7020000
202	533.7075971
203	533.7084615
204	533.7076000
205	533.7108696
206	533.7107692
207	533.7097436
208	533.7087179
209	533.7066667
210	533.7050000
211	533.7013636
212	533.7007143
213	533.6971612
214	533.6982504
215	533.7000000
216	533.7000000
217	533.7040307
218	533.7231250
219	533.7153846
220	533.7150000
221	533.7140000
222	533.7123590
223	533.7154545
224	533.7134783
225	533.7053846
226	533.7056549
227	533.7062500
228	533.7012500
