x	y
1	0.0296671
2	0.0296671
3	0.0296673
4	0.0296672
5	0.0296671
6	0.0296676
7	0.0296677
8	0.0296677
9	0.0296678
10	0.0296682
11	0.0296682
12	0.0296680
13	0.0296682
14	0.0296684
15	0.0296686
16	0.0296687
17	0.0296680
18	0.0296673
19	0.0296672
20	0.0296677
21	0.0296679
22	0.0296681
23	0.0296685
24	0.0296681
25	0.0296685
26	0.0296687
27	0.0296681
28	0.0296685
29	0.0296689
30	0.0296685
31	0.0296677
32	0.0296678
33	0.0296681
34	0.0296684
35	0.0296680
36	0.0296678
37	0.0296684
38	0.0296685
39	0.0296682
40	0.0296678
41	0.0296678
42	0.0296684
43	0.0296681
44	0.0296682
45	0.0296685
46	0.0296684
47	0.0296684
48	0.0296683
49	0.0296674
50	0.0296675
51	0.0296676
52	0.0296677
53	0.0296678
54	0.0296684
55	0.0296689
56	0.0296688
57	0.0296682
58	0.0296685
59	0.0296685
60	0.0296684
61	0.0296678
62	0.0296679
63	0.0296680
64	0.0296680
65	0.0296680
66	0.0296680
67	0.0296681
68	0.0296676
69	0.0296675
70	0.0296674
71	0.0296674
72	0.0296678
73	0.0296680
74	0.0296681
75	0.0296678
76	0.0296682
77	0.0296683
78	0.0296680
79	0.0296681
80	0.0296686
81	0.0296688
82	0.0296690
83	0.0296698
84	0.0296698
85	0.0296696
86	0.0296678
87	0.0296676
88	0.0296677
89	0.0296676
90	0.0296675
91	0.0296675
92	0.0296674
93	0.0296674
94	0.0296678
95	0.0296678
96	0.0296678
97	0.0296680
98	0.0296681
99	0.0296684
100	0.0296688
101	0.0296686
102	0.0296687
103	0.0296688
104	0.0296680
105	0.0296678
106	0.0296687
107	0.0296688
108	0.0296687
109	0.0296687
110	0.0296687
111	0.0296687
112	0.0296687
113	0.0296687
114	0.0296684
115	0.0296685
116	0.0296688
117	0.0296689
118	0.0296689
119	0.0296690
120	0.0296685
121	0.0296685
122	0.0296689
123	0.0296690
124	0.0296691
125	0.0296691
126	0.0296691
127	0.0296691
128	0.0296692
129	0.0296692
130	0.0296688
131	0.0296690
132	0.0296685
133	0.0296684
134	0.0296682
135	0.0296680
136	0.0296683
137	0.0296686
138	0.0296684
139	0.0296682
140	0.0296683
141	0.0296686
142	0.0296687
143	0.0296688
144	0.0296689
145	0.0296688
146	0.0296687
147	0.0296686
148	0.0296686
149	0.0296684
150	0.0296683
151	0.0296684
152	0.0296684
153	0.0296680
154	0.0296692
155	0.0296692
156	0.0296692
157	0.0296690
158	0.0296689
159	0.0296684
160	0.0296684
161	0.0296684
162	0.0296690
163	0.0296697
164	0.0296696
165	0.0296693
166	0.0296695
167	0.0296699
168	0.0296698
169	0.0296695
170	0.0296692
171	0.0296691
172	0.0296691
173	0.0296690
174	0.0296688
175	0.0296688
176	0.0296688
177	0.0296688
178	0.0296689
179	0.0296691
180	0.0296693
181	0.0296693
182	0.0296690
183	0.0296685
184	0.0296686
185	0.0296688
186	0.0296680
187	0.0296678
188	0.0296679
189	0.0296678
190	0.0296681
191	0.0296682
192	0.0296683
193	0.0296693
194	0.0296687
195	0.0296676
196	0.0296677
197	0.0296678
198	0.0296677
199	0.0296677
200	0.0296678
201	0.0296685
202	0.0296688
203	0.0296689
204	0.0296688
205	0.0296690
206	0.0296690
207	0.0296689
208	0.0296689
209	0.0296688
210	0.0296687
211	0.0296685
212	0.0296684
213	0.0296682
214	0.0296683
215	0.0296684
216	0.0296684
217	0.0296686
218	0.0296697
219	0.0296692
220	0.0296692
221	0.0296692
222	0.0296691
223	0.0296692
224	0.0296691
225	0.0296687
226	0.0296687
227	0.0296687
228	0.0296685
229	0.0296683
230	0.0296681
231	0.0296681
232	0.0296683
233	0.0296687
234	0.0296688
235	0.0296687
236	0.0296689
237	0.0296689
238	0.0296689
239	0.0296687
240	0.0296687
241	0.0296685
242	0.0296687
243	0.0296686
244	0.0296688
245	0.0296689
246	0.0296692
247	0.0296695
248	0.0296694
249	0.0296693
250	0.0296691
251	0.0296689
252	0.0296688
253	0.0296688
254	0.0296688
255	0.0296681
256	0.0296679
257	0.0296678
258	0.0296675
259	0.0296672
260	0.0296678
261	0.0296678
262	0.0296678
263	0.0296679
264	0.0296677
265	0.0296679
266	0.0296679
267	0.0296678
268	0.0296679
269	0.0296684
270	0.0296685
271	0.0296683
272	0.0296678
273	0.0296668
274	0.0296672
275	0.0296674
276	0.0296675
277	0.0296676
278	0.0296677
279	0.0296678
280	0.0296677
281	0.0296679
282	0.0296683
283	0.0296687
284	0.0296693
285	0.0296693
286	0.0296691
287	0.0296693
288	0.0296692
289	0.0296692
290	0.0296693
291	0.0296689
292	0.0296688
293	0.0296689
294	0.0296685
295	0.0296686
296	0.0296687
297	0.0296689
298	0.0296690
299	0.0296688
300	0.0296680
301	0.0296681
302	0.0296683
303	0.0296684
304	0.0296681
305	0.0296681
306	0.0296681
307	0.0296685
308	0.0296687
309	0.0296683
310	0.0296683
311	0.0296683
312	0.0296679
313	0.0296680
314	0.0296683
315	0.0296683
316	0.0296684
317	0.0296686
318	0.0296688
319	0.0296689
320	0.0296691
321	0.0296693
322	0.0296689
323	0.0296685
324	0.0296680
325	0.0296679
326	0.0296680
327	0.0296681
328	0.0296680
329	0.0296684
330	0.0296683
331	0.0296684
332	0.0296684
333	0.0296686
334	0.0296686
335	0.0296685
336	0.0296681
337	0.0296680
338	0.0296680
339	0.0296677
340	0.0296675
341	0.0296675
342	0.0296675
343	0.0296676
344	0.0296676
345	0.0296675
346	0.0296675
347	0.0296677
348	0.0296677
349	0.0296680
350	0.0296678
351	0.0296678
352	0.0296678
353	0.0296678
354	0.0296679
355	0.0296680
356	0.0296682
357	0.0296683
358	0.0296684
359	0.0296684
360	0.0296686
361	0.0296683
362	0.0296687
363	0.0296684
364	0.0296680
365	0.0296679
366	0.0296679
367	0.0296682
368	0.0296685
369	0.0296685
370	0.0296683
371	0.0296683
372	0.0296681
373	0.0296682
374	0.0296681
375	0.0296675
376	0.0296676
377	0.0296680
378	0.0296680
379	0.0296675
380	0.0296675
381	0.0296678
382	0.0296678
383	0.0296678
384	0.0296678
385	0.0296678
386	0.0296677
387	0.0296677
388	0.0296680
389	0.0296680
390	0.0296680
391	0.0296680
392	0.0296682
393	0.0296684
394	0.0296681
395	0.0296684
396	0.0296684
397	0.0296688
398	0.0296688
399	0.0296676
400	0.0296676
401	0.0296676
402	0.0296679
403	0.0296680
404	0.0296679
405	0.0296674
406	0.0296675
407	0.0296675
408	0.0296674
409	0.0296679
410	0.0296685
411	0.0296684
412	0.0296683
413	0.0296682
414	0.0296683
415	0.0296683
416	0.0296683
417	0.0296675
418	0.0296675
419	0.0296677
420	0.0296676
421	0.0296676
422	0.0296676
423	0.0296676
424	0.0296676
425	0.0296678
426	0.0296677
427	0.0296677
428	0.0296676
429	0.0296673
430	0.0296673
431	0.0296679
432	0.0296689
433	0.0296687
434	0.0296680
435	0.0296681
436	0.0296680
437	0.0296676
438	0.0296672
439	0.0296670
440	0.0296669
441	0.0296669
442	0.0296669
443	0.0296668
444	0.0296679
445	0.0296682
446	0.0296682
447	0.0296681
448	0.0296681
449	0.0296670
450	0.0296670
451	0.0296669
452	0.0296671
453	0.0296671
454	0.0296676
455	0.0296679
456	0.0296678
457	0.0296677
458	0.0296677
459	0.0296679
460	0.0296679
461	0.0296680
462	0.0296679
463	0.0296680
464	0.0296688
465	0.0296680
466	0.0296677
467	0.0296673
468	0.0296673
469	0.0296674
470	0.0296675
471	0.0296677
472	0.0296679
473	0.0296678
474	0.0296678
475	0.0296678
476	0.0296678
477	0.0296680
478	0.0296679
479	0.0296680
480	0.0296679
481	0.0296680
482	0.0296682
483	0.0296674
484	0.0296674
485	0.0296675
486	0.0296674
487	0.0296677
488	0.0296677
489	0.0296670
490	0.0296672
491	0.0296673
492	0.0296669
493	0.0296669
494	0.0296670
495	0.0296671
496	0.0296671
497	0.0296672
498	0.0296672
499	0.0296678
500	0.0296677
501	0.0296677
502	0.0296677
503	0.0296676
504	0.0296674
505	0.0296677
506	0.0296679
507	0.0296670
508	0.0296668
