x	y
1	0.0286922
2	0.0286922
3	0.0286922
4	0.0286923
5	0.0286928
6	0.0286934
7	0.0286934
8	0.0286934
9	0.0286930
10	0.0286930
11	0.0286929
12	0.0286925
13	0.0286928
14	0.0286927
15	0.0286913
16	0.0286916
17	0.0286925
18	0.0286925
19	0.0286929
20	0.0286933
21	0.0286933
22	0.0286935
23	0.0286936
24	0.0286933
25	0.0286934
26	0.0286935
27	0.0286936
28	0.0286935
29	0.0286931
30	0.0286933
31	0.0286939
32	0.0286939
33	0.0286939
34	0.0286939
35	0.0286938
36	0.0286935
37	0.0286936
38	0.0286936
39	0.0286936
40	0.0286937
41	0.0286939
42	0.0286939
43	0.0286938
44	0.0286938
45	0.0286933
46	0.0286933
47	0.0286933
48	0.0286924
49	0.0286923
50	0.0286922
51	0.0286926
52	0.0286938
53	0.0286940
54	0.0286939
55	0.0286942
56	0.0286950
57	0.0286950
58	0.0286947
59	0.0286944
60	0.0286943
61	0.0286943
62	0.0286944
63	0.0286942
64	0.0286939
65	0.0286939
66	0.0286939
67	0.0286943
68	0.0286952
69	0.0286950
70	0.0286950
71	0.0286953
72	0.0286952
73	0.0286940
74	0.0286942
75	0.0286946
76	0.0286946
77	0.0286946
78	0.0286948
79	0.0286948
80	0.0286952
81	0.0286947
82	0.0286941
83	0.0286941
84	0.0286944
85	0.0286949
86	0.0286944
87	0.0286939
88	0.0286939
89	0.0286942
90	0.0286947
91	0.0286947
92	0.0286941
93	0.0286941
94	0.0286939
95	0.0286941
96	0.0286951
97	0.0286953
98	0.0286952
99	0.0286951
100	0.0286953
101	0.0286951
102	0.0286950
103	0.0286949
104	0.0286943
105	0.0286944
106	0.0286942
107	0.0286942
108	0.0286942
109	0.0286942
110	0.0286949
111	0.0286946
112	0.0286945
113	0.0286946
114	0.0286946
115	0.0286945
116	0.0286949
117	0.0286949
118	0.0286948
119	0.0286947
120	0.0286950
121	0.0286948
122	0.0286948
123	0.0286949
124	0.0286950
125	0.0286949
126	0.0286949
127	0.0286949
128	0.0286949
129	0.0286946
130	0.0286946
131	0.0286943
132	0.0286943
133	0.0286954
134	0.0286953
135	0.0286947
136	0.0286945
137	0.0286946
138	0.0286949
139	0.0286948
140	0.0286946
141	0.0286939
142	0.0286943
143	0.0286948
144	0.0286950
145	0.0286957
146	0.0286965
147	0.0286964
148	0.0286959
149	0.0286955
150	0.0286957
151	0.0286957
152	0.0286954
153	0.0286957
154	0.0286957
155	0.0286961
156	0.0286963
157	0.0286962
158	0.0286960
159	0.0286957
160	0.0286953
161	0.0286952
162	0.0286954
163	0.0286948
164	0.0286945
165	0.0286948
166	0.0286947
167	0.0286947
168	0.0286947
169	0.0286948
170	0.0286949
171	0.0286949
172	0.0286950
173	0.0286950
174	0.0286957
175	0.0286965
176	0.0286965
177	0.0286964
178	0.0286965
179	0.0286963
180	0.0286961
181	0.0286961
182	0.0286961
183	0.0286961
184	0.0286961
185	0.0286960
186	0.0286961
