x	y
1	30939.9521538
2	30939.9521538
3	30938.4833013
4	30938.3354594
5	30938.3396589
6	30938.3957143
7	30938.7445714
8	30938.7663750
9	30939.1632000
10	30939.0182804
11	30938.7179696
12	30938.7862826
13	30938.8579500
14	30938.7155000
15	30938.3085000
16	30938.3085000
17	30938.3554615
18	30939.8269231
19	30939.3768750
20	30939.4227267
21	30939.2751250
22	30938.9190000
23	30938.9190000
24	30939.0535385
25	30938.9073025
26	30938.9190000
27	30939.5973333
28	30939.4778018
29	30939.3260000
30	30939.1021500
31	30938.5701429
32	30938.4761876
33	30938.7445714
34	30938.7547253
35	30938.5674262
36	30938.7066522
37	30938.7195311
38	30938.3085000
39	30938.1206538
40	30938.2703438
41	30938.8250769
42	30938.3085000
43	30938.3763333
44	30938.2971944
45	30938.2862458
46	30938.3957143
47	30939.3550714
48	30939.5876429
49	30939.4858929
50	30939.5295000
51	30939.4888000
52	30939.5295000
53	30939.9873750
54	30939.8469600
55	30939.5295000
56	30939.5295000
57	30939.5295000
58	30938.2892271
59	30938.9529167
60	30938.2761346
61	30938.4611250
62	30939.2672981
63	30939.2626442
64	30939.1515714
65	30939.2782930
66	30939.4050147
67	30939.4357582
68	30939.5295000
69	30940.3121923
70	30940.1400000
71	30939.3550714
72	30938.3881304
73	30940.4585217
74	30940.0169397
75	30939.8980359
76	30939.6167143
77	30939.5295000
78	30939.5517269
79	30939.1806429
80	30939.2678571
81	30939.3768750
82	30938.8783000
83	30938.9444375
84	30939.2678571
85	30940.1936703
86	30939.0022500
87	30939.0855000
88	30939.1625769
89	30939.1097813
90	30938.4464495
91	30938.6573571
92	30938.7969000
93	30938.8128261
94	30938.7781154
95	30938.6346218
96	30938.4911282
97	30938.6607115
98	30938.8250769
99	30938.9190000
100	30938.9800500
101	30939.5295000
102	30940.2926250
103	30939.5825870
104	30939.5295000
105	30939.5295000
106	30939.6547308
107	30939.5905500
108	30939.2993885
109	30939.1903333
110	30938.8654409
111	30938.8579500
112	30938.8579500
113	30938.8426875
114	30938.7057163
115	30939.1733750
116	30939.2678571
117	30939.1068462
118	30939.3936923
119	30939.2242500
120	30939.0885833
121	30939.1068462
122	30938.6815833
123	30938.1510919
124	30938.5120000
125	30940.0674071
126	30939.9873750
127	30939.9873750
128	30939.6821250
129	30938.6724519
130	30938.7130673
131	30938.4963462
132	30937.3927500
133	30938.0121346
134	30939.8258654
135	30939.9051923
136	30940.1134565
137	30939.8797548
