x	y
1	601.6900000
2	601.6900000
3	601.7387942
4	601.7409524
5	601.7410985
6	601.7363636
7	601.7259674
8	601.7213333
9	601.7229167
10	601.7236998
11	601.7200000
12	601.7209091
13	601.7207967
14	601.7206667
15	601.7157778
16	601.7161538
17	601.7253846
18	601.7250000
19	601.7000000
20	601.6981818
21	601.6963636
22	601.6862500
23	601.6850000
24	601.6806410
25	601.6814286
26	601.6973993
27	601.6937500
28	601.6950078
29	601.6972222
30	601.6931579
31	601.6953846
32	601.6942857
33	601.6700000
34	601.6527778
35	601.6520370
36	601.6512963
37	601.6537146
38	601.6661538
39	601.6676573
40	601.6641667
41	601.6503788
42	601.6508696
43	601.6550000
44	601.6727273
45	601.6725345
46	601.6735000
47	601.6740000
48	601.6700000
49	601.6688889
50	601.6679072
51	601.6587500
52	601.6563903
53	601.6558974
54	601.6554663
55	601.6569503
56	601.6566667
57	601.6605198
58	601.6620666
59	601.6620000
60	601.6616923
61	601.6613846
62	601.6600543
63	601.6603253
64	601.6626667
65	601.6636667
66	601.6646667
67	601.6612500
68	601.6636364
69	601.6760839
70	601.6720000
71	601.6566667
72	601.6599145
73	601.6525000
74	601.6543478
75	601.6747826
76	601.6709091
77	601.6650000
78	601.6507143
79	601.6652632
80	601.6514228
81	601.6509871
82	601.6505514
83	601.6495833
84	601.6271429
85	601.6369672
86	601.6312937
87	601.6383333
88	601.6375000
89	601.6312500
90	601.6350291
91	601.6376484
92	601.6499062
93	601.6490476
94	601.6409646
95	601.6375000
96	601.6400000
97	601.6500000
98	601.6462500
99	601.6428571
100	601.6398413
101	601.6445238
102	601.6441667
103	601.6400000
104	601.6350000
105	601.6300000
106	601.6281250
107	601.6211058
108	601.6153209
109	601.6285714
110	601.6420000
111	601.6263636
112	601.6104545
113	601.6104808
114	601.6133333
115	601.6133333
116	601.6142857
117	601.6159091
118	601.6191492
119	601.6107143
120	601.6184615
121	601.6172765
122	601.6338462
123	601.6362821
124	601.6369231
125	601.6359041
126	601.6372727
127	601.6367262
128	601.6415789
129	601.6700000
130	601.6695833
131	601.6625000
132	601.6784615
133	601.6688499
134	601.6766225
135	601.6788742
136	601.6792308
137	601.6809091
138	601.7100000
139	601.7022436
140	601.7085714
141	601.7150000
142	601.7200000
143	601.7147619
144	601.7222222
145	601.7641697
146	601.7642857
147	601.7752747
148	601.7650000
149	601.7781818
150	601.8082895
151	601.8105556
152	601.8150000
153	601.8381818
154	601.8341024
155	601.8363636
156	601.8449417
157	601.8535198
158	601.8614286
159	601.8810317
160	601.8800000
161	601.8828571
162	601.8826923
163	601.8962821
164	601.8972727
165	601.8954167
166	601.8913799
167	601.8991667
168	601.8928539
169	601.8990000
170	601.9022222
171	601.9069231
172	601.9112500
173	601.9128571
174	601.9225139
175	601.9211111
176	601.9064286
177	601.9172253
178	601.9176923
179	601.9119208
180	601.9131587
181	601.9150000
182	601.9175000
183	601.9042983
184	601.9075000
185	601.8961538
186	601.9085714
187	601.9225000
188	601.9213636
189	601.9117110
190	601.9298718
191	601.9421429
192	601.9463217
193	601.9320000
194	601.9113555
195	601.9106667
196	601.9125000
197	601.9334771
198	601.9307143
199	601.9231319
200	601.9231818
201	601.9237500
202	601.9260000
203	601.9266667
204	601.9272973
205	601.9265385
206	601.9196154
207	601.9226507
208	601.9231250
209	601.9238889
210	601.9375000
211	601.9414286
212	601.9368750
213	601.9215224
214	601.9173055
215	601.9175000
216	601.9176282
217	601.9177564
218	601.9266667
219	601.9230769
220	601.9187500
221	601.9180449
222	601.9280000
223	601.9350000
224	601.9336538
225	601.9305353
226	601.9290909
227	601.9098205
228	601.9209524
229	601.9186957
230	601.8950000
231	601.8987500
232	601.9000962
233	601.8973077
234	601.9111111
235	601.9127235
236	601.9163636
237	601.9219637
238	601.9268182
239	601.9115385
240	601.9120000
241	601.9200000
242	601.9182121
243	601.9161111
244	601.9180000
245	601.9172727
246	601.9188462
247	601.9171429
248	601.9002614
249	601.9026923
250	601.9065385
251	601.9011954
252	601.8987500
253	601.8893269
254	601.8929167
255	601.8950000
256	601.8990000
257	601.9143333
258	601.9126549
259	601.9154167
260	601.9176243
261	601.9156522
262	601.9096618
263	601.9040000
264	601.9000000
265	601.9023285
266	601.8977778
267	601.8964815
268	601.9000000
269	601.9133333
270	601.9200000
271	601.9186364
272	601.9012691
273	601.9012500
274	601.9016554
275	601.8970000
276	601.8907949
277	601.8925842
278	601.8900000
279	601.8850000
280	601.8850000
281	601.8850000
282	601.8844444
283	601.8855556
284	601.8845455
285	601.8750000
286	601.8757039
287	601.8757143
288	601.8806227
289	601.8827937
290	601.8852564
291	601.8863675
292	601.8874786
293	601.8918750
294	601.8904167
295	601.8740909
296	601.8715385
297	601.8592308
298	601.8608333
299	601.8663636
300	601.8671212
301	601.8620000
302	601.8452821
303	601.8350686
304	601.8357143
305	601.8371429
306	601.8580385
307	601.8533333
308	601.8531624
309	601.8529915
310	601.8525000
311	601.8525000
312	601.8525000
313	601.8500000
314	601.8468607
315	601.8475000
316	601.8326923
317	601.8280000
318	601.8175000
