x	y
1	0.0334479
2	0.0334479
3	0.0334507
4	0.0334508
5	0.0334508
6	0.0334505
7	0.0334499
8	0.0334497
9	0.0334498
10	0.0334498
11	0.0334496
12	0.0334497
13	0.0334497
14	0.0334497
15	0.0334494
16	0.0334494
17	0.0334499
18	0.0334499
19	0.0334485
20	0.0334484
21	0.0334483
22	0.0334477
23	0.0334477
24	0.0334474
25	0.0334475
26	0.0334484
27	0.0334482
28	0.0334482
29	0.0334483
30	0.0334481
31	0.0334482
32	0.0334482
33	0.0334468
34	0.0334459
35	0.0334458
36	0.0334458
37	0.0334459
38	0.0334466
39	0.0334467
40	0.0334465
41	0.0334457
42	0.0334458
43	0.0334460
44	0.0334470
45	0.0334470
46	0.0334470
47	0.0334471
48	0.0334468
49	0.0334468
50	0.0334467
51	0.0334462
52	0.0334461
53	0.0334461
54	0.0334460
55	0.0334461
56	0.0334461
57	0.0334463
58	0.0334464
59	0.0334464
60	0.0334464
61	0.0334464
62	0.0334463
63	0.0334463
64	0.0334464
65	0.0334465
66	0.0334465
67	0.0334463
68	0.0334465
69	0.0334472
70	0.0334469
71	0.0334461
72	0.0334463
73	0.0334459
74	0.0334460
75	0.0334471
76	0.0334469
77	0.0334466
78	0.0334458
79	0.0334466
80	0.0334458
81	0.0334458
82	0.0334458
83	0.0334457
84	0.0334445
85	0.0334450
86	0.0334447
87	0.0334451
88	0.0334450
89	0.0334447
90	0.0334449
91	0.0334450
92	0.0334457
93	0.0334457
94	0.0334452
95	0.0334450
96	0.0334452
97	0.0334457
98	0.0334455
99	0.0334453
100	0.0334452
101	0.0334454
102	0.0334454
103	0.0334452
104	0.0334449
105	0.0334446
106	0.0334445
107	0.0334441
108	0.0334438
109	0.0334445
110	0.0334453
111	0.0334444
112	0.0334435
113	0.0334435
114	0.0334437
115	0.0334437
116	0.0334437
117	0.0334438
118	0.0334440
119	0.0334435
120	0.0334440
121	0.0334439
122	0.0334448
123	0.0334450
124	0.0334450
125	0.0334449
126	0.0334450
127	0.0334450
128	0.0334453
129	0.0334468
130	0.0334468
131	0.0334464
132	0.0334473
133	0.0334468
134	0.0334472
135	0.0334473
136	0.0334473
137	0.0334474
138	0.0334491
139	0.0334486
140	0.0334490
141	0.0334493
142	0.0334496
143	0.0334493
144	0.0334497
145	0.0334521
146	0.0334521
147	0.0334527
148	0.0334521
149	0.0334528
150	0.0334545
151	0.0334546
152	0.0334549
153	0.0334562
154	0.0334560
155	0.0334561
156	0.0334566
157	0.0334570
158	0.0334575
159	0.0334586
160	0.0334585
161	0.0334587
162	0.0334587
163	0.0334594
164	0.0334595
165	0.0334594
166	0.0334591
167	0.0334596
168	0.0334592
169	0.0334596
170	0.0334597
171	0.0334600
172	0.0334602
173	0.0334603
174	0.0334609
175	0.0334608
176	0.0334600
177	0.0334606
178	0.0334606
179	0.0334603
180	0.0334604
181	0.0334605
182	0.0334606
183	0.0334599
184	0.0334600
185	0.0334594
186	0.0334601
187	0.0334609
188	0.0334608
189	0.0334603
190	0.0334613
191	0.0334620
192	0.0334622
193	0.0334614
194	0.0334603
195	0.0334602
196	0.0334603
197	0.0334615
198	0.0334613
199	0.0334609
200	0.0334609
201	0.0334609
202	0.0334611
203	0.0334611
204	0.0334611
205	0.0334611
206	0.0334607
207	0.0334609
208	0.0334609
209	0.0334609
210	0.0334617
211	0.0334619
212	0.0334617
213	0.0334608
214	0.0334606
215	0.0334606
216	0.0334606
217	0.0334606
218	0.0334611
219	0.0334609
220	0.0334607
221	0.0334606
222	0.0334612
223	0.0334616
224	0.0334615
225	0.0334613
226	0.0334612
227	0.0334602
228	0.0334608
229	0.0334607
230	0.0334593
231	0.0334596
232	0.0334596
233	0.0334595
234	0.0334602
235	0.0334603
236	0.0334605
237	0.0334608
238	0.0334611
239	0.0334603
240	0.0334603
241	0.0334607
242	0.0334606
243	0.0334605
244	0.0334606
245	0.0334606
246	0.0334607
247	0.0334606
248	0.0334596
249	0.0334598
250	0.0334600
251	0.0334597
252	0.0334596
253	0.0334590
254	0.0334592
255	0.0334593
256	0.0334596
257	0.0334604
258	0.0334603
259	0.0334605
260	0.0334606
261	0.0334605
262	0.0334602
263	0.0334598
264	0.0334596
265	0.0334598
266	0.0334595
267	0.0334594
268	0.0334596
269	0.0334604
270	0.0334607
271	0.0334607
272	0.0334597
273	0.0334597
274	0.0334597
275	0.0334595
276	0.0334591
277	0.0334592
278	0.0334591
279	0.0334588
280	0.0334588
281	0.0334588
282	0.0334588
283	0.0334588
284	0.0334588
285	0.0334582
286	0.0334583
287	0.0334583
288	0.0334585
289	0.0334587
290	0.0334588
291	0.0334589
292	0.0334589
293	0.0334592
294	0.0334591
295	0.0334582
296	0.0334580
297	0.0334574
298	0.0334574
299	0.0334578
300	0.0334578
301	0.0334575
302	0.0334566
303	0.0334560
304	0.0334560
305	0.0334561
306	0.0334573
307	0.0334570
308	0.0334570
309	0.0334570
310	0.0334570
311	0.0334570
312	0.0334570
313	0.0334568
314	0.0334567
315	0.0334567
316	0.0334559
317	0.0334556
318	0.0334550
319	0.0334541
320	0.0334541
321	0.0334544
322	0.0334546
323	0.0334546
324	0.0334545
325	0.0334543
326	0.0334544
327	0.0334543
328	0.0334542
329	0.0334546
330	0.0334544
331	0.0334541
332	0.0334535
333	0.0334536
334	0.0334534
335	0.0334534
336	0.0334533
337	0.0334522
338	0.0334522
339	0.0334525
340	0.0334522
341	0.0334517
342	0.0334517
343	0.0334517
344	0.0334516
345	0.0334515
346	0.0334515
347	0.0334506
348	0.0334504
349	0.0334505
350	0.0334509
351	0.0334513
352	0.0334510
353	0.0334503
354	0.0334497
355	0.0334494
356	0.0334495
357	0.0334500
358	0.0334500
359	0.0334504
360	0.0334506
361	0.0334509
362	0.0334506
363	0.0334491
364	0.0334490
365	0.0334486
366	0.0334489
367	0.0334504
368	0.0334503
369	0.0334501
370	0.0334494
371	0.0334498
372	0.0334495
373	0.0334488
374	0.0334479
375	0.0334466
376	0.0334468
377	0.0334468
378	0.0334470
379	0.0334471
380	0.0334470
381	0.0334465
382	0.0334467
383	0.0334465
384	0.0334468
385	0.0334468
386	0.0334465
387	0.0334464
388	0.0334457
389	0.0334460
390	0.0334460
391	0.0334446
392	0.0334445
393	0.0334441
394	0.0334447
395	0.0334443
396	0.0334442
397	0.0334443
398	0.0334447
399	0.0334448
400	0.0334437
401	0.0334435
402	0.0334435
403	0.0334438
404	0.0334438
405	0.0334438
406	0.0334437
407	0.0334423
408	0.0334417
409	0.0334417
410	0.0334418
411	0.0334418
412	0.0334419
413	0.0334417
414	0.0334417
415	0.0334416
416	0.0334413
417	0.0334404
418	0.0334404
419	0.0334415
420	0.0334412
421	0.0334413
422	0.0334411
423	0.0334410
424	0.0334409
425	0.0334406
426	0.0334404
427	0.0334404
428	0.0334404
429	0.0334398
430	0.0334396
431	0.0334391
432	0.0334390
433	0.0334390
434	0.0334396
435	0.0334395
436	0.0334398
437	0.0334398
438	0.0334393
439	0.0334393
440	0.0334384
441	0.0334386
442	0.0334386
443	0.0334383
444	0.0334380
445	0.0334380
446	0.0334379
447	0.0334376
448	0.0334377
449	0.0334377
450	0.0334379
451	0.0334378
452	0.0334378
453	0.0334377
454	0.0334370
455	0.0334370
456	0.0334370
457	0.0334367
458	0.0334369
459	0.0334368
460	0.0334356
461	0.0334359
462	0.0334364
463	0.0334365
464	0.0334366
465	0.0334365
466	0.0334360
467	0.0334356
468	0.0334354
469	0.0334355
470	0.0334353
471	0.0334361
472	0.0334360
473	0.0334359
474	0.0334347
475	0.0334347
