x	y
1	4241.0026154
2	4241.0026154
3	4243.9697596
4	4244.0193352
5	4242.4461320
6	4242.0204000
7	4241.6271670
8	4241.3364337
9	4239.7886405
10	4238.9273722
11	4239.0437949
12	4239.2148750
13	4239.5189165
14	4239.5188298
15	4239.2484833
16	4239.5605048
17	4240.2512308
18	4240.2832500
19	4238.9076429
20	4238.6777143
21	4236.6031320
22	4236.6636736
23	4237.9383750
24	4237.8209712
25	4237.7619643
26	4239.1532253
27	4239.5409375
28	4240.9174182
29	4241.0756667
30	4239.1995395
31	4239.0980641
32	4240.0779689
33	4238.3926354
34	4237.4377355
35	4237.4522361
36	4237.4070139
37	4237.8196374
38	4238.8382410
39	4238.9970153
40	4238.6302750
41	4236.9541750
42	4236.2322041
43	4236.7428125
44	4238.1048750
45	4238.5509807
46	4238.3786163
47	4237.8655846
48	4237.4100577
49	4237.9715090
50	4238.3239833
51	4237.8375144
52	4237.7660337
53	4238.3638242
54	4238.1921443
55	4238.4257441
56	4238.5319167
57	4238.6499808
58	4238.7598344
59	4238.8575167
60	4238.8048154
61	4238.7860308
62	4238.1621457
63	4237.6360239
64	4238.3026400
65	4239.2306000
66	4239.0627125
67	4238.7741786
68	4239.0348142
69	4239.8457586
70	4239.6474568
71	4239.7190000
72	4239.9074984
73	4239.3987484
74	4239.4611491
75	4240.8879664
76	4240.5607500
77	4240.2277500
78	4239.0263178
79	4240.0148783
80	4240.0092517
81	4239.4333120
82	4238.7711649
83	4238.9056663
84	4236.9890810
85	4237.6372281
86	4237.4699408
87	4237.7518333
88	4237.2956976
89	4237.1752500
90	4237.3348274
91	4237.7881726
92	4238.7393778
93	4238.4610840
94	4238.0246575
95	4238.3792917
96	4238.5606154
97	4239.0900000
98	4238.7377292
99	4238.4072619
100	4238.1818690
101	4238.5488750
102	4239.1181905
103	4239.4549345
104	4239.2247857
105	4238.7887143
106	4239.1975313
107	4238.1245905
108	4237.0739613
109	4238.0037857
110	4241.0777538
111	4240.1182105
112	4238.8345702
113	4238.5237808
114	4237.8028228
115	4237.5619000
116	4237.7137121
117	4237.5360000
118	4237.6902005
119	4237.6767321
120	4238.0309936
121	4238.0773558
122	4239.5350673
123	4239.6616026
124	4239.6474396
125	4239.4398760
126	4239.5062500
127	4239.3704224
128	4239.6373322
129	4240.4989198
130	4240.6300033
131	4240.3679055
132	4240.7882410
133	4240.0312905
134	4240.8064844
135	4242.3147769
136	4242.2231621
137	4242.3176909
138	4243.5133805
139	4243.0247569
140	4243.6033813
141	4243.8635484
142	4244.2468750
143	4243.9052857
144	4243.7211667
145	4246.2820627
146	4246.5333429
147	4246.3260412
148	4246.2388269
149	4247.3206500
150	4248.9478269
151	4248.8849792
152	4249.1632500
153	4250.8005000
154	4250.5514513
155	4250.7403750
156	4251.0605673
157	4250.7363429
158	4251.6734774
159	4252.8466881
160	4252.7430000
161	4252.9628953
162	4252.9073654
163	4253.4552500
164	4253.3905000
165	4253.0736875
166	4252.6707068
167	4252.9895481
168	4252.4476130
169	4252.6610782
170	4252.6960385
171	4251.0289038
172	4251.2461010
173	4251.2972555
174	4250.5665183
175	4250.4560476
176	4249.3550604
177	4249.5211030
178	4249.0408654
179	4248.1797655
180	4247.2162446
181	4247.2688500
182	4247.0791776
183	4246.0864135
