x	y
1	32492.1718846
2	32492.1718846
3	32492.1836250
4	32492.2658077
5	32493.8479295
6	32493.9846000
7	32493.7431407
8	32493.7509663
9	32495.3954220
10	32496.3045000
11	32495.9622051
12	32495.8466250
13	32495.5357222
14	32495.5278702
15	32495.4997500
16	32495.2106875
17	32495.0835000
18	32495.0280000
19	32494.8773571
20	32494.9962857
21	32496.9598680
22	32496.2818889
23	32494.9308750
24	32494.7821635
25	32494.8892500
26	32494.4730000
27	32493.8625000
28	32492.5628077
29	32492.5397500
30	32494.1677500
31	32494.4051667
32	32493.3581739
33	32493.5608646
34	32493.4643478
35	32493.4046250
36	32493.4046250
37	32493.1396392
38	32492.8804513
39	32492.8134615
40	32492.9671000
41	32493.8014500
42	32494.5533829
43	32494.2949375
44	32494.0151250
45	32493.5572500
46	32493.7885587
47	32494.3321154
48	32494.5434423
49	32493.9141577
50	32493.5017500
51	32493.4291731
52	32493.3565962
53	32492.7287143
54	32492.8740714
55	32492.7310714
56	32492.6075833
57	32492.7247500
58	32492.7093333
59	32492.6075833
60	32492.6415000
61	32492.6415000
62	32493.1841667
63	32493.7268333
64	32493.2031600
65	32492.3362500
66	32492.5651875
67	32492.6451339
68	32492.5301858
69	32492.4791645
70	32492.4281432
71	32491.4205000
72	32491.4302837
73	32491.4863766
74	32491.5367857
75	32491.3575119
76	32491.4482500
77	32491.4205000
78	32491.7497894
79	32491.6494375
80	32490.8101113
81	32491.3594500
82	32491.9949962
83	32491.8013962
84	32492.3479904
85	32492.2996200
86	32492.1205400
87	32492.2684167
88	32492.6736774
89	32492.4125625
90	32492.4836967
91	32492.1902609
92	32491.9873929
93	32492.2132731
94	32492.1562308
95	32491.5900833
96	32491.5613846
97	32491.6425000
98	32491.7658333
99	32491.8891667
100	32491.9304405
101	32491.8493036
102	32491.2581845
103	32490.6670655
104	32490.5919643
105	32490.7227857
106	32490.1995000
107	32490.8439167
108	32491.5413825
109	32491.4205000
110	32489.1663462
111	32489.1712895
112	32489.4836798
113	32489.7960702
114	32490.6911772
115	32490.9321000
116	32490.8384307
117	32491.1152500
118	32491.1588571
119	32490.6573750
120	32490.7760833
121	32490.6573750
122	32490.2112404
123	32490.2334167
124	32490.2867143
125	32490.4320714
126	32490.4492500
127	32490.5517115
128	32490.5810625
129	32491.4545802
130	32491.2980592
131	32491.1277195
132	32491.6818359
133	32491.8519966
134	32491.5513214
135	32490.1804918
136	32490.2938764
137	32490.3018091
138	32490.8821195
139	32490.8972143
140	32490.7049044
141	32490.8372016
142	32490.7591250
143	32490.7809286
144	32491.4205000
145	32491.4205000
146	32491.1763000
147	32492.0544808
148	32491.5144231
149	32491.2373500
150	32491.4482500
151	32491.6494375
152	32491.6425000
153	32491.4205000
154	32491.4205000
155	32491.3696250
156	32491.5731250
157	32492.4210417
158	32491.9667368
159	32491.9903000
160	32492.0310000
161	32491.9855333
162	32492.0310000
163	32492.3127692
164	32492.4380000
165	32492.6415000
166	32492.7980385
167	32492.9545769
168	32493.1111154
169	32493.2728718
170	32493.4346282
171	32495.3887500
172	32495.4357115
173	32495.4826731
174	32496.8029534
175	32496.8277857
176	32497.0324038
177	32497.5255000
178	32498.0342500
179	32498.5430000
180	32499.5820947
181	32499.6419000
182	32499.9841974
183	32500.1710000
184	32500.1964375
185	32500.9830433
186	32501.1885000
187	32503.5365769
188	32503.1726250
189	32503.3688571
190	32503.5898000
191	32503.6169333
192	32503.6440667
193	32504.2410000
194	32504.2410000
195	32505.0041250
196	32505.1183558
197	32504.9404519
198	32504.7625481
199	32504.8515000
200	32506.1977308
201	32506.2420833
202	32506.9882500
203	32506.8930578
204	32507.1408750
205	32507.4461250
206	32507.7983365
207	32508.1656429
208	32508.0150000
209	32507.9040000
210	32508.1075000
211	32507.9718333
212	32508.3031731
213	32508.4381875
214	32509.1334792
215	32507.9646587
216	32509.3832885
217	32509.2945833
218	32509.4302500
219	32509.4459038
220	32509.4615577
221	32509.6128782
222	32509.7641987
223	32510.8549381
224	32510.8325658
225	32510.7869167
226	32510.5625449
227	32510.5240625
228	32510.7530000
229	32510.7869167
230	32510.8801875
231	32511.4005000
232	32511.5741154
233	32511.2617500
234	32510.9850577
235	32510.9565000
236	32510.6173333
237	32510.6303077
238	32511.1259252
239	32510.8625769
240	32512.1393438
241	32512.1647813
242	32511.4282500
243	32511.5415625
244	32511.4250047
245	32511.3228000
246	32511.1725231
247	32511.2617500
248	32511.5879423
249	32511.4449000
250	32511.0054923
251	32511.0661478
252	32511.0060172
253	32510.8177500
254	32510.9565000
255	32511.8644231
256	32511.8722500
257	32511.8058913
258	32511.7450625
259	32511.7067740
260	32511.6891000
261	32511.6847425
262	32512.3403000
263	32512.3883051
264	32512.4363103
265	32512.4854154
266	32512.4827500
267	32512.4827500
268	32512.2792500
269	32511.9609551
270	32512.9188214
271	32512.8219167
272	32512.0248750
273	32512.1775000
274	32512.3966538
275	32511.9555000
276	32511.9555000
277	32512.3162500
278	32512.3394423
279	32512.4770837
280	32511.8722500
281	32511.5748269
282	32511.2774038
283	32511.4206015
284	32510.8208333
285	32511.0921667
286	32511.5670000
287	32511.8820841
288	32511.5670000
289	32511.6780286
290	32511.6280500
291	32511.5560423
292	32511.5904808
293	32511.2895000
294	32510.9735769
295	32510.9225833
296	32510.8886667
297	32511.0786000
298	32511.9614769
299	32511.8445000
300	32511.8722500
301	32511.8383333
302	32511.4143750
303	32511.1854375
304	32511.2852308
305	32511.4417692
306	32511.2739600
307	32511.3753969
308	32511.1472812
309	32511.0328125
310	32511.1384760
311	32510.9565000
312	32511.0739038
313	32511.2617500
314	32511.1745357
315	32510.2587857
316	32509.7206319
317	32509.6591875
318	32509.7803990
319	32509.4537308
320	32509.4738571
321	32509.9729167
322	32509.9797000
323	32510.0360538
324	32510.0924077
325	32510.1015461
326	32509.9186500
327	32509.9390000
328	32510.4070500
329	32510.2990385
330	32510.7921346
331	32511.2617500
332	32510.7123000
333	32510.7777923
334	32510.5240625
335	32509.6798125
336	32509.8663214
337	32509.9669533
338	32510.0407500
339	32510.0552857
340	32510.3460000
341	32509.6482857
342	32509.4641667
343	32509.4715000
344	32508.9262453
345	32509.1250000
346	32509.0704231
347	32508.7180000
348	32508.3618750
349	32508.3736154
350	32507.9903077
351	32507.5377000
352	32507.8276875
353	32507.9345250
354	32506.5053288
355	32506.6066875
356	32507.7097500
357	32508.2235577
358	32507.9040000
359	32507.2935000
360	32506.6047308
361	32506.7702143
362	32506.6830000
363	32506.7974688
364	32506.8047668
365	32506.5521786
366	32506.4998500
367	32506.4540625
368	32506.3777500
369	32505.9198750
370	32505.0197788
371	32505.0447404
372	32505.1845000
373	32505.4183929
374	32505.2955000
375	32505.5204994
376	32506.0137306
377	32505.7290937
378	32504.5335312
379	32504.5123333
380	32504.0035833
381	32504.1392500
382	32504.1392500
383	32503.3930833
384	32504.0766346
385	32504.0035833
386	32503.8630714
387	32503.8557760
388	32503.7809163
389	32503.4778750
390	32503.3863000
391	32502.6677885
392	32502.4095000
393	32501.6463750
394	32501.6325000
395	32501.0358750
396	32501.1602596
397	32501.4937500
398	32501.4505964
399	32501.4115321
400	32501.4273913
401	32502.2399167
402	32502.1478571
403	32501.7900549
404	32501.4937500
405	32499.9675000
406	32499.7930714
407	32499.8318333
408	32499.8657500
409	32499.8657500
410	32499.8530312
411	32499.6622500
412	32498.6632500
413	32498.4412500
414	32497.8307500
415	32498.1360000
416	32498.6786667
417	32498.8834976
418	32499.3188437
419	32499.2043750
420	32498.2416635
421	32498.3802000
422	32497.9732000
423	32497.9528500
424	32498.0088125
425	32497.6563214
426	32497.0067519
427	32497.1960455
428	32496.2027500
429	32496.5168478
430	32496.4042933
431	32495.3971586
432	32495.5296346
433	32495.4826731
434	32494.7547692
435	32495.1598125
436	32495.2645240
437	32495.1598125
438	32495.2191667
439	32495.1445500
440	32493.6335625
441	32494.0644663
442	32494.1168750
443	32493.8898942
444	32494.3086346
445	32494.4730000
446	32494.3034167
447	32494.1067000
448	32493.8977845
449	32493.7268333
450	32493.7861875
451	32494.3203750
452	32494.0151250
453	32494.0328942
454	32494.1677500
455	32494.0033846
456	32494.0165952
457	32494.0151250
458	32493.3341827
459	32493.4046250
460	32493.6127500
461	32493.4740000
462	32492.3725385
463	32492.0310000
464	32492.0881154
465	32491.9585853
466	32491.9437857
467	32490.8122363
468	32490.2472070
469	32490.2250659
470	32490.6065000
471	32491.3057051
472	32491.4205000
473	32491.4205000
474	32491.4641071
475	32491.4544167
476	32490.9487500
477	32490.6997115
478	32490.4506731
479	32490.4090961
480	32490.3775625
481	32488.8187003
482	32489.1185913
483	32489.2837500
484	32489.5890000
485	32489.4581786
486	32488.9785000
487	32488.8564000
488	32488.8040714
489	32488.6492252
490	32488.4854038
491	32488.3680000
492	32488.5622500
493	32488.8258750
494	32488.5424286
495	32487.7060659
496	32487.6777399
497	32487.7575000
498	32488.6028077
499	32487.8931667
500	32487.8447143
501	32486.2838022
502	32486.2923000
503	32486.5365000
504	32486.5695000
505	32486.6913461
506	32486.9638077
507	32486.6509687
508	32486.7307500
509	32486.6197500
510	32486.4347500
511	32487.0452500
512	32487.0325313
513	32486.6128125
514	32485.8531779
515	32486.1373269
516	32486.0446731
517	32485.9525435
518	32486.8319663
519	32486.6891250
520	32486.4621442
521	32486.2351635
522	32486.2782115
523	32487.1470000
524	32486.4895385
525	32486.4144000
526	32486.5365000
527	32486.4190962
528	32486.1440357
529	32486.1757500
530	32486.1373269
531	32485.4198590
532	32485.5013043
533	32485.4798654
534	32485.6970625
535	32485.7903333
536	32485.4027143
537	32485.5486758
538	32484.7050000
539	32484.6286875
540	32485.0337308
541	32485.1120000
542	32484.9085000
543	32484.9593750
544	32485.4681250
545	32485.0806923
546	32485.1980962
547	32485.7984423
548	32485.6885833
549	32485.2877500
550	32485.2322500
551	32484.1777500
552	32484.4701923
553	32484.2471250
554	32483.9189884
555	32483.7939045
556	32483.9588333
557	32484.8945855
558	32485.0538571
559	32485.2685385
560	32485.2282857
561	32485.1925055
562	32485.1567253
563	32485.1934000
564	32485.1212500
565	32484.9063654
566	32484.8458846
567	32485.0063365
568	32485.2137500
569	32485.1323500
570	32483.9724000
571	32483.9911846
572	32483.9636786
573	32483.8274063
574	32483.4840000
575	32483.4526923
576	32483.4840000
577	32483.2659643
578	32482.9607143
579	32483.7892500
580	32483.7421747
581	32483.6718462
582	32483.7190694
