x	y
1	3.6579895
2	3.6579895
3	3.6577497
4	3.6577340
5	3.6577671
6	3.6577638
7	3.6577656
8	3.6578780
9	3.6578806
10	3.6578998
11	3.6578913
12	3.6578906
13	3.6578984
14	3.6579062
15	3.6579084
16	3.6579135
17	3.6579190
18	3.6579141
19	3.6578947
20	3.6578980
21	3.6578953
22	3.6578909
23	3.6578489
24	3.6578514
25	3.6579329
26	3.6579252
27	3.6579634
28	3.6579540
29	3.6578366
30	3.6578962
31	3.6578953
32	3.6579206
33	3.6579225
34	3.6579176
35	3.6578579
36	3.6578642
37	3.6577802
38	3.6577567
39	3.6578082
40	3.6578191
41	3.6578272
42	3.6578006
43	3.6577303
44	3.6577107
45	3.6577192
46	3.6577333
47	3.6577279
48	3.6577497
49	3.6578616
50	3.6578501
51	3.6578380
52	3.6578413
53	3.6579587
54	3.6579786
55	3.6579765
56	3.6579649
57	3.6579634
58	3.6579125
59	3.6579198
60	3.6579138
61	3.6579023
62	3.6578962
63	3.6578779
64	3.6579114
65	3.6579449
66	3.6579583
67	3.6579396
68	3.6579320
69	3.6579311
70	3.6579346
71	3.6579405
72	3.6579108
73	3.6579067
74	3.6579377
75	3.6579358
76	3.6578736
77	3.6578693
78	3.6578649
79	3.6578535
80	3.6578326
81	3.6578373
82	3.6578240
83	3.6578061
84	3.6578108
85	3.6578170
86	3.6578067
87	3.6578070
88	3.6578474
89	3.6577166
90	3.6577192
91	3.6577802
92	3.6578074
93	3.6578107
94	3.6578624
95	3.6578906
96	3.6579188
97	3.6579227
98	3.6579084
99	3.6579515
100	3.6579446
101	3.6579336
102	3.6579227
103	3.6579213
104	3.6578689
105	3.6578657
106	3.6578587
107	3.6578544
108	3.6578456
109	3.6578329
110	3.6577955
111	3.6577497
112	3.6577680
113	3.6577870
114	3.6578074
115	3.6578108
116	3.6578107
117	3.6577763
118	3.6577802
119	3.6577700
120	3.6577751
121	3.6577759
122	3.6577584
123	3.6576846
124	3.6576998
125	3.6577863
126	3.6577849
127	3.6577826
128	3.6577900
129	3.6578596
130	3.6578616
131	3.6578857
132	3.6578794
133	3.6577890
134	3.6577323
135	3.6578342
136	3.6578489
137	3.6578362
138	3.6578711
139	3.6579023
140	3.6579023
141	3.6578567
142	3.6578413
143	3.6578413
144	3.6578464
145	3.6578040
146	3.6577192
147	3.6575818
148	3.6575844
149	3.6576093
150	3.6576734
151	3.6577950
152	3.6577938
153	3.6576886
154	3.6576573
155	3.6576406
156	3.6577115
157	3.6577158
158	3.6577189
159	3.6577253
160	3.6577258
161	3.6577599
162	3.6578220
163	3.6578563
164	3.6577239
165	3.6577004
166	3.6577039
167	3.6577438
168	3.6577192
169	3.6577344
170	3.6577366
171	3.6577286
172	3.6577410
173	3.6577293
174	3.6577344
175	3.6577308
176	3.6577247
177	3.6576631
178	3.6576015
179	3.6576093
180	3.6576178
181	3.6576581
182	3.6576602
183	3.6576658
184	3.6576041
185	3.6576421
186	3.6576581
187	3.6576429
188	3.6576189
189	3.6576247
190	3.6576504
191	3.6576389
192	3.6576772
193	3.6576803
194	3.6576810
195	3.6576930
196	3.6577263
197	3.6577192
198	3.6576789
199	3.6577070
200	3.6577171
201	3.6576646
202	3.6577113
203	3.6577154
204	3.6577098
205	3.6576886
206	3.6576162
207	3.6574445
208	3.6575004
209	3.6575011
210	3.6575428
211	3.6575106
212	3.6575719
213	3.6575934
214	3.6575900
215	3.6576032
216	3.6578762
217	3.6578718
218	3.6578061
219	3.6575903
220	3.6576014
221	3.6576068
222	3.6576145
223	3.6576215
224	3.6576276
225	3.6576319
226	3.6576154
227	3.6574607
228	3.6574766
229	3.6575867
230	3.6576215
231	3.6575666
232	3.6575447
233	3.6575564
234	3.6575600
235	3.6575637
236	3.6576063
237	3.6575998
238	3.6575182
239	3.6574365
240	3.6575284
241	3.6575299
242	3.6575360
243	3.6575421
244	3.6575191
245	3.6575627
246	3.6575651
247	3.6575360
248	3.6575191
249	3.6574919
250	3.6573802
251	3.6573667
252	3.6574078
253	3.6574333
254	3.6574532
255	3.6575666
256	3.6575811
257	3.6575956
258	3.6575642
259	3.6575177
260	3.6575404
261	3.6575788
262	3.6576154
263	3.6576988
264	3.6576886
265	3.6575166
266	3.6575119
267	3.6575396
268	3.6575384
269	3.6575421
270	3.6575266
271	3.6575221
272	3.6574826
273	3.6574732
274	3.6575157
275	3.6575903
276	3.6575888
277	3.6574010
278	3.6574067
279	3.6574216
280	3.6574292
281	3.6574199
282	3.6574186
283	3.6574411
284	3.6574445
285	3.6574797
286	3.6574664
287	3.6574864
288	3.6575177
289	3.6575208
290	3.6575229
291	3.6574546
292	3.6574716
293	3.6574830
294	3.6574750
295	3.6574729
296	3.6574241
297	3.6574105
298	3.6574038
299	3.6573190
300	3.6573249
301	3.6574216
302	3.6574200
303	3.6574657
304	3.6574495
305	3.6574551
306	3.6574512
307	3.6574535
308	3.6574558
309	3.6574872
310	3.6574714
311	3.6575030
312	3.6575543
313	3.6575610
314	3.6575543
315	3.6576173
316	3.6575666
317	3.6575691
318	3.6575721
319	3.6575214
320	3.6575055
321	3.6574632
322	3.6574747
323	3.6575116
324	3.6575089
325	3.6574878
326	3.6576898
327	3.6576677
328	3.6576471
329	3.6576526
330	3.6575971
331	3.6575292
332	3.6575294
333	3.6575592
334	3.6574988
335	3.6574818
336	3.6574835
337	3.6574499
338	3.6574709
339	3.6574396
340	3.6574058
341	3.6574078
342	3.6575238
343	3.6575142
344	3.6575131
345	3.6575354
346	3.6575243
347	3.6575437
348	3.6575988
349	3.6575773
350	3.6575666
351	3.6575102
352	3.6574968
353	3.6574248
354	3.6573995
355	3.6574292
356	3.6576090
357	3.6575904
358	3.6574421
359	3.6574750
360	3.6574987
361	3.6575006
362	3.6574916
363	3.6574628
364	3.6574597
365	3.6574597
366	3.6573573
367	3.6573571
368	3.6573468
369	3.6573495
370	3.6573970
371	3.6573987
372	3.6575294
373	3.6575266
374	3.6574294
375	3.6574129
376	3.6574038
377	3.6574368
378	3.6574732
379	3.6573552
380	3.6573834
381	3.6573663
382	3.6573572
383	3.6574257
384	3.6575818
385	3.6575460
386	3.6574752
387	3.6574043
388	3.6574017
389	3.6574096
390	3.6574069
391	3.6574152
392	3.6574737
393	3.6574648
394	3.6573752
395	3.6573783
396	3.6574152
397	3.6573872
398	3.6573956
399	3.6574096
400	3.6573660
401	3.6573703
402	3.6573796
403	3.6573599
404	3.6573630
405	3.6573681
406	3.6573851
407	3.6574021
408	3.6575023
409	3.6574804
410	3.6574632
411	3.6574460
412	3.6574575
413	3.6575194
414	3.6574994
415	3.6574597
416	3.6574895
417	3.6576520
418	3.6576320
419	3.6575627
420	3.6575434
421	3.6575240
422	3.6574139
423	3.6573910
424	3.6573552
425	3.6573758
426	3.6573895
427	3.6573922
428	3.6573529
429	3.6574968
430	3.6574381
431	3.6574368
432	3.6574139
433	3.6574200
434	3.6574614
435	3.6574445
436	3.6574108
437	3.6574163
438	3.6574632
439	3.6574605
440	3.6574343
441	3.6574445
442	3.6575259
443	3.6575238
444	3.6575471
445	3.6575208
446	3.6574883
447	3.6574881
448	3.6574652
449	3.6574648
450	3.6573212
451	3.6574241
452	3.6575017
453	3.6575293
454	3.6575225
455	3.6574986
456	3.6574748
457	3.6574793
458	3.6574699
459	3.6574597
460	3.6573462
461	3.6574394
462	3.6574478
463	3.6574750
464	3.6574694
465	3.6574528
466	3.6574361
467	3.6573681
468	3.6573314
469	3.6573643
470	3.6573529
471	3.6573054
472	3.6573483
473	3.6573177
474	3.6573956
475	3.6574125
476	3.6574176
477	3.6573928
478	3.6572895
479	3.6572904
480	3.6572700
481	3.6573122
482	3.6573630
483	3.6573672
484	3.6573472
485	3.6573576
486	3.6573654
487	3.6573485
488	3.6573485
489	3.6573224
490	3.6573223
491	3.6573036
492	3.6573140
493	3.6573190
494	3.6573369
495	3.6573548
496	3.6573926
497	3.6573639
498	3.6573581
499	3.6573834
500	3.6573811
501	3.6573572
502	3.6573987
503	3.6574534
504	3.6574088
505	3.6573616
506	3.6573580
507	3.6573921
508	3.6573997
509	3.6573365
510	3.6573740
511	3.6573668
512	3.6573591
513	3.6574597
514	3.6574683
515	3.6574632
516	3.6573461
517	3.6573529
518	3.6573529
519	3.6573605
520	3.6573781
521	3.6573911
522	3.6574151
523	3.6574476
524	3.6573998
525	3.6574038
526	3.6573963
527	3.6574036
528	3.6574071
529	3.6574106
530	3.6574114
531	3.6573681
532	3.6573457
533	3.6573414
534	3.6572918
535	3.6572158
536	3.6572172
537	3.6572303
538	3.6572155
539	3.6571852
540	3.6571765
541	3.6572816
542	3.6572918
543	3.6572962
544	3.6574263
545	3.6574163
546	3.6574139
547	3.6574063
548	3.6574115
549	3.6574139
550	3.6574200
551	3.6574057
552	3.6573834
553	3.6573529
554	3.6573416
555	3.6573224
556	3.6573257
557	3.6573529
558	3.6573005
559	3.6573026
560	3.6573046
561	3.6573777
562	3.6574001
563	3.6574567
564	3.6574579
565	3.6573631
566	3.6573098
567	3.6573376
568	3.6573494
569	3.6572986
570	3.6571545
571	3.6571586
572	3.6572491
573	3.6573149
574	3.6572012
575	3.6572117
576	3.6572787
577	3.6572454
578	3.6573191
579	3.6574434
580	3.6574515
581	3.6573981
582	3.6574225
583	3.6574585
584	3.6574139
585	3.6574030
586	3.6573920
587	3.6573224
588	3.6573248
589	3.6573414
590	3.6573398
591	3.6572529
592	3.6572636
593	3.6572621
594	3.6572900
595	3.6572754
596	3.6572918
597	3.6573529
598	3.6573529
599	3.6573376
600	3.6572969
601	3.6572669
602	3.6572462
603	3.6573936
604	3.6573857
605	3.6573834
606	3.6573698
607	3.6572143
608	3.6571269
609	3.6571697
610	3.6571926
611	3.6572621
612	3.6572613
613	3.6572613
614	3.6573279
615	3.6573274
616	3.6573297
617	3.6574469
618	3.6574445
619	3.6574445
620	3.6574445
621	3.6573818
622	3.6573572
623	3.6572410
624	3.6571151
625	3.6571290
626	3.6571144
627	3.6571433
628	3.6572247
629	3.6572105
630	3.6572190
631	3.6573224
632	3.6573902
633	3.6574444
634	3.6574304
635	3.6572992
636	3.6573383
637	3.6573512
638	3.6573590
639	3.6573261
640	3.6572172
641	3.6573427
642	3.6573427
643	3.6573427
644	3.6573427
645	3.6573417
646	3.6573406
647	3.6572243
648	3.6573723
649	3.6573376
650	3.6572460
651	3.6572918
652	3.6572867
653	3.6574183
654	3.6574875
655	3.6574805
656	3.6573747
657	3.6573834
658	3.6573834
659	3.6573895
660	3.6573738
661	3.6572902
662	3.6572870
663	3.6572658
664	3.6572918
665	3.6573418
666	3.6573892
667	3.6573887
668	3.6573529
669	3.6572430
670	3.6572330
671	3.6572880
672	3.6573475
673	3.6572793
674	3.6572488
675	3.6572419
676	3.6572369
677	3.6572347
678	3.6572689
679	3.6572766
680	3.6572796
681	3.6572664
682	3.6572613
683	3.6572613
684	3.6572716
685	3.6572838
686	3.6573165
687	3.6573162
688	3.6573001
689	3.6573008
690	3.6573732
691	3.6573718
692	3.6573452
693	3.6573188
694	3.6573631
695	3.6573766
696	3.6573761
697	3.6574444
698	3.6574445
699	3.6574445
700	3.6573834
701	3.6573732
702	3.6573729
703	3.6573559
704	3.6573584
705	3.6573612
706	3.6573201
707	3.6572131
708	3.6572155
709	3.6572384
710	3.6572422
711	3.6573071
712	3.6573064
713	3.6573152
714	3.6574139
715	3.6574229
716	3.6573910
717	3.6574678
718	3.6574343
719	3.6573224
720	3.6572104
721	3.6571948
722	3.6572657
723	3.6572787
724	3.6572804
725	3.6573325
726	3.6573701
727	3.6573778
728	3.6573590
729	3.6572413
730	3.6571253
731	3.6571328
732	3.6571287
733	3.6571479
734	3.6571592
735	3.6571697
736	3.6572049
737	3.6572035
738	3.6572096
739	3.6572002
740	3.6572058
741	3.6572058
742	3.6571762
743	3.6571737
744	3.6572257
745	3.6572817
746	3.6572902
747	3.6573545
748	3.6573557
749	3.6575172
750	3.6575055
751	3.6575055
752	3.6574913
753	3.6574879
754	3.6574765
755	3.6575737
756	3.6575578
757	3.6575818
758	3.6578713
759	3.6579939
760	3.6581007
761	3.6582799
762	3.6585739
763	3.6587570
764	3.6588791
765	3.6589097
766	3.6595276
767	3.6598559
768	3.6604794
769	3.6610674
770	3.6613110
771	3.6620368
772	3.6624791
773	3.6629215
774	3.6635233
775	3.6639403
776	3.6640684
777	3.6645771
778	3.6648417
779	3.6651808
780	3.6653199
781	3.6658388
782	3.6663883
783	3.6666824
784	3.6667393
785	3.6668258
786	3.6671616
787	3.6672277
788	3.6672989
789	3.6673702
790	3.6676520
791	3.6677945
792	3.6679369
793	3.6679100
794	3.6679145
795	3.6679993
796	3.6680348
797	3.6682180
798	3.6681857
799	3.6681757
800	3.6681936
801	3.6682401
802	3.6684301
803	3.6684329
804	3.6684247
805	3.6683423
806	3.6683618
807	3.6683775
808	3.6683778
809	3.6683595
810	3.6683724
811	3.6684242
812	3.6684116
813	3.6684284
814	3.6683996
815	3.6683816
816	3.6684624
817	3.6684801
818	3.6684596
819	3.6684658
820	3.6686166
821	3.6686302
822	3.6686200
823	3.6686128
824	3.6685962
825	3.6685929
826	3.6686864
827	3.6686929
828	3.6686777
829	3.6685112
830	3.6685973
831	3.6686064
832	3.6687390
833	3.6687625
834	3.6687015
835	3.6687276
836	3.6687823
837	3.6687692
838	3.6687637
839	3.6687626
840	3.6687657
841	3.6687591
842	3.6687082
843	3.6686471
844	3.6686054
845	3.6686044
846	3.6685829
847	3.6686058
848	3.6686080
849	3.6686033
850	3.6686340
851	3.6686663
852	3.6686848
853	3.6686909
854	3.6686777
855	3.6686659
856	3.6686280
857	3.6685909
858	3.6686830
859	3.6686737
860	3.6686624
861	3.6685708
862	3.6686726
863	3.6686546
864	3.6686349
865	3.6686897
866	3.6686864
867	3.6685060
868	3.6684992
869	3.6685047
870	3.6685215
871	3.6684370
872	3.6684289
873	3.6684390
874	3.6684182
875	3.6684266
876	3.6684312
877	3.6683989
878	3.6683237
879	3.6683724
880	3.6684058
881	3.6684131
882	3.6683853
883	3.6683660
884	3.6683740
885	3.6683819
886	3.6684239
887	3.6684029
888	3.6684204
889	3.6684087
890	3.6684223
891	3.6684422
892	3.6684080
893	3.6684080
894	3.6683724
895	3.6682910
896	3.6683117
897	3.6683114
898	3.6682812
899	3.6683147
900	3.6683083
901	3.6681849
902	3.6681740
903	3.6681435
904	3.6681409
905	3.6681214
906	3.6681197
907	3.6681179
908	3.6681206
909	3.6681049
910	3.6681049
911	3.6680977
912	3.6681378
913	3.6681333
914	3.6680977
915	3.6680369
916	3.6680421
917	3.6679718
918	3.6679756
919	3.6679756
920	3.6677110
921	3.6677212
922	3.6677816
923	3.6677753
924	3.6677765
925	3.6677122
926	3.6676907
927	3.6674089
928	3.6674174
929	3.6673810
930	3.6674261
931	3.6674227
932	3.6674027
933	3.6673869
934	3.6673422
935	3.6672964
936	3.6672561
937	3.6672473
938	3.6671209
939	3.6668462
940	3.6667393
941	3.6666412
942	3.6664951
943	3.6661899
944	3.6655529
945	3.6651978
946	3.6649468
947	3.6647704
948	3.6642006
949	3.6641447
950	3.6637326
951	3.6636105
952	3.6630611
953	3.6624963
954	3.6616296
955	3.6613697
956	3.6612245
957	3.6609208
958	3.6606170
959	3.6603070
960	3.6600289
961	3.6596612
962	3.6596159
963	3.6595049
964	3.6592080
965	3.6590623
966	3.6588486
967	3.6584913
968	3.6584853
969	3.6584793
970	3.6584579
971	3.6582249
972	3.6582237
973	3.6581792
974	3.6581771
975	3.6581618
976	3.6579685
977	3.6579786
978	3.6579795
979	3.6579786
980	3.6579430
981	3.6579634
982	3.6579578
983	3.6579378
984	3.6579278
985	3.6578158
986	3.6577802
987	3.6577658
988	3.6577344
989	3.6576454
990	3.6576276
991	3.6576276
992	3.6577062
993	3.6577294
994	3.6577337
995	3.6577497
996	3.6577294
997	3.6576886
998	3.6576963
999	3.6576673
1000	3.6575292
1001	3.6575453
1002	3.6575404
1003	3.6575360
1004	3.6574885
1005	3.6575259
1006	3.6575082
1007	3.6574732
1008	3.6574343
1009	3.6574270
1010	3.6574224
1011	3.6574177
1012	3.6574292
1013	3.6574195
1014	3.6574063
1015	3.6574112
1016	3.6573866
1017	3.6573865
1018	3.6573612
1019	3.6573692
1020	3.6573987
1021	3.6573359
1022	3.6573495
1023	3.6574750
1024	3.6575462
1025	3.6576073
1026	3.6574939
1027	3.6574750
1028	3.6574895
1029	3.6574750
1030	3.6574694
1031	3.6574639
1032	3.6574139
1033	3.6574648
1034	3.6574753
1035	3.6574793
1036	3.6575301
1037	3.6575055
1038	3.6574902
1039	3.6575004
1040	3.6574445
1041	3.6574643
1042	3.6574575
1043	3.6575080
1044	3.6575666
1045	3.6575388
1046	3.6574679
1047	3.6574945
1048	3.6575276
1049	3.6575186
1050	3.6575346
1051	3.6575971
1052	3.6575971
1053	3.6575979
1054	3.6575907
1055	3.6575469
1056	3.6575914
1057	3.6574750
1058	3.6574987
1059	3.6574852
1060	3.6574801
1061	3.6574750
1062	3.6575138
1063	3.6575564
1064	3.6575788
1065	3.6576039
1066	3.6575971
1067	3.6575997
1068	3.6575851
1069	3.6575456
1070	3.6575674
1071	3.6575360
1072	3.6573766
1073	3.6573803
1074	3.6573621
1075	3.6573783
1076	3.6573921
1077	3.6576215
1078	3.6575971
1079	3.6575619
1080	3.6575887
1081	3.6575727
1082	3.6575665
1083	3.6574411
1084	3.6574723
1085	3.6574953
1086	3.6574944
1087	3.6574896
1088	3.6574848
1089	3.6574968
1090	3.6575311
1091	3.6575243
1092	3.6574822
1093	3.6574802
1094	3.6574770
1095	3.6575131
1096	3.6575055
1097	3.6575290
1098	3.6575360
1099	3.6575360
1100	3.6575398
1101	3.6575360
1102	3.6575322
1103	3.6575191
1104	3.6575259
1105	3.6575127
1106	3.6575136
1107	3.6576344
1108	3.6576711
1109	3.6576785
1110	3.6576779
1111	3.6575615
1112	3.6575727
1113	3.6575494
1114	3.6575543
1115	3.6575526
1116	3.6575782
1117	3.6575903
1118	3.6575428
1119	3.6574041
1120	3.6574153
1121	3.6574546
1122	3.6574979
1123	3.6575055
1124	3.6575089
1125	3.6575937
1126	3.6576872
1127	3.6576833
1128	3.6576739
1129	3.6576886
1130	3.6576887
1131	3.6576988
1132	3.6577192
1133	3.6576599
1134	3.6576942
1135	3.6577000
1136	3.6577010
1137	3.6577003
1138	3.6576843
1139	3.6576734
1140	3.6576801
1141	3.6575716
1142	3.6575983
1143	3.6575971
1144	3.6576009
1145	3.6576096
1146	3.6576073
1147	3.6575971
1148	3.6575622
1149	3.6575762
1150	3.6575733
1151	3.6575577
1152	3.6575578
1153	3.6575360
1154	3.6575818
1155	3.6576271
1156	3.6576147
1157	3.6576089
1158	3.6576303
1159	3.6576683
1160	3.6576734
1161	3.6576727
1162	3.6577102
1163	3.6577691
1164	3.6577650
1165	3.6577497
1166	3.6576350
1167	3.6576581
1168	3.6576307
1169	3.6576286
1170	3.6576266
1171	3.6576208
1172	3.6575550
1173	3.6575589
1174	3.6575631
1175	3.6575452
1176	3.6575462
1177	3.6575937
1178	3.6575931
1179	3.6576177
1180	3.6576174
1181	3.6576079
1182	3.6576314
1183	3.6576530
1184	3.6577247
1185	3.6577220
1186	3.6576772
1187	3.6576480
1188	3.6576275
1189	3.6576223
1190	3.6576310
1191	3.6576265
1192	3.6576332
1193	3.6576077
1194	3.6576368
1195	3.6576774
1196	3.6576276
1197	3.6576074
1198	3.6576429
1199	3.6575633
1200	3.6575635
1201	3.6575586
1202	3.6575510
1203	3.6575360
1204	3.6575666
