x	y
1	599.1792857
2	599.1792857
3	599.1400000
4	599.1374359
5	599.1428571
6	599.1423077
7	599.1426087
8	599.1610215
9	599.1614373
10	599.1645833
11	599.1632000
12	599.1630769
13	599.1643590
14	599.1656410
15	599.1660000
16	599.1668233
17	599.1677273
18	599.1669316
19	599.1637500
20	599.1642857
21	599.1638462
22	599.1631250
23	599.1562500
24	599.1566667
25	599.1700000
26	599.1687500
27	599.1750000
28	599.1734615
29	599.1542308
30	599.1640000
31	599.1638462
32	599.1680000
33	599.1683077
34	599.1675000
35	599.1577273
36	599.1587500
37	599.1450000
38	599.1411538
39	599.1495833
40	599.1513636
41	599.1526923
42	599.1483333
43	599.1368182
44	599.1336127
45	599.1350000
46	599.1373077
47	599.1364286
48	599.1400000
49	599.1583333
50	599.1564423
51	599.1544569
52	599.1550000
53	599.1742308
54	599.1775000
55	599.1771429
56	599.1752510
57	599.1750000
58	599.1666667
59	599.1678586
60	599.1668750
61	599.1650000
62	599.1640000
63	599.1610000
64	599.1664872
65	599.1719744
66	599.1741667
67	599.1711111
68	599.1698575
69	599.1697159
70	599.1702843
71	599.1712541
72	599.1663820
73	599.1657171
74	599.1708000
75	599.1704762
76	599.1602930
77	599.1595849
78	599.1588767
79	599.1570000
80	599.1535714
81	599.1543478
82	599.1521739
83	599.1492308
84	599.1500000
85	599.1510256
86	599.1493333
87	599.1493937
88	599.1560064
89	599.1345833
90	599.1350000
91	599.1450000
92	599.1494444
93	599.1500000
94	599.1584615
95	599.1630769
96	599.1676923
97	599.1683333
98	599.1660000
99	599.1730603
100	599.1719231
101	599.1701282
102	599.1683333
103	599.1681003
104	599.1595192
105	599.1590000
106	599.1578571
107	599.1571429
108	599.1557143
109	599.1536364
110	599.1475000
111	599.1400000
112	599.1430000
113	599.1461111
114	599.1494444
115	599.1500000
116	599.1500000
117	599.1443590
118	599.1450000
119	599.1433333
120	599.1441667
121	599.1442857
122	599.1414286
123	599.1293407
124	599.1318182
125	599.1459907
126	599.1457692
127	599.1453846
128	599.1465982
129	599.1580000
130	599.1583333
