x	y
1	0.0333084
2	0.0333084
3	0.0333062
4	0.0333061
5	0.0333064
6	0.0333063
7	0.0333063
8	0.0333074
9	0.0333074
10	0.0333076
11	0.0333075
12	0.0333075
13	0.0333075
14	0.0333076
15	0.0333076
16	0.0333077
17	0.0333077
18	0.0333077
19	0.0333075
20	0.0333075
21	0.0333075
22	0.0333075
23	0.0333071
24	0.0333071
25	0.0333079
26	0.0333078
27	0.0333081
28	0.0333081
29	0.0333070
30	0.0333075
31	0.0333075
32	0.0333077
33	0.0333078
34	0.0333077
35	0.0333072
36	0.0333072
37	0.0333065
38	0.0333063
39	0.0333067
40	0.0333068
41	0.0333069
42	0.0333067
43	0.0333060
44	0.0333058
45	0.0333059
46	0.0333060
47	0.0333060
48	0.0333062
49	0.0333072
50	0.0333071
51	0.0333070
52	0.0333070
53	0.0333081
54	0.0333083
55	0.0333083
56	0.0333082
57	0.0333081
58	0.0333077
59	0.0333077
60	0.0333077
61	0.0333076
62	0.0333075
63	0.0333074
64	0.0333077
65	0.0333080
66	0.0333081
67	0.0333079
68	0.0333079
69	0.0333078
70	0.0333079
71	0.0333079
72	0.0333077
73	0.0333076
74	0.0333079
75	0.0333079
76	0.0333073
77	0.0333073
78	0.0333072
79	0.0333071
80	0.0333069
81	0.0333070
82	0.0333069
83	0.0333067
84	0.0333067
85	0.0333068
86	0.0333067
87	0.0333067
88	0.0333071
89	0.0333059
90	0.0333059
91	0.0333065
92	0.0333067
93	0.0333067
94	0.0333072
95	0.0333075
96	0.0333077
97	0.0333078
98	0.0333076
99	0.0333080
100	0.0333080
101	0.0333079
102	0.0333078
103	0.0333078
104	0.0333073
105	0.0333072
106	0.0333072
107	0.0333071
108	0.0333071
109	0.0333070
110	0.0333066
111	0.0333062
112	0.0333064
113	0.0333065
114	0.0333067
115	0.0333067
116	0.0333067
117	0.0333064
118	0.0333065
119	0.0333064
120	0.0333064
121	0.0333064
122	0.0333063
123	0.0333056
124	0.0333057
125	0.0333065
126	0.0333065
127	0.0333065
128	0.0333066
129	0.0333072
130	0.0333072
131	0.0333074
132	0.0333074
133	0.0333066
134	0.0333060
135	0.0333070
136	0.0333071
137	0.0333070
138	0.0333073
139	0.0333076
140	0.0333076
141	0.0333072
142	0.0333070
143	0.0333070
144	0.0333071
145	0.0333067
146	0.0333059
147	0.0333047
148	0.0333047
149	0.0333049
150	0.0333055
151	0.0333066
152	0.0333066
153	0.0333056
154	0.0333054
155	0.0333052
156	0.0333058
157	0.0333059
158	0.0333059
159	0.0333060
160	0.0333060
161	0.0333063
162	0.0333069
163	0.0333072
164	0.0333060
165	0.0333057
166	0.0333058
167	0.0333061
168	0.0333059
169	0.0333061
170	0.0333061
171	0.0333060
172	0.0333061
173	0.0333060
174	0.0333061
175	0.0333060
176	0.0333060
177	0.0333054
178	0.0333048
179	0.0333049
180	0.0333050
181	0.0333054
182	0.0333054
183	0.0333054
184	0.0333049
185	0.0333052
186	0.0333054
187	0.0333052
188	0.0333050
189	0.0333051
190	0.0333053
191	0.0333052
192	0.0333055
193	0.0333056
194	0.0333056
195	0.0333057
196	0.0333060
197	0.0333059
198	0.0333055
199	0.0333058
200	0.0333059
201	0.0333054
202	0.0333058
203	0.0333059
204	0.0333058
205	0.0333056
206	0.0333050
207	0.0333034
208	0.0333039
209	0.0333039
210	0.0333043
211	0.0333040
212	0.0333046
213	0.0333048
214	0.0333047
215	0.0333049
216	0.0333073
217	0.0333073
218	0.0333067
219	0.0333047
220	0.0333048
221	0.0333049
222	0.0333050
223	0.0333050
224	0.0333051
225	0.0333051
226	0.0333050
227	0.0333036
228	0.0333037
229	0.0333047
230	0.0333050
231	0.0333045
232	0.0333043
233	0.0333044
234	0.0333045
235	0.0333045
236	0.0333049
237	0.0333048
238	0.0333041
239	0.0333033
240	0.0333042
241	0.0333042
242	0.0333042
243	0.0333043
244	0.0333041
245	0.0333045
246	0.0333045
247	0.0333042
248	0.0333041
249	0.0333038
250	0.0333028
251	0.0333027
252	0.0333031
253	0.0333033
254	0.0333035
255	0.0333045
256	0.0333047
257	0.0333048
258	0.0333045
259	0.0333041
260	0.0333043
261	0.0333046
262	0.0333050
263	0.0333057
264	0.0333056
265	0.0333041
266	0.0333040
267	0.0333043
268	0.0333043
269	0.0333043
270	0.0333042
271	0.0333041
272	0.0333038
273	0.0333037
274	0.0333041
275	0.0333047
276	0.0333047
277	0.0333030
278	0.0333031
279	0.0333032
280	0.0333033
281	0.0333032
282	0.0333032
283	0.0333034
284	0.0333034
285	0.0333037
286	0.0333036
287	0.0333038
288	0.0333041
289	0.0333041
290	0.0333041
291	0.0333035
292	0.0333037
293	0.0333038
294	0.0333037
295	0.0333037
296	0.0333032
297	0.0333031
298	0.0333030
299	0.0333023
300	0.0333023
301	0.0333032
302	0.0333032
303	0.0333036
304	0.0333035
305	0.0333035
306	0.0333035
307	0.0333035
308	0.0333035
309	0.0333038
310	0.0333037
311	0.0333039
312	0.0333044
313	0.0333045
314	0.0333044
315	0.0333050
316	0.0333045
317	0.0333045
318	0.0333046
319	0.0333041
320	0.0333040
321	0.0333036
322	0.0333037
323	0.0333040
324	0.0333040
325	0.0333038
326	0.0333056
327	0.0333054
328	0.0333053
329	0.0333053
330	0.0333048
331	0.0333042
332	0.0333042
333	0.0333045
334	0.0333039
335	0.0333038
336	0.0333038
337	0.0333035
338	0.0333037
339	0.0333034
340	0.0333031
341	0.0333031
342	0.0333041
343	0.0333040
344	0.0333040
345	0.0333042
346	0.0333041
347	0.0333043
348	0.0333048
349	0.0333046
350	0.0333045
351	0.0333040
352	0.0333039
353	0.0333032
354	0.0333030
355	0.0333033
356	0.0333049
357	0.0333047
358	0.0333034
359	0.0333037
360	0.0333039
361	0.0333039
362	0.0333038
363	0.0333036
364	0.0333036
365	0.0333036
366	0.0333026
367	0.0333026
368	0.0333025
369	0.0333025
370	0.0333030
371	0.0333030
372	0.0333042
373	0.0333042
374	0.0333033
375	0.0333031
376	0.0333030
377	0.0333033
378	0.0333037
379	0.0333026
380	0.0333029
381	0.0333027
382	0.0333026
383	0.0333032
384	0.0333047
385	0.0333043
386	0.0333037
387	0.0333030
388	0.0333030
389	0.0333031
390	0.0333031
391	0.0333031
392	0.0333037
393	0.0333036
394	0.0333028
395	0.0333028
396	0.0333031
397	0.0333029
398	0.0333030
399	0.0333031
400	0.0333027
401	0.0333027
402	0.0333028
403	0.0333026
404	0.0333027
405	0.0333027
406	0.0333029
407	0.0333030
408	0.0333039
409	0.0333037
410	0.0333036
411	0.0333034
412	0.0333035
413	0.0333041
414	0.0333039
415	0.0333036
416	0.0333038
417	0.0333053
418	0.0333051
