x	y
1	32239.1967857
2	32239.1967857
3	32238.8316289
4	32238.9502202
5	32239.5892500
6	32239.8945000
7	32239.5892500
8	32239.7927500
9	32240.1658333
10	32239.8072857
11	32240.0471250
12	32239.4170577
13	32239.2809081
14	32239.3450500
15	32239.7426577
16	32239.9199375
17	32240.0166000
18	32240.4987385
19	32240.3142187
20	32240.1596370
21	32240.0301667
22	32239.5892500
23	32239.9500000
24	32240.1453461
25	32240.1420936
26	32239.4483654
27	32239.3700962
28	32240.3523750
29	32240.5480481
30	32240.5050000
31	32240.1606154
32	32240.3940000
33	32240.4680000
34	32240.2701923
35	32240.5050000
36	32240.9454231
37	32241.2935625
38	32241.7260000
39	32241.5988125
40	32240.6576250
41	32240.6271635
42	32240.3107500
43	32239.8945000
44	32239.9326563
45	32240.1997500
46	32240.1658333
47	32240.1997500
48	32240.1997500
49	32240.5813125
50	32240.5922143
51	32241.0282857
52	32240.9798333
53	32241.0322500
54	32240.9212500
55	32240.8102500
56	32241.1155000
57	32241.1685870
58	32241.2511667
59	32241.5433718
60	32241.0920192
61	32241.3420577
62	32241.7260000
63	32241.7260000
64	32241.8616667
65	32241.8786250
66	32242.0312500
67	32242.2255000
68	32242.1838750
69	32241.2899286
70	32241.1918125
71	32241.3855495
72	32242.0195165
73	32241.6555577
74	32242.5562800
75	32241.7533942
76	32240.9934000
77	32241.0815833
78	32241.7303483
79	32241.7260000
80	32241.5068462
81	32241.2876923
82	32241.4032363
83	32241.5381538
84	32241.3529167
85	32241.3062812
86	32241.7260000
87	32241.8172916
88	32241.7877382
89	32242.6671875
90	32242.6987067
91	32242.5585000
92	32242.1730833
93	32241.7876667
94	32241.8236800
95	32242.6853571
96	32242.6417500
97	32242.5008654
98	32242.5109286
99	32242.6695000
100	32242.1838750
101	32242.4516827
102	32242.2601875
103	32242.8408261
104	32244.4143779
105	32243.8966667
106	32243.5575000
107	32242.4304231
108	32241.8647500
109	32241.7096346
110	32241.8786250
111	32241.9634167
112	32241.9373269
113	32241.7599167
114	32241.7999209
115	32241.0646250
116	32240.9410714
117	32241.1199725
118	32241.2216739
119	32241.6387857
120	32242.3856978
121	32242.1911429
122	32242.2288798
123	32242.3365000
124	32242.3365000
125	32242.4382500
126	32242.4005961
127	32242.3365000
128	32242.4254078
129	32241.2511667
130	32241.0751560
131	32241.4207500
132	32241.4990192
133	32241.3503077
134	32241.3972692
135	32241.3346538
136	32241.0391875
137	32241.0920192
138	32241.1155000
139	32241.2720385
140	32241.3033462
141	32243.3830714
142	32243.2268125
143	32242.2262708
144	32242.3623723
145	32242.3365000
146	32242.8061154
147	32242.5400000
148	32242.1620714
149	32242.4920714
150	32242.5145625
151	32242.3124548
152	32242.4773846
153	32242.2492857
154	32241.3368901
155	32241.4970625
156	32241.5244567
157	32241.5518510
158	32242.1330000
159	32242.1145000
160	32242.4237143
161	32242.4891250
162	32240.9459167
163	32240.8902115
164	32241.4160962
165	32241.6242500
166	32241.5951786
167	32241.7260000
168	32241.7260000
169	32241.4546667
170	32241.9549375
171	32242.0214663
172	32242.0879952
173	32242.5713077
174	32242.8391154
175	32241.8786250
176	32241.7682019
177	32241.6705000
178	32241.5428500
179	32241.7615456
180	32241.9634167
181	32241.6039000
182	32241.6891974
183	32241.7260000
184	32241.6790385
185	32241.6764295
186	32241.6738205
187	32241.7044230
188	32240.9445600
189	32240.7085000
190	32239.3779231
191	32239.4718462
192	32240.0666923
193	32240.6615385
194	32241.1494167
195	32241.1591071
196	32241.0978843
197	32240.5147820
198	32240.5294200
199	32241.0140631
200	32241.4987062
201	32241.1403486
202	32241.5929423
203	32241.7260000
204	32241.7260000
205	32241.4643571
206	32241.4911923
207	32241.3617308
208	32241.3698750
209	32240.1058269
210	32239.4584286
211	32239.2549286
212	32239.5892500
213	32240.1371346
214	32240.4449936
215	32240.5050000
216	32240.6067500
217	32240.7563069
218	32241.2094231
219	32240.9827826
220	32240.0823462
221	32240.0471250
222	32240.0471250
223	32240.7750288
224	32241.8074000
225	32241.8714539
226	32241.2608571
227	32240.9362547
228	32240.9879182
229	32240.9931308
230	32241.2378692
231	32241.1155000
232	32240.3142188
233	32240.4668438
234	32240.5050000
235	32240.4313846
236	32240.3778125
237	32240.4032500
238	32240.1997500
239	32240.3354167
240	32240.3107500
241	32239.8623684
242	32239.8308381
243	32239.7927500
244	32241.4011827
245	32241.3119134
246	32240.6745833
247	32240.5486071
248	32240.7334279
249	32240.6067500
250	32240.7547500
251	32240.4868304
252	32239.8945000
253	32240.1997500
254	32240.2608000
255	32239.9860750
256	32240.4217500
257	32241.3597000
258	32241.3275016
259	32240.9410714
260	32241.8199231
261	32241.7581316
262	32241.7260000
263	32241.2681250
264	32241.1155000
265	32240.1762692
266	32239.4360659
267	32238.8122500
268	32239.2767321
269	32239.4061000
270	32239.7724000
271	32239.6146875
272	32239.7200714
273	32239.8970410
274	32239.8414130
275	32240.5050000
276	32240.5254944
277	32240.3083315
278	32240.0911685
279	32239.7800312
280	32240.1997500
281	32240.2608000
282	32240.1786539
283	32240.1457564
284	32240.1128589
285	32240.4772500
286	32241.2080000
287	32241.3398598
288	32241.2376000
289	32240.9746154
290	32240.8404384
291	32239.2840000
292	32238.7413333
293	32238.9083077
294	32238.8996111
295	32239.1431154
296	32239.4875000
297	32239.3328400
298	32239.4698043
299	32239.9414615
300	32240.0216875
301	32240.0898984
302	32240.1762692
303	32240.1920431
304	32240.0689286
305	32239.5892500
306	32239.6910000
307	32239.8785265
308	32239.5227212
309	32238.9177000
310	32238.7607143
311	32238.8613462
312	32238.7956000
313	32238.6735000
314	32238.8115893
315	32238.9948158
316	32238.4598250
317	32239.0912105
318	32239.3554035
319	32239.2840000
320	32239.2840000
321	32239.8176011
322	32239.3857500
323	32239.8016393
324	32239.8322387
325	32239.5892500
326	32239.1531786
327	32239.1554737
328	32238.6803881
329	32238.7204615
330	32239.3466154
331	32239.2258571
332	32239.2020037
333	32239.1781502
334	32238.7674231
335	32239.2370385
336	32239.2370385
337	32238.9389348
338	32238.6367475
339	32238.3345602
340	32238.3878173
341	32238.1851000
342	32238.1715333
343	32238.4426058
344	32238.6735000
345	32238.6115963
346	32238.6894395
347	32239.3150220
348	32239.4868460
349	32239.0398000
350	32238.9024375
351	32239.1967857
352	32238.7995165
353	32238.9177000
354	32239.2516394
355	32238.9991000
356	32238.9698795
357	32238.9991000
358	32238.3886000
359	32238.4191250
360	32238.8292935
361	32238.5795769
362	32238.6265385
363	32238.6735000
364	32238.8300385
365	32238.8715000
366	32238.9317885
367	32238.9317885
368	32238.8640715
369	32238.0434327
370	32238.0019500
371	32237.6814375
372	32237.7792740
373	32237.8771106
374	32238.1707353
375	32238.1851000
376	32239.3873154
377	32239.4671500
378	32239.4366250
379	32239.2840000
380	32239.0126667
381	32239.0296250
382	32238.7265870
383	32239.5188077
384	32239.7724000
385	32239.7454924
386	32238.9083077
387	32238.7345500
388	32238.5208750
389	32238.5678365
390	32238.5347500
391	32238.4844323
392	32238.7608177
393	32239.0169063
394	32238.9909600
395	32239.2285000
396	32239.1651982
397	32239.0748161
398	32238.9844339
399	32238.5459633
400	32238.2107211
401	32238.3917308
402	32238.4133077
403	32238.3447692
404	32238.3447692
405	32238.3917308
406	32238.2083571
407	32238.2665000
408	32238.2978077
409	32238.3447692
410	32238.9932857
411	32238.8593043
412	32238.7345500
413	32238.8091667
414	32239.0631068
415	32239.0747023
416	32239.0862977
417	32239.0593762
418	32238.8566500
419	32238.9787500
420	32238.9787500
421	32238.6124500
422	32238.5208750
423	32238.6353438
424	32239.2840000
425	32239.5340385
426	32238.8848269
427	32238.8043214
428	32239.1583035
429	32238.9389348
430	32238.8245936
431	32238.8479286
432	32239.0126667
433	32239.0101295
434	32239.0491205
435	32239.0257115
436	32239.0726731
437	32239.1196346
438	32238.8444400
439	32238.4445625
440	32238.0630000
441	32238.0630000
442	32237.8849375
443	32237.4714151
444	32237.0578926
445	32237.1255143
446	32237.2083000
447	32237.1747923
448	32237.0155462
449	32238.4827187
450	32238.1110283
451	32237.9757857
452	32238.3447692
453	32238.3682500
454	32238.2572500
455	32238.8043214
456	32238.6228215
457	32238.5514000
458	32238.6226250
459	32238.4021667
460	32237.7577500
461	32237.8722187
462	32237.6873077
463	32237.6269286
464	32238.5971875
465	32239.4620625
466	32239.2229500
467	32239.1697269
468	32239.3348962
469	32238.8770000
470	32238.8665641
471	32238.8740385
472	32238.9278750
473	32239.2592147
474	32238.9787500
475	32238.6735000
476	32238.8261250
477	32239.0114327
478	32239.2608537
479	32239.3474829
480	32238.5572143
481	32238.4990714
482	32238.9787500
483	32239.3823653
484	32239.1531786
485	32238.9899313
486	32238.8266841
487	32238.7498125
488	32238.5632708
489	32238.3767292
490	32238.2919375
491	32237.9968414
492	32238.5514000
493	32238.4267615
494	32238.1851000
495	32237.3236167
496	32237.9710337
497	32238.3682500
498	32238.3682500
499	32238.2537812
500	32238.4445625
501	32239.2546490
502	32239.0961538
503	32239.2161667
504	32238.6719336
505	32238.6845420
506	32238.8143846
507	32238.8261250
508	32238.5902500
509	32238.6968091
510	32238.7116563
511	32238.7292668
512	32238.9787500
513	32238.9787500
514	32238.8691731
515	32238.7595962
516	32238.7897857
517	32238.5634396
518	32239.0592286
519	32238.7752500
520	32238.2691090
521	32238.2569338
522	32238.2810357
523	32238.2583600
524	32238.2919375
525	32238.2665000
526	32238.2418333
527	32238.9177000
528	32238.6969808
529	32238.3917308
530	32238.3682500
531	32238.4237500
532	32238.3682500
533	32238.2572500
534	32238.2973333
535	32238.1211429
536	32238.0197656
537	32237.9183883
538	32237.9377088
539	32238.0630000
540	32238.5411561
541	32237.7136354
542	32238.3682500
543	32238.3839038
544	32238.0630000
545	32238.0630000
546	32237.9761672
547	32238.1100867
548	32238.3343333
549	32238.2273654
550	32238.1691739
551	32238.1851000
552	32238.6735000
553	32239.2655000
554	32239.3350965
555	32239.0961538
556	32239.1095714
557	32239.1967857
558	32239.1520202
559	32238.5625000
560	32238.7116562
561	32238.3815217
562	32238.0075000
563	32238.2583600
564	32238.5420585
565	32238.2226862
566	32238.2295000
567	32238.3072000
568	32238.3246429
569	32238.1815220
570	32238.1667143
571	32238.0630000
572	32238.0989118
573	32238.3682500
574	32239.0726731
575	32239.1483333
576	32239.0185652
577	32238.8563551
578	32238.6941449
579	32238.4293000
580	32238.0160385
581	32238.3241909
582	32238.5189183
583	32238.3682500
584	32238.3682500
585	32238.2508462
586	32238.6265385
587	32238.6461256
588	32238.7674231
589	32238.7290000
590	32238.3072000
591	32237.5135500
592	32237.4728500
593	32237.4321500
594	32237.5083321
595	32237.5845141
596	32238.3682500
597	32238.1240500
598	32237.9137667
599	32237.7577500
600	32237.7523769
601	32238.1159974
602	32238.1220637
603	32238.1308333
604	32237.8702105
605	32237.4525000
606	32236.6071923
607	32236.5758846
608	32237.3994130
609	32237.9866875
610	32237.8920600
611	32237.8595000
612	32237.8595000
613	32237.8595000
614	32237.7722857
615	32237.5767143
616	32236.9216304
617	32238.3917308
618	32238.3682500
619	32238.2919375
620	32238.6265385
621	32238.8479286
622	32238.4903500
623	32238.4438216
624	32238.3960000
625	32237.8965000
626	32237.6344167
627	32237.6913913
628	32237.6305625
629	32237.5890380
630	32237.6661750
631	32237.7300000
632	32238.9533125
633	32238.7812353
634	32238.3246429
635	32238.3428125
636	32238.4064063
637	32237.9273333
638	32238.1898571
639	32238.8020263
640	32238.6625205
641	32238.1518402
642	32238.0575631
643	32238.1253976
644	32238.2374286
645	32238.2776813
646	32237.8380789
647	32237.9103750
648	32237.8410000
649	32238.0582541
650	32238.2512375
651	32238.6640097
652	32238.6056667
653	32238.2099722
654	32237.8142778
655	32237.4525000
656	32237.6153000
657	32237.8475294
658	32237.7636556
659	32238.0989118
660	32238.0630000
661	32237.6565193
662	32237.3088529
663	32237.3507500
664	32237.3077064
665	32237.4525000
666	32237.5363598
667	32237.4525000
668	32237.5542500
669	32237.9853974
670	32237.3507500
671	32237.4436394
672	32237.4525000
673	32237.9987368
674	32238.5960152
675	32238.6735000
676	32238.3072000
677	32237.1454000
678	32237.1472500
679	32237.2576657
680	32237.2998750
681	32237.4830250
682	32237.3507500
683	32237.5167632
684	32237.5417544
685	32237.5667456
686	32237.4783219
687	32237.6708781
688	32237.3652857
689	32237.4055385
690	32237.3970000
691	32237.5833214
692	32237.5087095
