x	y
1	28064.1966000
2	28064.1966000
3	28064.9902500
4	28066.7904423
5	28067.1270000
6	28067.6809387
7	28067.8901250
8	28067.8811471
9	28067.5579412
10	28067.5238250
11	28067.4933000
12	28068.0088333
13	28067.9170588
14	28066.9633493
15	28067.0252500
16	28067.0930833
17	28066.6182500
18	28065.1102628
19	28065.0513000
20	28064.5832500
21	28064.7358750
22	28066.3856786
23	28066.9380357
24	28066.9743750
25	28066.7708750
26	28067.0105311
27	28068.3480000
28	28069.4527143
29	28069.4025000
30	28068.7023462
31	28068.0881868
32	28067.4740275
33	28066.3705330
34	28066.3130000
35	28065.6007500
36	28063.3041071
37	28063.5730179
38	28063.5076071
39	28063.3913214
40	28063.3562647
41	28062.7303739
42	28062.9450750
43	28063.0061250
44	28064.5323750
45	28064.4695294
46	28062.9043750
47	28063.0279286
48	28063.0620081
49	28063.1352692
50	28063.4640000
51	28063.3997368
52	28063.2681504
53	28063.3700769
54	28062.5482500
55	28062.5991250
56	28062.6245625
57	28063.4458304
58	28063.7195863
59	28063.9933423
60	28064.0657154
61	28064.3143393
62	28064.5301143
63	28064.6413929
64	28065.7025000
65	28065.9060000
66	28065.8609271
67	28066.0468846
68	28066.8681760
69	28066.9381781
70	28067.0397857
71	28067.5340000
72	28067.7375000
73	28066.2621250
74	28065.7533750
75	28066.2875625
76	28066.4111161
77	28065.0330937
78	28064.6850000
79	28064.6850000
80	28063.5403125
81	28062.1190238
82	28062.4584706
83	28062.3520179
84	28062.5482500
85	28063.0715357
86	28063.2021446
87	28063.3843696
88	28063.2485294
89	28062.8535000
90	28062.7249737
91	28061.9675865
92	28061.2101992
93	28061.2763750
94	28062.6185060
95	28062.5264464
96	28062.0395000
97	28061.7342500
98	28061.2691071
99	28061.5234821
100	28061.4798750
101	28061.5965882
102	28061.7342500
103	28061.8505357
104	28061.8069286
105	28061.6761071
106	28061.4936168
107	28062.3090311
108	28062.0571957
109	28062.0293250
110	28061.8229179
111	28061.8438269
112	28061.7402353
113	28061.2498005
114	28061.3272500
115	28061.5383232
116	28060.9501765
117	28061.2147895
118	28060.8905016
119	28060.8185000
120	28060.7637115
121	28061.3037692
122	28061.2836429
123	28060.9965625
124	28061.1237500
125	28062.2430000
