Start Running : 0 sec
Injection Start : 12 sec
Injection Finished : 192 sec
Stabilization Start : 231 sec
Stabilization End : 651 sec
Injection Start : 661 sec
Injection Finished : 842 sec
Stabilization Start : 881 sec
Stabilization End : 1301 sec
Injection Start : 1311 sec
Injection Finished : 1492 sec
Stabilization Start : 1530 sec
Stabilization End : 1950 sec
Injection Start : 1961 sec
Injection Finished : 2141 sec
Stabilization Start : 2180 sec
Stabilization End : 2600 sec
Injection Start : 2610 sec
Injection Finished : 2791 sec
Stabilization Start : 2830 sec
Stabilization Start : 3250 sec
Running Finished : 3250 sec
