x	y
1	538.5742857
2	538.5742857
3	538.5775000
4	538.5791667
5	538.5808333
6	538.5813034
7	538.5792308
8	538.5838462
9	538.5946154
10	538.5936364
11	538.5916350
12	538.5900000
13	538.5904348
14	538.6080936
15	538.6011111
16	538.5900000
17	538.5900000
18	538.5881818
19	538.5858333
20	538.5907143
21	538.5926667
22	538.5903846
23	538.5926923
24	538.5954574
25	538.5873333
26	538.5850000
27	538.5853155
28	538.5800000
29	538.5810000
30	538.5875128
31	538.5875000
32	538.5900000
33	538.6183333
34	538.6147619
35	538.6133333
36	538.6065217
37	538.6075944
38	538.6055556
39	538.5808262
40	538.5816667
41	538.5810000
42	538.5690000
43	538.5711111
44	538.5857550
45	538.5857051
46	538.5850224
47	538.5785714
48	538.5721992
49	538.5711111
50	538.5799359
51	538.5849519
52	538.5800000
53	538.5789744
54	538.5779487
55	538.5766667
56	538.5785256
57	538.5787500
58	538.5807770
59	538.5812500
60	538.5763141
61	538.5760681
62	538.5762500
63	538.5781250
64	538.5795833
65	538.5850000
66	538.5847619
67	538.5825000
68	538.5800555
69	538.5820698
70	538.5840840
71	538.5897621
72	538.5866667
73	538.5616667
74	538.5657143
75	538.5672222
76	538.5656250
77	538.5696154
78	538.5692857
79	538.5600000
80	538.5600641
81	538.5653846
82	538.5729487
83	538.5747619
84	538.5810000
85	538.5790000
86	538.5794444
87	538.5691667
88	538.5580000
89	538.5607692
90	538.5607692
91	538.5605000
92	538.5445000
93	538.5485714
94	538.5480000
95	538.5481818
96	538.5593939
97	538.5683333
98	538.5704701
99	538.5565217
100	538.5560000
101	538.5515426
102	538.5557692
103	538.5500000
104	538.5500000
105	538.5500000
106	538.5521739
107	538.5570000
108	538.5566507
109	538.5592000
110	538.5653333
111	538.5627778
112	538.5550000
113	538.5555556
114	538.5513043
115	538.5494091
116	538.5518750
117	538.5517035
118	538.5653846
119	538.5667949
120	538.5588822
121	538.5597530
122	538.5600000
123	538.5595833
124	538.5525000
125	538.5520000
126	538.5513333
127	538.5504762
128	538.5616667
129	538.5611538
130	538.5609402
131	538.5607265
132	538.5563241
133	538.5566667
134	538.5614286
135	538.5650000
136	538.5647619
137	538.5676000
138	538.5595652
139	538.5500000
140	538.5512500
141	538.5486364
142	538.5480070
143	538.5490000
144	538.5506923
145	538.5508333
146	538.5509524
147	538.5525000
148	538.5482945
149	538.5488000
150	538.5530000
151	538.5520000
152	538.5530435
153	538.5514286
154	538.5490000
155	538.5520000
156	538.5568205
157	538.5566667
158	538.5513043
159	538.5505836
160	538.5440000
161	538.5455556
162	538.5447826
163	538.5410814
164	538.5404294
165	538.5391006
166	538.5373913
167	538.5416667
168	538.5450000
169	538.5487500
170	538.5574038
171	538.5606250
172	538.5605556
173	538.5620000
174	538.5610478
175	538.5410000
176	538.5410333
177	538.5436778
178	538.5463222
179	538.5480000
180	538.5478571
181	538.5441575
182	538.5550000
183	538.5550000
184	538.5616667
185	538.5550000
186	538.5569289
187	538.5557603
188	538.5543750
189	538.5517788
190	538.5371429
191	538.5393333
192	538.5558889
193	538.5569630
194	538.5560870
195	538.5552768
196	538.5591667
197	538.5576386
198	538.5576792
199	538.5480000
200	538.5514744
201	538.5550000
202	538.5519019
203	538.5504545
204	538.5464798
205	538.5335202
206	538.5400000
207	538.5490000
208	538.5613107
209	538.5637180
210	538.5604000
211	538.5600000
212	538.5600000
213	538.5492308
214	538.5496000
215	538.5516667
216	538.5816667
217	538.5816667
218	538.5744017
219	538.5671368
220	538.5382764
221	538.5500000
222	538.5625000
223	538.5600000
224	538.5575000
225	538.5575000
226	538.5530769
227	538.5545455
228	538.5518910
229	538.5530769
230	538.5560000
231	538.5552000
232	538.5501949
233	538.5568182
234	538.5595238
235	538.5547826
236	538.5504831
237	538.5500000
238	538.5388889
239	538.5427778
240	538.5453704
241	538.5479630
242	538.5490000
243	538.5513160
244	538.5504387
245	538.5536000
246	538.5525000
247	538.5450000
248	538.5375641
249	538.5452381
250	538.5453846
251	538.5505556
252	538.5404167
253	538.5400000
254	538.5413043
255	538.5440245
256	538.5412500
257	538.5375000
258	538.5269444
259	538.5416667
260	538.5502991
261	538.5505556
262	538.5463242
263	538.5477491
264	538.5437500
265	538.5200000
266	538.5061111
267	538.5066667
268	538.5052000
269	538.5096474
270	538.5100000
271	538.5150000
272	538.5477778
273	538.5483758
274	538.5495833
275	538.5681944
276	538.5608333
277	538.5575000
278	538.5442949
279	538.5470738
280	538.5360031
281	538.5366667
282	538.5373504
283	538.5360083
284	538.5357143
285	538.5350000
286	538.5250000
287	538.5204348
288	538.5262500
289	538.5232251
290	538.5230000
291	538.5150000
292	538.5143932
293	538.5133333
294	538.5138889
295	538.5196296
296	538.5253704
297	538.5275000
298	538.5192857
299	538.5059158
300	538.5094444
301	538.5100000
302	538.5115385
303	538.5116667
304	538.5062500
305	538.5059091
306	538.5131250
307	538.5186811
308	538.5231250
309	538.5219231
310	538.5170000
311	538.5084444
312	538.5093333
313	538.5118961
314	538.5101923
315	538.5114286
316	538.5071429
317	538.5087500
318	538.5075000
319	538.5085187
320	538.5162500
321	538.5079167
322	538.5040000
323	538.5055556
324	538.5048000
325	538.4950000
326	538.4975000
327	538.4983333
328	538.4989316
329	538.4994444
330	538.5000126
331	538.5000000
332	538.5004000
333	538.4929167
334	538.4910477
335	538.4925000
336	538.4921429
337	538.4925000
338	538.4919199
339	538.4850000
340	538.4876611
341	538.4914286
342	538.4920147
343	538.4926007
344	538.4877900
345	538.4864286
346	538.4795788
347	538.4784630
348	538.4753846
349	538.4768750
350	538.4789072
351	538.4857082
352	538.4856522
353	538.4820314
354	538.4816000
355	538.4794222
356	538.4772444
357	538.4570000
358	538.4442857
359	538.4504863
360	538.4525000
361	538.4459927
362	538.4419976
363	538.4400000
364	538.4390000
365	538.4350000
366	538.4356796
367	538.4320339
368	538.4361111
369	538.4360870
370	538.4314286
371	538.4272222
372	538.4220085
373	538.4200000
374	538.4115385
375	538.4140000
376	538.4107692
377	538.4100000
378	538.4023077
379	538.3978571
380	538.3951832
381	538.3925092
382	538.3925000
383	538.3850000
384	538.3866667
385	538.3854545
386	538.3582284
387	538.3557143
388	538.3471429
389	538.3442857
390	538.3450000
391	538.3380000
392	538.3257505
393	538.3218750
394	538.3192308
395	538.3084615
396	538.3015385
397	538.3000000
398	538.2876923
399	538.2835343
400	538.2846154
401	538.2835135
402	538.2872557
403	538.2823077
404	538.2600000
405	538.2575000
406	538.2336364
407	538.2262500
408	538.2256772
409	538.2233473
410	538.2230769
411	538.2086667
412	538.2085714
413	538.2080449
414	538.2037500
415	538.2000000
416	538.1875000
