x	y
1	0.8941587
2	0.8941587
3	0.8941230
4	0.8941754
5	0.8942624
6	0.8942638
7	0.8943303
8	0.8943947
9	0.8944250
10	0.8944829
11	0.8944486
12	0.8944283
13	0.8944143
14	0.8943307
15	0.8943672
16	0.8945555
17	0.8945259
18	0.8944245
19	0.8943910
20	0.8944056
21	0.8944659
22	0.8944118
23	0.8944202
24	0.8944062
25	0.8943990
26	0.8942968
27	0.8942815
28	0.8941870
29	0.8942668
30	0.8942561
31	0.8944297
32	0.8942960
33	0.8942937
34	0.8942782
35	0.8942966
36	0.8943036
37	0.8942910
38	0.8943596
39	0.8943574
40	0.8943483
41	0.8944232
42	0.8944785
43	0.8944578
44	0.8942971
45	0.8940391
46	0.8940736
47	0.8940782
48	0.8941485
49	0.8943282
50	0.8943961
51	0.8944435
52	0.8944321
53	0.8943622
54	0.8943621
55	0.8943839
56	0.8943931
57	0.8944725
58	0.8945350
59	0.8945403
60	0.8945522
61	0.8945163
62	0.8946289
63	0.8946464
64	0.8945995
65	0.8946086
66	0.8945868
67	0.8945397
68	0.8945385
69	0.8945003
70	0.8944402
71	0.8944225
72	0.8943505
73	0.8943543
74	0.8945090
75	0.8943597
76	0.8942952
77	0.8944359
78	0.8944870
79	0.8944446
80	0.8944266
81	0.8945005
82	0.8945480
83	0.8945583
84	0.8944967
85	0.8943906
86	0.8943970
87	0.8943694
88	0.8944138
89	0.8943901
90	0.8944049
91	0.8945198
92	0.8946496
93	0.8946440
94	0.8946079
95	0.8945904
96	0.8945793
97	0.8945419
98	0.8945764
99	0.8945045
100	0.8944448
101	0.8943646
102	0.8943985
103	0.8945762
104	0.8946057
105	0.8946069
106	0.8945516
107	0.8945403
108	0.8945384
109	0.8945279
110	0.8943939
111	0.8942909
112	0.8943884
113	0.8943744
114	0.8941444
115	0.8941693
116	0.8944683
117	0.8944284
118	0.8943943
119	0.8943795
120	0.8944167
121	0.8944625
122	0.8944173
123	0.8944271
124	0.8944378
125	0.8945217
126	0.8945168
127	0.8943848
128	0.8943046
129	0.8943725
130	0.8944435
131	0.8944467
132	0.8944432
133	0.8944998
134	0.8944033
135	0.8943821
136	0.8943493
137	0.8944212
138	0.8943770
139	0.8943825
140	0.8944788
141	0.8945375
142	0.8945265
143	0.8945169
144	0.8944236
145	0.8943927
146	0.8944483
147	0.8944612
148	0.8944324
149	0.8944140
150	0.8944630
151	0.8945327
152	0.8945392
153	0.8945878
154	0.8945547
155	0.8945442
156	0.8945411
157	0.8945106
158	0.8944809
159	0.8944612
160	0.8944435
161	0.8944185
162	0.8944062
163	0.8943985
164	0.8943801
165	0.8943502
166	0.8943678
167	0.8944052
168	0.8943621
169	0.8942260
170	0.8942205
171	0.8943942
172	0.8943447
173	0.8943395
174	0.8943656
175	0.8943459
176	0.8943680
177	0.8945373
178	0.8944763
179	0.8943655
180	0.8943611
181	0.8943787
182	0.8943836
183	0.8943359
184	0.8943418
185	0.8942019
186	0.8942795
187	0.8942956
188	0.8943653
189	0.8944181
190	0.8945186
191	0.8945150
192	0.8944505
193	0.8944352
194	0.8944171
195	0.8944309
196	0.8943636
197	0.8943767
198	0.8944412
199	0.8943968
200	0.8944048
201	0.8943787
202	0.8945310
203	0.8944044
204	0.8944524
205	0.8944324
206	0.8944526
207	0.8945934
208	0.8945305
209	0.8944671
210	0.8944356
211	0.8943884
212	0.8941235
213	0.8941510
214	0.8942334
215	0.8942749
216	0.8942482
217	0.8943536
218	0.8942896
219	0.8942789
220	0.8942814
221	0.8942933
222	0.8942604
223	0.8942031
224	0.8942333
225	0.8943239
226	0.8942953
227	0.8943083
228	0.8942830
229	0.8943802
230	0.8944717
231	0.8944492
232	0.8943636
233	0.8943520
234	0.8942645
235	0.8942808
236	0.8944162
237	0.8944365
238	0.8944019
239	0.8944252
240	0.8944088
241	0.8944342
242	0.8943377
243	0.8942716
244	0.8943635
245	0.8943947
246	0.8944072
247	0.8943626
248	0.8943831
249	0.8943921
250	0.8942907
251	0.8943514
252	0.8943968
253	0.8943995
254	0.8944057
255	0.8943071
256	0.8942770
257	0.8942616
258	0.8943423
259	0.8943547
260	0.8944299
261	0.8944828
262	0.8944558
263	0.8944224
264	0.8944191
265	0.8944184
266	0.8944319
267	0.8943520
268	0.8942615
269	0.8943462
270	0.8943529
271	0.8943258
272	0.8943714
273	0.8943339
274	0.8943022
275	0.8943079
276	0.8943263
277	0.8943032
278	0.8943768
279	0.8943717
280	0.8943425
281	0.8943222
282	0.8943124
283	0.8943006
284	0.8943024
285	0.8942980
286	0.8942184
287	0.8941765
288	0.8941808
289	0.8941118
290	0.8941765
291	0.8941621
292	0.8941630
293	0.8941795
294	0.8941858
295	0.8942279
296	0.8943212
297	0.8942232
298	0.8942495
299	0.8943719
300	0.8944748
301	0.8945298
302	0.8943957
303	0.8943137
304	0.8942964
305	0.8942974
306	0.8943511
307	0.8943018
308	0.8942697
309	0.8942991
310	0.8943340
311	0.8943361
312	0.8943581
313	0.8944772
314	0.8945160
315	0.8945225
316	0.8945383
317	0.8945663
318	0.8944835
319	0.8944033
320	0.8943231
321	0.8943535
322	0.8943384
323	0.8944097
324	0.8944372
325	0.8944538
326	0.8944222
327	0.8943516
328	0.8942923
329	0.8942884
330	0.8943217
331	0.8943377
332	0.8943115
333	0.8941880
334	0.8943062
335	0.8942879
336	0.8943001
337	0.8942819
338	0.8942837
339	0.8943426
340	0.8943626
341	0.8944511
342	0.8944784
343	0.8944157
344	0.8944338
345	0.8943997
346	0.8943813
347	0.8944049
348	0.8944942
349	0.8944725
350	0.8945284
351	0.8945489
352	0.8945460
353	0.8944925
354	0.8945117
355	0.8944799
356	0.8943062
357	0.8943212
358	0.8943156
359	0.8942265
360	0.8943174
361	0.8943123
362	0.8942996
363	0.8943345
364	0.8943396
365	0.8943406
366	0.8942975
367	0.8942662
368	0.8943113
369	0.8942990
370	0.8942996
371	0.8943178
372	0.8944019
373	0.8944015
374	0.8943926
375	0.8944196
376	0.8943936
377	0.8944458
378	0.8944157
379	0.8943675
380	0.8943719
381	0.8942832
382	0.8942488
383	0.8943083
384	0.8942677
385	0.8942636
386	0.8942852
387	0.8943338
388	0.8943185
389	0.8943027
390	0.8943936
391	0.8944207
392	0.8944429
393	0.8944628
394	0.8944419
395	0.8945281
396	0.8944872
397	0.8943714
398	0.8943327
399	0.8943564
400	0.8944635
401	0.8944177
402	0.8944861
403	0.8944331
404	0.8944165
405	0.8944543
406	0.8944769
407	0.8944383
408	0.8944440
409	0.8945297
410	0.8946359
411	0.8944913
412	0.8944593
413	0.8944959
414	0.8944460
415	0.8943927
416	0.8943297
417	0.8943534
418	0.8942706
419	0.8942516
420	0.8943537
421	0.8943506
422	0.8944686
423	0.8944863
424	0.8944244
425	0.8944852
426	0.8943538
427	0.8943657
428	0.8943914
429	0.8943552
430	0.8943239
431	0.8942780
432	0.8942018
433	0.8942502
434	0.8943212
435	0.8943864
436	0.8943919
437	0.8943835
438	0.8943929
439	0.8943394
440	0.8943307
441	0.8942809
442	0.8943201
443	0.8944878
444	0.8945016
445	0.8944683
446	0.8945151
447	0.8944751
448	0.8944711
449	0.8943672
450	0.8943492
451	0.8943146
452	0.8943562
453	0.8943438
454	0.8941688
455	0.8942061
456	0.8942485
457	0.8942023
458	0.8943210
459	0.8945124
460	0.8945040
461	0.8943957
462	0.8943298
463	0.8943218
464	0.8943855
465	0.8942179
466	0.8942431
467	0.8942271
468	0.8942351
469	0.8943209
470	0.8943238
471	0.8943231
472	0.8944063
473	0.8944262
474	0.8942819
475	0.8942833
476	0.8944271
477	0.8943791
478	0.8943876
479	0.8944315
480	0.8944525
481	0.8943870
482	0.8944198
483	0.8943919
484	0.8943851
485	0.8943066
486	0.8942498
487	0.8942498
488	0.8943200
489	0.8942605
490	0.8942370
491	0.8942377
492	0.8941997
493	0.8942728
494	0.8943365
495	0.8943318
496	0.8943596
497	0.8944029
498	0.8943824
499	0.8943541
500	0.8944195
501	0.8944879
502	0.8944924
503	0.8945141
504	0.8944955
505	0.8945053
506	0.8946320
507	0.8945529
508	0.8944957
509	0.8944257
510	0.8943929
511	0.8943876
512	0.8943934
513	0.8944151
514	0.8943748
515	0.8944105
516	0.8943745
517	0.8943490
518	0.8943563
519	0.8942171
520	0.8941967
521	0.8942238
522	0.8943524
523	0.8943393
524	0.8942892
525	0.8943367
526	0.8943542
527	0.8943441
528	0.8943121
529	0.8943168
530	0.8943677
531	0.8944022
532	0.8943988
533	0.8944190
534	0.8946084
535	0.8946093
536	0.8946878
537	0.8946534
538	0.8944780
539	0.8945074
540	0.8945286
541	0.8945129
542	0.8945039
543	0.8946120
544	0.8946465
545	0.8946511
546	0.8946294
547	0.8944042
548	0.8944064
549	0.8944240
550	0.8944725
551	0.8946465
552	0.8946525
553	0.8945726
554	0.8946071
555	0.8946184
556	0.8945979
557	0.8945733
558	0.8945298
559	0.8945264
560	0.8945202
561	0.8945219
562	0.8944728
563	0.8944316
564	0.8944031
565	0.8944512
566	0.8944449
567	0.8944286
568	0.8945290
569	0.8945823
570	0.8945700
571	0.8945358
572	0.8945292
573	0.8945595
574	0.8945477
575	0.8945373
576	0.8945429
577	0.8945279
578	0.8945564
579	0.8946633
580	0.8947135
581	0.8947354
582	0.8947597
583	0.8946736
584	0.8946448
585	0.8946232
586	0.8945650
587	0.8945775
588	0.8946256
589	0.8946261
590	0.8946150
591	0.8945846
592	0.8946089
593	0.8947411
594	0.8947023
595	0.8947266
596	0.8947793
597	0.8947745
598	0.8946996
599	0.8945779
600	0.8946486
601	0.8946542
602	0.8946721
603	0.8947232
604	0.8946398
605	0.8946191
606	0.8946150
607	0.8946182
608	0.8945700
609	0.8945780
610	0.8945576
611	0.8945620
612	0.8944436
613	0.8944130
614	0.8945052
615	0.8944946
616	0.8944655
617	0.8945623
618	0.8946322
619	0.8946180
620	0.8948183
621	0.8947872
622	0.8945729
623	0.8945752
624	0.8945434
625	0.8947362
626	0.8948283
627	0.8947836
628	0.8947849
629	0.8948061
630	0.8948003
631	0.8948006
632	0.8947869
633	0.8947886
634	0.8947732
635	0.8946793
636	0.8946192
637	0.8945809
638	0.8945826
639	0.8946106
640	0.8946108
641	0.8945870
642	0.8946220
643	0.8946245
644	0.8945867
645	0.8945719
646	0.8945709
647	0.8945777
648	0.8945776
649	0.8945838
650	0.8945647
651	0.8945238
652	0.8945088
653	0.8945243
654	0.8944784
655	0.8944869
656	0.8945257
657	0.8945557
658	0.8944838
659	0.8945097
660	0.8946188
661	0.8945115
662	0.8945229
663	0.8945046
664	0.8945056
665	0.8945636
666	0.8945876
667	0.8945836
668	0.8945647
669	0.8945111
670	0.8944371
671	0.8944100
672	0.8944068
673	0.8944390
674	0.8945964
675	0.8945852
676	0.8945168
677	0.8944813
678	0.8944668
679	0.8944538
680	0.8945624
681	0.8946300
682	0.8945046
683	0.8944905
684	0.8944979
685	0.8945290
686	0.8945462
687	0.8945204
688	0.8945918
689	0.8946887
690	0.8946140
691	0.8946183
692	0.8946303
693	0.8945603
694	0.8945084
695	0.8944951
696	0.8945265
697	0.8946249
698	0.8944189
699	0.8944365
700	0.8944592
701	0.8944593
702	0.8944283
703	0.8944130
704	0.8943876
705	0.8944091
706	0.8943999
707	0.8943924
708	0.8943848
709	0.8943622
710	0.8943933
711	0.8943770
712	0.8943629
713	0.8944214
714	0.8944242
715	0.8943506
716	0.8944833
717	0.8945300
718	0.8944863
719	0.8944418
720	0.8944855
721	0.8945275
722	0.8945144
723	0.8945455
724	0.8945558
725	0.8944944
726	0.8944351
727	0.8946421
728	0.8944480
729	0.8944461
730	0.8944792
731	0.8944537
732	0.8945996
733	0.8945290
734	0.8944386
735	0.8943513
736	0.8942960
737	0.8943203
738	0.8944435
739	0.8943947
740	0.8942225
741	0.8942342
742	0.8942197
743	0.8942112
744	0.8941977
745	0.8943212
746	0.8943289
747	0.8943350
748	0.8943407
749	0.8943240
750	0.8942791
751	0.8942153
752	0.8942072
753	0.8941339
754	0.8941076
755	0.8941284
756	0.8941518
757	0.8941433
758	0.8942645
759	0.8942884
760	0.8942655
761	0.8940457
762	0.8940176
763	0.8940118
764	0.8940992
765	0.8941165
766	0.8941285
767	0.8941485
768	0.8941773
769	0.8941332
770	0.8941368
771	0.8941427
772	0.8941441
773	0.8941843
774	0.8941566
775	0.8940963
776	0.8940884
777	0.8940841
778	0.8940217
779	0.8940056
780	0.8939992
781	0.8939265
782	0.8939353
783	0.8939026
784	0.8939173
785	0.8939653
786	0.8937288
787	0.8937183
788	0.8940360
789	0.8941179
790	0.8941670
791	0.8941685
792	0.8941686
793	0.8942248
794	0.8941943
795	0.8942677
796	0.8942868
797	0.8941732
798	0.8940066
799	0.8939353
800	0.8939295
801	0.8938791
802	0.8938356
803	0.8939628
804	0.8940249
805	0.8939777
806	0.8940147
807	0.8941383
808	0.8941652
809	0.8944973
810	0.8945707
811	0.8948187
812	0.8948536
813	0.8950368
814	0.8953410
815	0.8956859
816	0.8960463
817	0.8959815
818	0.8962476
819	0.8965491
820	0.8975543
821	0.8978685
822	0.8983275
823	0.8988120
824	0.8990915
825	0.8999463
826	0.9002162
827	0.9009693
828	0.9012546
829	0.9017297
830	0.9019977
831	0.9025157
832	0.9031563
833	0.9032985
834	0.9032930
835	0.9033756
836	0.9039572
837	0.9041877
838	0.9042665
839	0.9044670
840	0.9044888
841	0.9045294
842	0.9047802
843	0.9046993
844	0.9046488
845	0.9045728
846	0.9042862
847	0.9039945
848	0.9036989
849	0.9036705
850	0.9035426
851	0.9032538
852	0.9029915
853	0.9029107
854	0.9023403
855	0.9019010
856	0.9018733
857	0.9016854
858	0.9014112
859	0.9010394
860	0.9006263
861	0.9003485
862	0.9000994
863	0.8995859
864	0.8993256
865	0.8992665
866	0.8989612
867	0.8987109
868	0.8985145
869	0.8981634
870	0.8978385
871	0.8978288
872	0.8976344
873	0.8973558
874	0.8971827
875	0.8968764
876	0.8967688
877	0.8966791
878	0.8966770
879	0.8966177
880	0.8965923
881	0.8962248
882	0.8962242
883	0.8962057
884	0.8960376
885	0.8958649
886	0.8958172
887	0.8956155
888	0.8955426
889	0.8955534
890	0.8954901
891	0.8954344
892	0.8951152
893	0.8951008
894	0.8950711
895	0.8950439
896	0.8949566
897	0.8949171
898	0.8948353
899	0.8947826
900	0.8948661
901	0.8948172
902	0.8947814
903	0.8947263
904	0.8947748
905	0.8948361
906	0.8947238
907	0.8946892
908	0.8946466
909	0.8945555
910	0.8944673
911	0.8943951
912	0.8943864
913	0.8944213
914	0.8943952
915	0.8943810
916	0.8943913
917	0.8944995
918	0.8945049
919	0.8944378
920	0.8944961
921	0.8944475
922	0.8944107
923	0.8943470
924	0.8943791
925	0.8941369
926	0.8942316
927	0.8942801
928	0.8941531
929	0.8942839
930	0.8943556
931	0.8942735
932	0.8941347
933	0.8942150
934	0.8942265
935	0.8941492
936	0.8941841
937	0.8941082
938	0.8941107
939	0.8940966
940	0.8940986
941	0.8941014
942	0.8941955
943	0.8941495
944	0.8940568
945	0.8939551
946	0.8938087
947	0.8938538
948	0.8938033
949	0.8937914
950	0.8938375
951	0.8938482
952	0.8938000
953	0.8937269
954	0.8937656
955	0.8937669
956	0.8937464
957	0.8937454
958	0.8936916
959	0.8936682
960	0.8936542
961	0.8936405
962	0.8936397
963	0.8936504
964	0.8936561
965	0.8936232
966	0.8936601
967	0.8934735
968	0.8934871
969	0.8935092
970	0.8935170
971	0.8933379
972	0.8933727
973	0.8934125
974	0.8934642
975	0.8934711
976	0.8933983
977	0.8934666
978	0.8932189
979	0.8932715
980	0.8933761
981	0.8931895
982	0.8931920
983	0.8931701
984	0.8932196
985	0.8932564
986	0.8932649
987	0.8932435
988	0.8929227
989	0.8928737
990	0.8928708
991	0.8928547
992	0.8929752
993	0.8929407
994	0.8928597
995	0.8926439
996	0.8926201
997	0.8922416
998	0.8921907
999	0.8917232
1000	0.8914439
1001	0.8914652
1002	0.8910805
1003	0.8909385
1004	0.8908227
1005	0.8904797
1006	0.8904680
1007	0.8900882
1008	0.8897383
1009	0.8897246
1010	0.8894621
1011	0.8892366
1012	0.8891121
1013	0.8890135
1014	0.8886977
1015	0.8887729
1016	0.8888609
1017	0.8887793
1018	0.8886278
1019	0.8887455
1020	0.8884660
1021	0.8885483
1022	0.8885522
1023	0.8885486
1024	0.8884540
1025	0.8887344
1026	0.8887862
1027	0.8888812
1028	0.8890703
1029	0.8891619
1030	0.8894069
1031	0.8893783
1032	0.8896511
1033	0.8898235
1034	0.8899458
1035	0.8900632
1036	0.8904884
1037	0.8905853
1038	0.8905538
1039	0.8906883
1040	0.8907500
1041	0.8911819
1042	0.8912151
1043	0.8912516
1044	0.8916141
1045	0.8916711
1046	0.8917856
1047	0.8920015
1048	0.8920818
1049	0.8923491
1050	0.8925772
1051	0.8928853
1052	0.8930341
1053	0.8929153
1054	0.8930065
1055	0.8931392
1056	0.8931717
1057	0.8933588
1058	0.8934082
1059	0.8934952
1060	0.8935787
1061	0.8936603
1062	0.8936786
1063	0.8939338
1064	0.8940183
1065	0.8939179
1066	0.8938747
1067	0.8938890
1068	0.8939686
1069	0.8940291
1070	0.8940808
1071	0.8941121
1072	0.8940977
1073	0.8941267
1074	0.8940671
1075	0.8941737
1076	0.8942637
1077	0.8942466
1078	0.8942918
1079	0.8943886
1080	0.8944436
1081	0.8943655
1082	0.8943047
1083	0.8943962
1084	0.8943778
1085	0.8944453
1086	0.8944663
1087	0.8944992
1088	0.8945318
1089	0.8945409
1090	0.8944891
1091	0.8945228
1092	0.8946296
1093	0.8945996
1094	0.8946516
1095	0.8946868
1096	0.8946529
1097	0.8946361
1098	0.8946033
1099	0.8945401
1100	0.8944494
1101	0.8944585
1102	0.8945672
1103	0.8945730
1104	0.8946030
1105	0.8945581
1106	0.8946008
1107	0.8946068
1108	0.8945683
1109	0.8945572
1110	0.8946606
1111	0.8947386
1112	0.8947793
1113	0.8947651
1114	0.8946675
1115	0.8948277
1116	0.8948247
1117	0.8947779
1118	0.8947196
1119	0.8946692
1120	0.8946080
1121	0.8946555
1122	0.8946959
1123	0.8946587
1124	0.8947386
1125	0.8947629
1126	0.8947496
1127	0.8947550
1128	0.8947837
1129	0.8947503
1130	0.8946865
1131	0.8947099
1132	0.8946957
1133	0.8946876
1134	0.8947327
1135	0.8947332
1136	0.8946403
1137	0.8946375
1138	0.8946029
1139	0.8945395
1140	0.8945707
1141	0.8946264
1142	0.8944755
1143	0.8945704
1144	0.8945892
1145	0.8946408
1146	0.8945555
1147	0.8944180
1148	0.8943706
1149	0.8946145
1150	0.8947392
1151	0.8947405
1152	0.8948266
1153	0.8949725
1154	0.8949628
1155	0.8948127
1156	0.8947709
1157	0.8948434
1158	0.8949258
1159	0.8947706
1160	0.8946456
1161	0.8946485
1162	0.8946979
1163	0.8946878
1164	0.8947820
1165	0.8946737
1166	0.8947283
1167	0.8948083
1168	0.8947437
1169	0.8947091
1170	0.8946544
1171	0.8945582
1172	0.8944257
1173	0.8944673
1174	0.8945148
1175	0.8943930
1176	0.8943745
1177	0.8943686
1178	0.8942909
1179	0.8943366
1180	0.8944676
1181	0.8945461
1182	0.8945453
1183	0.8945229
1184	0.8947364
1185	0.8947544
1186	0.8947259
1187	0.8947408
1188	0.8947517
1189	0.8946850
1190	0.8948651
1191	0.8949809
1192	0.8949724
1193	0.8949460
1194	0.8948992
1195	0.8948580
1196	0.8947185
1197	0.8947396
1198	0.8946275
1199	0.8946114
1200	0.8946560
1201	0.8946711
1202	0.8946073
1203	0.8944654
1204	0.8945589
1205	0.8945904
1206	0.8947197
1207	0.8946837
1208	0.8946897
1209	0.8947720
1210	0.8947405
1211	0.8947427
1212	0.8947244
1213	0.8947425
1214	0.8947431
1215	0.8947727
1216	0.8949574
1217	0.8949218
1218	0.8949336
1219	0.8948512
1220	0.8948506
1221	0.8948624
1222	0.8946857
1223	0.8945630
1224	0.8946669
1225	0.8946688
1226	0.8947091
1227	0.8946745
1228	0.8946378
1229	0.8946613
1230	0.8946420
1231	0.8945741
1232	0.8945342
1233	0.8944812
1234	0.8944465
1235	0.8944466
1236	0.8944700
1237	0.8944276
1238	0.8945264
1239	0.8946509
1240	0.8947188
1241	0.8947314
1242	0.8947725
1243	0.8947528
1244	0.8947568
1245	0.8948415
1246	0.8949685
1247	0.8949735
1248	0.8949479
1249	0.8948404
1250	0.8948590
1251	0.8948807
1252	0.8948199
1253	0.8945917
1254	0.8946333
1255	0.8946544
1256	0.8947516
1257	0.8947680
1258	0.8947225
1259	0.8946686
1260	0.8947420
1261	0.8947922
1262	0.8947776
1263	0.8948560
1264	0.8949158
1265	0.8950634
1266	0.8950328
1267	0.8950318
1268	0.8948822
1269	0.8948941
1270	0.8949024
1271	0.8948538
1272	0.8948497
1273	0.8947437
1274	0.8946707
1275	0.8946239
1276	0.8947098
1277	0.8947842
1278	0.8948325
1279	0.8948938
1280	0.8949948
1281	0.8949283
1282	0.8949014
1283	0.8949004
1284	0.8948980
1285	0.8948585
1286	0.8947780
1287	0.8947569
1288	0.8947429
1289	0.8947991
1290	0.8948098
1291	0.8948607
1292	0.8948360
1293	0.8948404
1294	0.8948309
1295	0.8948576
1296	0.8950902
1297	0.8950725
1298	0.8948813
1299	0.8947844
1300	0.8947604
1301	0.8947966
1302	0.8948115
1303	0.8948070
1304	0.8947624
1305	0.8948188
1306	0.8948353
1307	0.8949048
1308	0.8945543
1309	0.8945115
1310	0.8945097
1311	0.8946749
1312	0.8946406
1313	0.8946140
1314	0.8947036
1315	0.8948057
1316	0.8948084
1317	0.8947932
1318	0.8949101
1319	0.8949181
1320	0.8949014
1321	0.8948743
1322	0.8949277
1323	0.8949533
1324	0.8949472
1325	0.8949511
1326	0.8948989
1327	0.8948352
1328	0.8948594
1329	0.8949828
1330	0.8950009
1331	0.8949005
1332	0.8948348
1333	0.8947111
1334	0.8947607
1335	0.8947858
1336	0.8947870
1337	0.8947904
1338	0.8947587
1339	0.8946742
1340	0.8947179
1341	0.8947553
1342	0.8947469
1343	0.8948495
1344	0.8948461
1345	0.8948268
1346	0.8948229
1347	0.8948360
1348	0.8948210
1349	0.8948435
1350	0.8948627
1351	0.8948554
1352	0.8949299
1353	0.8949538
1354	0.8949250
1355	0.8949608
1356	0.8949585
1357	0.8949562
1358	0.8948701
1359	0.8948616
1360	0.8948341
1361	0.8947883
1362	0.8948505
1363	0.8948226
1364	0.8947909
1365	0.8948863
1366	0.8947895
1367	0.8948518
1368	0.8948666
1369	0.8949007
1370	0.8949472
1371	0.8948248
1372	0.8948310
1373	0.8948310
1374	0.8946468
1375	0.8947507
1376	0.8948652
1377	0.8948770
1378	0.8948747
1379	0.8948647
1380	0.8947183
1381	0.8946901
1382	0.8947098
1383	0.8945901
1384	0.8946881
1385	0.8949541
1386	0.8948179
1387	0.8948083
1388	0.8948876
1389	0.8948709
1390	0.8948312
1391	0.8946802
1392	0.8947713
1393	0.8948175
1394	0.8950398
1395	0.8949194
1396	0.8948709
1397	0.8948532
1398	0.8948614
1399	0.8948557
1400	0.8948684
1401	0.8949260
1402	0.8948457
1403	0.8947946
1404	0.8948361
1405	0.8949253
