Seconds	Ch1	Ch2
1	683.550000	536.490000
1	683.590000	536.340000
1	683.620000	536.280000
1	683.540000	536.380000
1	683.620000	536.330000
1	683.590000	536.280000
1	683.450000	536.380000
1	683.510000	536.320000
1	683.680000	536.350000
1	683.460000	536.420000
1	683.470000	536.260000
1	683.610000	536.300000
1	683.570000	536.420000
1	683.360000	536.340000
2	683.530000	536.320000
2	683.520000	536.330000
2	683.510000	536.250000
2	683.580000	536.480000
2	683.430000	536.310000
2	683.480000	536.510000
2	683.470000	536.470000
2	683.620000	536.350000
2	683.500000	536.350000
2	683.460000	536.410000
2	683.520000	536.370000
2	683.480000	536.290000
2	683.430000	536.220000
3	683.460000	536.330000
3	683.400000	536.470000
3	683.520000	536.410000
3	683.650000	536.500000
3	683.500000	536.470000
3	683.470000	536.330000
3	683.430000	536.360000
3	683.590000	536.430000
3	683.560000	536.380000
3	683.510000	536.400000
3	683.530000	536.420000
3	683.470000	536.430000
3	683.420000	536.390000
4	683.450000	536.390000
4	683.460000	536.420000
4	683.570000	536.360000
4	683.540000	536.380000
4	683.500000	536.380000
4	683.450000	536.480000
4	683.470000	536.560000
4	683.630000	536.340000
4	683.550000	536.550000
4	683.400000	536.360000
4	683.600000	536.380000
4	683.630000	536.450000
4	683.480000	536.420000
5	683.430000	536.340000
5	683.460000	536.440000
5	683.520000	536.280000
5	683.500000	536.360000
5	683.690000	536.500000
5	683.400000	536.400000
5	683.510000	536.250000
5	683.580000	536.380000
5	683.580000	536.360000
5	683.640000	536.340000
5	683.410000	536.420000
5	683.670000	536.360000
5	683.430000	536.380000
6	683.580000	536.370000
6	683.400000	536.430000
6	683.430000	536.480000
6	683.510000	536.370000
6	683.590000	536.400000
6	683.420000	536.270000
6	683.560000	536.470000
6	683.590000	536.400000
6	683.530000	536.390000
6	683.650000	536.230000
6	683.610000	536.390000
6	683.570000	536.540000
6	683.380000	536.330000
7	683.680000	536.490000
7	683.420000	536.430000
7	683.520000	536.330000
7	683.700000	536.530000
7	683.410000	536.350000
7	683.540000	536.350000
7	683.580000	536.470000
7	683.570000	536.450000
7	683.470000	536.390000
7	683.530000	536.410000
7	683.570000	536.500000
7	683.450000	536.420000
7	683.450000	536.290000
8	683.630000	536.270000
8	683.500000	536.420000
8	683.600000	536.400000
8	683.280000	536.460000
8	683.710000	536.370000
8	683.480000	536.250000
8	683.630000	536.470000
8	683.370000	536.390000
8	683.370000	536.230000
8	683.510000	536.350000
8	683.530000	536.280000
8	683.380000	536.410000
8	683.670000	536.420000
9	683.480000	536.490000
9	683.460000	536.370000
9	683.340000	536.260000
9	683.570000	536.290000
9	683.590000	536.320000
9	683.430000	536.320000
9	683.590000	536.550000
9	683.640000	536.320000
9	683.530000	536.440000
9	683.380000	536.370000
9	683.390000	536.260000
9	683.470000	536.340000
9	683.650000	536.420000
10	683.400000	536.370000
10	683.500000	536.400000
10	683.420000	536.390000
10	683.660000	536.390000
10	683.440000	536.300000
10	683.540000	536.290000
10	683.490000	536.380000
10	683.610000	536.300000
10	683.480000	536.330000
10	683.450000	536.260000
10	683.620000	536.360000
10	683.310000	536.300000
10	683.460000	536.390000
11	683.540000	536.220000
11	683.360000	536.470000
11	683.480000	536.350000
11	683.430000	536.420000
11	683.610000	536.350000
11	683.540000	536.400000
11	683.420000	536.250000
11	683.380000	536.440000
11	683.590000	536.350000
11	683.450000	536.310000
11	683.410000	536.370000
11	683.400000	536.440000
11	683.460000	536.280000
12	683.460000	536.430000
12	683.440000	536.420000
12	683.610000	536.250000
12	683.300000	536.290000
12	683.540000	536.420000
12	683.610000	536.380000
12	683.370000	536.430000
12	683.440000	536.420000
12	683.460000	536.370000
12	683.490000	536.390000
12	683.520000	536.330000
12	683.520000	536.300000
12	683.440000	536.360000
13	683.540000	536.360000
13	683.380000	536.310000
13	683.660000	536.280000
13	683.550000	536.330000
13	683.370000	536.280000
13	683.750000	536.360000
13	683.480000	536.390000
13	683.560000	536.330000
13	683.490000	536.440000
13	683.470000	536.420000
13	683.390000	536.350000
13	683.360000	536.230000
13	683.430000	536.360000
14	683.670000	536.460000
14	683.510000	536.470000
14	683.490000	536.350000
14	683.510000	536.430000
14	683.370000	536.430000
14	683.340000	536.380000
14	683.470000	536.330000
14	683.410000	536.440000
14	683.700000	536.380000
14	683.470000	536.370000
14	683.510000	536.320000
14	683.420000	536.420000
14	683.550000	536.460000
15	683.530000	536.340000
15	683.450000	536.360000
15	683.630000	536.310000
15	683.440000	536.330000
15	683.500000	536.310000
15	683.580000	536.440000
15	683.470000	536.460000
15	683.360000	536.440000
15	683.560000	536.350000
15	683.430000	536.400000
15	683.520000	536.420000
15	683.420000	536.330000
15	683.360000	536.440000
16	683.430000	536.460000
16	683.400000	536.320000
16	683.430000	536.290000
16	683.570000	536.370000
16	683.440000	536.240000
16	683.380000	536.330000
16	683.370000	536.470000
16	683.520000	536.350000
16	683.560000	536.340000
16	683.430000	536.420000
16	683.380000	536.400000
16	683.560000	536.370000
16	683.490000	536.520000
17	683.530000	536.450000
17	683.590000	536.530000
17	683.560000	536.320000
17	683.490000	536.380000
17	683.590000	536.350000
17	683.570000	536.390000
17	683.520000	536.320000
17	683.250000	536.310000
17	683.520000	536.430000
17	683.520000	536.480000
17	683.450000	536.290000
17	683.350000	536.340000
17	683.480000	536.410000
18	683.480000	536.270000
18	683.420000	536.250000
18	683.510000	536.350000
18	683.480000	536.310000
18	683.500000	536.280000
18	683.560000	536.430000
18	683.480000	536.430000
18	683.700000	536.480000
18	683.590000	536.340000
18	683.630000	536.390000
18	683.410000	536.450000
18	683.600000	536.380000
18	683.430000	536.320000
19	683.470000	536.330000
19	683.510000	536.360000
19	683.540000	536.310000
19	683.510000	536.330000
19	683.540000	536.310000
19	683.360000	536.420000
19	683.470000	536.160000
19	683.590000	536.450000
19	683.410000	536.390000
19	683.500000	536.380000
19	683.460000	536.280000
19	683.410000	536.410000
19	683.410000	536.270000
20	683.600000	536.420000
20	683.500000	536.340000
20	683.520000	536.420000
20	683.460000	536.380000
20	683.350000	536.410000
20	683.440000	536.320000
20	683.560000	536.350000
20	683.540000	536.460000
20	683.590000	536.460000
20	683.740000	536.370000
20	683.640000	536.170000
20	683.570000	536.330000
20	683.560000	536.370000
21	683.340000	536.340000
21	683.430000	536.360000
21	683.620000	536.340000
21	683.300000	536.230000
21	683.580000	536.370000
21	683.480000	536.320000
21	683.580000	536.420000
21	683.560000	536.370000
21	683.400000	536.400000
21	683.470000	536.430000
21	683.450000	536.330000
21	683.350000	536.410000
21	683.430000	536.430000
22	683.440000	536.360000
22	683.390000	536.320000
22	683.460000	536.360000
22	683.520000	536.300000
22	683.480000	536.300000
22	683.540000	536.400000
22	683.530000	536.380000
22	683.460000	536.380000
22	683.640000	536.390000
22	683.670000	536.350000
22	683.450000	536.340000
22	683.430000	536.420000
22	683.360000	536.400000
23	683.650000	536.350000
23	683.420000	536.350000
23	683.350000	536.360000
23	683.440000	536.380000
23	683.630000	536.440000
23	683.440000	536.400000
23	683.700000	536.340000
23	683.580000	536.400000
23	683.520000	536.360000
23	683.620000	536.430000
23	683.480000	536.440000
23	683.260000	536.240000
23	683.590000	536.310000
24	683.510000	536.380000
24	683.580000	536.170000
24	683.420000	536.320000
24	683.450000	536.300000
24	683.450000	536.310000
24	683.270000	536.270000
24	683.690000	536.550000
24	683.590000	536.420000
24	683.370000	536.320000
24	683.480000	536.450000
24	683.340000	536.320000
24	683.300000	536.380000
24	683.560000	536.430000
25	683.430000	536.360000
25	683.360000	536.330000
25	683.520000	536.250000
25	683.500000	536.250000
25	683.570000	536.320000
25	683.480000	536.390000
25	683.560000	536.380000
25	683.330000	536.380000
25	683.360000	536.430000
25	683.320000	536.330000
25	683.450000	536.310000
25	683.590000	536.350000
25	683.420000	536.440000
26	683.670000	536.430000
26	683.550000	536.370000
26	683.420000	536.380000
26	683.370000	536.370000
26	683.260000	536.340000
26	683.410000	536.270000
26	683.600000	536.240000
26	683.380000	536.290000
26	683.370000	536.390000
26	683.370000	536.370000
26	683.510000	536.400000
26	683.280000	536.320000
26	683.430000	536.330000
27	683.550000	536.380000
27	683.510000	536.360000
27	683.460000	536.430000
27	683.470000	536.420000
27	683.600000	536.440000
27	683.720000	536.300000
27	683.380000	536.330000
27	683.460000	536.360000
27	683.400000	536.380000
27	683.320000	536.390000
27	683.370000	536.370000
27	683.540000	536.420000
27	683.410000	536.290000
28	683.180000	536.420000
28	683.570000	536.350000
28	683.460000	536.240000
28	683.490000	536.310000
28	683.510000	536.310000
28	683.410000	536.280000
28	683.260000	536.240000
28	683.470000	536.290000
28	683.490000	536.330000
28	683.430000	536.350000
28	683.410000	536.370000
28	683.460000	536.310000
28	683.400000	536.410000
29	683.410000	536.360000
29	683.670000	536.400000
29	683.460000	536.340000
29	683.610000	536.330000
29	683.500000	536.470000
29	683.550000	536.390000
29	683.580000	536.390000
29	683.450000	536.330000
29	683.630000	536.290000
29	683.650000	536.330000
29	683.440000	536.260000
29	683.520000	536.220000
29	683.410000	536.340000
30	683.610000	536.400000
30	683.580000	536.360000
30	683.410000	536.300000
30	683.470000	536.330000
30	683.330000	536.330000
30	683.390000	536.310000
30	683.410000	536.450000
30	683.620000	536.250000
30	683.350000	536.340000
30	683.430000	536.420000
30	683.410000	536.490000
30	683.430000	536.390000
30	683.570000	536.340000
31	683.420000	536.350000
31	683.610000	536.330000
31	683.450000	536.320000
31	683.340000	536.400000
31	683.450000	536.270000
31	683.540000	536.240000
31	683.460000	536.250000
31	683.390000	536.470000
31	683.550000	536.370000
31	683.280000	536.460000
31	683.420000	536.440000
31	683.370000	536.410000
31	683.520000	536.300000
32	683.490000	536.300000
32	683.620000	536.480000
32	683.380000	536.340000
32	683.590000	536.250000
32	683.500000	536.200000
32	683.580000	536.370000
32	683.400000	536.380000
32	683.480000	536.300000
32	683.600000	536.260000
32	683.640000	536.470000
32	683.540000	536.440000
32	683.560000	536.350000
32	683.710000	536.370000
33	683.550000	536.280000
33	683.480000	536.360000
33	683.450000	536.300000
33	683.390000	536.340000
33	683.310000	536.380000
33	683.670000	536.310000
33	683.570000	536.300000
33	683.370000	536.280000
33	683.500000	536.390000
33	683.520000	536.390000
33	683.370000	536.310000
33	683.610000	536.390000
33	683.290000	536.390000
34	683.570000	536.300000
34	683.580000	536.320000
34	683.460000	536.390000
34	683.360000	536.350000
34	683.360000	536.360000
34	683.530000	536.320000
34	683.640000	536.170000
34	683.500000	536.370000
34	683.540000	536.180000
34	683.660000	536.360000
34	683.300000	536.400000
34	683.640000	536.420000
34	683.630000	536.430000
35	683.590000	536.380000
35	683.400000	536.360000
35	683.540000	536.440000
35	683.690000	536.270000
35	683.610000	536.410000
35	683.640000	536.290000
35	683.550000	536.460000
35	683.550000	536.320000
35	683.510000	536.350000
35	683.270000	536.350000
35	683.460000	536.410000
35	683.490000	536.390000
35	683.500000	536.510000
36	683.480000	536.360000
36	683.520000	536.350000
36	683.590000	536.370000
36	683.560000	536.310000
36	683.370000	536.390000
36	683.580000	536.470000
36	683.400000	536.370000
36	683.500000	536.330000
36	683.540000	536.310000
36	683.580000	536.360000
36	683.520000	536.280000
36	683.650000	536.290000
36	683.570000	536.280000
37	683.380000	536.370000
37	683.490000	536.480000
37	683.400000	536.270000
37	683.490000	536.310000
37	683.450000	536.450000
37	683.310000	536.380000
37	683.260000	536.550000
37	683.350000	536.430000
37	683.460000	536.310000
37	683.570000	536.410000
37	683.580000	536.440000
37	683.560000	536.430000
37	683.500000	536.350000
38	683.300000	536.420000
38	683.310000	536.380000
38	683.700000	536.380000
38	683.530000	536.360000
38	683.440000	536.360000
38	683.480000	536.370000
38	683.390000	536.450000
38	683.470000	536.310000
38	683.740000	536.220000
38	683.490000	536.270000
38	683.570000	536.300000
38	683.560000	536.310000
38	683.560000	536.260000
39	683.420000	536.340000
39	683.440000	536.360000
39	683.510000	536.420000
39	683.380000	536.400000
39	683.440000	536.270000
39	683.350000	536.310000
39	683.470000	536.290000
39	683.420000	536.470000
39	683.480000	536.470000
39	683.540000	536.370000
39	683.510000	536.300000
39	683.630000	536.410000
39	683.390000	536.370000
40	683.610000	536.390000
40	683.630000	536.420000
40	683.550000	536.400000
40	683.490000	536.330000
40	683.580000	536.290000
40	683.400000	536.380000
40	683.460000	536.290000
40	683.440000	536.300000
40	683.340000	536.330000
40	683.490000	536.360000
40	683.570000	536.390000
40	683.530000	536.420000
40	683.520000	536.380000
41	683.470000	536.420000
41	683.340000	536.390000
41	683.590000	536.480000
41	683.470000	536.280000
41	683.450000	536.200000
41	683.450000	536.390000
41	683.490000	536.400000
41	683.470000	536.450000
41	683.530000	536.440000
41	683.420000	536.240000
41	683.370000	536.220000
41	683.510000	536.340000
41	683.580000	536.270000
42	683.460000	536.430000
42	683.460000	536.480000
42	683.440000	536.320000
42	683.480000	536.340000
42	683.710000	536.270000
42	683.670000	536.340000
42	683.370000	536.290000
42	683.530000	536.290000
42	683.560000	536.460000
42	683.480000	536.470000
42	683.460000	536.490000
42	683.370000	536.410000
42	683.490000	536.270000
43	683.410000	536.360000
43	683.490000	536.230000
43	683.330000	536.370000
43	683.430000	536.280000
43	683.640000	536.390000
43	683.520000	536.460000
43	683.420000	536.270000
43	683.570000	536.290000
43	683.430000	536.310000
43	683.440000	536.380000
43	683.370000	536.390000
43	683.490000	536.280000
43	683.370000	536.400000
44	683.430000	536.260000
44	683.440000	536.420000
44	683.490000	536.400000
44	683.680000	536.320000
44	683.640000	536.440000
44	683.310000	536.500000
44	683.510000	536.370000
44	683.390000	536.350000
44	683.320000	536.430000
44	683.520000	536.440000
44	683.470000	536.230000
44	683.460000	536.390000
44	683.420000	536.340000
45	683.450000	536.610000
45	683.420000	536.340000
45	683.600000	536.400000
45	683.410000	536.390000
45	683.580000	536.350000
45	683.430000	536.300000
45	683.490000	536.300000
45	683.410000	536.370000
45	683.720000	536.410000
45	683.500000	536.390000
45	683.600000	536.340000
45	683.520000	536.500000
45	683.330000	536.490000
46	683.620000	536.420000
46	683.550000	536.360000
46	683.460000	536.320000
46	683.400000	536.350000
46	683.450000	536.260000
46	683.400000	536.330000
46	683.470000	536.320000
46	683.560000	536.380000
46	683.590000	536.450000
46	683.270000	536.190000
46	683.380000	536.420000
46	683.530000	536.410000
46	683.760000	536.380000
47	683.530000	536.320000
47	683.370000	536.400000
47	683.600000	536.410000
47	683.430000	536.520000
47	683.330000	536.330000
47	683.510000	536.310000
47	683.500000	536.340000
47	683.340000	536.360000
47	683.430000	536.360000
47	683.600000	536.360000
47	683.320000	536.370000
47	683.480000	536.400000
47	683.660000	536.280000
48	683.390000	536.410000
48	683.620000	536.390000
48	683.550000	536.440000
48	683.450000	536.350000
48	683.390000	536.410000
48	683.540000	536.230000
48	683.470000	536.330000
48	683.470000	536.410000
48	683.620000	536.340000
48	683.390000	536.500000
48	683.410000	536.400000
48	683.420000	536.420000
48	683.530000	536.360000
49	683.320000	536.330000
49	683.310000	536.320000
49	683.400000	536.280000
49	683.590000	536.310000
49	683.540000	536.380000
49	683.340000	536.240000
49	683.560000	536.380000
49	683.610000	536.400000
49	683.490000	536.360000
49	683.420000	536.280000
49	683.610000	536.340000
49	683.550000	536.410000
49	683.510000	536.420000
50	683.450000	536.330000
50	683.520000	536.470000
50	683.580000	536.470000
50	683.440000	536.300000
50	683.300000	536.350000
50	683.550000	536.430000
50	683.460000	536.410000
50	683.380000	536.330000
50	683.480000	536.230000
50	683.380000	536.290000
50	683.460000	536.320000
50	683.480000	536.250000
50	683.390000	536.380000
51	683.550000	536.350000
51	683.500000	536.380000
51	683.420000	536.400000
51	683.470000	536.340000
51	683.660000	536.400000
51	683.470000	536.440000
51	683.250000	536.560000
51	683.570000	536.330000
51	683.320000	536.280000
51	683.550000	536.490000
51	683.500000	536.370000
51	683.360000	536.330000
51	683.540000	536.400000
52	683.560000	536.390000
52	683.390000	536.230000
52	683.470000	536.240000
52	683.490000	536.200000
52	683.430000	536.380000
52	683.470000	536.300000
52	683.310000	536.440000
52	683.520000	536.340000
52	683.430000	536.370000
52	683.520000	536.310000
52	683.600000	536.290000
52	683.580000	536.410000
52	683.680000	536.420000
53	683.450000	536.390000
53	683.530000	536.380000
53	683.550000	536.380000
53	683.400000	536.370000
53	683.460000	536.270000
53	683.400000	536.440000
53	683.440000	536.370000
53	683.560000	536.350000
53	683.640000	536.430000
53	683.430000	536.360000
53	683.510000	536.260000
53	683.570000	536.340000
53	683.470000	536.330000
54	683.360000	536.350000
54	683.450000	536.330000
54	683.380000	536.350000
54	683.540000	536.360000
54	683.320000	536.290000
54	683.540000	536.310000
54	683.470000	536.330000
54	683.560000	536.270000
54	683.370000	536.460000
54	683.440000	536.470000
54	683.570000	536.360000
54	683.500000	536.380000
54	683.520000	536.320000
55	683.470000	536.350000
55	683.530000	536.330000
55	683.410000	536.390000
55	683.660000	536.450000
55	683.450000	536.430000
55	683.550000	536.300000
55	683.410000	536.240000
55	683.530000	536.340000
55	683.440000	536.260000
55	683.430000	536.250000
55	683.610000	536.410000
55	683.480000	536.370000
55	683.500000	536.440000
56	683.440000	536.390000
56	683.620000	536.360000
56	683.450000	536.350000
56	683.390000	536.360000
56	683.360000	536.400000
56	683.370000	536.260000
56	683.360000	536.320000
56	683.530000	536.340000
56	683.600000	536.350000
56	683.320000	536.430000
56	683.410000	536.410000
56	683.390000	536.250000
56	683.430000	536.380000
57	683.470000	536.410000
57	683.440000	536.410000
57	683.440000	536.330000
57	683.440000	536.230000
57	683.360000	536.400000
57	683.330000	536.450000
57	683.460000	536.350000
57	683.340000	536.450000
57	683.500000	536.310000
57	683.430000	536.420000
57	683.520000	536.510000
57	683.380000	536.330000
57	683.670000	536.310000
58	683.320000	536.310000
58	683.360000	536.240000
58	683.410000	536.300000
58	683.440000	536.270000
58	683.510000	536.190000
58	683.520000	536.380000
58	683.500000	536.390000
58	683.670000	536.410000
58	683.460000	536.390000
58	683.520000	536.300000
58	683.410000	536.330000
58	683.560000	536.290000
58	683.440000	536.340000
59	683.360000	536.370000
59	683.380000	536.350000
59	683.370000	536.380000
59	683.430000	536.390000
59	683.390000	536.370000
59	683.500000	536.350000
59	683.500000	536.360000
59	683.550000	536.230000
59	683.540000	536.230000
59	683.530000	536.310000
59	683.590000	536.310000
59	683.530000	536.350000
59	683.480000	536.290000
60	683.470000	536.430000
60	683.520000	536.370000
60	683.430000	536.270000
60	683.330000	536.210000
60	683.500000	536.490000
60	683.550000	536.370000
60	683.530000	536.290000
60	683.490000	536.350000
60	683.450000	536.390000
60	683.370000	536.330000
60	683.480000	536.450000
60	683.590000	536.460000
60	683.680000	536.340000
61	683.480000	536.380000
61	683.560000	536.280000
61	683.510000	536.270000
61	683.490000	536.250000
61	683.570000	536.290000
61	683.560000	536.330000
61	683.500000	536.330000
61	683.440000	536.530000
61	683.470000	536.330000
61	683.390000	536.390000
61	683.470000	536.360000
61	683.490000	536.310000
61	683.460000	536.420000
62	683.470000	536.380000
62	683.470000	536.340000
62	683.400000	536.410000
62	683.460000	536.370000
62	683.580000	536.370000
62	683.320000	536.430000
62	683.490000	536.340000
62	683.210000	536.490000
62	683.640000	536.260000
62	683.240000	536.390000
62	683.300000	536.290000
62	683.490000	536.340000
62	683.480000	536.350000
63	683.600000	536.220000
63	683.600000	536.410000
63	683.430000	536.500000
63	683.590000	536.430000
63	683.510000	536.440000
63	683.320000	536.360000
63	683.450000	536.380000
63	683.460000	536.480000
63	683.520000	536.270000
63	683.400000	536.340000
63	683.550000	536.280000
63	683.410000	536.430000
63	683.350000	536.400000
64	683.470000	536.220000
64	683.330000	536.340000
64	683.440000	536.290000
64	683.630000	536.380000
64	683.560000	536.290000
64	683.570000	536.270000
64	683.340000	536.340000
64	683.410000	536.310000
64	683.550000	536.500000
64	683.540000	536.370000
64	683.370000	536.210000
64	683.550000	536.390000
64	683.590000	536.290000
65	683.490000	536.450000
65	683.440000	536.350000
65	683.530000	536.370000
65	683.380000	536.480000
65	683.550000	536.460000
65	683.350000	536.340000
65	683.310000	536.530000
65	683.400000	536.250000
65	683.410000	536.210000
65	683.600000	536.260000
65	683.480000	536.310000
65	683.370000	536.370000
65	683.500000	536.240000
66	683.540000	536.380000
66	683.480000	536.290000
66	683.530000	536.410000
66	683.400000	536.410000
66	683.630000	536.420000
66	683.560000	536.270000
66	683.360000	536.410000
66	683.380000	536.390000
66	683.520000	536.320000
66	683.540000	536.300000
66	683.460000	536.380000
66	683.400000	536.310000
66	683.520000	536.310000
67	683.500000	536.380000
67	683.350000	536.260000
67	683.490000	536.270000
67	683.600000	536.280000
67	683.450000	536.340000
67	683.340000	536.280000
67	683.520000	536.510000
67	683.520000	536.370000
67	683.420000	536.340000
67	683.620000	536.440000
67	683.460000	536.390000
67	683.610000	536.470000
67	683.500000	536.400000
68	683.510000	536.490000
68	683.480000	536.390000
68	683.490000	536.320000
68	683.530000	536.340000
68	683.520000	536.360000
68	683.630000	536.250000
68	683.610000	536.440000
68	683.380000	536.420000
