x	y
1	137.4671429
2	137.4671429
3	137.4817803
4	137.4828571
5	137.4810000
6	137.4730769
7	137.4900000
8	137.4969697
9	137.4896008
10	137.4934981
11	137.4952628
12	137.4983460
13	137.4920000
14	137.4813141
15	137.4891560
16	137.4866667
17	137.4773436
18	137.4685168
19	137.4793403
20	137.4810000
21	137.4836667
22	137.4887201
23	137.5060476
24	137.5132979
25	137.5079296
26	137.5006970
27	137.5030445
28	137.4752273
29	137.4704565
30	137.4716836
31	137.4689676
32	137.4806818
33	137.4717429
34	137.4671568
35	137.4672416
36	137.4681319
37	137.4590691
38	137.4569379
39	137.4603406
40	137.4676216
41	137.4675385
42	137.4827833
43	137.5084059
44	137.5041880
45	137.4679039
46	137.4664148
47	137.4719444
48	137.4702222
49	137.4705185
50	137.4837662
51	137.4838889
52	137.4937406
53	137.5017368
54	137.4960011
55	137.5141126
56	137.5142823
57	137.5083333
58	137.5085714
59	137.5072729
60	137.5071176
61	137.5016913
62	137.4938285
63	137.4923016
64	137.4924571
65	137.4914286
66	137.4821118
67	137.4803778
68	137.4727273
69	137.4702543
70	137.4758115
71	137.4830000
72	137.4874679
73	137.4848275
74	137.4823153
75	137.4906566
76	137.4929345
77	137.4937193
78	137.4709996
79	137.4565152
80	137.4806154
81	137.4946923
82	137.5004693
83	137.4972900
84	137.4967308
85	137.4960000
86	137.5307692
87	137.5112000
88	137.4974359
89	137.5068155
90	137.5184864
91	137.4836742
92	137.4977122
93	137.5008485
94	137.4956731
95	137.4871173
96	137.4894444
97	137.4919048
98	137.5156381
99	137.5103319
100	137.5162405
101	137.5151581
102	137.5145187
103	137.5059091
104	137.4700505
105	137.4697924
106	137.4680952
107	137.4668530
108	137.4726923
109	137.4723333
110	137.4783974
111	137.5010833
112	137.5206344
113	137.5196154
114	137.5058974
115	137.5062911
116	137.5074032
117	137.5037063
118	137.4677128
119	137.4630075
120	137.4545701
121	137.4676696
122	137.4859615
123	137.4823810
124	137.4736349
125	137.4808333
126	137.5211974
127	137.5149121
128	137.4910258
129	137.5041667
130	137.4975948
131	137.4750691
132	137.4818254
133	137.5035111
134	137.5051429
135	137.5159707
136	137.5115000
137	137.5057454
138	137.4984000
139	137.4899091
140	137.4897436
141	137.5000669
142	137.5051963
143	137.5146825
144	137.5179341
145	137.5089974
146	137.5067521
147	137.5075000
148	137.5183160
149	137.5198438
150	137.5040602
151	137.4883651
152	137.4969565
153	137.4981786
154	137.4907143
155	137.4823591
156	137.4827412
157	137.4921606
158	137.4940385
159	137.4870270
160	137.4743590
161	137.4760425
162	137.4783333
163	137.4820556
164	137.4930872
165	137.4951206
166	137.4961250
167	137.5011892
168	137.4964593
169	137.4931153
170	137.4957488
171	137.4918580
172	137.4905556
173	137.4983279
174	137.4979967
175	137.5258333
176	137.5289450
177	137.5216667
178	137.5029167
179	137.4958333
180	137.4550556
181	137.4798921
182	137.4758719
183	137.4534826
184	137.4542308
185	137.4584249
186	137.4575641
187	137.4770635
188	137.4775000
189	137.5024747
190	137.5044475
191	137.5062500
192	137.5025000
193	137.4965385
194	137.4856838
195	137.4886957
196	137.4857576
197	137.4940000
198	137.4995870
199	137.4995906
200	137.4899854
201	137.4830769
202	137.4821283
203	137.4732500
204	137.4828768
205	137.4799012
206	137.4825384
207	137.4785989
208	137.4613172
209	137.4793333
210	137.4852464
211	137.4850000
212	137.4650000
213	137.4605217
214	137.4763287
215	137.5008065
216	137.4976923
217	137.4844017
218	137.4975214
219	137.4984188
220	137.5144444
221	137.5188000
222	137.5005556
223	137.4894872
224	137.4875378
225	137.4859273
226	137.5016778
227	137.5106197
228	137.5120556
229	137.5229444
230	137.5261905
231	137.4956044
232	137.4952930
233	137.5050000
234	137.5227778
235	137.5210000
236	137.5016667
237	137.4967498
238	137.5005621
239	137.5000000
240	137.4986667
241	137.5047222
242	137.4960924
243	137.4979710
244	137.5027114
245	137.4855714
246	137.4917500
