x	y
1	40174.2577500
2	40174.2577500
3	40174.2831875
4	40174.1269286
5	40173.9525000
6	40173.9994615
7	40174.9856538
8	40175.0902500
9	40174.7480000
10	40174.8549783
11	40174.8842920
12	40174.6502143
13	40174.5630000
14	40173.9055385
15	40173.3420000
16	40173.3420000
17	40173.0441590
18	40172.7315000
19	40173.6472500
20	40174.0135500
21	40174.0746000
22	40174.1356500
23	40174.8886000
24	40175.1724564
25	40175.0514000
26	40174.9108000
27	40174.8960000
28	40174.1190000
29	40173.7972171
30	40173.8110842
31	40172.8671667
32	40173.1893750
33	40173.1611111
34	40172.9043630
35	40172.8820787
36	40172.9931429
37	40172.9401031
38	40173.1385000
39	40173.2342647
40	40172.9757000
41	40172.8254231
42	40173.5917500
43	40175.0532500
44	40174.7508462
45	40172.4452582
46	40172.3198344
47	40172.5788750
48	40172.6094000
49	40172.6501000
50	40172.9059286
51	40172.9689167
52	40173.3080833
53	40173.3945215
54	40173.3595072
55	40174.1096498
56	40174.0796875
57	40174.0339000
58	40173.2547857
59	40172.9165120
60	40172.9146500
61	40173.2926269
62	40173.0500217
63	40172.9059286
64	40172.9059286
65	40172.4698571
66	40172.5987826
67	40172.5287453
68	40172.0100000
69	40172.0810268
70	40172.6164256
71	40172.9146500
72	40172.8743413
73	40172.7209709
74	40172.5676005
75	40172.7993333
76	40172.9576111
77	40172.8943000
78	40171.8264095
79	40171.1352147
80	40172.4027692
81	40173.0367500
82	40173.2950385
83	40173.2950385
84	40173.2950385
85	40173.1893750
86	40173.3420000
87	40172.1942600
88	40172.1679615
89	40172.7696562
90	40173.1623808
91	40171.6030000
92	40172.2619952
93	40172.3245000
94	40172.6551875
95	40172.1210000
96	40172.2905833
97	40172.7315000
98	40174.2722857
99	40173.8895119
100	40173.5543478
101	40173.1296522
102	40172.7636170
103	40172.6760000
104	40170.5947500
105	40170.6749760
106	40170.5220714
107	40170.5220714
108	40171.2052500
109	40171.2052500
110	40171.1582885
111	40172.3652000
112	40173.7625667
113	40173.6472500
114	40172.7862885
115	40172.7925500
116	40172.8591478
117	40172.6760000
118	40170.5423333
119	40170.3858947
120	40169.9314624
121	40170.7046400
122	40171.3578750
123	40171.2197857
124	40170.6335119
125	40170.7473750
126	40171.9683750
127	40171.6770000
128	40170.3110833
129	40171.3070000
130	40171.0858043
131	40169.5960033
132	40170.0278571
133	40171.3341349
134	40171.3360714
135	40172.4855110
136	40172.2736250
137	40171.5105000
138	40171.1442000
139	40170.7418270
140	40170.6965000
141	40171.0526250
142	40171.4232857
143	40171.4232857
144	40171.6692747
145	40171.1289375
146	40171.1713333
147	40171.3578750
148	40172.7315000
149	40172.6577033
150	40171.5977143
151	40170.2507381
152	40170.7141957
153	40170.8636890
154	40170.6383571
155	40170.4069778
156	40170.4822895
157	40171.0387500
158	40171.0526250
159	40170.9469615
160	40169.6633462
161	40169.7765621
162	40169.9842500
163	40170.3810750
164	40170.4779712
165	40170.4726500
166	40170.7855313
167	40170.7109553
168	40170.8445000
169	40171.0017500
170	40170.9796304
171	40170.9000000
172	40170.7304167
173	40170.6670962
174	40170.5337000
175	40171.2052500
176	40171.5715500
177	40171.3070000
178	40169.9842500
179	40169.6790000
180	40168.5801000
181	40169.3737500
182	40168.7350958
183	40167.5328653
184	40167.5422500
185	40167.6205192
186	40167.6987885
187	40169.3301429
188	40169.3737500
189	40170.6625833
190	40170.6286667
191	40170.5947500
192	40170.4421250
193	40169.9842500
194	40169.2798269
195	40169.6259130
196	40169.4755000
197	40169.6790000
198	40169.6193461
199	40169.7070904
200	40169.1514992
201	40169.4911538
202	40169.4019326
203	40168.8395625
204	40169.0915047
205	40169.1387836
206	40169.0196600
207	40168.8068571
208	40167.7263690
209	40168.8243000
210	40168.6800000
211	40168.7632500
212	40168.4580000
213	40168.0917000
214	40168.2338654
215	40168.3037371
216	40168.3171154
217	40168.2884167
218	40169.0685000
219	40169.1024167
220	40169.1363333
221	40169.6790000
222	40168.7632500
223	40168.0510000
224	40168.1218767
225	40168.1161200
226	40169.1702500
227	40169.6659551
228	40169.7197000
229	40170.3505500
230	40170.2313571
231	40169.5045714
232	40169.4292500
233	40169.4755000
234	40169.5433333
235	40169.4348000
236	40168.4580000
237	40168.5037731
238	40169.1059459
239	40169.0685000
240	40169.0685000
241	40169.3059167
242	40169.0334386
243	40169.1481304
244	40169.1322816
245	40168.0655357
246	40168.3816875
