x	y
1	0.0377504
2	0.0377504
3	0.0377501
4	0.0377502
5	0.0377500
6	0.0377480
7	0.0377480
8	0.0377486
9	0.0377480
10	0.0377484
11	0.0377489
12	0.0377489
13	0.0377489
14	0.0377489
15	0.0377492
16	0.0377493
17	0.0377493
18	0.0377493
19	0.0377492
20	0.0377489
21	0.0377486
22	0.0377479
23	0.0377480
24	0.0377485
25	0.0377484
26	0.0377483
27	0.0377485
28	0.0377484
29	0.0377485
30	0.0377486
31	0.0377488
32	0.0377484
33	0.0377483
34	0.0377475
35	0.0377476
36	0.0377489
37	0.0377489
38	0.0377478
39	0.0377480
40	0.0377482
41	0.0377490
42	0.0377489
43	0.0377489
44	0.0377489
45	0.0377489
46	0.0377488
47	0.0377489
48	0.0377488
49	0.0377481
50	0.0377476
51	0.0377474
52	0.0377478
53	0.0377477
54	0.0377474
55	0.0377477
56	0.0377473
57	0.0377469
58	0.0377475
59	0.0377476
60	0.0377478
61	0.0377478
62	0.0377475
63	0.0377476
64	0.0377478
65	0.0377483
66	0.0377483
67	0.0377479
68	0.0377479
69	0.0377477
70	0.0377476
71	0.0377464
72	0.0377464
73	0.0377478
74	0.0377478
75	0.0377480
76	0.0377478
77	0.0377458
78	0.0377460
79	0.0377458
80	0.0377458
81	0.0377460
82	0.0377478
83	0.0377470
84	0.0377463
85	0.0377464
86	0.0377476
87	0.0377474
88	0.0377474
89	0.0377474
90	0.0377472
91	0.0377468
92	0.0377479
93	0.0377484
94	0.0377483
95	0.0377480
96	0.0377477
97	0.0377475
98	0.0377472
99	0.0377471
100	0.0377475
101	0.0377473
102	0.0377479
103	0.0377482
104	0.0377480
105	0.0377457
106	0.0377457
107	0.0377463
108	0.0377467
109	0.0377473
110	0.0377475
111	0.0377474
112	0.0377470
113	0.0377469
114	0.0377470
115	0.0377481
116	0.0377477
117	0.0377471
118	0.0377469
119	0.0377471
120	0.0377470
121	0.0377466
122	0.0377462
123	0.0377463
124	0.0377463
125	0.0377464
126	0.0377464
127	0.0377466
128	0.0377462
129	0.0377468
130	0.0377470
131	0.0377468
132	0.0377449
133	0.0377456
134	0.0377459
135	0.0377462
136	0.0377459
137	0.0377458
138	0.0377458
139	0.0377459
140	0.0377459
141	0.0377464
142	0.0377464
143	0.0377457
144	0.0377456
145	0.0377459
146	0.0377460
147	0.0377460
148	0.0377460
149	0.0377445
150	0.0377444
151	0.0377449
152	0.0377451
153	0.0377452
154	0.0377461
155	0.0377462
156	0.0377465
157	0.0377491
158	0.0377492
159	0.0377482
160	0.0377484
161	0.0377484
162	0.0377469
163	0.0377467
164	0.0377467
165	0.0377471
166	0.0377470
167	0.0377469
168	0.0377469
169	0.0377472
170	0.0377475
171	0.0377472
172	0.0377469
173	0.0377468
174	0.0377465
175	0.0377464
176	0.0377464
177	0.0377463
178	0.0377461
179	0.0377461
180	0.0377452
181	0.0377452
182	0.0377450
183	0.0377460
184	0.0377464
185	0.0377473
186	0.0377473
187	0.0377471
188	0.0377470
189	0.0377465
190	0.0377460
191	0.0377453
192	0.0377456
193	0.0377457
194	0.0377464
195	0.0377464
196	0.0377460
197	0.0377460
198	0.0377462
199	0.0377458
200	0.0377462
201	0.0377463
202	0.0377468
203	0.0377467
204	0.0377470
205	0.0377470
206	0.0377469
207	0.0377457
208	0.0377458
209	0.0377458
210	0.0377460
211	0.0377451
212	0.0377449
213	0.0377450
214	0.0377450
215	0.0377446
216	0.0377447
217	0.0377453
218	0.0377449
219	0.0377444
220	0.0377450
221	0.0377452
222	0.0377452
223	0.0377452
224	0.0377469
225	0.0377462
226	0.0377461
227	0.0377462
228	0.0377465
229	0.0377462
230	0.0377462
231	0.0377465
232	0.0377467
233	0.0377460
234	0.0377456
235	0.0377455
236	0.0377454
237	0.0377454
238	0.0377451
239	0.0377451
240	0.0377450
241	0.0377451
242	0.0377453
243	0.0377452
244	0.0377452
245	0.0377456
246	0.0377456
247	0.0377452
248	0.0377454
249	0.0377455
