x	y
1	4.1452386
2	4.1452386
3	4.1455351
4	4.1455231
5	4.1455090
6	4.1455042
7	4.1454869
8	4.1454530
9	4.1455625
10	4.1456079
11	4.1455138
12	4.1455179
13	4.1455443
14	4.1455339
15	4.1454598
16	4.1454712
17	4.1455138
18	4.1455138
19	4.1454976
20	4.1456104
21	4.1456399
22	4.1456067
23	4.1455770
24	4.1455819
25	4.1455719
26	4.1455392
27	4.1456247
28	4.1455758
29	4.1455631
30	4.1455812
31	4.1455683
32	4.1455267
33	4.1455247
34	4.1455610
35	4.1455654
36	4.1457107
37	4.1457920
38	4.1456835
39	4.1456787
40	4.1456715
41	4.1455926
42	4.1456206
43	4.1456284
44	4.1456326
45	4.1456206
46	4.1456138
47	4.1456070
48	4.1456104
49	4.1456335
50	4.1456264
51	4.1456308
52	4.1456697
53	4.1456264
54	4.1456271
55	4.1456843
56	4.1456995
57	4.1456942
58	4.1456674
59	4.1456647
60	4.1455998
61	4.1457505
62	4.1457001
63	4.1456200
64	4.1457122
65	4.1456962
66	4.1457936
67	4.1458038
68	4.1457892
69	4.1457529
70	4.1457194
71	4.1456671
72	4.1457071
73	4.1456727
74	4.1456979
75	4.1457122
76	4.1455697
77	4.1456012
78	4.1456079
79	4.1456552
80	4.1457040
81	4.1457144
82	4.1457325
83	4.1457251
84	4.1457478
85	4.1458152
86	4.1457635
87	4.1457117
88	4.1457146
89	4.1458017
90	4.1459353
91	4.1459241
92	4.1459096
93	4.1458624
94	4.1458630
95	4.1458635
96	4.1458689
97	4.1458811
98	4.1459024
99	4.1459292
100	4.1459564
101	4.1458953
102	4.1458872
103	4.1458673
104	4.1458679
105	4.1458930
106	4.1458628
107	4.1459055
108	4.1459157
109	4.1459259
110	4.1459055
111	4.1458902
112	4.1458872
113	4.1457823
114	4.1457517
115	4.1457564
116	4.1457634
117	4.1458750
118	4.1458867
119	4.1459910
120	4.1459960
121	4.1459826
122	4.1459360
123	4.1459519
124	4.1459718
125	4.1459825
126	4.1460188
127	4.1459360
128	4.1459421
129	4.1459437
130	4.1459491
131	4.1459462
132	4.1459089
133	4.1458716
134	4.1458709
135	4.1459288
136	4.1459241
137	4.1459319
138	4.1460581
139	4.1460123
140	4.1458736
141	4.1458773
142	4.1458485
143	4.1459421
144	4.1461421
145	4.1461650
146	4.1463129
147	4.1461938
148	4.1461206
149	4.1461219
150	4.1460767
151	4.1460933
152	4.1460996
153	4.1460446
154	4.1460182
155	4.1458617
156	4.1458673
157	4.1462591
158	4.1462474
159	4.1462413
160	4.1462438
161	4.1461802
162	4.1461115
163	4.1461480
164	4.1461802
165	4.1461938
166	4.1462708
167	4.1462962
168	4.1463606
169	4.1462718
170	4.1462718
171	4.1464375
172	4.1464244
173	4.1461411
174	4.1461039
175	4.1461306
176	4.1461259
177	4.1461294
178	4.1461295
179	4.1461362
180	4.1461429
181	4.1462379
182	4.1463801
183	4.1463634
184	4.1463650
185	4.1463821
186	4.1463634
187	4.1463498
188	4.1463329
189	4.1463956
190	4.1463939
191	4.1463329
192	4.1463064
193	4.1463206
194	4.1463023
195	4.1461881
196	4.1461403
197	4.1461650
198	4.1462067
199	4.1462107
200	4.1461904
201	4.1461386
202	4.1461599
203	4.1461497
