x	y
1	-4.1733333
2	-4.1733333
3	-4.1729097
4	-4.1545652
5	-4.1511111
6	-4.1446296
7	-4.1423096
8	-4.1385793
9	-4.1419941
10	-4.1542308
11	-4.1578846
12	-4.1495139
13	-4.1330180
14	-4.1358435
15	-4.1336476
16	-4.1358052
17	-4.1429545
18	-4.1379041
19	-4.1347883
20	-4.1390063
21	-4.1438446
22	-4.1445620
23	-4.1465385
24	-4.1730769
25	-4.1700342
26	-4.1643182
27	-4.1653331
28	-4.1645833
29	-4.1663187
30	-4.1770000
31	-4.1872051
32	-4.1536014
33	-4.1529365
34	-4.1646189
35	-4.1778578
36	-4.1895314
37	-4.1933944
38	-4.1950000
39	-4.1900000
40	-4.1850000
41	-4.1837500
42	-4.1827302
43	-4.1839051
44	-4.1886364
45	-4.2206157
46	-4.2177354
47	-4.2087912
48	-4.2109091
49	-4.2100000
50	-4.1950000
51	-4.1947500
52	-4.1943939
53	-4.2022339
54	-4.2099573
55	-4.2090341
56	-4.1931235
57	-4.1946703
58	-4.2038584
59	-4.2122833
60	-4.2190000
61	-4.2037500
62	-4.2044444
63	-4.2075000
64	-4.1917308
65	-4.1889316
66	-4.1930769
67	-4.1955769
68	-4.2051923
69	-4.2236538
70	-4.2089316
71	-4.1930395
72	-4.1977273
73	-4.2078287
74	-4.2087658
75	-4.2204222
76	-4.2212271
77	-4.2388462
78	-4.2398718
79	-4.2387821
80	-4.2372756
81	-4.2340972
82	-4.2393429
83	-4.2359615
84	-4.2296923
85	-4.2282727
86	-4.2426923
87	-4.2264761
88	-4.2322078
89	-4.2384346
90	-4.2408581
91	-4.2402611
92	-4.2447949
93	-4.2393664
94	-4.2528526
95	-4.2478846
96	-4.2378638
97	-4.2385605
98	-4.2479808
99	-4.2782955
100	-4.2834861
101	-4.2886250
102	-4.2782596
103	-4.2731667
104	-4.2681410
105	-4.2659158
106	-4.2595833
107	-4.2611180
108	-4.2623810
109	-4.2603950
110	-4.2593750
111	-4.2591818
112	-4.2596737
113	-4.2550291
114	-4.2571429
115	-4.2568182
116	-4.2775000
117	-4.2775000
118	-4.2772394
119	-4.2675257
120	-4.2638462
121	-4.2735447
122	-4.2718750
123	-4.2863636
124	-4.2948762
125	-4.2958807
126	-4.3080769
127	-4.3086071
128	-4.3012204
129	-4.2959044
130	-4.3042857
131	-4.2861509
132	-4.2864861
133	-4.2970192
134	-4.2977778
135	-4.3066670
136	-4.3094444
137	-4.3081250
138	-4.3081090
139	-4.3186004
140	-4.3183120
141	-4.3144373
142	-4.3124869
143	-4.3027324
144	-4.3075240
145	-4.3090648
146	-4.3153480
147	-4.3142735
148	-4.3128205
149	-4.3124532
150	-4.3114286
151	-4.3152609
152	-4.3231194
153	-4.3232500
154	-4.3218133
155	-4.3269477
156	-4.3232979
157	-4.3147436
158	-4.3201127
159	-4.3203846
160	-4.3378448
161	-4.3402727
162	-4.3387885
163	-4.3375000
164	-4.3177564
165	-4.3234722
166	-4.3541313
167	-4.3557326
168	-4.3630366
169	-4.3552041
170	-4.3437381
171	-4.3427083
172	-4.3741898
173	-4.3727778
174	-4.3748295
175	-4.3687500
176	-4.3687743
177	-4.3648692
178	-4.3648103
179	-4.3706294
180	-4.3800000
181	-4.3750000
182	-4.3409890
183	-4.3454167
184	-4.3520452
185	-4.3566466
186	-4.3585398
187	-4.3710792
188	-4.3609293
189	-4.3507766
190	-4.3587336
191	-4.3645839
192	-4.3716527
193	-4.3719836
194	-4.3743376
195	-4.3773333
196	-4.3743077
197	-4.3812821
198	-4.3849509
199	-4.3848212
200	-4.3830391
201	-4.3828725
202	-4.3803571
203	-4.3762927
204	-4.3685714
205	-4.3671917
206	-4.3572207
207	-4.3544383
208	-4.3618741
209	-4.3643269
210	-4.3882246
211	-4.3879298
212	-4.3945455
213	-4.4187878
214	-4.4107488
215	-4.4050000
216	-4.3889394
217	-4.3807265
218	-4.3780445
219	-4.3791308
220	-4.3775578
221	-4.3756763
222	-4.3806769
223	-4.3824208
224	-4.3821270
225	-4.3808637
226	-4.3966087
227	-4.4010742
228	-4.4126923
229	-4.4087462
230	-4.4192880
231	-4.4184444
232	-4.3902854
233	-4.3901519
234	-4.3986597
235	-4.4066469
236	-4.4147952
237	-4.4244757
238	-4.4169071
239	-4.4086000
240	-4.4091111
241	-4.4259704
242	-4.4360024
243	-4.4373514
244	-4.4263636
245	-4.4273684
246	-4.4279376
247	-4.4217697
248	-4.4176280
249	-4.4118831
250	-4.4142236
251	-4.4164103
252	-4.4152564
253	-4.4277714
254	-4.4369925
255	-4.4376623
256	-4.4416017
257	-4.4410526
258	-4.4490175
259	-4.4303896
260	-4.4357143
261	-4.4342308
262	-4.4328274
263	-4.4406893
264	-4.4445928
265	-4.4472727
266	-4.4466857
267	-4.4489077
268	-4.4481250
269	-4.4482641
270	-4.4504541
271	-4.4559231
272	-4.4549107
273	-4.4517460
274	-4.4578571
275	-4.4677489
276	-4.4700000
277	-4.4628846
278	-4.4614510
279	-4.4572401
280	-4.4683111
281	-4.4663636
282	-4.4733226
283	-4.4740118
284	-4.4659295
285	-4.4412051
286	-4.4465714
287	-4.4721111
288	-4.4726993
289	-4.4681955
290	-4.4634921
291	-4.4328947
292	-4.4330046
293	-4.4409020
294	-4.4446667
295	-4.4534343
296	-4.4854545
297	-4.4839394
298	-4.4862333
299	-4.4804701
300	-4.4758572
301	-4.4678615
302	-4.4675385
303	-4.4794242
304	-4.4861818
305	-4.5020606
306	-4.5022115
307	-4.4796210
308	-4.4830978
309	-4.4892821
310	-4.4947131
311	-4.4944286
312	-4.4928571
313	-4.4846031
314	-4.4900000
315	-4.5032143
316	-4.5069088
317	-4.5100000
318	-4.5106667
319	-4.5022609
320	-4.4970000
321	-4.5073285
322	-4.5099703
323	-4.5058252
324	-4.4869905
325	-4.4939628
326	-4.5014872
327	-4.5528571
328	-4.5456667
329	-4.5214786
330	-4.5184163
331	-4.5185714
332	-4.5138889
333	-4.5109218
334	-4.5096753
335	-4.5083333
336	-4.5371282
337	-4.5365156
338	-4.5315714
339	-4.5071636
340	-4.4995321
341	-4.5064011
342	-4.4998815
343	-4.5003623
344	-4.5123567
345	-4.5136661
346	-4.5199362
347	-4.5026147
348	-4.5004545
349	-4.4983104
350	-4.4995511
351	-4.5082635
352	-4.5145109
353	-4.5193018
354	-4.5217857
355	-4.5205714
356	-4.5169138
357	-4.5169082
358	-4.5280000
359	-4.5296816
360	-4.5327500
361	-4.5395385
362	-4.5421795
363	-4.5497143
364	-4.5537510
365	-4.5604762
366	-4.5574304
367	-4.5499934
368	-4.5488033
369	-4.5484900
370	-4.5591575
371	-4.5663690
372	-4.5638604
373	-4.5510287
374	-4.5487500
375	-4.5435556
376	-4.5354545
377	-4.5346753
378	-4.5479352
379	-4.5715530
380	-4.5698626
