x	y
1	-0.0002320
2	-0.0002320
3	-0.0002320
4	-0.0002310
5	-0.0002308
6	-0.0002304
7	-0.0002303
8	-0.0002301
9	-0.0002303
10	-0.0002309
11	-0.0002311
12	-0.0002307
13	-0.0002298
14	-0.0002299
15	-0.0002298
16	-0.0002299
17	-0.0002303
18	-0.0002300
19	-0.0002299
20	-0.0002301
21	-0.0002304
22	-0.0002304
23	-0.0002305
24	-0.0002320
25	-0.0002318
26	-0.0002315
27	-0.0002316
28	-0.0002315
29	-0.0002316
30	-0.0002322
31	-0.0002328
32	-0.0002309
33	-0.0002309
34	-0.0002315
35	-0.0002322
36	-0.0002329
37	-0.0002331
38	-0.0002332
39	-0.0002329
40	-0.0002326
41	-0.0002326
42	-0.0002325
43	-0.0002326
44	-0.0002328
45	-0.0002346
46	-0.0002345
47	-0.0002340
48	-0.0002341
49	-0.0002340
50	-0.0002332
51	-0.0002332
52	-0.0002332
53	-0.0002336
54	-0.0002340
55	-0.0002340
56	-0.0002331
57	-0.0002332
58	-0.0002337
59	-0.0002342
60	-0.0002345
61	-0.0002337
62	-0.0002337
63	-0.0002339
64	-0.0002330
65	-0.0002329
66	-0.0002331
67	-0.0002332
68	-0.0002338
69	-0.0002348
70	-0.0002340
71	-0.0002331
72	-0.0002334
73	-0.0002339
74	-0.0002340
75	-0.0002346
76	-0.0002347
77	-0.0002356
78	-0.0002357
79	-0.0002356
80	-0.0002356
81	-0.0002354
82	-0.0002357
83	-0.0002355
84	-0.0002351
85	-0.0002350
86	-0.0002359
87	-0.0002349
88	-0.0002353
89	-0.0002356
90	-0.0002357
91	-0.0002357
92	-0.0002360
93	-0.0002357
94	-0.0002364
95	-0.0002361
96	-0.0002356
97	-0.0002356
98	-0.0002361
99	-0.0002378
100	-0.0002381
101	-0.0002384
102	-0.0002378
103	-0.0002375
104	-0.0002373
105	-0.0002371
106	-0.0002368
107	-0.0002369
108	-0.0002369
109	-0.0002368
110	-0.0002368
111	-0.0002368
112	-0.0002368
113	-0.0002365
114	-0.0002367
115	-0.0002366
116	-0.0002378
117	-0.0002378
118	-0.0002378
119	-0.0002372
120	-0.0002370
121	-0.0002376
122	-0.0002375
123	-0.0002383
124	-0.0002388
125	-0.0002388
126	-0.0002395
127	-0.0002395
128	-0.0002391
129	-0.0002388
130	-0.0002393
131	-0.0002383
132	-0.0002383
133	-0.0002389
134	-0.0002389
135	-0.0002394
136	-0.0002396
137	-0.0002395
138	-0.0002395
139	-0.0002401
140	-0.0002401
141	-0.0002398
142	-0.0002397
143	-0.0002392
144	-0.0002395
145	-0.0002395
146	-0.0002399
147	-0.0002398
148	-0.0002397
149	-0.0002397
150	-0.0002397
151	-0.0002399
152	-0.0002403
153	-0.0002403
154	-0.0002402
155	-0.0002405
156	-0.0002403
157	-0.0002399
158	-0.0002402
159	-0.0002402
160	-0.0002411
161	-0.0002413
162	-0.0002412
163	-0.0002411
164	-0.0002400
165	-0.0002403
166	-0.0002420
167	-0.0002421
168	-0.0002425
169	-0.0002421
170	-0.0002415
171	-0.0002414
172	-0.0002432
173	-0.0002431
174	-0.0002432
175	-0.0002429
176	-0.0002429
177	-0.0002426
178	-0.0002426
179	-0.0002430
180	-0.0002435
181	-0.0002432
182	-0.0002413
183	-0.0002416
184	-0.0002419
185	-0.0002422
186	-0.0002423
187	-0.0002430
188	-0.0002424
189	-0.0002419
190	-0.0002423
191	-0.0002426
192	-0.0002430
193	-0.0002430
194	-0.0002432
195	-0.0002433
196	-0.0002432
197	-0.0002436
198	-0.0002438
199	-0.0002438
200	-0.0002437
201	-0.0002436
202	-0.0002435
203	-0.0002433
204	-0.0002428
205	-0.0002428
206	-0.0002422
207	-0.0002421
208	-0.0002425
209	-0.0002426
210	-0.0002439
211	-0.0002439
212	-0.0002443
213	-0.0002456
214	-0.0002452
215	-0.0002449
216	-0.0002440
217	-0.0002435
218	-0.0002434
219	-0.0002434
220	-0.0002433
221	-0.0002432
222	-0.0002435
223	-0.0002436
224	-0.0002436
225	-0.0002435
226	-0.0002444
227	-0.0002447
228	-0.0002453
229	-0.0002451
230	-0.0002457
231	-0.0002456
232	-0.0002441
233	-0.0002440
234	-0.0002445
235	-0.0002450
236	-0.0002454
237	-0.0002460
238	-0.0002455
239	-0.0002451
240	-0.0002451
241	-0.0002460
242	-0.0002466
243	-0.0002467
244	-0.0002461
245	-0.0002461
246	-0.0002461
247	-0.0002458
248	-0.0002456
249	-0.0002453
250	-0.0002454
251	-0.0002455
252	-0.0002454
253	-0.0002461
254	-0.0002467
255	-0.0002467
256	-0.0002469
257	-0.0002469
258	-0.0002473
259	-0.0002463
260	-0.0002466
261	-0.0002465
262	-0.0002464
263	-0.0002469
264	-0.0002471
265	-0.0002472
266	-0.0002472
267	-0.0002473
268	-0.0002473
269	-0.0002473
270	-0.0002474
271	-0.0002477
272	-0.0002476
273	-0.0002475
274	-0.0002478
275	-0.0002484
276	-0.0002485
277	-0.0002481
278	-0.0002480
279	-0.0002478
280	-0.0002484
281	-0.0002483
282	-0.0002487
283	-0.0002487
