211122_binding_JYK00 Fc=4-3 - 1_X	211122_binding_JYK00 Fc=4-3 - 1_Y	211122_binding_JYK00 Fc=4-3 - 2_X	211122_binding_JYK00 Fc=4-3 - 2_Y	211122_binding_JYK00 Fc=4-3 - 3_X	211122_binding_JYK00 Fc=4-3 - 3_Y	211122_binding_JYK00 Fc=4-3 - 4_X	211122_binding_JYK00 Fc=4-3 - 4_Y	211122_binding_JYK00 Fc=4-3 - 5_X	211122_binding_JYK00 Fc=4-3 - 5_Y	211122_binding_JYK00 Fc=4-3 - 6_X	211122_binding_JYK00 Fc=4-3 - 6_Y	211122_binding_JYK00 Fc=4-3 - 7_X	211122_binding_JYK00 Fc=4-3 - 7_Y	211122_binding_JYK00 Fc=4-3 - 8_X	211122_binding_JYK00 Fc=4-3 - 8_Y	211122_binding_JYK00 Fc=4-3 - 9_X	211122_binding_JYK00 Fc=4-3 - 9_Y	211122_binding_JYK0 Fc=4-3 - 10_X	211122_binding_JYK0 Fc=4-3 - 10_Y	211122_binding_JYK0 Fc=4-3 - 11_X	211122_binding_JYK0 Fc=4-3 - 11_Y	211122_binding_JYK0 Fc=4-3 - 12_X	211122_binding_JYK0 Fc=4-3 - 12_Y	211122_binding_JYK0 Fc=4-3 - 13_X	211122_binding_JYK0 Fc=4-3 - 13_Y	211122_binding_JYK0 Fc=4-3 - 14_X	211122_binding_JYK0 Fc=4-3 - 14_Y	211122_binding_JYK0 Fc=4-3 - 15_X	211122_binding_JYK0 Fc=4-3 - 15_Y	211122_binding_JYK0 Fc=4-3 - 16_X	211122_binding_JYK0 Fc=4-3 - 16_Y	211122_binding_JYK0 Fc=4-3 - 17_X	211122_binding_JYK0 Fc=4-3 - 17_Y	211122_binding_JYK0 Fc=4-3 - 18_X	211122_binding_JYK0 Fc=4-3 - 18_Y	211122_binding_JYK0 Fc=4-3 - 19_X	211122_binding_JYK0 Fc=4-3 - 19_Y	211122_binding_JYK0 Fc=4-3 - 20_X	211122_binding_JYK0 Fc=4-3 - 20_Y	211122_binding_JYK0 Fc=4-3 - 21_X	211122_binding_JYK0 Fc=4-3 - 21_Y	211122_binding_JYK0 Fc=4-3 - 22_X	211122_binding_JYK0 Fc=4-3 - 22_Y	211122_binding_JYK0 Fc=4-3 - 23_X	211122_binding_JYK0 Fc=4-3 - 23_Y	211122_binding_JYK0 Fc=4-3 - 24_X	211122_binding_JYK0 Fc=4-3 - 24_Y	211122_binding_JYK0 Fc=4-3 - 25_X	211122_binding_JYK0 Fc=4-3 - 25_Y	211122_binding_JYK0 Fc=4-3 - 26_X	211122_binding_JYK0 Fc=4-3 - 26_Y	211122_binding_JYK0 Fc=4-3 - 27_X	211122_binding_JYK0 Fc=4-3 - 27_Y	211122_binding_JYK0 Fc=4-3 - 28_X	211122_binding_JYK0 Fc=4-3 - 28_Y	211122_binding_JYK0 Fc=4-3 - 29_X	211122_binding_JYK0 Fc=4-3 - 29_Y	211122_binding_JYK0 Fc=4-3 - 30_X	211122_binding_JYK0 Fc=4-3 - 30_Y	211122_binding_JYK0 Fc=4-3 - 31_X	211122_binding_JYK0 Fc=4-3 - 31_Y	211122_binding_JYK0 Fc=4-3 - 32_X	211122_binding_JYK0 Fc=4-3 - 32_Y	211122_binding_JYK0 Fc=4-3 - 33_X	211122_binding_JYK0 Fc=4-3 - 33_Y	211122_binding_JYK0 Fc=4-3 - 34_X	211122_binding_JYK0 Fc=4-3 - 34_Y	211122_binding_JYK0 Fc=4-3 - 35_X	211122_binding_JYK0 Fc=4-3 - 35_Y
1.8	11371.1	1.8	11328.9	1.8	11276.2	1.8	11253.5	1.8	11238.9	1.8	11225.7	1.8	11212.7	1.8	11204.7	1.8	11195.8	1.8	11190.5	1.8	11185.1	1.8	11175.3	1.8	11170.4	1.8	11176.3	1.8	11171.5	1.8	11165.4	1.8	11164.5	1.8	11163	1.8	11161.8	1.8	11160.7	1.8	11159.9	1.8	11160.7	1.8	11160.3	1.8	11161.6	1.8	11170.2	1.8	11164.8	1.8	11166	1.8	11158.3	1.8	11161	1.8	11160.9	1.8	11160.4	1.8	11166	1.8	11165.3	1.8	11164.6	1.8	11170.9
2.8	11371.1	2.8	11328.8	2.8	11277.2	2.8	11253.5	2.8	11239.4	2.8	11222.9	2.8	11213.5	2.8	11201	2.8	11195.3	2.8	11192.7	2.8	11184	2.8	11177	2.8	11170.5	2.8	11176.7	2.8	11171.3	2.8	11166	2.8	11165	2.8	11165.4	2.8	11163.1	2.8	11161.8	2.8	11159.5	2.8	11161.7	2.8	11160.8	2.8	11162	2.8	11171.3	2.8	11165.6	2.8	11165.5	2.8	11160.2	2.8	11160.2	2.8	11161	2.8	11160.1	2.8	11165.8	2.8	11165	2.8	11163.9	2.8	11172.2
3.8	11371.3	3.8	11324.1	3.8	11278.3	3.8	11253.5	3.8	11239.1	3.8	11221.3	3.8	11213.4	3.8	11203.4	3.8	11197	3.8	11190.7	3.8	11182.3	3.8	11176.6	3.8	11172	3.8	11177.1	3.8	11169	3.8	11168.8	3.8	11164.3	3.8	11162.3	3.8	11163.9	3.8	11162.9	3.8	11159.3	3.8	11163.2	3.8	11160.3	3.8	11162.2	3.8	11169.7	3.8	11164.3	3.8	11161.8	3.8	11160.4	3.8	11160.7	3.8	11162.1	3.8	11160.8	3.8	11165.4	3.8	11164.2	3.8	11162.5	3.8	11170.3
4.8	11371.4	4.8	11327.9	4.8	11277	4.8	11254.3	4.8	11238.9	4.8	11223.1	4.8	11210.4	4.8	11204.6	4.8	11197.4	4.8	11191.6	4.8	11182.7	4.8	11174.7	4.8	11168.5	4.8	11176.1	4.8	11171.5	4.8	11168.2	4.8	11161.4	4.8	11161.6	4.8	11162.3	4.8	11164.1	4.8	11158.8	4.8	11159.7	4.8	11160.2	4.8	11160.9	4.8	11171.5	4.8	11164.9	4.8	11163.3	4.8	11161.6	4.8	11161.1	4.8	11161	4.8	11164.6	4.8	11167.2	4.8	11165.2	4.8	11164.7	4.8	11171.5
5.8	11370.7	5.8	11326.3	5.8	11277.2	5.8	11253.5	5.8	11240.1	5.8	11224.8	5.8	11209.8	5.8	11203.5	5.8	11196.6	5.8	11188.7	5.8	11182.8	5.8	11175.1	5.8	11169.8	5.8	11177.8	5.8	11171.4	5.8	11167.6	5.8	11164.5	5.8	11163.6	5.8	11162.6	5.8	11161.5	5.8	11159.1	5.8	11161.7	5.8	11162	5.8	11163.8	5.8	11168.3	5.8	11166.6	5.8	11162.9	5.8	11161.8	5.8	11161.9	5.8	11162.8	5.8	11162	5.8	11165.6	5.8	11164.3	5.8	11167.4	5.8	11172.5
6.8	11371.3	6.8	11325.5	6.8	11276.5	6.8	11254.4	6.8	11240	6.8	11225.9	6.8	11209.9	6.8	11204.8	6.8	11195.3	6.8	11191.1	6.8	11182.5	6.8	11173.9	6.8	11170.4	6.8	11177.3	6.8	11170.5	6.8	11166.7	6.8	11164	6.8	11165.8	6.8	11162	6.8	11161.1	6.8	11160.3	6.8	11161.2	6.8	11163.1	6.8	11162.1	6.8	11168.5	6.8	11167.9	6.8	11163.3	6.8	11163.8	6.8	11161.7	6.8	11162.3	6.8	11162.5	6.8	11165.4	6.8	11166.5	6.8	11166.5	6.8	11173.8
7.8	11369.5	7.8	11327.2	7.8	11277.5	7.8	11256.6	7.8	11238.8	7.8	11223	7.8	11209.9	7.8	11202	7.8	11196.9	7.8	11191.4	7.8	11184	7.8	11172.8	7.8	11171.4	7.8	11175.4	7.8	11168.6	7.8	11169.2	7.8	11165	7.8	11163.7	7.8	11161	7.8	11162.3	7.8	11159	7.8	11162.2	7.8	11162	7.8	11162.6	7.8	11168.1	7.8	11165.7	7.8	11162.4	7.8	11161.6	7.8	11162.6	7.8	11160	7.8	11162.8	7.8	11164.3	7.8	11165.5	7.8	11164	7.8	11172.1
8.8	11370.5	8.8	11327.5	8.8	11276.3	8.8	11255.1	8.8	11239.7	8.8	11223.1	8.8	11209.6	8.8	11201	8.8	11196.1	8.8	11189.6	8.8	11183.1	8.8	11173.7	8.8	11170.9	8.8	11176.1	8.8	11172.7	8.8	11167.3	8.8	11164.7	8.8	11163.2	8.8	11165.4	8.8	11160.9	8.8	11159.9	8.8	11159.5	8.8	11161.5	8.8	11160.5	8.8	11167.2	8.8	11166.9	8.8	11161.1	8.8	11163.1	8.8	11159.5	8.8	11162	8.8	11162.9	8.8	11166.6	8.8	11164.2	8.8	11164.5	8.8	11171.5
9.8	11368.3	9.8	11326.7	9.8	11275.2	9.8	11255.2	9.8	11237.6	9.8	11222.2	9.8	11210.7	9.8	11201.3	9.8	11197.8	9.8	11190.1	9.8	11180.7	9.8	11176.7	9.8	11169.3	9.8	11173.4	9.8	11171.3	9.8	11169.2	9.8	11164.3	9.8	11163.1	9.8	11163.7	9.8	11159.8	9.8	11158.8	9.8	11160.7	9.8	11162.4	9.8	11162.6	9.8	11169.4	9.8	11166.4	9.8	11162.7	9.8	11161.6	9.8	11160.7	9.8	11162.5	9.8	11160.7	9.8	11161.1	9.8	11166.3	9.8	11164.1	9.8	11172.1
10.8	11369.1	10.8	11324.7	10.8	11276.6	10.8	11253.7	10.8	11238.9	10.8	11224.2	10.8	11211.3	10.8	11204.3	10.8	11197.6	10.8	11190.1	10.8	11182.3	10.8	11173	10.8	11168.2	10.8	11175.8	10.8	11169.9	10.8	11169.4	10.8	11163.5	10.8	11163.2	10.8	11164.8	10.8	11158.9	10.8	11160.9	10.8	11161.2	10.8	11160	10.8	11161.9	10.8	11168.7	10.8	11165.3	10.8	11160.7	10.8	11161.5	10.8	11160.4	10.8	11161.3	10.8	11163.2	10.8	11164.1	10.8	11165.2	10.8	11164.4	10.8	11171.1
