x	y
1	39814.2544106
2	39814.0194117
3	39813.3503560
4	39813.3849146
5	39815.1128478
6	39814.9898190
7	39815.1562528
8	39815.3630526
9	39815.4173411
10	39816.1916311
11	39816.3614524
12	39815.4760594
13	39815.4484998
14	39815.5123460
15	39815.9303676
16	39816.5419177
17	39815.9187559
18	39815.7973607
19	39815.8423631
20	39815.8781149
21	39815.7414201
22	39815.7680725
23	39815.8713972
24	39815.8423631
25	39815.8389254
26	39815.4180008
27	39815.5835621
28	39816.0348730
29	39818.1636867
30	39818.1323205
31	39818.2120688
32	39818.7781398
33	39821.7681554
34	39825.8419307
35	39829.9157060
36	39833.8007910
37	39841.2709918
38	39845.2963850
39	39854.9631345
40	39863.4541983
41	39871.0961556
42	39878.5748233
43	39885.0084370
44	39892.7157102
45	39896.5040310
46	39901.7293010
47	39907.6861088
48	39911.9185775
49	39915.0730924
50	39918.2276072
51	39918.9726920
52	39922.9787323
53	39925.9203658
54	39927.3331240
55	39927.7685632
56	39928.3781780
57	39929.0361750
58	39928.9587636
59	39929.0313367
60	39929.9131011
61	39930.8911837
62	39930.8008032
63	39930.8062148
64	39931.4436697
65	39931.8181474
66	39932.2318146
67	39932.7107522
68	39932.6454818
69	39932.5583940
70	39932.5196883
71	39932.4809826
72	39932.3951043
73	39932.0249810
74	39931.4903585
75	39931.5133400
76	39932.1403724
77	39932.2100427
78	39932.1664987
79	39931.5133400
80	39931.1223590
81	39931.1774298
82	39931.1401064
83	39931.0234709
84	39930.9908130
85	39930.9792013
86	39929.8804431
87	39929.8337889
88	39929.7937610
89	39929.7218189
90	39929.3187266
91	39929.3071149
92	39929.1619685
93	39928.7700733
94	39925.5042795
95	39924.1979620
96	39918.9726920
97	39915.3343559
98	39911.7618194
99	39907.9996250
100	39901.2067740
101	39895.4589770
102	39887.8823355
103	39881.6642642
104	39877.6930590
105	39875.8642145
106	39871.9452620
107	39865.6749380
108	39862.1217544
109	39860.7109315
110	39858.4079421
111	39857.3145060
112	39855.3550298
113	39853.1081637
114	39851.8279725
115	39849.4336088
116	39848.6405578
117	39847.2123173
118	39846.4720707
119	39845.4705607
120	39845.3892787
121	39845.3079967
122	39845.1222093
123	39843.4578641
124	39843.2537795
125	39842.1383514
126	39841.1878347
127	39840.6458947
128	39840.5936420
129	39840.2452907
130	39839.9840272
131	39838.2616234
132	39837.5107327
133	39837.4584800
134	39836.1521625
135	39834.3523473
136	39834.6965516
137	39834.6592282
138	39833.8661069
139	39833.6290344
140	39833.3919620
141	39832.7557370
142	39832.2633539
143	39832.2005521
144	39831.7106830
145	39830.0850434
146	39829.9191619
147	39829.3219881
148	39829.0952833
149	39829.3535056
150	39829.3455608
151	39829.0644352
152	39829.0030431
153	39828.5438527
154	39828.3327307
155	39828.1216087
156	39828.0529940
157	39827.5653021
158	39827.2692035
159	39825.5080940
160	39825.3794832
161	39825.3928565
162	39825.2836009
163	39825.2332835
164	39825.1829661
165	39824.8832654
166	39824.7436563
167	39824.5912526
168	39823.1129642
169	39822.9583558
170	39822.4184112
171	39823.0367348
172	39823.1296285
173	39823.2225222
174	39822.9148118
175	39821.7826700
176	39821.5313279
177	39821.1401653
178	39821.6520383
179	39821.7173541
180	39821.4094364
181	39820.9013978
182	39820.6766545
183	39820.7522448
184	39820.3602354
185	39820.3021768
186	39821.0859673
187	39821.0424234
188	39820.2150890
189	39819.9538255
190	39819.7875669
191	39819.1436447
192	39818.9290040
193	39818.8187514
194	39818.8216837
195	39819.0539179
196	39819.2861521
197	39819.1700350
198	39819.0152122
199	39819.0580649
200	39818.9087715
201	39817.0457531
202	39817.1670148
203	39817.8637175
204	39817.8637175
205	39817.7984016
206	39817.9682229
207	39818.1262560
208	39817.4718222
209	39817.6024540
210	39818.1623044
211	39818.0424767
212	39817.7104225
213	39817.6024540
214	39817.6024540
215	39817.2153970
216	39816.8839794
217	39816.7823769
218	39816.7856844
219	39816.5574000
220	39816.1300486
221	39816.1393784
222	39816.0348730
223	39814.2697594
224	39814.7423062
225	39814.5792621
226	39814.5543798
227	39814.6240501
228	39815.0227188
229	39814.9690698
230	39814.9605766
231	39814.9898190
232	39814.9898190
233	39815.0478776
