x	y
1	-0.4725791
2	-0.4726263
3	-0.4727177
4	-0.4729420
5	-0.4730176
6	-0.4732518
7	-0.4732527
8	-0.4732711
9	-0.4732810
10	-0.4733688
11	-0.4733479
12	-0.4733447
13	-0.4734577
14	-0.4734637
15	-0.4734233
16	-0.4734129
17	-0.4733026
18	-0.4733230
19	-0.4733512
20	-0.4732990
21	-0.4734791
22	-0.4735574
23	-0.4736894
24	-0.4737426
25	-0.4737455
26	-0.4737792
27	-0.4737710
28	-0.4737926
29	-0.4737630
30	-0.4735303
31	-0.4734516
32	-0.4734578
33	-0.4734162
34	-0.4733833
35	-0.4731734
36	-0.4734617
37	-0.4734025
38	-0.4733868
39	-0.4736348
40	-0.4739255
41	-0.4742326
42	-0.4744054
43	-0.4742716
44	-0.4743870
45	-0.4743120
46	-0.4746113
47	-0.4744946
48	-0.4745982
49	-0.4748299
50	-0.4747021
51	-0.4746106
52	-0.4745503
53	-0.4745275
54	-0.4746039
55	-0.4745933
56	-0.4745782
57	-0.4745109
58	-0.4744626
59	-0.4744814
60	-0.4744777
61	-0.4743709
62	-0.4743396
63	-0.4742144
64	-0.4741916
65	-0.4742345
66	-0.4742198
67	-0.4742382
68	-0.4741923
69	-0.4740516
70	-0.4740670
71	-0.4741549
72	-0.4741866
73	-0.4742194
74	-0.4742542
75	-0.4742626
76	-0.4741974
77	-0.4742488
78	-0.4742544
79	-0.4742533
80	-0.4742651
81	-0.4742358
82	-0.4742281
83	-0.4742282
84	-0.4742259
85	-0.4742309
86	-0.4742803
87	-0.4742107
88	-0.4742164
89	-0.4742872
90	-0.4742814
91	-0.4742515
92	-0.4743631
93	-0.4745097
94	-0.4746858
95	-0.4745772
96	-0.4746113
97	-0.4748900
98	-0.4744681
99	-0.4742397
100	-0.4742089
101	-0.4739973
102	-0.4737229
103	-0.4735944
104	-0.4736361
105	-0.4736098
106	-0.4736838
107	-0.4735923
108	-0.4735711
109	-0.4735529
110	-0.4735375
111	-0.4734623
112	-0.4735357
113	-0.4734961
114	-0.4734922
115	-0.4735106
116	-0.4734100
117	-0.4734670
118	-0.4736367
119	-0.4736422
120	-0.4736341
121	-0.4735778
122	-0.4735053
123	-0.4735329
124	-0.4736533
125	-0.4737012
126	-0.4736570
127	-0.4736622
128	-0.4736079
129	-0.4736146
130	-0.4736811
131	-0.4736803
132	-0.4736454
133	-0.4736158
134	-0.4736125
135	-0.4736284
136	-0.4736918
137	-0.4736733
138	-0.4737143
139	-0.4736881
140	-0.4736272
141	-0.4735785
142	-0.4735975
143	-0.4736245
144	-0.4737248
145	-0.4738494
146	-0.4737926
147	-0.4737099
148	-0.4736258
149	-0.4736916
150	-0.4737890
151	-0.4737946
152	-0.4737752
153	-0.4737559
154	-0.4737365
155	-0.4737193
156	-0.4737204
157	-0.4736836
158	-0.4736694
159	-0.4736918
160	-0.4736789
161	-0.4737243
162	-0.4737164
163	-0.4736969
164	-0.4737006
165	-0.4736838
166	-0.4736819
167	-0.4736840
168	-0.4736912
169	-0.4736723
170	-0.4736700
171	-0.4736304
172	-0.4736374
173	-0.4736287
174	-0.4736562
175	-0.4736694
176	-0.4736705
177	-0.4736437
178	-0.4737112
179	-0.4737006
180	-0.4736836
181	-0.4736758
182	-0.4736198
183	-0.4736257
184	-0.4736328
185	-0.4736305
186	-0.4736148
187	-0.4736057
188	-0.4736012
189	-0.4735971
190	-0.4735836
191	-0.4735457
192	-0.4736000
193	-0.4736606
194	-0.4736797
195	-0.4736873
196	-0.4736620
197	-0.4736649
198	-0.4736622
199	-0.4736615
200	-0.4735793
201	-0.4736063
202	-0.4736821
203	-0.4736516
204	-0.4736064
205	-0.4735863
206	-0.4735849
207	-0.4735552
208	-0.4735966
209	-0.4735860
210	-0.4735672
211	-0.4735787
212	-0.4735697
213	-0.4735674
214	-0.4735556
215	-0.4735453
216	-0.4735336
217	-0.4734739
218	-0.4734659
219	-0.4734869
220	-0.4734430
221	-0.4734762
222	-0.4734595
223	-0.4733942
224	-0.4733950
225	-0.4733990
226	-0.4734064
227	-0.4734338
228	-0.4734367
229	-0.4734942
230	-0.4735187
231	-0.4734878
232	-0.4734223
233	-0.4734124
234	-0.4734392
235	-0.4733966
236	-0.4732744
237	-0.4732980
238	-0.4733268
239	-0.4734106
240	-0.4734606
241	-0.4734508
242	-0.4734128
243	-0.4734682
244	-0.4734275
245	-0.4734348
246	-0.4733264
247	-0.4733485
248	-0.4733038
249	-0.4733002
250	-0.4733311
251	-0.4734501
252	-0.4734893
253	-0.4734020
254	-0.4733677
255	-0.4733888
256	-0.4733837
257	-0.4734511
258	-0.4734331
259	-0.4734017
260	-0.4734225
261	-0.4733899
262	-0.4733022
263	-0.4732922
264	-0.4732066
265	-0.4732078
266	-0.4732334
267	-0.4732170
268	-0.4731978
269	-0.4731915
270	-0.4731856
271	-0.4731859
272	-0.4732200
273	-0.4732248
274	-0.4732411
275	-0.4733344
276	-0.4733367
277	-0.4733137
278	-0.4732401
279	-0.4732382
280	-0.4732428
281	-0.4732414
282	-0.4731921
283	-0.4732455
284	-0.4732966
285	-0.4732907
286	-0.4732699
287	-0.4732479
288	-0.4732561
289	-0.4732921
290	-0.4732605
291	-0.4731651
292	-0.4731719
293	-0.4733297
294	-0.4732947
295	-0.4733073
296	-0.4732969
297	-0.4732501
298	-0.4732473
299	-0.4732378
300	-0.4732266
301	-0.4732005
302	-0.4732048
303	-0.4732250
304	-0.4732551
305	-0.4732135
306	-0.4731781
307	-0.4731798
308	-0.4731960
309	-0.4731875
310	-0.4731315
311	-0.4731311
312	-0.4731966
313	-0.4732005
314	-0.4731308
315	-0.4731116
316	-0.4731285
317	-0.4731138
318	-0.4731042
319	-0.4731138
320	-0.4731171
321	-0.4731090
322	-0.4731090
323	-0.4731038
324	-0.4730556
325	-0.4730305
326	-0.4730621
327	-0.4730666
328	-0.4730358
329	-0.4731194
330	-0.4730933
