x	y
1	39970.4609806
2	39970.8837397
3	39971.7479190
4	39973.6986865
5	39974.3605540
6	39975.4443137
7	39975.4802547
8	39975.9281350
9	39976.0152228
10	39976.6538669
11	39976.4216327
12	39976.3713153
13	39976.9731890
14	39976.9930318
15	39976.3853461
16	39976.3984093
17	39976.3984093
18	39976.3984093
19	39976.7335321
20	39976.7831792
21	39978.7290205
22	39979.6604707
23	39980.9045826
24	39981.5736384
25	39981.7630198
26	39982.1694297
27	39982.1331431
28	39982.3726347
29	39982.2934639
30	39980.9247994
31	39980.9792293
32	39981.8831790
33	39982.3527400
34	39982.7209860
35	39983.1688663
36	39986.3786750
37	39988.9216397
38	39990.6459788
39	39995.2616340
40	39999.9643770
41	40004.8910601
42	40008.7671599
43	40008.8473360
44	40012.6792007
45	40014.0726060
46	40017.0771363
47	40017.5212842
48	40019.4285077
49	40021.6057036
50	40021.5555133
51	40021.3277100
52	40021.3008962
53	40021.4750718
54	40022.2298331
55	40022.1717745
56	40021.9975988
57	40021.3821781
58	40020.7667575
59	40020.9365235
60	40020.8654570
61	40019.8552381
62	40019.5591395
63	40018.2901454
64	40017.8007947
65	40017.8935847
66	40017.7340815
67	40017.7883536
68	40017.2077680
69	40015.7908231
70	40015.6315729
71	40015.8299291
72	40016.0310305
73	40016.1627140
74	40015.9885383
75	40015.9387739
76	40015.1591304
77	40014.3794869
78	40014.4645012
79	40014.9434843
80	40014.7910806
81	40014.4282147
82	40014.3338695
83	40014.2592510
84	40013.9093163
85	40013.9776011
86	40013.8984303
87	40012.8146706
88	40012.8316044
89	40013.3492932
90	40013.1248877
91	40012.8265962
92	40012.6356568
93	40012.1421590
94	40011.0680758
95	40008.3102944
96	40007.8022820
97	40006.7572280
98	40001.5319580
99	39998.2419732
100	39995.1571286
101	39991.0814180
102	39985.7864777
103	39981.9512954
104	39979.5858240
105	39977.6698917
106	39976.9731890
107	39974.6218175
108	39972.7058852
109	39970.9878797
110	39970.3109698
111	39968.7926330
112	39968.7433888
113	39967.4370712
114	39967.2193517
115	39966.5226490
116	39965.2453608
117	39965.2695518
118	39965.2937429
119	39965.2685842
120	39965.2163315
121	39964.8099216
122	39964.0841897
123	39964.0991463
124	39964.6498186
125	39964.8679802
126	39964.2692513
127	39964.2994818
128	39963.7358383
129	39963.6971326
130	39963.7467243
131	39963.7233972
132	39963.4248104
133	39963.2451053
134	39963.1974772
135	39963.3128403
136	39963.1865151
137	39962.9955917
138	39963.1262235
139	39962.8649600
140	39962.1682573
141	39961.8001583
142	39961.8162773
143	39961.7825826
144	39962.1682573
145	39963.0391357
146	39962.7778722
147	39962.3424330
148	39961.9945427
149	39962.2901803
150	39962.4798382
151	39962.6274477
152	39962.4295208
153	39962.1392281
154	39961.8489353
155	39961.6892742
156	39961.6892742
157	39961.3347024
158	39961.1937030
159	39961.2498765
160	39961.1180341
161	39961.0492034
162	39961.0361155
163	39960.7748520
164	39960.5509119
165	39960.3176409
166	39960.0708920
167	39959.9828365
168	39959.9672682
169	39959.8503033
170	39960.0491201
171	39960.0628363
172	39959.9192867
173	39959.8316666
174	39960.0491201
175	39960.1497549
176	39960.2503897
177	39959.7951139
178	39959.7820507
179	39959.7297980
180	39959.6427102
181	39959.4032186
182	39958.7307070
183	39958.8045704
184	39958.8784338
185	39958.8589197
