x	y
1	4724.1211324
2	4724.0735363
3	4723.9908700
4	4724.0369429
5	4725.1894052
6	4725.2778172
7	4724.7264574
8	4724.7264574
9	4724.9503975
10	4724.9547519
11	4724.4394496
12	4724.6542989
13	4724.4515197
14	4724.1106256
15	4724.1067638
16	4724.5262823
17	4723.8145811
18	4724.0716021
19	4724.6984648
20	4724.3756178
21	4723.5221570
22	4723.6074846
23	4724.0576443
24	4723.9819782
25	4724.0158094
26	4723.8945827
27	4723.3081698
28	4723.4611956
29	4722.3377625
30	4721.7608056
31	4720.7742940
32	4720.2232215
33	4720.2041106
34	4719.0719688
35	4718.6655589
36	4721.2927085
37	4721.4668842
38	4721.5539720
39	4722.8602895
40	4727.1566226
41	4726.5179785
42	4731.2400744
43	4730.0498740
44	4734.3558835
45	4733.7680406
46	4732.5270390
47	4735.2703057
48	4733.0447278
49	4731.6126168
50	4733.4153349
51	4733.0989158
52	4733.9165738
53	4733.1579420
54	4732.9546452
55	4733.2922524
56	4734.0919090
57	4733.5897264
58	4733.7152968
59	4733.6984468
60	4733.6156369
61	4733.0495660
62	4732.9749193
63	4733.1145936
64	4732.5512301
65	4732.7012147
66	4733.4414613
67	4733.8856092
68	4734.1031370
69	4733.8333565
70	4734.0811318
71	4733.9872117
72	4733.8006986
73	4733.5116153
74	4732.8552311
75	4732.5000880
76	4732.7033562
77	4732.3572177
78	4732.4523923
79	4732.8565873
80	4733.7970699
81	4733.8855359
82	4733.7582056
83	4733.7680406
84	4733.5494031
85	4734.0205440
86	4734.6450405
87	4734.3816820
88	4734.5279856
89	4735.0928522
90	4735.0466553
91	4735.6186571
92	4736.6250054
93	4735.5502309
94	4737.4910455
95	4738.5128761
96	4739.8249994
97	4738.0038713
98	4737.7087651
99	4732.9015167
100	4733.2368048
101	4732.2875475
102	4729.6716049
103	4732.0915998
104	4733.7680406
105	4728.0855595
106	4730.6111067
107	4727.7372082
108	4728.6322776
109	4726.8324623
110	4728.2161913
111	4728.4495282
112	4727.4575595
113	4727.7720433
114	4727.1488815
115	4726.5257196
116	4726.6573190
117	4728.2348529
118	4728.0863862
119	4728.7980963
120	4729.5486351
121	4729.3570419
122	4728.8461266
123	4729.6152187
124	4730.3376235
125	4729.5486166
126	4729.7731376
127	4729.6004247
128	4729.3545536
129	4729.2878554
130	4730.1466382
131	4730.2917846
132	4730.6401359
133	4731.2207215
134	4730.2503142
135	4730.2377156
136	4730.2856157
137	4730.2932937
138	4729.2767275
139	4728.6680803
140	4728.6496951
141	4728.6454858
142	4729.3569946
143	4729.1306135
144	4729.1781160
145	4729.3918770
146	4729.1204088
147	4728.7947033
148	4728.7938739
149	4728.7028688
150	4728.6407444
151	4728.0529016
152	4728.1415445
153	4728.3468230
154	4728.7725857
155	4729.3725241
156	4728.6632053
