x	y
1	35210.4818950
2	35210.4818950
3	35210.5206007
4	35210.5593064
5	35210.8737902
6	35210.7844106
7	35210.9670986
8	35210.9670986
9	35210.7431585
10	35210.6734882
11	35210.6904546
12	35210.5689828
13	35210.4818950
14	35210.5167301
15	35210.4351605
16	35209.9480440
17	35210.7721878
18	35210.6719048
19	35210.0246839
20	35209.6981045
21	35209.6110167
22	35209.6159438
23	35209.6513647
24	35209.6867857
25	35209.8502798
26	35209.8988751
27	35210.2952782
28	35210.8737902
29	35212.0494760
30	35212.6590908
31	35213.6847920
32	35214.7104931
33	35216.0990603
34	35217.5360095
35	35219.3648540
36	35221.7162255
37	35225.1416803
38	35226.6802320
39	35229.4670427
40	35230.3379210
41	35233.4730830
42	35233.9956100
43	35236.4727750
44	35237.3920355
45	35240.7884610
46	35242.3560420
47	35242.6173055
48	35244.8428835
49	35246.5362580
50	35246.5362580
51	35247.4448744
52	35248.1560917
53	35248.7792535
54	35248.7866027
55	35248.8191188
56	35248.8516348
57	35249.3551997
58	35249.3623346
59	35249.4579784
60	35249.5407883
61	35250.1939470
62	35250.1939470
63	35250.1939470
64	35250.7358269
65	35250.6293862
66	35249.9979994
67	35249.8804308
68	35249.8572074
69	35250.1939470
70	35250.2364645
71	35250.3100641
72	35250.5205264
73	35250.6898638
74	35250.7463096
75	35250.7164740
76	35250.5401568
77	35250.5205264
78	35250.4925339
79	35250.2919208
80	35249.4754724
81	35249.4972443
82	35249.6907729
83	35249.7367359
84	35249.8841197
85	35249.3520979
86	35248.9309897
87	35249.1115696
88	35249.3686861
89	35248.6263660
90	35247.9296633
91	35247.4942242
92	35246.5362580
93	35246.5362580
94	35244.4461500
95	35241.9728555
96	35239.4995611
97	35237.6078810
98	35236.5211572
99	35236.0857180
100	35231.9055020
101	35230.2508332
102	35228.3349008
103	35225.4174584
104	35222.8265954
105	35222.5000160
106	35218.6681513
107	35218.4068878
108	35216.3361327
109	35215.7071650
110	35214.1395840
111	35213.3546908
112	35213.2687057
113	35212.8332665
114	35212.1559167
115	35211.4785669
116	35211.4398612
117	35209.9593680
118	35209.8932254
119	35209.1755775
120	35209.0188194
121	35208.9491491
122	35208.8794789
123	35208.4297088
124	35207.5410454
125	35207.4115038
126	35207.3296176
127	35207.4903352
128	35207.8692600
129	35207.9079657
130	35207.5789672
131	35207.4338208
132	35207.0854695
133	35206.5629425
134	35206.3016790
135	35206.1451414
136	35206.1591716
137	35206.0534211
138	35206.0926682
139	35206.5029487
140	35206.9132291
141	35206.9174385
142	35207.0481461
143	35207.3467330
144	35207.2992305
145	35206.5629425
146	35206.6935742
147	35206.8242060
148	35206.9287114
149	35206.9112938
150	35206.8242060
151	35206.4758547
152	35206.4323108
153	35206.3016790
154	35206.3016790
155	35205.7985049
156	35206.5629425
157	35206.7161332
158	35206.4758547
159	35205.3920950
160	35205.2984633
161	35205.4805651
162	35205.5832044
163	35205.6049763
164	35205.7597991
165	35205.9146220
166	35205.5504065
167	35205.5178885
168	35205.5832044
169	35205.5759471
170	35205.5832044
171	35205.6364247
172	35205.6896451
173	35205.8189866
174	35205.7791520
175	35205.6243292
176	35205.5701412
177	35205.6746466
178	35206.0777389
179	35206.0113862
180	35205.4656358
181	35205.4937374
182	35205.3307739
183	35204.9329900
184	35204.9953615
185	35205.1188033
186	35204.8833914
187	35204.9750462
188	35204.9580381
189	35204.2281592
190	35204.1626465
191	35204.2115710
192	35204.2115710
193	35203.9503075
194	35204.0465625
195	35204.3113910
196	35204.3857467
197	35204.7921566
198	35204.9082737
199	35204.8178788
200	35204.9373029
201	35204.8792444
202	35204.7437744
203	35204.6083045
204	35204.4728345
205	35204.7340980
206	35204.7340980
207	35203.6890440
208	35203.7840489
209	35204.1851807
210	35204.2406003
211	35204.4075186
212	35204.3857467
213	35204.3791325
214	35204.4416005
215	35204.3592023
216	35204.3793626
217	35204.4416772
218	35204.5039918
219	35204.5993848
220	35204.4728345
221	35203.6406619
222	35203.6517206
223	35204.1289541
224	35204.1593183
225	35204.1135972
226	35204.0395725
227	35203.9994154
228	35204.0458990
229	35203.8980548
230	35203.8283845
231	35203.7636907
232	35203.7526319
233	35203.7815036
234	35203.7127015
235	35203.2821608
236	35203.2824763
237	35203.2827919
238	35203.2411637
239	35202.8043422
240	35203.1665170
241	35202.9342828
242	35202.9677372
243	35203.1338591
244	35203.1955463
245	35203.1665170
246	35203.0358852
247	35202.9052535
248	35202.8084892
249	35202.8679301
250	35203.1018232
251	35202.9923413
252	35202.6439900
253	35202.4117558
254	35202.4117558
255	35202.3562999
256	35202.3785755
257	35202.9052535
258	35203.0358852
259	35203.4277805
260	35203.2318329
261	35202.8306068
262	35202.6713605
263	35202.8089985
264	35202.5859314
265	35202.4946966
266	35202.5016047
267	35202.4345023
268	35202.5278729
269	35201.5616126
270	35201.5899594
271	35202.1214630
272	35202.4412848
273	35202.4573732
274	35202.2477194
