x	y
1	3.5186782
2	3.5186765
3	3.5186805
4	3.5187192
5	3.5187229
6	3.5187249
7	3.5187268
8	3.5187184
9	3.5187258
10	3.5187491
11	3.5187684
12	3.5187878
13	3.5187901
14	3.5187880
15	3.5187665
16	3.5187669
17	3.5187556
18	3.5187491
19	3.5187491
20	3.5187427
21	3.5187431
22	3.5187192
23	3.5187099
24	3.5187158
25	3.5187295
26	3.5187752
27	3.5187752
28	3.5187728
29	3.5188187
30	3.5189058
31	3.5190553
32	3.5191540
33	3.5193500
34	3.5195416
35	3.5196991
36	3.5198529
37	3.5201998
38	3.5206454
39	3.5206824
40	3.5209576
41	3.5211092
42	3.5215485
43	3.5215707
44	3.5219295
45	3.5221587
46	3.5223336
47	3.5223414
48	3.5225994
49	3.5226680
50	3.5228039
51	3.5228770
52	3.5229588
53	3.5230461
54	3.5230599
55	3.5231122
56	3.5231102
57	3.5231258
58	3.5231264
59	3.5231270
60	3.5231307
61	3.5232112
62	3.5232051
63	3.5232109
64	3.5232570
65	3.5232553
66	3.5231990
67	3.5231980
68	3.5232101
69	3.5232165
70	3.5231992
71	3.5232036
72	3.5232101
73	3.5232134
74	3.5231831
75	3.5231579
76	3.5231604
77	3.5231710
78	3.5231956
79	3.5231961
80	3.5231906
81	3.5231789
82	3.5231054
83	3.5231056
84	3.5231256
85	3.5230799
86	3.5230748
87	3.5230392
88	3.5230201
89	3.5230195
90	3.5228433
91	3.5227906
92	3.5227203
93	3.5226550
94	3.5224686
95	3.5222822
96	3.5221324
97	3.5219678
98	3.5217797
99	3.5214198
100	3.5211766
101	3.5209437
102	3.5207312
103	3.5206824
104	3.5203254
105	3.5201599
106	3.5199091
107	3.5197550
108	3.5196896
109	3.5196896
110	3.5194179
111	3.5192226
112	3.5191740
113	3.5191671
114	3.5190394
115	3.5189973
116	3.5188512
117	3.5188298
118	3.5188065
119	3.5187416
120	3.5187393
121	3.5187304
122	3.5187288
123	3.5187229
124	3.5187180
125	3.5186823
126	3.5186636
127	3.5186707
128	3.5186372
129	3.5186266
130	3.5186237
131	3.5185923
132	3.5185652
133	3.5185781
134	3.5185723
135	3.5185778
136	3.5186068
137	3.5186010
138	3.5185952
139	3.5185790
140	3.5185685
141	3.5185923
142	3.5186094
143	3.5186226
144	3.5186217
145	3.5186208
146	3.5186157
147	3.5186113
148	3.5185909
149	3.5186054
150	3.5186812
151	3.5186803
152	3.5186446
153	3.5186384
154	3.5186683
155	3.5186744
156	3.5186556
157	3.5186541
158	3.5186483
159	3.5186402
160	3.5186422
161	3.5186399
162	3.5186376
163	3.5186315
164	3.5186130
165	3.5186315
166	3.5186296
167	3.5185466
168	3.5185499
169	3.5185530
170	3.5185575
171	3.5186426
172	3.5186315
173	3.5185822
174	3.5185575
175	3.5185424
176	3.5185273
177	3.5185164
178	3.5185517
179	3.5186330
180	3.5186398
181	3.5186406
182	3.5186239
183	3.5186184
184	3.5186211
185	3.5186018
186	3.5185839
187	3.5185807
188	3.5185792
189	3.5185531
190	3.5185575
191	3.5186121
192	3.5186595
193	3.5186155
194	3.5186050
195	3.5186021
196	3.5186020
197	3.5186134
198	3.5185828
199	3.5185531
200	3.5185270
201	3.5185314
202	3.5185314
203	3.5185292
204	3.5185357
205	3.5185474
206	3.5185491
207	3.5185430
208	3.5185662
209	3.5185819
210	3.5185933
211	3.5185890
212	3.5185699
213	3.5185345
214	3.5185387
215	3.5185448
216	3.5185486
217	3.5185487
218	3.5185401
219	3.5185335
220	3.5185139
221	3.5185139
222	3.5185139
223	3.5185541
224	3.5185517
225	3.5185163
226	3.5185168
227	3.5185210
228	3.5185172
229	3.5185251
230	3.5185273
231	3.5185139
232	3.5185139
233	3.5185531
234	3.5185401
235	3.5185099
236	3.5185177
237	3.5185102
238	3.5184915
239	3.5184915
240	3.5185338
241	3.5185314
242	3.5185307
243	3.5185009
244	3.5184496
245	3.5184443
246	3.5184421
247	3.5184268
248	3.5184290
249	3.5184489
250	3.5184654
251	3.5184646
252	3.5184522
253	3.5184427
254	3.5184356
255	3.5184356
256	3.5184290
257	3.5184323
258	3.5184356
259	3.5184356
260	3.5184356
261	3.5184486
262	3.5184486
263	3.5184327
264	3.5183456
265	3.5183485
266	3.5183702
267	3.5183898
268	3.5183957
269	3.5184042
270	3.5184094
271	3.5184239
272	3.5184239
273	3.5184411
274	3.5184613
275	3.5184171
276	3.5184327
277	3.5184346
278	3.5184365
279	3.5184530
280	3.5184422
281	3.5183960
282	3.5183615
283	3.5183154
284	3.5183236
285	3.5183258
286	3.5183448
287	3.5183898
288	3.5184010
289	3.5183976
290	3.5184123
291	3.5184036
292	3.5183738
293	3.5183453
294	3.5183453
295	3.5183474
296	3.5183387
297	3.5183572
298	3.5183223
299	3.5182972
300	3.5183456
301	3.5183637
302	3.5184271
303	3.5184152
304	3.5183954
305	3.5183949
306	3.5183908
307	3.5183497
308	3.5183514
309	3.5183552
310	3.5183572
311	3.5183501
312	3.5183597
313	3.5183578
314	3.5183460
315	3.5183417
316	3.5183995
317	3.5184094
318	3.5184065
319	3.5183877
320	3.5183310
321	3.5183310
322	3.5183310
323	3.5183310
324	3.5182701
325	3.5182788
326	3.5182770
327	3.5182892
328	3.5182919
329	3.5183122
330	3.5183258
331	3.5183293
332	3.5183328
333	3.5183310
334	3.5183461
335	3.5183124
336	3.5182978
337	3.5182614
338	3.5182530
339	3.5182494
340	3.5182853
341	3.5183081
342	3.5182919
343	3.5182930
344	3.5182733
345	3.5182731
346	3.5182788
347	3.5182713
348	3.5182788
349	3.5183921
350	3.5183866
351	3.5183115
352	3.5182897
353	3.5182938
354	3.5182788
355	3.5182836
356	3.5182817
357	3.5182875
358	3.5182788
359	3.5182788
360	3.5182788
361	3.5182323
362	3.5182352
363	3.5182210
364	3.5182161
365	3.5182056
366	3.5182592
367	3.5182548
368	3.5182541
369	3.5182570
370	3.5182382
371	3.5182265
372	3.5182265
373	3.5182396
374	3.5182317
