x	y
1	35180.6313306
2	35180.6605326
3	35180.5236803
4	35180.2624168
5	35180.3204754
6	35180.2703339
7	35180.1753290
8	35180.2228315
9	35180.2788524
10	35179.9003148
11	35180.0121771
12	35179.8957716
13	35179.6230475
14	35179.9140655
15	35180.0446972
16	35180.1753290
17	35180.1951718
18	35179.9467234
19	35179.5959530
20	35179.6005493
21	35179.8160917
22	35179.8269777
23	35179.8394188
24	35180.1020646
25	35180.0446972
26	35180.0446972
27	35180.0969500
28	35181.4163306
29	35181.7429100
30	35183.7285126
31	35184.0942815
32	35184.3555450
33	35187.8826022
34	35190.6258690
35	35193.6957151
36	35196.6022716
37	35197.9412470
38	35201.0484898
39	35201.8601995
40	35205.2566250
41	35208.5224188
42	35210.2206315
43	35212.5720030
44	35214.9606979
45	35216.9678651
46	35218.7900743
47	35219.3648540
48	35219.7567493
49	35221.8565337
50	35221.9371706
51	35222.0178074
52	35222.8037483
53	35222.9354552
54	35223.3418651
55	35223.6495754
56	35224.5862534
57	35224.5803740
58	35224.5238413
59	35224.7326314
60	35224.9820192
61	35225.4755170
62	35225.1126510
63	35225.1142932
64	35225.2432827
65	35225.1601535
66	35224.7801338
67	35224.8187296
68	35224.7551325
69	35224.8172138
70	35225.1126510
71	35225.0380043
72	35225.0103574
73	35225.0473351
74	35225.1432421
75	35225.1561949
76	35225.0691071
77	35224.9433135
78	35224.9167034
79	35224.9302751
80	35224.9633576
81	35224.9558929
82	35224.4798127
83	35224.4128127
84	35224.4740069
85	35224.5901240
86	35224.5248081
87	35224.0675970
88	35223.2934829
89	35223.2838065
90	35222.4129282
91	35221.4549620
92	35220.1813024
93	35219.2777662
94	35218.0585365
95	35216.8393068
96	35214.0350786
97	35211.5269490
98	35209.4368410
99	35209.4368410
100	35207.3467330
101	35202.6439900
102	35200.0313550
103	35196.8961930
104	35195.5898755
105	35194.6754532
106	35194.2835580
107	35193.7610310
108	35189.7549907
109	35188.0132340
110	35187.0455914
111	35186.6831653
112	35185.6539454
113	35184.8127561
114	35184.0942815
115	35183.8039887
116	35183.5136959
117	35183.3104910
118	35181.2203830
119	35181.2203830
120	35181.2203830
121	35181.2058684
122	35180.6978560
123	35180.6978560
124	35180.5901938
125	35180.5672243
126	35179.9467234
127	35179.3200219
128	35179.1899292
129	35179.0183049
130	35179.0780223
131	35179.1302750
132	35179.1302750
133	35178.9102636
134	35179.0509039
135	35178.9634672
136	35178.9669853
137	35179.0013666
138	35178.9996433
139	35179.1012457
140	35178.9877676
141	35178.8690115
142	35178.9652665
143	35178.8690115
144	35178.3464845
145	35178.0561917
146	35177.6497818
147	35177.2433719
148	35177.4581886
149	35178.0979579
150	35178.4771162
151	35178.6029098
152	35177.9545893
153	35178.0852210
154	35178.0852210
155	35177.9807156
156	35178.0777248
157	35178.0852210
158	35178.0302182
159	35178.0852210
160	35178.0852210
161	35178.3959816
162	35178.3324778
163	35177.9807156
164	35177.7717048
165	35177.7749894
166	35177.8729256
167	35178.2079844
168	35177.7949282
169	35177.7100149
170	35177.8239575
171	35177.8239575
172	35178.0755446
173	35177.8239575
174	35178.0852210
175	35178.0329683
176	35178.0271624
177	35178.2884259
178	35178.2913289
179	35178.2158527
180	35178.2158527
181	35178.1677253
182	35177.8239575
183	35177.3014305
184	35177.0924197
185	35177.1351719
186	35177.3014305
187	35177.7717048
188	35177.6671994
189	35177.7259837
190	35177.7625639
191	35177.6280099
192	35177.7368697
193	35177.7259837
194	35177.6171239
195	35177.5082641
196	35177.3667464
197	35177.8239575
198	35177.8036370
199	35177.6149467
200	35177.5626940
201	35177.5626940
202	35177.5403579
203	35177.7052014
204	35178.3464845
205	35177.8529868
206	35177.7864429
207	35177.7533941
208	35177.7203452
209	35177.7912996
210	35177.8239575
211	35177.8239575
212	35177.2240191
213	35177.5307618
214	35177.1381408
215	35177.3014305
216	35177.3014305
217	35176.3434643
218	35176.5176400
219	35177.6497818
220	35177.6149467
221	35177.5626940
222	35177.3667464
223	35177.2007326
224	35177.1272548
225	35176.9751268
226	35176.9879143
227	35177.1267739
228	35177.1707988
229	35177.3740037
230	35177.3836801
231	35177.3594891
232	35177.5626940
233	35177.4134006
234	35177.3620980
235	35177.2361146
236	35176.6797201
237	35176.6296101
238	35176.6669334
239	35176.4886107
240	35176.3918465
241	35176.3216924
242	35176.3129836
243	35176.4196662
244	35176.5698927
245	35176.7285861
246	35176.2563765
247	35176.3264487
248	35176.4765971
249	35177.0231513
250	35177.0401670
251	35177.0401670
252	35176.5176400
253	35177.3304598
254	35177.2339895
255	35177.3014305
256	35177.1707988
257	35176.6047278
258	35176.6221454
259	35176.2783560
260	35176.2814988
261	35176.8659913
262	35176.7789035
263	35176.3260468
264	35176.4740961
265	35176.7353596
266	35176.7789035
267	35177.0227494
268	35176.5176400
269	35176.5176400
270	35176.7076498
271	35177.0401670
272	35177.1707987
273	35176.6918157
274	35176.6221454
275	35176.5873103
276	35176.6591944
277	35177.2143427
278	35177.3691655
279	35176.5829559
280	35176.7841046
281	35176.9161071
282	35176.9530792
283	35176.7789035
284	35176.8369621
285	35176.7789035
286	35176.6482717
287	35176.5960190
288	35176.5437663
289	35176.5176400
290	35175.9951130
291	35175.9157419
292	35175.8824984
293	35175.8752998
294	35175.9988091
295	35176.0901179
296	35176.1257448
297	35176.2128326
298	35176.2999204
299	35175.6757909
300	35175.7338495
301	35175.8693195
302	35175.6467617
303	35175.7019173
304	35176.3928141
305	35176.9404998
306	35176.8659913
307	35176.7453729
308	35176.6826485
309	35176.5176400
310	35176.5176400
311	35176.5176400
312	35176.5640868
313	35176.5052046
314	35176.4701375
315	35176.4753488
316	35176.3144351
317	35176.3251301
318	35176.3373529
319	35176.2563765
320	35176.4523241
321	35176.3526315
322	35176.4523241
323	35176.0473657
324	35176.0615078
325	35176.1333617
326	35176.2052156
327	35176.4056699
328	35176.4906398
329	35176.3870083
330	35175.9951130
331	35176.1692887
332	35176.0996184
333	35175.4493626
334	35175.4725860
335	35175.8143231
336	35175.6177324
337	35174.9403826
338	35175.1739991
339	35175.3979393
340	35175.4725860
341	35175.4725860
342	35175.4338803
343	35175.7576007
344	35175.9951130
345	35175.9951130
346	35175.5887031
347	35175.9951130
348	35176.1112301
349	35175.8644812
350	35175.6806292
351	35175.6625958
352	35175.6757909
353	35175.9624551
354	35176.1003441
355	35175.9951130
356	35176.0426155
357	35175.9951130
358	35175.6467617
359	35175.7919081
