x	y
1	0.0000742
2	0.0000742
3	0.0000738
4	0.0000738
5	0.0000737
6	0.0000742
7	0.0000745
8	0.0000747
9	0.0000749
10	0.0000749
11	0.0000749
12	0.0000751
13	0.0000752
14	0.0000751
15	0.0000754
16	0.0000748
17	0.0000749
18	0.0000744
19	0.0000750
20	0.0000755
21	0.0000749
22	0.0000755
23	0.0000753
24	0.0000749
25	0.0000749
26	0.0000751
27	0.0000753
28	0.0000753
29	0.0000751
30	0.0000753
31	0.0000759
32	0.0000757
33	0.0000755
34	0.0000761
35	0.0000755
36	0.0000753
37	0.0000756
38	0.0000762
39	0.0000760
40	0.0000762
41	0.0000763
42	0.0000755
43	0.0000754
44	0.0000753
45	0.0000758
46	0.0000756
47	0.0000753
48	0.0000762
49	0.0000755
50	0.0000754
51	0.0000756
52	0.0000753
53	0.0000751
54	0.0000742
55	0.0000742
56	0.0000749
57	0.0000748
58	0.0000745
59	0.0000756
60	0.0000760
61	0.0000763
62	0.0000765
63	0.0000771
64	0.0000769
65	0.0000768
66	0.0000768
67	0.0000768
68	0.0000772
69	0.0000776
70	0.0000764
71	0.0000757
72	0.0000765
73	0.0000769
74	0.0000772
75	0.0000776
76	0.0000776
77	0.0000774
78	0.0000775
79	0.0000789
80	0.0000789
81	0.0000780
82	0.0000786
83	0.0000797
84	0.0000800
85	0.0000794
86	0.0000792
87	0.0000788
88	0.0000784
89	0.0000789
90	0.0000790
91	0.0000789
92	0.0000794
93	0.0000794
94	0.0000798
95	0.0000803
96	0.0000798
97	0.0000800
98	0.0000801
99	0.0000804
100	0.0000807
101	0.0000808
102	0.0000813
103	0.0000815
104	0.0000816
105	0.0000813
106	0.0000799
107	0.0000803
108	0.0000803
109	0.0000801
110	0.0000804
111	0.0000809
112	0.0000812
113	0.0000814
114	0.0000812
115	0.0000804
116	0.0000801
117	0.0000801
118	0.0000816
119	0.0000817
120	0.0000819
121	0.0000818
122	0.0000817
123	0.0000814
124	0.0000812
125	0.0000813
126	0.0000816
127	0.0000821
128	0.0000829
129	0.0000829
130	0.0000830
131	0.0000829
132	0.0000831
133	0.0000830
134	0.0000829
135	0.0000833
136	0.0000840
137	0.0000836
138	0.0000853
139	0.0000861
140	0.0000886
141	0.0000904
142	0.0000924
143	0.0000934
144	0.0000995
145	0.0001038
146	0.0001071
147	0.0001108
148	0.0001171
149	0.0001259
150	0.0001350
151	0.0001439
152	0.0001583
153	0.0001700
154	0.0001851
155	0.0002028
156	0.0002206
157	0.0002382
158	0.0002650
159	0.0002855
160	0.0003136
161	0.0003393
162	0.0003670
163	0.0003954
164	0.0004250
165	0.0004483
166	0.0004843
167	0.0005179
168	0.0005405
169	0.0005782
170	0.0005941
171	0.0006125
172	0.0006290
173	0.0006366
174	0.0006404
175	0.0006512
176	0.0006525
177	0.0006449
178	0.0006417
179	0.0006309
180	0.0006112
181	0.0005776
182	0.0005624
183	0.0005230
184	0.0004900
185	0.0004342
186	0.0003992
187	0.0003605
188	0.0003053
189	0.0002418
190	0.0001993
191	0.0001257
192	0.0000705
193	0.0000089
194	-0.0000489
195	-0.0001003
196	-0.0001396
197	-0.0002190
198	-0.0002463
199	-0.0002875
200	-0.0003180
201	-0.0003542
202	-0.0003827
203	-0.0003872
204	-0.0004119
205	-0.0004399
206	-0.0004348
207	-0.0004329
208	-0.0004348
209	-0.0004284
210	-0.0004259
211	-0.0004196
212	-0.0004126
213	-0.0004024
214	-0.0003929
215	-0.0003808
216	-0.0003643
217	-0.0003532
218	-0.0003397
219	-0.0003263
220	-0.0003161
221	-0.0002983
222	-0.0002850
223	-0.0002723
224	-0.0002653
225	-0.0002475
226	-0.0002377
227	-0.0002279
228	-0.0002162
229	-0.0002052
230	-0.0001968
231	-0.0001871
232	-0.0001771
233	-0.0001625
234	-0.0001561
235	-0.0001477
236	-0.0001397
237	-0.0001320
238	-0.0001252
239	-0.0001177
240	-0.0001104
241	-0.0001029
242	-0.0000965
243	-0.0000887
244	-0.0000817
245	-0.0000766
246	-0.0000698
247	-0.0000646
248	-0.0000596
