x	y
1	-0.4545689
2	-0.4545689
3	-0.4552431
4	-0.4563650
5	-0.4573005
6	-0.4586022
7	-0.4600934
8	-0.4614704
9	-0.4624095
10	-0.4627666
11	-0.4629654
12	-0.4634934
13	-0.4638958
14	-0.4639288
15	-0.4641200
16	-0.4643598
17	-0.4644113
18	-0.4644878
19	-0.4648173
20	-0.4649527
21	-0.4649739
22	-0.4649459
23	-0.4649263
24	-0.4647289
25	-0.4647657
26	-0.4647363
27	-0.4643181
28	-0.4641722
29	-0.4639758
30	-0.4638819
31	-0.4635603
32	-0.4633955
33	-0.4633695
34	-0.4634498
35	-0.4634630
36	-0.4638573
37	-0.4639047
38	-0.4639520
39	-0.4642146
40	-0.4643901
41	-0.4646688
42	-0.4646836
43	-0.4646913
44	-0.4650250
45	-0.4650560
46	-0.4651265
47	-0.4651611
48	-0.4651820
49	-0.4651850
50	-0.4653129
51	-0.4651325
52	-0.4651931
53	-0.4654446
54	-0.4653740
55	-0.4653966
56	-0.4652912
57	-0.4653457
58	-0.4656035
59	-0.4656087
60	-0.4656022
61	-0.4655101
62	-0.4654606
63	-0.4654393
64	-0.4654393
65	-0.4654626
66	-0.4654708
67	-0.4654645
68	-0.4655992
69	-0.4656439
70	-0.4655365
71	-0.4655420
72	-0.4655326
73	-0.4653830
74	-0.4651182
75	-0.4651358
76	-0.4652071
77	-0.4653734
78	-0.4654299
79	-0.4654480
80	-0.4653285
81	-0.4651533
82	-0.4652376
83	-0.4652828
84	-0.4653990
85	-0.4654095
86	-0.4654099
87	-0.4653225
88	-0.4652769
89	-0.4653144
90	-0.4652280
91	-0.4653090
92	-0.4652832
93	-0.4653727
94	-0.4653749
95	-0.4654764
96	-0.4654671
97	-0.4654787
98	-0.4653742
99	-0.4653443
100	-0.4653118
101	-0.4653435
102	-0.4653461
103	-0.4653270
104	-0.4654097
105	-0.4654076
106	-0.4651697
107	-0.4652748
108	-0.4652719
109	-0.4651947
110	-0.4652177
111	-0.4652135
112	-0.4651885
113	-0.4651750
114	-0.4650462
115	-0.4651332
116	-0.4652849
117	-0.4651587
118	-0.4652047
119	-0.4651953
120	-0.4651571
121	-0.4651503
122	-0.4651400
123	-0.4649718
124	-0.4650375
125	-0.4650704
126	-0.4650490
127	-0.4650791
128	-0.4649593
129	-0.4649870
130	-0.4651105
131	-0.4651070
132	-0.4651658
133	-0.4651002
134	-0.4648547
135	-0.4648201
136	-0.4648955
137	-0.4650520
138	-0.4650264
139	-0.4649263
140	-0.4649291
141	-0.4649141
142	-0.4649836
143	-0.4650315
144	-0.4650261
145	-0.4650012
146	-0.4650598
147	-0.4651198
148	-0.4651178
149	-0.4650448
150	-0.4650368
151	-0.4651732
152	-0.4650511
153	-0.4650274
154	-0.4649359
155	-0.4649741
156	-0.4651188
157	-0.4651277
158	-0.4651543
159	-0.4652108
160	-0.4651639
161	-0.4650967
162	-0.4653255
163	-0.4653456
164	-0.4652871
165	-0.4651307
166	-0.4651533
167	-0.4651455
168	-0.4651322
169	-0.4650735
170	-0.4650697
171	-0.4650661
172	-0.4651023
173	-0.4651804
174	-0.4651972
175	-0.4652097
176	-0.4652097
177	-0.4652853
178	-0.4652965
179	-0.4652253
180	-0.4652506
181	-0.4652993
182	-0.4651810
183	-0.4652245
184	-0.4652792
185	-0.4653489
186	-0.4652918
187	-0.4653586
188	-0.4654285
189	-0.4654030
190	-0.4653940
191	-0.4653764
192	-0.4653459
193	-0.4652055
194	-0.4650979
195	-0.4651554
196	-0.4651442
197	-0.4651269
198	-0.4651062
199	-0.4650135
200	-0.4649365
201	-0.4649617
202	-0.4648963
203	-0.4649538
204	-0.4650246
205	-0.4649321
206	-0.4648785
207	-0.4649450
208	-0.4651053
209	-0.4651004
210	-0.4650762
211	-0.4650145
212	-0.4650259
213	-0.4648791
214	-0.4649469
215	-0.4649797
216	-0.4649862
217	-0.4649016
218	-0.4648712
219	-0.4647330
220	-0.4646701
221	-0.4647126
222	-0.4646910
223	-0.4647669
224	-0.4649667
225	-0.4649629
226	-0.4650164
227	-0.4650185
228	-0.4651020
229	-0.4650692
230	-0.4652326
231	-0.4652490
232	-0.4652163
233	-0.4651400
234	-0.4650427
235	-0.4650411
236	-0.4650590
237	-0.4650375
238	-0.4648906
239	-0.4649380
240	-0.4649083
241	-0.4649417
242	-0.4650900
243	-0.4649928
244	-0.4648779
245	-0.4649463
246	-0.4650164
247	-0.4650202
248	-0.4648919
249	-0.4647711
250	-0.4645974
251	-0.4645406
252	-0.4645422
253	-0.4640431
254	-0.4639647
255	-0.4629421
256	-0.4620133
257	-0.4608017
258	-0.4600860
259	-0.4591796
260	-0.4585926
261	-0.4581421
262	-0.4577156
263	-0.4577855
264	-0.4577858
265	-0.4578521
266	-0.4589723
267	-0.4595844
268	-0.4604172
269	-0.4611772
270	-0.4621027
271	-0.4626979
272	-0.4636318
273	-0.4638253
274	-0.4643386
275	-0.4644226
276	-0.4643616
277	-0.4643111
278	-0.4643432
279	-0.4644005
280	-0.4644598
281	-0.4645970
282	-0.4646943
283	-0.4648846
284	-0.4649156
285	-0.4648492
286	-0.4648347
287	-0.4649097
288	-0.4649420
289	-0.4649391
290	-0.4649230
291	-0.4649545
292	-0.4649644
293	-0.4649194
294	-0.4649597
295	-0.4651420
296	-0.4652165
297	-0.4651196
298	-0.4651292
299	-0.4651517
300	-0.4651880
301	-0.4651681
302	-0.4650144
303	-0.4650188
304	-0.4650820
305	-0.4650149
306	-0.4650233
307	-0.4649826
308	-0.4650349
309	-0.4650048
310	-0.4649699
311	-0.4647966
312	-0.4648666
313	-0.4650840
314	-0.4651519
315	-0.4651049
316	-0.4650578
317	-0.4650727
318	-0.4650471
319	-0.4649288
320	-0.4648877
321	-0.4649663
322	-0.4649889
323	-0.4650049
324	-0.4650664
325	-0.4651025
326	-0.4649822
327	-0.4648838
328	-0.4648830
329	-0.4648684
330	-0.4648731
331	-0.4649051
332	-0.4649506
333	-0.4649170
334	-0.4650449
335	-0.4651018
336	-0.4649374
337	-0.4648533
338	-0.4647641
339	-0.4647820
340	-0.4648957
341	-0.4648703
342	-0.4647342
343	-0.4647620
344	-0.4647952
345	-0.4648864
346	-0.4649678
347	-0.4651791
348	-0.4651282
349	-0.4650705
350	-0.4650470
351	-0.4647942
352	-0.4647255
353	-0.4647721
354	-0.4649517
355	-0.4649714
356	-0.4649088
357	-0.4648674
358	-0.4648008
359	-0.4648527
360	-0.4648029
361	-0.4648070
362	-0.4649192
363	-0.4649990
364	-0.4649469
365	-0.4649520
366	-0.4649481
367	-0.4647653
368	-0.4647329
369	-0.4647911
370	-0.4647504
371	-0.4647569
372	-0.4647948
373	-0.4649743
374	-0.4651410
375	-0.4651083
376	-0.4650925
377	-0.4650280
378	-0.4650285
379	-0.4648340
380	-0.4648623
381	-0.4648943
382	-0.4650184
383	-0.4651999
384	-0.4652763
385	-0.4652570
386	-0.4651705
387	-0.4652159
388	-0.4651881
389	-0.4651196
390	-0.4650308
391	-0.4650375
392	-0.4650225
393	-0.4651472
394	-0.4649837
395	-0.4649119
396	-0.4649649
397	-0.4649696
398	-0.4650382
399	-0.4651787
400	-0.4652636
401	-0.4651958
402	-0.4651734
403	-0.4650293
404	-0.4650595
405	-0.4651455
406	-0.4652561
407	-0.4652481
408	-0.4649412
409	-0.4648213
410	-0.4647446
411	-0.4646329
412	-0.4639875
413	-0.4629792
414	-0.4621798
415	-0.4611916
416	-0.4598752
417	-0.4587297
418	-0.4583532
419	-0.4572326
420	-0.4563180
421	-0.4555398
422	-0.4544601
423	-0.4536687
424	-0.4525293
425	-0.4514519
426	-0.4505097
427	-0.4498524
428	-0.4487212
429	-0.4483447
430	-0.4478713
431	-0.4478146
432	-0.4480263
433	-0.4483556
434	-0.4516077
435	-0.4540961
436	-0.4580669
437	-0.4630449
438	-0.4691998
439	-0.4767639
440	-0.4839740
441	-0.4926430
442	-0.5014800
443	-0.5096415
444	-0.5193748
445	-0.5293238
446	-0.5392567
447	-0.5487130
448	-0.5574609
449	-0.5656861
450	-0.5739709
451	-0.5820446
452	-0.5897957
453	-0.5963127
454	-0.6025752
455	-0.6089381
456	-0.6133114
457	-0.6180219
458	-0.6227833
459	-0.6267257
460	-0.6301401
461	-0.6330877
462	-0.6359438
463	-0.6374231
464	-0.6398590
465	-0.6416241
466	-0.6430138
467	-0.6440212
468	-0.6449431
469	-0.6455865
470	-0.6465025
471	-0.6468186
472	-0.6475138
473	-0.6476374
474	-0.6478642
475	-0.6479597
476	-0.6479470
477	-0.6477496
478	-0.6474458
479	-0.6469394
480	-0.6466925
481	-0.6455897
482	-0.6445089
483	-0.6431141
484	-0.6415660
485	-0.6394682
486	-0.6371254
487	-0.6350366
488	-0.6322202
489	-0.6293281
490	-0.6264677
491	-0.6234837
492	-0.6205194
493	-0.6176886
494	-0.6149657
495	-0.6123533
496	-0.6105763
497	-0.6088575
498	-0.6079515
499	-0.6076216
500	-0.6074679
501	-0.6077820
502	-0.6085659
503	-0.6105203
504	-0.6124638
505	-0.6147242
506	-0.6165440
507	-0.6199512
508	-0.6226729
509	-0.6253521
510	-0.6280006
511	-0.6304661
512	-0.6330434
513	-0.6354061
514	-0.6379009
515	-0.6396944
516	-0.6413608
517	-0.6430646
518	-0.6446186
519	-0.6453901
520	-0.6460565
521	-0.6473793
522	-0.6483902
523	-0.6489283
524	-0.6490760
525	-0.6497089
526	-0.6501824
527	-0.6502619
528	-0.6504766
529	-0.6505928
530	-0.6508199
531	-0.6508533
532	-0.6514028
533	-0.6515736
534	-0.6518846
535	-0.6524152
536	-0.6524078
537	-0.6531673
538	-0.6539339
539	-0.6542396
540	-0.6555983
541	-0.6573364
542	-0.6577731
543	-0.6607899
544	-0.6636778
545	-0.6661796
546	-0.6695078
547	-0.6741937
548	-0.6791080
549	-0.6847098
550	-0.6911165
551	-0.6980195
552	-0.7050054
553	-0.7128636
554	-0.7211592
555	-0.7314554
556	-0.7409464
557	-0.7518033
558	-0.7619651
559	-0.7721299
560	-0.7822413
561	-0.7936805
562	-0.8029449
563	-0.8133325
564	-0.8215010
565	-0.8315315
566	-0.8373160
567	-0.8439857
568	-0.8501280
569	-0.8557836
570	-0.8613850
571	-0.8641017
572	-0.8662079
573	-0.8674442
574	-0.8684363
575	-0.8681143
576	-0.8664140
577	-0.8652464
578	-0.8628678
579	-0.8603712
580	-0.8571115
581	-0.8525632
582	-0.8487120
583	-0.8443381
584	-0.8387684
585	-0.8332078
586	-0.8281791
587	-0.8230325
588	-0.8175816
589	-0.8107593
590	-0.8041369
591	-0.7977823
592	-0.7907955
593	-0.7837857
594	-0.7759455
595	-0.7683295
596	-0.7604388
597	-0.7498283
598	-0.7415194
