x	y
1	581.3800000
2	581.3800000
3	581.4900000
4	581.6800000
5	581.8350000
6	582.0500000
7	582.2956410
8	582.5198337
9	582.6580000
10	582.7250000
11	582.7800000
12	582.8748718
13	582.9416667
14	582.9460000
15	582.9762500
16	583.0160577
17	583.0258654
18	583.0356731
19	583.0850000
20	583.1062500
21	583.1101678
22	583.1060000
23	583.1025000
24	583.0702778
25	583.0695798
26	583.0688818
27	583.0150000
28	583.0057143
29	582.9701099
30	582.9575000
31	582.9000000
32	582.8656410
33	582.8612500
34	582.8601603
35	582.8681731
36	582.9268269
37	582.9289423
38	582.9310577
39	582.9734295
40	582.9850000
41	583.0278205
42	583.0300000
43	583.0325000
44	583.0887821
45	583.0962500
46	583.1120833
47	583.1113636
48	583.1100000
49	583.1153846
50	583.1400000
51	583.1353425
52	583.1392308
53	583.1570000
54	583.1462500
55	583.1500442
56	583.1447826
57	583.1492593
58	583.1649912
59	583.1667855
60	583.1657143
61	583.1506250
62	583.1488889
63	583.1475000
64	583.1413333
65	583.1350000
66	583.1366863
67	583.1340741
68	583.1445937
69	583.1542857
70	583.1489474
71	583.1516260
72	583.1518750
73	583.1418182
74	583.1036830
75	583.1080769
76	583.1160000
77	583.1287500
78	583.1362500
79	583.1342105
80	583.1147368
81	583.0952632
82	583.0990000
83	583.1063333
84	583.1136667
85	583.1168421
86	583.1215789
87	583.1204762
88	583.1104151
89	583.1110781
90	583.1025000
91	583.1150000
92	583.1100000
93	583.1088889
94	583.1090476
95	583.1122466
96	583.1104545
97	583.1111111
98	583.0946154
99	583.0904274
100	583.0862393
101	583.0911111
102	583.0860000
103	583.0722564
104	583.0830769
105	583.0788462
106	583.0606410
107	583.0616667
108	583.0600000
109	583.0447619
110	583.0427273
111	583.0400000
112	583.0361905
113	583.0323810
114	583.0096825
115	583.0139130
116	583.0462500
117	583.0330769
118	583.0421429
119	583.0421429
120	583.0400000
121	583.0366944
122	583.0350000
123	583.0040476
124	583.0136364
125	583.0240000
126	583.0200000
127	583.0222727
128	583.0131734
129	583.0149467
130	583.0167200
131	583.0166667
132	583.0252941
133	583.0108942
134	582.9705556
135	582.9690909
136	582.9707143
137	582.9984432
138	582.9964000
139	582.9766667
140	582.9750000
141	582.9750000
142	582.9857143
143	582.9870330
144	582.9883516
145	582.9861538
146	582.9900000
147	582.9909771
148	582.9874844
149	582.9768538
150	582.9775000
151	582.9889103
152	582.9950000
153	582.9950000
154	582.9788462
155	582.9800000
156	583.0015385
157	583.0030000
158	583.0071429
159	583.0137815
160	583.0068182
161	582.9925000
162	582.9984615
163	582.9997505
164	582.9940956
165	582.9807883
166	582.9865385
167	582.9850000
168	582.9800000
169	582.9676923
170	582.9646154
171	582.9660000
172	582.9660000
173	582.9655551
174	582.9650000
175	582.9664286
176	582.9600000
177	582.9600000
178	582.9570000
179	582.9467778
180	582.9511111
181	582.9592723
182	582.9450000
183	582.9550000
184	582.9635863
185	582.9573065
186	582.9519227
187	582.9540000
188	582.9511538
189	582.9516667
190	582.9516528
191	582.9468087
192	582.9460000
193	582.9276410
194	582.9109091
195	582.9121429
196	582.9115705
197	582.9084722
198	582.9053739
199	582.8900000
200	582.8766667
201	582.8824740
202	582.8742308
203	582.8807588
204	582.8792308
205	582.8742857
206	582.8696911
207	582.8768182
208	582.8866317
209	582.8878516
210	582.8890715
211	582.8894444
212	582.8904167
213	582.8700000
214	582.8723077
215	582.8800000
216	582.8800000
217	582.8775000
218	582.8745455
219	582.8608392
220	582.8500233
221	582.8500000
222	582.8448000
223	582.8555556
224	582.8698519
225	582.8689982
226	582.8777596
227	582.8813636
228	582.8878671
229	582.8823077
230	582.9087500
231	582.9107143
