x	y
1	-0.0041391
2	-0.0041391
3	-0.0041453
4	-0.0041555
5	-0.0041640
6	-0.0041759
7	-0.0041894
8	-0.0042020
9	-0.0042105
10	-0.0042138
11	-0.0042156
12	-0.0042204
13	-0.0042241
14	-0.0042244
15	-0.0042261
16	-0.0042283
17	-0.0042288
18	-0.0042295
19	-0.0042325
20	-0.0042337
21	-0.0042339
22	-0.0042336
23	-0.0042335
24	-0.0042317
25	-0.0042320
26	-0.0042317
27	-0.0042279
28	-0.0042266
29	-0.0042248
30	-0.0042239
31	-0.0042210
32	-0.0042195
33	-0.0042193
34	-0.0042200
35	-0.0042201
36	-0.0042237
37	-0.0042242
38	-0.0042246
39	-0.0042270
40	-0.0042286
41	-0.0042311
42	-0.0042312
43	-0.0042313
44	-0.0042344
45	-0.0042346
46	-0.0042353
47	-0.0042356
48	-0.0042358
49	-0.0042358
50	-0.0042370
51	-0.0042353
52	-0.0042359
53	-0.0042382
54	-0.0042375
55	-0.0042377
56	-0.0042368
57	-0.0042373
58	-0.0042396
59	-0.0042397
60	-0.0042396
61	-0.0042388
62	-0.0042383
63	-0.0042381
64	-0.0042381
65	-0.0042383
66	-0.0042384
67	-0.0042384
68	-0.0042396
69	-0.0042400
70	-0.0042390
71	-0.0042391
72	-0.0042390
73	-0.0042376
74	-0.0042352
75	-0.0042354
76	-0.0042360
77	-0.0042375
78	-0.0042380
79	-0.0042382
80	-0.0042371
81	-0.0042355
82	-0.0042363
83	-0.0042367
84	-0.0042378
85	-0.0042379
86	-0.0042379
87	-0.0042371
88	-0.0042366
89	-0.0042370
90	-0.0042362
91	-0.0042369
92	-0.0042367
93	-0.0042375
94	-0.0042375
95	-0.0042385
96	-0.0042384
97	-0.0042385
98	-0.0042375
99	-0.0042373
100	-0.0042370
101	-0.0042373
102	-0.0042373
103	-0.0042371
104	-0.0042379
105	-0.0042378
106	-0.0042357
107	-0.0042366
108	-0.0042366
109	-0.0042359
110	-0.0042361
111	-0.0042361
112	-0.0042358
113	-0.0042357
114	-0.0042345
115	-0.0042353
116	-0.0042367
117	-0.0042356
118	-0.0042360
119	-0.0042359
120	-0.0042356
121	-0.0042355
122	-0.0042354
123	-0.0042339
124	-0.0042345
125	-0.0042348
126	-0.0042346
127	-0.0042348
128	-0.0042338
129	-0.0042340
130	-0.0042351
131	-0.0042351
132	-0.0042356
133	-0.0042350
134	-0.0042328
135	-0.0042325
136	-0.0042332
137	-0.0042346
138	-0.0042344
139	-0.0042335
140	-0.0042335
141	-0.0042333
142	-0.0042340
143	-0.0042344
144	-0.0042344
145	-0.0042341
146	-0.0042347
147	-0.0042352
148	-0.0042352
149	-0.0042345
150	-0.0042345
151	-0.0042357
152	-0.0042346
153	-0.0042344
154	-0.0042335
155	-0.0042339
156	-0.0042352
157	-0.0042353
158	-0.0042355
159	-0.0042360
160	-0.0042356
161	-0.0042350
162	-0.0042371
163	-0.0042373
164	-0.0042367
165	-0.0042353
166	-0.0042355
167	-0.0042355
168	-0.0042353
169	-0.0042348
170	-0.0042348
171	-0.0042347
172	-0.0042351
173	-0.0042358
174	-0.0042359
175	-0.0042360
176	-0.0042360
177	-0.0042367
178	-0.0042368
179	-0.0042362
180	-0.0042364
181	-0.0042369
182	-0.0042358
183	-0.0042362
184	-0.0042367
185	-0.0042373
186	-0.0042368
187	-0.0042374
188	-0.0042380
189	-0.0042378
190	-0.0042377
191	-0.0042376
192	-0.0042373
193	-0.0042360
194	-0.0042350
195	-0.0042355
196	-0.0042354
197	-0.0042353
198	-0.0042351
199	-0.0042343
200	-0.0042335
201	-0.0042338
202	-0.0042332
203	-0.0042337
204	-0.0042344
205	-0.0042335
