x	y
1	0.0281798
2	0.0281798
3	0.0281797
4	0.0281801
5	0.0281802
6	0.0281803
7	0.0281804
8	0.0281803
9	0.0281794
10	0.0281799
11	0.0281811
12	0.0281816
13	0.0281817
14	0.0281816
15	0.0281815
16	0.0281816
17	0.0281816
18	0.0281815
19	0.0281812
20	0.0281812
21	0.0281812
22	0.0281812
23	0.0281812
24	0.0281812
25	0.0281808
26	0.0281811
27	0.0281819
28	0.0281827
29	0.0281825
30	0.0281827
31	0.0281824
32	0.0281820
33	0.0281820
34	0.0281812
35	0.0281815
36	0.0281812
37	0.0281809
38	0.0281806
39	0.0281805
40	0.0281796
41	0.0281794
42	0.0281794
43	0.0281795
44	0.0281796
45	0.0281797
46	0.0281799
47	0.0281796
48	0.0281793
49	0.0281796
50	0.0281798
51	0.0281812
52	0.0281808
53	0.0281795
54	0.0281796
55	0.0281796
56	0.0281802
57	0.0281800
58	0.0281785
59	0.0281786
60	0.0281786
61	0.0281786
62	0.0281789
63	0.0281790
64	0.0281787
65	0.0281781
66	0.0281782
67	0.0281781
68	0.0281774
69	0.0281776
70	0.0281782
71	0.0281783
72	0.0281784
73	0.0281792
74	0.0281795
75	0.0281796
76	0.0281794
77	0.0281786
78	0.0281785
79	0.0281782
80	0.0281782
81	0.0281787
82	0.0281782
83	0.0281782
84	0.0281775
85	0.0281776
86	0.0281779
87	0.0281786
88	0.0281785
89	0.0281782
90	0.0281785
91	0.0281784
92	0.0281784
93	0.0281775
94	0.0281775
95	0.0281767
96	0.0281767
97	0.0281767
98	0.0281767
99	0.0281767
100	0.0281768
101	0.0281768
102	0.0281765
103	0.0281759
104	0.0281757
105	0.0281755
106	0.0281767
107	0.0281758
108	0.0281757
109	0.0281756
110	0.0281752
111	0.0281751
112	0.0281751
113	0.0281750
114	0.0281750
115	0.0281744
116	0.0281748
117	0.0281752
118	0.0281753
119	0.0281754
120	0.0281756
121	0.0281755
122	0.0281755
123	0.0281753
124	0.0281753
125	0.0281755
126	0.0281755
127	0.0281754
128	0.0281759
129	0.0281758
130	0.0281748
131	0.0281748
132	0.0281747
133	0.0281745
134	0.0281745
135	0.0281748
136	0.0281742
137	0.0281743
138	0.0281744
139	0.0281742
140	0.0281741
141	0.0281742
142	0.0281742
143	0.0281738
144	0.0281740
145	0.0281741
146	0.0281737
147	0.0281733
148	0.0281731
149	0.0281731
150	0.0281733
151	0.0281726
152	0.0281741
153	0.0281743
154	0.0281743
155	0.0281740
156	0.0281738
157	0.0281738
158	0.0281738
159	0.0281737
160	0.0281737
161	0.0281735
162	0.0281718
163	0.0281717
164	0.0281719
165	0.0281726
166	0.0281727
167	0.0281727
168	0.0281725
169	0.0281724
170	0.0281722
171	0.0281724
172	0.0281720
173	0.0281713
174	0.0281711
175	0.0281711
176	0.0281707
177	0.0281700
178	0.0281698
179	0.0281698
180	0.0281698
181	0.0281699
182	0.0281701
183	0.0281703
184	0.0281703
185	0.0281693
186	0.0281695
187	0.0281690
188	0.0281682
189	0.0281685
190	0.0281686
191	0.0281685
192	0.0281687
193	0.0281689
194	0.0281690
195	0.0281685
196	0.0281686
197	0.0281686
198	0.0281686
199	0.0281686
200	0.0281686
201	0.0281687
202	0.0281688
203	0.0281686
204	0.0281679
205	0.0281685
206	0.0281687
207	0.0281685
208	0.0281676
209	0.0281677
210	0.0281680
211	0.0281686
212	0.0281685
213	0.0281687
214	0.0281682
215	0.0281684
216	0.0281683
217	0.0281689
218	0.0281690
219	0.0281695
220	0.0281695
221	0.0281691
222	0.0281690
223	0.0281689
224	0.0281679
225	0.0281679
226	0.0281679
227	0.0281681
228	0.0281677
229	0.0281677
230	0.0281677
231	0.0281676
232	0.0281673
233	0.0281675
234	0.0281674
235	0.0281674
236	0.0281673
237	0.0281673
238	0.0281673
239	0.0281675
240	0.0281677
241	0.0281674
242	0.0281676
243	0.0281675
244	0.0281676
245	0.0281675
246	0.0281673
247	0.0281672
248	0.0281680
249	0.0281691
250	0.0281694
251	0.0281690
252	0.0281680
253	0.0281670
254	0.0281669
255	0.0281658
256	0.0281661
257	0.0281664
258	0.0281661
259	0.0281662
260	0.0281662
261	0.0281661
262	0.0281658
263	0.0281652
264	0.0281652
265	0.0281652
266	0.0281653
267	0.0281658
268	0.0281659
269	0.0281660
270	0.0281644
271	0.0281644
272	0.0281650
273	0.0281650
274	0.0281631
275	0.0281631
276	0.0281643
277	0.0281650
278	0.0281651
279	0.0281650
280	0.0281650
281	0.0281650
282	0.0281643
283	0.0281628
284	0.0281629
285	0.0281644
286	0.0281646
287	0.0281646
288	0.0281645
289	0.0281645
290	0.0281647
291	0.0281642
292	0.0281642
293	0.0281646
294	0.0281642
295	0.0281628
296	0.0281629
297	0.0281635
