x	y
1	4545.6890769
2	4545.6890769
3	4552.4306667
4	4563.6503000
5	4573.0045167
6	4586.0217333
7	4600.9336346
8	4614.7038462
9	4624.0952077
10	4627.6663125
11	4629.6540714
12	4634.9336106
13	4638.9582500
14	4639.2882615
15	4641.2004856
16	4643.5980144
17	4644.1130600
18	4644.8777163
19	4648.1725714
20	4649.5269087
21	4649.7389042
22	4649.4594667
23	4649.2627500
24	4647.2894783
25	4647.6572000
26	4647.3629818
27	4643.1812308
28	4641.7220687
29	4639.7577905
30	4638.8188393
31	4635.6028125
32	4633.9552452
33	4633.6950000
34	4634.4984337
35	4634.6300378
36	4638.5731298
37	4639.0466587
38	4639.5201875
39	4642.1461202
40	4643.9013077
41	4646.6876923
42	4646.8364038
43	4646.9131070
44	4650.2495014
45	4650.5600625
46	4651.2650446
47	4651.6112763
48	4651.8202516
49	4651.8503308
50	4653.1292500
51	4651.3248320
52	4651.9309069
53	4654.4459856
54	4653.7397500
55	4653.9662971
56	4652.9124783
57	4653.4571111
58	4656.0351091
59	4656.0872538
60	4656.0218571
61	4655.1006562
62	4654.6061667
63	4654.3932981
64	4654.3925154
65	4654.6264286
66	4654.7075710
67	4654.6452222
68	4655.9924109
69	4656.4389689
70	4655.3645368
71	4655.4195369
72	4655.3262021
73	4653.8304000
74	4651.1819567
75	4651.3584087
76	4652.0710500
77	4653.7340913
78	4654.2993750
79	4654.4802505
80	4653.2853765
81	4651.5329696
82	4652.3763000
83	4652.8275912
84	4653.9898432
85	4654.0948451
86	4654.0985526
87	4653.2246569
88	4652.7691184
89	4653.1441937
90	4652.2800288
91	4653.0901154
92	4652.8318269
93	4653.7267051
94	4653.7494405
95	4654.7639588
96	4654.6705312
97	4654.7869271
98	4653.7417067
99	4653.4429792
100	4653.1176960
101	4653.4346713
102	4653.4614621
103	4653.2697841
104	4654.0971795
105	4654.0763077
106	4651.6969231
107	4652.7476875
108	4652.7193413
109	4651.9472669
110	4652.1765000
111	4652.1352308
112	4651.8851639
113	4651.7503522
114	4650.4623739
115	4651.3324763
116	4652.8494375
117	4651.5873462
118	4652.0468984
119	4651.9529753
120	4651.5708462
121	4651.5029423
122	4651.3995000
123	4649.7177327
124	4650.3750625
125	4650.7044692
126	4650.4904588
127	4650.7912363
128	4649.5930991
