x	y
1	35493.2490000
2	35493.2490000
3	35499.9645000
4	35511.5640000
5	35521.0267500
6	35534.1525000
7	35549.1488846
8	35562.8358462
9	35571.2709000
10	35575.3612500
11	35578.7190000
12	35584.5109231
13	35588.5887500
14	35588.8533000
15	35590.7000625
16	35593.1303221
17	35593.7290817
18	35594.3278413
19	35597.3392500
20	35598.6365625
21	35598.8757463
22	35598.6213000
23	35598.4076250
24	35596.4404583
25	35596.3978451
26	35596.3552318
27	35593.0657500
28	35592.4988571
29	35590.3252088
30	35589.5553750
31	35586.0450000
32	35583.9473846
33	35583.6793125
34	35583.6127837
35	35584.1019663
36	35587.6827837
37	35587.8119279
38	35587.9410721
39	35590.5278702
40	35591.2342500
41	35593.8484423
42	35593.9815000
43	35594.1341250
44	35597.5701442
45	35598.0260625
46	35598.9926875
47	35598.9487500
48	35598.8655000
49	35599.1942308
50	35600.6970000
51	35600.4126607
52	35600.6500385
53	35601.7348500
54	35601.0785625
55	35601.3101971
56	35600.9889783
57	35601.2622778
58	35602.2227116
59	35602.3322538
60	35602.2668571
61	35601.3456562
62	35601.2396667
63	35601.1548750
64	35600.7784000
65	35600.3917500
66	35600.4946960
67	35600.3352222
68	35600.9774461
69	35601.5691429
70	35601.2432368
71	35601.4067703
72	35601.4219688
73	35600.8080000
74	35598.4798462
75	35598.7480962
76	35599.2318000
77	35600.0101875
78	35600.4680625
79	35600.3435526
80	35599.1546842
81	35597.9658158
82	35598.1939500
83	35598.6416500
84	35599.0893500
85	35599.2832105
86	35599.5723947
87	35599.5050714
88	35598.8908443
89	35598.9313187
90	35598.4076250
91	35599.1707500
92	35598.8655000
93	35598.7976667
94	35598.8073571
95	35599.0026575
96	35598.8932500
97	35598.9333333
98	35597.9262692
99	35597.6705897
100	35597.4149103
101	35597.7123333
102	35597.4003000
103	35596.5612538
104	35597.2218462
105	35596.9635577
106	35595.8521346
107	35595.9147500
108	35595.8130000
109	35594.8827143
110	35594.7585000
111	35594.5920000
112	35594.3594286
113	35594.1268571
114	35592.7411190
115	35592.9993913
116	35594.9735625
117	35594.1693462
118	35594.7228214
119	35594.7228214
120	35594.5920000
121	35594.3901923
122	35594.2867500
123	35592.3971071
124	35592.9825000
125	35593.6152000
126	35593.3710000
127	35593.5097500
128	35592.9542337
129	35593.0624946
130	35593.1707554
131	35593.1675000
132	35593.6942059
133	35592.8150894
134	35590.3524167
135	35590.2630000
136	35590.3621071
137	35592.0549588
138	35591.9302200
139	35590.7255000
140	35590.6237500
141	35590.6237500
142	35591.2778571
143	35591.3583626
144	35591.4388681
145	35591.3046923
146	35591.5395000
147	35591.5991538
148	35591.3859231
149	35590.7369231
150	35590.7763750
151	35591.4729712
152	35591.8447500
153	35591.8447500
154	35590.8585577
155	35590.9290000
156	35592.2439231
157	35592.3331500
158	35592.5860714
159	35592.9913626
160	35592.5662500
161	35591.6921250
162	35592.0560769
163	35592.1347692
164	35591.7895385
165	35590.9771279
166	35591.3281731
167	35591.2342500
168	35590.9290000
169	35590.1776154
170	35589.9897692
171	35590.0743000
172	35590.0743000
173	35590.0471385
174	35590.0132500
175	35590.1004643
176	35589.7080000
177	35589.7080000
178	35589.5248500
179	35588.9007833
180	35589.1653333
181	35589.6635769
182	35588.7922500
183	35589.4027500
184	35589.9269423
185	35589.5435641
186	35589.2148803
187	35589.3417000
188	35589.1679423
189	35589.1992500
190	35589.1984038
191	35588.9026731
192	35588.8533000
193	35587.7324846
194	35586.7110000
195	35586.7863214
196	35586.7513798
197	35586.5622292
198	35586.3730785
199	35585.4345000
200	35584.6205000
201	35584.9750385
202	35584.4717885
203	35584.8703269
204	35584.7770385
205	35584.4751429
206	35584.1946429
207	35584.6297500
208	35585.2288654
209	35585.3033397
210	35585.3778141
211	35585.4005833
212	35585.4599375
213	35584.2135000
214	35584.3543846
215	35584.8240000
216	35584.8240000
217	35584.6713750
218	35584.4910000
219	35583.6542308
220	35582.9939231
221	35582.9925000
222	35582.6750400
223	35583.3316667
224	35584.2044556
225	35584.1523423
226	35584.6872214
227	35584.9072500
228	35585.3042885
229	35584.9648846
230	35586.5791875
231	35586.6991071
232	35586.0450000
233	35585.4345000
234	35584.4013462
235	35584.3443214
236	35584.4547445
237	35584.2571071
238	35582.7878819
239	35583.4621154
240	35583.3681923
241	35583.3810000
242	35585.0460000
243	35584.0303500
244	35582.9314500
245	35583.5419500
246	35584.0463423
247	35583.9845625
248	35583.6030000
249	35583.5012500
