x	y
1	3.5327193
2	3.5327193
3	3.5327419
4	3.5326820
5	3.5326551
6	3.5327032
7	3.5326949
8	3.5327363
9	3.5327161
10	3.5327125
11	3.5327135
12	3.5326263
13	3.5326860
14	3.5326721
15	3.5325466
16	3.5325488
17	3.5324446
18	3.5324191
19	3.5323937
20	3.5320513
21	3.5320494
22	3.5319576
23	3.5319257
24	3.5318924
25	3.5319044
26	3.5319117
27	3.5320554
28	3.5320554
29	3.5320434
30	3.5320681
31	3.5320681
32	3.5320681
33	3.5320608
34	3.5319960
35	3.5319750
36	3.5319901
37	3.5319983
38	3.5320477
39	3.5320749
40	3.5320785
41	3.5320342
42	3.5320321
43	3.5320301
44	3.5320298
45	3.5319495
46	3.5319472
47	3.5317517
48	3.5317584
49	3.5319411
50	3.5319714
51	3.5321088
52	3.5320282
53	3.5320138
54	3.5318362
55	3.5318646
56	3.5318354
57	3.5318493
58	3.5319148
59	3.5319031
60	3.5319400
61	3.5319528
62	3.5319177
63	3.5319544
64	3.5320325
65	3.5319800
66	3.5319375
67	3.5318950
68	3.5319012
69	3.5319237
70	3.5319113
71	3.5319073
72	3.5319460
73	3.5319649
74	3.5318813
75	3.5317765
76	3.5317723
77	3.5317682
78	3.5317629
79	3.5317640
80	3.5318681
81	3.5318361
82	3.5318578
83	3.5318646
84	3.5318599
85	3.5316068
86	3.5316318
87	3.5317981
88	3.5316509
89	3.5315166
90	3.5315746
91	3.5315865
92	3.5316815
93	3.5316815
94	3.5317143
95	3.5317084
96	3.5317995
97	3.5317968
98	3.5317852
99	3.5317466
100	3.5317303
101	3.5317120
102	3.5317120
103	3.5317174
104	3.5317977
105	3.5317658
106	3.5316546
107	3.5317460
108	3.5317629
109	3.5316989
110	3.5316873
111	3.5317425
112	3.5317934
113	3.5317181
114	3.5317730
115	3.5317513
116	3.5316829
117	3.5316815
118	3.5317018
119	3.5317249
120	3.5316815
121	3.5317191
122	3.5316570
123	3.5316692
124	3.5316692
125	3.5316692
126	3.5316753
127	3.5317262
128	3.5316931
129	3.5316419
130	3.5314444
131	3.5314706
132	3.5315390
133	3.5315339
134	3.5315618
135	3.5314951
136	3.5315043
137	3.5316204
138	3.5316082
139	3.5316024
140	3.5315240
141	3.5315070
142	3.5315359
143	3.5315205
144	3.5315304
145	3.5316149
146	3.5315973
147	3.5315589
148	3.5315254
149	3.5315136
150	3.5315085
151	3.5314271
152	3.5312587
153	3.5312710
154	3.5313090
155	3.5314875
156	3.5314768
157	3.5314802
158	3.5314476
159	3.5314487
160	3.5314983
161	3.5316007
162	3.5314983
163	3.5314983
164	3.5314983
165	3.5315105
166	3.5315024
167	3.5314343
168	3.5313515
169	3.5313386
170	3.5313442
171	3.5313633
172	3.5313762
173	3.5313762
174	3.5313818
175	3.5313990
176	3.5313660
177	3.5313255
178	3.5313659
179	3.5313762
180	3.5313764
181	3.5313582
182	3.5313762
183	3.5313287
184	3.5313457
185	3.5313304
186	3.5313067
187	3.5312948
188	3.5312846
189	3.5313242
190	3.5312766
191	3.5312541
192	3.5312846
193	3.5312976
194	3.5311549
195	3.5311875
196	3.5313540
197	3.5313508
198	3.5313060
199	3.5313021
200	3.5313207
201	3.5312927
202	3.5311843
203	3.5311702
204	3.5311625
205	3.5312236
206	3.5312010
207	3.5311644
208	3.5313956
209	3.5313842
210	3.5314026
211	3.5314647
212	3.5314508
213	3.5311732
214	3.5314154
215	3.5314322
216	3.5314319
217	3.5314315
218	3.5312053
219	3.5312999
220	3.5313519
221	3.5311900
222	3.5312236
223	3.5312948
224	3.5313035
225	3.5312846
226	3.5313423
227	3.5313745
228	3.5314307
229	3.5314334
230	3.5315188
231	3.5315146
232	3.5315240
233	3.5315176
234	3.5315342
235	3.5315737
236	3.5315332
237	3.5314373
238	3.5313050
239	3.5311320
240	3.5305548
241	3.5303536
242	3.5297177
243	3.5286744
244	3.5279879
245	3.5278658
246	3.5262938
247	3.5247126
248	3.5231532
249	3.5211756
250	3.5199599
251	3.5176400
252	3.5162155
253	3.5151064
254	3.5141637
255	3.5141880
256	3.5151301
257	3.5177621
258	3.5208858
259	3.5261259
260	3.5335740
261	3.5428231
262	3.5520722
263	3.5617181
264	3.5742333
265	3.5842230
266	3.5958553
267	3.6079940
268	3.6183725
269	3.6290562
270	3.6390684
271	3.6474017
272	3.6550482
273	3.6626948
274	3.6680672
275	3.6737448
276	3.6784754
277	3.6820319
278	3.6847338
279	3.6874166
280	3.6891520
281	3.6903952
282	3.6910115
283	3.6913950
284	3.6914674
285	3.6914264
286	3.6911746
287	3.6907778
288	3.6896619
289	3.6885664
290	3.6871758
291	3.6858870
292	3.6845981
293	3.6834212
294	3.6808724
295	3.6785296
296	3.6761868
297	3.6737041
298	3.6707198
299	3.6674770
300	3.6635559
301	3.6595405
302	3.6545141
303	3.6495690
304	3.6438608
305	3.6381527
306	3.6339402
307	3.6258816
308	3.6209366
309	3.6155031
310	3.6100697
311	3.6043920
312	3.6013395
313	3.5982870
314	3.5960374
315	3.5946897
316	3.5940726
317	3.5941509
318	3.5957798
319	3.5971411
320	3.5993718
321	3.6023398
322	3.6050753
323	3.6078108
324	3.6104054
325	3.6126948
326	3.6146299
327	3.6160738
328	3.6173758
329	3.6186777
330	3.6187021
331	3.6186744
332	3.6185700
333	3.6178841
334	3.6165410
335	3.6149647
336	3.6139769
337	3.6117485
338	3.6095202
339	3.6072308
340	3.6046276
341	3.6023468
342	3.5995080
343	3.5968829
344	3.5939830
345	3.5908236
346	3.5879314
347	3.5853444
348	3.5822919
349	3.5790257
350	3.5761106
351	3.5733023
352	3.5700819
353	3.5672172
354	3.5645438
355	3.5614128
356	3.5581466
357	3.5555305
358	3.5529269
359	3.5498286
360	3.5468219
361	3.5452346
362	3.5421821
363	3.5392483
364	3.5368097
365	3.5342086
366	3.5313762
367	3.5303384
368	3.5258207
369	3.5256375
370	3.5232566
371	3.5220356
372	3.5191906
373	3.5167812
374	3.5152743
375	3.5135232
376	3.5117283
377	3.5098764
378	3.5081680
379	3.5067813
380	3.5059794
381	3.5041841
382	3.5025606
383	3.5014464
384	3.5001576
385	3.4990846
386	3.4978903
387	3.4968797
388	3.4958695
389	3.4948887
390	3.4939466
391	3.4933115
392	3.4924080
393	3.4917242
394	3.4913783
395	3.4909575
396	3.4905490
397	3.4899302
398	3.4890946
399	3.4890691
400	3.4888457
401	3.4887145
402	3.4882660
403	3.4881528
404	3.4877254
405	3.4877085
406	3.4877190
407	3.4877255
408	3.4879005
409	3.4879391
410	3.4880002
411	3.4881833
412	3.4888022
413	3.4892850
414	3.4896890
415	3.4900225
416	3.4902896
417	3.4906843
418	3.4909916
419	3.4917242
420	3.4923449
421	3.4928148
422	3.4933587
423	3.4940136
424	3.4951318
425	3.4959283
426	3.4966082
427	3.4970356
428	3.4978740
429	3.4984245
430	3.4990960
431	3.5003628
432	3.5017104
433	3.5025133
434	3.5030185
435	3.5038427
436	3.5042700
437	3.5049110
438	3.5059179
439	3.5062236
440	3.5065441
441	3.5069562
442	3.5073836
443	3.5081406
444	3.5086585
445	3.5089725
446	3.5092866
447	3.5098209
448	3.5100494
449	3.5101484
450	3.5104208
451	3.5111932
452	3.5115044
453	3.5115807
454	3.5117113
455	3.5117181
456	3.5119623
457	3.5122811
458	3.5124507
459	3.5129238
460	3.5131963
461	3.5133207
462	3.5133237
463	3.5133420
464	3.5133817
465	3.5134580
466	3.5135801
467	3.5136380
468	3.5136960
469	3.5140805
470	3.5141465
471	3.5142713
472	3.5145228
473	3.5145188
474	3.5145646
475	3.5146180
476	3.5148469
477	3.5149538
478	3.5149538
479	3.5150250
480	3.5150759
481	3.5153514
482	3.5154896
483	3.5155032
484	3.5155032
485	3.5155180
486	3.5155328
487	3.5157721
488	3.5160113
489	3.5161721
490	3.5161739
491	3.5161748
492	3.5162264
493	3.5161748
494	3.5163197
495	3.5164150
496	3.5163782
497	3.5163748
498	3.5163732
499	3.5164020
500	3.5166414
501	3.5166021
502	3.5165910
503	3.5166784
504	3.5166250
505	3.5166021
506	3.5166195
507	3.5167242
508	3.5167562
509	3.5166937
510	3.5166992
511	3.5167089
512	3.5168283
513	3.5168616
514	3.5169684
515	3.5170979
516	3.5171189
517	3.5170752
518	3.5171654
519	3.5172293
520	3.5172318
521	3.5172194
522	3.5172737
523	3.5172736
524	3.5172736
525	3.5172515
526	3.5172293
527	3.5173021
528	3.5173958
529	3.5175179
530	3.5174960
531	3.5174873
532	3.5174917
533	3.5175128
534	3.5175340
535	3.5177086
536	3.5177292
537	3.5177779
538	3.5177773
539	3.5176572
540	3.5177180
541	3.5178109
542	3.5178634
543	3.5177926
544	3.5177767
545	3.5177926
546	3.5178943
547	3.5179961
548	3.5180307
549	3.5180540
550	3.5180317
551	3.5179528
552	3.5183183
553	3.5183483
554	3.5183720
555	3.5183995
556	3.5183263
557	3.5183246
558	3.5183256
559	3.5183149
560	3.5183035
561	3.5183077
562	3.5183726
563	3.5184743
564	3.5184450
565	3.5184078
566	3.5186109
567	3.5186664
568	3.5186556
569	3.5186676
570	3.5186773
571	3.5186695
572	3.5186617
573	3.5186981
574	3.5187032
575	3.5188762
576	3.5189220
577	3.5189089
578	3.5189032
579	3.5189053
580	3.5189164
581	3.5189373
582	3.5189429
583	3.5190059
584	3.5190203
585	3.5190346
586	3.5190563
587	3.5191126
588	3.5191562
589	3.5192695
590	3.5192695
591	3.5192883
592	3.5194149
593	3.5195401
594	3.5195757
595	3.5195748
596	3.5195372
597	3.5194802
598	3.5194625
599	3.5194574
600	3.5194867
601	3.5195160
602	3.5195914
603	3.5195897
604	3.5195936
605	3.5196098
606	3.5195933
607	3.5196382
608	3.5196546
609	3.5198793
610	3.5199099
611	3.5198899
612	3.5198479
613	3.5198498
614	3.5198530
615	3.5198721
616	3.5198547
617	3.5198998
618	3.5199348
619	3.5199581
620	3.5199598
621	3.5200006
622	3.5200209
623	3.5200292
624	3.5200826
625	3.5200491
626	3.5200529
627	3.5201443
628	3.5201145
629	3.5200709
630	3.5201416
631	3.5201588
632	3.5201735
633	3.5201469
634	3.5200679
635	3.5200689
636	3.5201446
637	3.5201837
638	3.5201899
639	3.5201960
640	3.5202041
641	3.5202936
642	3.5202855
643	3.5202297
644	3.5203058
645	3.5204867
646	3.5205792
647	3.5205704
648	3.5204564
649	3.5204540
650	3.5204735
651	3.5204808
652	3.5204177
653	3.5204351
654	3.5206202
655	3.5207291
656	3.5207901
657	3.5206392
658	3.5206416
659	3.5208281
660	3.5207694
661	3.5207792
662	3.5209061
663	3.5209214
664	3.5209367
665	3.5209367
666	3.5209349
667	3.5209443
668	3.5211273
669	3.5211445
670	3.5211617
671	3.5210628
672	3.5210740
673	3.5210893
674	3.5210977
675	3.5212488
676	3.5212659
677	3.5212255
678	3.5212039
679	3.5212928
680	3.5212555
681	3.5212390
682	3.5214149
683	3.5214473
684	3.5215281
685	3.5215357
686	3.5214908
687	3.5215079
688	3.5214420
689	3.5214577
690	3.5214488
691	3.5214098
692	3.5210221
693	3.5207797
694	3.5208044
695	3.5206450
696	3.5202753
697	3.5201796
698	3.5198825
699	3.5198683
700	3.5189969
701	3.5183977
