x	y
1	-0.5685664
2	-0.5686471
3	-0.5686674
4	-0.5686283
5	-0.5686380
6	-0.5686375
7	-0.5686638
8	-0.5686840
9	-0.5685965
10	-0.5684978
11	-0.5685259
12	-0.5686003
13	-0.5685816
14	-0.5685462
15	-0.5685867
16	-0.5686220
17	-0.5686302
18	-0.5686313
19	-0.5686565
20	-0.5686575
21	-0.5686301
22	-0.5686033
23	-0.5686025
24	-0.5686087
25	-0.5686030
26	-0.5685897
27	-0.5685597
28	-0.5685601
29	-0.5686523
30	-0.5686184
31	-0.5685990
32	-0.5684712
33	-0.5684347
34	-0.5684941
35	-0.5685954
36	-0.5685616
37	-0.5685073
38	-0.5685331
39	-0.5685301
40	-0.5684749
41	-0.5684332
42	-0.5685394
43	-0.5685361
44	-0.5684526
45	-0.5684466
46	-0.5684718
47	-0.5684154
48	-0.5684101
49	-0.5684310
50	-0.5684571
51	-0.5684506
52	-0.5684393
53	-0.5683877
54	-0.5683930
55	-0.5684178
56	-0.5684519
57	-0.5684455
58	-0.5685326
59	-0.5685419
60	-0.5685168
61	-0.5683797
62	-0.5683644
63	-0.5683832
64	-0.5683904
65	-0.5683758
66	-0.5683693
67	-0.5683934
68	-0.5684232
69	-0.5683643
70	-0.5683265
71	-0.5682733
72	-0.5683178
73	-0.5682931
74	-0.5682301
75	-0.5682648
76	-0.5683198
77	-0.5684325
78	-0.5684074
79	-0.5683755
80	-0.5683065
81	-0.5683526
82	-0.5683004
83	-0.5682449
84	-0.5682220
85	-0.5684483
86	-0.5681044
87	-0.5681422
88	-0.5681001
89	-0.5682194
90	-0.5679121
91	-0.5676291
92	-0.5676211
93	-0.5673654
94	-0.5667798
95	-0.5663801
96	-0.5652697
97	-0.5651400
98	-0.5647243
99	-0.5639046
100	-0.5635454
101	-0.5628138
102	-0.5616120
103	-0.5612985
104	-0.5603580
105	-0.5611940
106	-0.5606192
107	-0.5600967
108	-0.5603580
109	-0.5604102
110	-0.5615598
111	-0.5625526
112	-0.5635454
113	-0.5630228
114	-0.5652175
115	-0.5660012
116	-0.5673076
117	-0.5682481
118	-0.5685616
119	-0.5701292
120	-0.5702337
121	-0.5720103
122	-0.5711220
123	-0.5723761
124	-0.5720872
125	-0.5722594
126	-0.5720532
127	-0.5717421
128	-0.5728986
129	-0.5719267
130	-0.5717399
131	-0.5714225
132	-0.5712468
133	-0.5710386
134	-0.5710301
135	-0.5709130
136	-0.5705230
137	-0.5702930
138	-0.5701738
139	-0.5699650
140	-0.5697416
141	-0.5695976
142	-0.5693929
143	-0.5691625
144	-0.5690103
145	-0.5688196
146	-0.5685207
147	-0.5682647
148	-0.5681890
149	-0.5683023
150	-0.5681645
151	-0.5678458
152	-0.5679085
153	-0.5678988
154	-0.5677256
155	-0.5675688
156	-0.5674513
157	-0.5676535
158	-0.5676833
159	-0.5674819
160	-0.5676491
161	-0.5677577
162	-0.5674504
163	-0.5673793
164	-0.5676204
165	-0.5672553
166	-0.5671508
167	-0.5673401
168	-0.5673583
169	-0.5675502
170	-0.5673903
171	-0.5675079
172	-0.5675253
173	-0.5674774
174	-0.5674498
175	-0.5673492
176	-0.5672863
177	-0.5672889
178	-0.5675474
179	-0.5673080
180	-0.5676646
181	-0.5675688
182	-0.5674434
183	-0.5675862
184	-0.5675688
185	-0.5674643
186	-0.5675736
187	-0.5675667
188	-0.5675579
189	-0.5677897
190	-0.5677569
191	-0.5677813
192	-0.5679673
193	-0.5680761
194	-0.5680021
195	-0.5679673
196	-0.5679414
197	-0.5680304
198	-0.5682652
199	-0.5681697
200	-0.5683739
201	-0.5683052
202	-0.5684704
203	-0.5683613
204	-0.5684083
205	-0.5685263
206	-0.5686977
207	-0.5688360
208	-0.5689879
209	-0.5690789
210	-0.5690444
211	-0.5691849
212	-0.5693036
213	-0.5696276
214	-0.5696565
215	-0.5702128
216	-0.5699620
217	-0.5702337
218	-0.5708816
219	-0.5712346
220	-0.5716097
221	-0.5718013
222	-0.5727941
223	-0.5726373
224	-0.5722193
225	-0.5725851
226	-0.5728464
227	-0.5721671
228	-0.5716445
229	-0.5709653
230	-0.5691887
231	-0.5680391
232	-0.5680391
233	-0.5675166
234	-0.5659490
235	-0.5650084
236	-0.5634931
237	-0.5630751
238	-0.5625526
239	-0.5624481
240	-0.5626048
241	-0.5611940
242	-0.5618210
243	-0.5618210
244	-0.5630228
245	-0.5627877
246	-0.5629183
247	-0.5638066
248	-0.5634409
249	-0.5641201
250	-0.5645362
251	-0.5650859
252	-0.5655832
253	-0.5660458
254	-0.5661803
255	-0.5664414
256	-0.5666701
257	-0.5670611
258	-0.5673598
259	-0.5674983
260	-0.5679334
261	-0.5677082
262	-0.5680130
263	-0.5682307
264	-0.5682993
265	-0.5682742
266	-0.5684376
267	-0.5685827
268	-0.5688020
269	-0.5689013
270	-0.5690217
271	-0.5688188
272	-0.5688882
273	-0.5690111
274	-0.5690250
275	-0.5690443
276	-0.5691939
277	-0.5692243
278	-0.5692350
279	-0.5692207
280	-0.5692404
281	-0.5692130
282	-0.5691495
283	-0.5691650
284	-0.5691498
285	-0.5691364
286	-0.5691859
287	-0.5692252
288	-0.5692080
289	-0.5692131
290	-0.5691526
291	-0.5691263
292	-0.5691233
293	-0.5692342
294	-0.5692219
295	-0.5691613
296	-0.5691334
297	-0.5691432
298	-0.5691421
299	-0.5689734
300	-0.5688351
301	-0.5688442
302	-0.5689091
303	-0.5689776
304	-0.5689648
305	-0.5688873
306	-0.5688899
307	-0.5688815
308	-0.5689069
309	-0.5688504
310	-0.5688597
311	-0.5688468
312	-0.5688370
313	-0.5688355
314	-0.5688149
315	-0.5688640
316	-0.5688612
317	-0.5688434
318	-0.5688528
319	-0.5688882
320	-0.5688667
321	-0.5688452
322	-0.5687225
323	-0.5687387
324	-0.5687013
325	-0.5686733
326	-0.5686618
327	-0.5686748
328	-0.5686444
329	-0.5686151
330	-0.5686404
331	-0.5685926
332	-0.5685588
333	-0.5686139
334	-0.5686207
335	-0.5686198
336	-0.5686156
337	-0.5686046
338	-0.5685336
339	-0.5685460
340	-0.5685767
341	-0.5685857
342	-0.5685486
343	-0.5685436
344	-0.5685374
345	-0.5685284
346	-0.5684895
347	-0.5683726
348	-0.5684207
349	-0.5683758
350	-0.5684177
351	-0.5684191
352	-0.5683798
353	-0.5683656
354	-0.5683640
355	-0.5683531
356	-0.5684506
357	-0.5684982
358	-0.5685089
359	-0.5685061
360	-0.5683526
361	-0.5683445
362	-0.5683304
363	-0.5683774
364	-0.5683422
365	-0.5683713
366	-0.5683735
367	-0.5684039
368	-0.5684340
369	-0.5685056
370	-0.5684430
371	-0.5683843
372	-0.5683218
373	-0.5683110
374	-0.5683131
375	-0.5683080
376	-0.5683150
377	-0.5683230
378	-0.5683670
379	-0.5683918
380	-0.5684055
381	-0.5684054
382	-0.5684044
383	-0.5683877
384	-0.5683962
385	-0.5684234
386	-0.5684269
387	-0.5683974
388	-0.5683679
389	-0.5682666
390	-0.5682612
391	-0.5683053
392	-0.5683018
393	-0.5683232
394	-0.5683638
395	-0.5683310
396	-0.5683098
397	-0.5682764
398	-0.5682371
399	-0.5682002
400	-0.5681934
401	-0.5681889
402	-0.5681922
403	-0.5682153
404	-0.5682493
405	-0.5682578
406	-0.5682353
407	-0.5682684
408	-0.5682546
409	-0.5682493
410	-0.5682387
411	-0.5682383
412	-0.5681901
413	-0.5682030
414	-0.5682012
415	-0.5682218
416	-0.5682250
417	-0.5682017
418	-0.5681347
419	-0.5681240
420	-0.5681453
421	-0.5681763
422	-0.5681385
423	-0.5681045
424	-0.5681272
425	-0.5681784
426	-0.5681325
427	-0.5681959
428	-0.5682044
429	-0.5681683
430	-0.5681321
431	-0.5681146
432	-0.5681131
433	-0.5681187
434	-0.5681579
435	-0.5681313
436	-0.5681436
437	-0.5681049
438	-0.5681639
439	-0.5681671
440	-0.5681262
441	-0.5680565
442	-0.5680968
443	-0.5680598
444	-0.5680631
445	-0.5680503
446	-0.5680507
447	-0.5680516
448	-0.5680575
449	-0.5679553
450	-0.5679665
451	-0.5680457
452	-0.5679978
453	-0.5680233
454	-0.5680246
455	-0.5680108
456	-0.5680097
457	-0.5680954
458	-0.5681454
459	-0.5679916
460	-0.5679785
461	-0.5680365
462	-0.5680307
463	-0.5680188
464	-0.5680481
465	-0.5680312
466	-0.5679868
467	-0.5680086
468	-0.5680083
469	-0.5679760
470	-0.5680062
471	-0.5679906
472	-0.5679978
473	-0.5681071
474	-0.5681192
475	-0.5680966
476	-0.5680226
477	-0.5680223
478	-0.5679666
479	-0.5679370
480	-0.5680228
481	-0.5680644
482	-0.5680905
483	-0.5681033
484	-0.5680814
485	-0.5680750
486	-0.5680366
487	-0.5679784
488	-0.5679555
489	-0.5679402
490	-0.5679673
491	-0.5679633
492	-0.5679887
493	-0.5679433
494	-0.5678640
