x	y
1	0.0402330
2	0.0402320
3	0.0402315
4	0.0402313
5	0.0402312
6	0.0402311
7	0.0402303
8	0.0402300
9	0.0402299
10	0.0402301
11	0.0402301
12	0.0402294
13	0.0402294
14	0.0402292
15	0.0402286
16	0.0402279
17	0.0402279
18	0.0402276
19	0.0402273
20	0.0402273
21	0.0402273
22	0.0402272
23	0.0402268
24	0.0402265
25	0.0402264
26	0.0402266
27	0.0402266
28	0.0402261
29	0.0402249
30	0.0402249
31	0.0402248
32	0.0402247
33	0.0402245
34	0.0402243
35	0.0402229
36	0.0402233
37	0.0402230
38	0.0402231
39	0.0402231
40	0.0402236
41	0.0402235
42	0.0402220
43	0.0402217
44	0.0402214
45	0.0402217
46	0.0402216
47	0.0402218
48	0.0402215
49	0.0402209
50	0.0402204
51	0.0402206
52	0.0402205
53	0.0402197
54	0.0402196
55	0.0402194
56	0.0402196
57	0.0402192
58	0.0402180
59	0.0402179
60	0.0402181
61	0.0402182
62	0.0402184
63	0.0402182
64	0.0402183
65	0.0402183
66	0.0402183
67	0.0402179
68	0.0402167
69	0.0402168
70	0.0402168
71	0.0402170
72	0.0402165
73	0.0402155
74	0.0402152
75	0.0402146
76	0.0402137
77	0.0402126
78	0.0402126
79	0.0402126
80	0.0402124
81	0.0402112
82	0.0402103
83	0.0402089
84	0.0402089
85	0.0402055
86	0.0402055
87	0.0402034
88	0.0402025
89	0.0402010
90	0.0402006
91	0.0402007
92	0.0402014
93	0.0402054
94	0.0402135
95	0.0402238
96	0.0402382
97	0.0402617
98	0.0402884
99	0.0403233
100	0.0403588
101	0.0404109
102	0.0404820
103	0.0405486
104	0.0406267
105	0.0407111
106	0.0408127
107	0.0409053
108	0.0410050
109	0.0411040
110	0.0412119
111	0.0413065
112	0.0413998
113	0.0414963
114	0.0415712
115	0.0416454
116	0.0417083
117	0.0417717
118	0.0418320
119	0.0418714
120	0.0419145
121	0.0419437
122	0.0419812
123	0.0420009
124	0.0420236
125	0.0420414
126	0.0420593
127	0.0420783
128	0.0420828
129	0.0420958
130	0.0421055
