x	y
1	38806.4549889
2	38806.4177041
3	38806.1991928
4	38805.6766658
5	38805.6435945
6	38805.6169484
7	38805.2063915
8	38805.1410756
9	38804.1613375
10	38803.4014061
11	38803.6800626
12	38803.8295218
13	38803.6388105
14	38803.0925323
15	38803.0183097
16	38802.8320385
17	38802.8550200
18	38802.6808443
19	38802.6227858
20	38802.6460092
21	38802.3847457
22	38802.0402649
23	38801.6957842
24	38801.5487025
25	38801.3745268
26	38801.3994091
27	38801.1193039
28	38800.6902653
29	38800.6455402
30	38800.2946377
31	38799.9811215
32	38798.6844804
33	38798.1522770
34	38798.5877162
35	38798.4425698
36	38798.4135405
37	38797.6587793
38	38797.9622672
39	38797.9490721
40	38797.7603817
41	38797.3031706
42	38797.1072230
43	38796.8749888
44	38795.7553052
45	38795.9315372
46	38796.1347422
47	38795.7296518
48	38795.4351366
49	38795.1477468
50	38795.0171150
51	38795.0824309
52	38794.8864832
53	38793.6962829
54	38793.7107975
55	38793.7820512
56	38794.2665762
57	38793.8559439
58	38793.7978853
59	38793.7745280
60	38793.7107975
61	38792.4141564
62	38792.4044800
63	38792.4485751
64	38792.5496264
65	38792.4044800
66	38792.3391641
67	38792.2895571
68	38791.6206895
69	38791.0981625
70	38790.7062672
71	38790.3288866
72	38790.3579159
73	38789.2693180
74	38788.4177925
75	38788.2500678
76	38788.0823431
77	38788.3113518
78	38788.0749706
79	38787.7017370
80	38786.8889172
81	38786.3954195
82	38785.0891020
83	38783.3860510
84	38783.1296257
85	38782.6506427
86	38779.2106733
87	38777.8656500
88	38776.6415822
89	38776.5980382
90	38773.2277391
91	38770.4912458
92	38770.9808730
93	38771.7162814
94	38772.5484540
95	38776.9899335
96	38777.7737240
97	38795.8105819
98	38813.5994814
99	38834.1413241
100	38859.8104630
101	38895.3422990
102	38941.8472020
103	38993.5773750
104	39048.4427100
105	39126.2992330
106	39204.1557560
107	39275.2194280
108	39359.8688020
109	39441.9055410
110	39542.2307250
111	39630.0152610
112	39716.7547430
113	39790.9535770
114	39874.5578970
115	39943.5314610
116	40008.3248090
117	40069.9829950
118	40122.7582220
119	40170.8307060
120	40207.4075960
121	40249.2097560
122	40271.1558900
123	40299.8948750
124	40315.6868021
125	40332.1049322
126	40344.7388886
127	40357.3030365
128	40372.5261280
129	40373.5711820
130	40379.6455584
131	40383.7604585
132	40386.8375619
133	40389.3921384
134	40391.4628935
135	40393.4272080
136	40395.2560525
137	40396.5623700
138	40396.5805553
139	40396.0797163
140	40396.0144284
141	40395.9491405
142	40393.9022325
143	40392.6434175
144	40392.3821540
145	40390.2920460
146	40386.5995219
147	40384.0217220
148	40383.2476079
149	40382.4734939
150	40379.3189790
151	40374.3549725
152	40372.0036010
153	40369.2167903
154	40367.3008580
155	40363.3819055
156	40357.5034767
157	40354.8231068
158	40352.1427368
159	40346.8352172
160	40345.4853558
161	40342.2195620
162	40336.3324245
163	40331.6372254
164	40330.2014410
165	40323.9311170
166	40319.7509010
167	40315.5706850
168	40310.5389435
169	40307.5586043
170	40302.4204222
171	40299.3723480
172	40294.9598978
173	40291.0119160
174	40287.0929635
175	40281.8096349
176	40276.9036870
177	40272.6847653
178	40271.0252582
179	40266.1967217
180	40263.3179850
181	40259.6602960
182	40254.2260152
183	40251.9965667
184	40248.6872290
185	40242.9394320
186	40240.0481159
187	40237.5835302
188	40235.1015270
189	40233.0114190
190	40229.0924665
191	40226.5843369
192	40225.7613569
193	40224.2373198
194	40221.1457017
195	40220.2748234
196	40216.3776428
197	40215.1584132
198	40213.9391835
199	40212.8941295
200	40211.0652850
201	40209.2848226
202	40208.5951574
203	40206.9721568
204	40204.6643293
205	40204.4417715
206	40204.2397761
207	40204.1418023
208	40203.6715279
209	40203.4886435
210	40202.0516943
211	40201.8508313
212	40201.6597990
213	40201.6597990
