x	y
1	0.5678485
2	0.5678405
3	0.5678066
4	0.5677953
5	0.5677256
6	0.5677256
7	0.5677214
8	0.5677294
9	0.5677637
10	0.5677588
11	0.5677554
12	0.5677743
13	0.5678010
14	0.5678296
15	0.5678463
16	0.5678917
17	0.5678477
18	0.5677648
19	0.5676981
20	0.5676995
21	0.5677001
22	0.5677082
23	0.5676275
24	0.5676472
25	0.5677227
26	0.5677539
27	0.5677561
28	0.5676982
29	0.5676646
30	0.5676559
31	0.5676765
32	0.5677396
33	0.5677741
34	0.5678080
35	0.5677835
36	0.5677407
37	0.5676937
38	0.5677158
39	0.5677448
40	0.5677003
41	0.5675819
42	0.5675688
43	0.5675854
44	0.5676476
45	0.5676721
46	0.5676613
47	0.5677860
48	0.5677882
49	0.5677783
50	0.5677891
51	0.5676762
52	0.5676325
53	0.5675982
54	0.5676058
55	0.5676342
56	0.5676472
57	0.5676272
58	0.5676424
59	0.5676352
60	0.5676211
61	0.5676276
62	0.5676626
63	0.5677090
64	0.5677041
65	0.5677082
66	0.5676455
67	0.5676452
68	0.5677535
69	0.5677746
70	0.5677608
71	0.5677241
72	0.5677199
73	0.5676999
74	0.5677057
75	0.5677242
76	0.5677504
77	0.5678390
78	0.5677921
79	0.5675682
80	0.5675804
81	0.5676080
82	0.5675974
83	0.5676374
84	0.5676471
85	0.5676397
86	0.5676373
87	0.5676360
88	0.5676425
89	0.5676516
90	0.5676196
91	0.5675783
92	0.5675860
93	0.5676238
94	0.5677732
95	0.5677005
96	0.5676751
97	0.5676647
98	0.5676745
99	0.5676668
100	0.5675248
101	0.5675079
102	0.5675427
103	0.5675993
104	0.5677313
105	0.5675783
106	0.5675604
107	0.5675775
108	0.5675514
109	0.5677053
110	0.5677125
111	0.5677328
112	0.5677778
113	0.5676136
114	0.5676069
115	0.5675873
116	0.5679451
117	0.5681098
118	0.5680503
119	0.5678924
120	0.5678158
121	0.5677465
122	0.5678497
123	0.5680018
124	0.5679172
125	0.5678765
126	0.5680759
127	0.5680015
128	0.5679160
129	0.5679152
130	0.5679816
131	0.5678793
132	0.5677932
133	0.5677822
134	0.5678025
135	0.5678139
136	0.5679572
137	0.5679316
138	0.5678728
139	0.5678697
140	0.5678920
141	0.5679306
142	0.5679302
143	0.5679052
144	0.5678627
145	0.5678336
146	0.5678038
147	0.5677942
148	0.5678238
149	0.5677672
