x	y
1	5666.2827880
2	5666.2213142
3	5666.3302905
4	5666.2986221
5	5665.4268641
6	5665.5062548
7	5666.1090962
8	5665.9995106
9	5665.2488956
10	5666.3350407
11	5665.8548191
12	5665.5817259
13	5665.7964929
14	5665.7254259
15	5665.3422394
16	5665.6441439
17	5666.2827880
18	5666.2709553
19	5666.7596976
20	5666.9222195
21	5666.7472564
22	5666.4995399
23	5666.5856161
24	5666.5820974
25	5666.6529113
26	5666.6314149
27	5666.2275641
28	5666.3163318
29	5666.5191693
30	5666.4865179
31	5666.5610544
32	5666.5440515
33	5666.3158593
34	5666.2174721
35	5665.3381579
36	5665.3205451
37	5665.2812779
38	5665.5570561
39	5665.4577454
40	5665.3504898
41	5665.7312317
42	5665.9344367
43	5666.3468987
44	5667.0339206
45	5666.6653132
46	5666.0215245
47	5665.8908927
48	5665.9945687
49	5665.4293272
50	5664.8506770
51	5664.9074453
52	5664.9990488
53	5664.8293167
54	5665.0103111
55	5664.9775377
56	5666.5253898
57	5666.7187160
58	5666.6669990
59	5666.2043559
60	5666.1347387
61	5666.0728441
62	5665.7615974
63	5665.8328342
64	5665.6899024
65	5665.3903423
66	5665.1474545
67	5665.0853303
68	5665.5643134
69	5666.4134197
70	5666.8101532
71	5666.3973773
72	5666.2827880
73	5666.1608581
74	5666.4362285
75	5667.0016082
76	5667.2625261
77	5666.7835430
78	5665.5110930
79	5665.6068979
80	5665.5251239
81	5665.9095544
82	5666.0892595
83	5665.4336816
84	5665.9888666
85	5667.1400177
86	5667.1536663
87	5667.3278420
88	5667.0491609
89	5666.4511578
90	5666.6352864
91	5666.3154459
92	5665.9866894
93	5666.2731116
94	5666.4040495
95	5667.0375492
96	5666.7477403
97	5666.0172249
98	5666.1086123
99	5666.9875747
100	5666.3481039
101	5668.4070550
102	5668.5688436
103	5669.5485817
104	5668.6515771
105	5666.3176231
106	5669.4179500
107	5671.3774262
108	5670.0711087
109	5671.3121104
110	5673.8594295
111	5672.7563169
112	5673.7868563
113	5675.9495375
